S_NS6_Pm_056_v1v9_1	1.6.5.3
S_NS6_Pm_056_v1v9_2	3.6.4.12
S_NS6_Pm_056_v1v9_3	3.6.4.12
S_NS6_Pm_056_v1v9_4	3.6.4.12
S_NS6_Pm_056_v1v9_5	3.6.4.12
S_NS6_Pm_056_v1v9_6	3.6.4.12
S_NS6_Pm_056_v1v9_7	3.6.4.12
S_NS6_Pm_056_v1v9_8	3.6.4.12
S_NS6_Pm_056_v1v9_9	3.6.4.12
S_NS6_Pm_056_v1v9_10	3.6.4.12
S_NS6_Pm_056_v1v9_11	3.6.4.12
S_NS6_Pm_056_v1v9_12	3.6.4.12
S_NS6_Pm_056_v1v9_13	3.6.4.12
S_NS6_Pm_056_v1v9_14	3.6.4.12
S_NS6_Pm_056_v1v9_15	3.6.4.12
S_NS6_Pm_056_v1v9_16	3.6.4.12
S_NS6_Pm_056_v1v9_17	3.6.4.12
S_NS6_Pm_056_v1v9_18	3.6.4.12
S_NS6_Pm_056_v1v9_19	3.6.4.12
S_NS6_Pm_056_v1v9_20	3.2.1.23
S_NS6_Pm_056_v1v9_21	3.2.1.23
S_NS6_Pm_056_v1v9_22	3.2.1.23
S_NS6_Pm_056_v1v9_23	3.2.1.23
S_NS6_Pm_056_v1v9_24	3.2.1.23
S_NS6_Pm_056_v1v9_25	3.2.1.23
S_NS6_Pm_056_v1v9_26	3.2.1.23
S_NS6_Pm_056_v1v9_27	3.2.1.23
S_NS6_Pm_056_v1v9_28	3.2.1.23
S_NS6_Pm_056_v1v9_29	3.2.1.23
S_NS6_Pm_056_v1v9_30	3.2.1.23
S_NS6_Pm_056_v1v9_31	3.2.1.23
S_NS6_Pm_056_v1v9_32	3.2.1.52
S_NS6_Pm_056_v1v9_33	3.2.1.52
S_NS6_Pm_056_v1v9_34	3.2.1.52
S_NS6_Pm_056_v1v9_35	3.2.1.52
S_NS6_Pm_056_v1v9_36	3.2.1.52
S_NS6_Pm_056_v1v9_37	3.2.1.52
S_NS6_Pm_056_v1v9_38	3.2.1.52
S_NS6_Pm_056_v1v9_39	3.2.1.52
S_NS6_Pm_056_v1v9_40	3.2.1.52
S_NS6_Pm_056_v1v9_41	3.2.1.52
S_NS6_Pm_056_v1v9_42	2.7.7.7
S_NS6_Pm_056_v1v9_43	2.7.7.7
S_NS6_Pm_056_v1v9_44	2.7.7.7
S_NS6_Pm_056_v1v9_45	2.7.7.7
S_NS6_Pm_056_v1v9_46	2.7.7.7
S_NS6_Pm_056_v1v9_47	2.7.7.7
S_NS6_Pm_056_v1v9_48	2.7.7.7
S_NS6_Pm_056_v1v9_49	2.7.7.7
S_NS6_Pm_056_v1v9_50	2.7.7.7
S_NS6_Pm_056_v1v9_51	2.7.7.7
S_NS6_Pm_056_v1v9_52	2.7.7.7
S_NS6_Pm_056_v1v9_53	2.1.1.72
S_NS6_Pm_056_v1v9_54	2.1.1.72
S_NS6_Pm_056_v1v9_55	2.1.1.72
S_NS6_Pm_056_v1v9_56	2.1.1.72
S_NS6_Pm_056_v1v9_57	2.1.1.72
S_NS6_Pm_056_v1v9_58	2.1.1.72
S_NS6_Pm_056_v1v9_59	2.1.1.72
S_NS6_Pm_056_v1v9_60	3.6.3.12
S_NS6_Pm_056_v1v9_61	3.6.3.12
S_NS6_Pm_056_v1v9_62	3.6.3.12
S_NS6_Pm_056_v1v9_63	5.2.1.8
S_NS6_Pm_056_v1v9_64	5.2.1.8
S_NS6_Pm_056_v1v9_65	5.2.1.8
S_NS6_Pm_056_v1v9_66	5.2.1.8
S_NS6_Pm_056_v1v9_67	5.2.1.8
S_NS6_Pm_056_v1v9_68	5.2.1.8
S_NS6_Pm_056_v1v9_69	5.2.1.8
S_NS6_Pm_056_v1v9_70	5.2.1.8
S_NS6_Pm_056_v1v9_71	5.2.1.8
S_NS6_Pm_056_v1v9_72	2.7.13.3
S_NS6_Pm_056_v1v9_73	2.7.13.3
S_NS6_Pm_056_v1v9_74	2.7.13.3
S_NS6_Pm_056_v1v9_75	2.7.13.3
S_NS6_Pm_056_v1v9_76	2.7.13.3
S_NS6_Pm_056_v1v9_77	2.7.13.3
S_NS6_Pm_056_v1v9_78	3.5.1.28
S_NS6_Pm_056_v1v9_79	3.5.1.28
S_NS6_Pm_056_v1v9_80	3.5.1.28
S_NS6_Pm_056_v1v9_81	3.5.1.28
S_NS6_Pm_056_v1v9_82	3.5.1.28
S_NS6_Pm_056_v1v9_83	3.2.1.51
S_NS6_Pm_056_v1v9_84	3.2.1.51
S_NS6_Pm_056_v1v9_85	3.2.1.51
S_NS6_Pm_056_v1v9_86	3.2.1.51
S_NS6_Pm_056_v1v9_87	3.2.1.51
S_NS6_Pm_056_v1v9_88	3.2.1.51
S_NS6_Pm_056_v1v9_89	3.2.1.51
S_NS6_Pm_056_v1v9_90	3.1.3.18
S_NS6_Pm_056_v1v9_91	3.1.3.18
S_NS6_Pm_056_v1v9_92	3.6.1.1
S_NS6_Pm_056_v1v9_93	3.6.1.1
S_NS6_Pm_056_v1v9_94	4.1.3.27
