"features"	"coefs"	"category"
"1"	"EC.5.5.1.2"	-1.75486494763212	"left"
"2"	"EC.4.1.3.16"	-1.75486494763212	"left"
"3"	"EC.3.5.1.49"	-1.75486494763212	"left"
"4"	"EC.1.1.1.310"	-1.75486494763212	"left"
"5"	"EC.4.2.1.18"	-1.75486494763212	"left"
"6"	"EC.1.2.99.7"	-1.75486494763212	"left"
"7"	"EC.1.1.1.88"	3.2565375762186	"right"
"8"	"EC.1.1.3.21"	3.2565375762186	"right"
"9"	"EC.1.11.1.10"	3.2565375762186	"right"
"10"	"EC.2.3.1.168"	3.2565375762186	"right"
"11"	"EC.2.3.1.200"	3.2565375762186	"right"
"12"	"EC.2.3.3.10"	3.2565375762186	"right"
"13"	"EC.2.6.1.14"	3.2565375762186	"right"
"14"	"EC.2.7.1.36"	3.2565375762186	"right"
"15"	"EC.2.7.4.2"	3.2565375762186	"right"
"16"	"EC.3.4.11.7"	3.2565375762186	"right"
