"features"	"coefs"	"category"
"1"	"EC.2.7.1.63"	-7.24860741150554	"left"
"2"	"EC.2.6.1.51"	-6.81999833235953	"left"
"3"	"EC.2.6.1.45"	-6.81999833235953	"left"
"4"	"EC.2.6.1.44"	-6.81999833235953	"left"
"5"	"EC.1.4.1.2"	-6.59799591643316	"left"
"6"	"EC.1.8.7.1"	-5.79055356876412	"left"
"7"	"EC.3.2.1.139"	-5.77616872042977	"left"
"8"	"EC.3.1.31.1"	-5.10710333653325	"left"
"9"	"EC.6.5.1.1"	-5.06744040993399	"left"
"10"	"EC.1.1.1.67"	-5.03819310973971	"left"
"11"	"EC.4.2.1.22"	4.92143966675374	"right"
"12"	"EC.3.4.24.40"	5.10271560969798	"right"
"13"	"EC.4.4.1.1"	5.70889016228353	"right"
"14"	"EC.5.3.2.6"	5.75229503933174	"right"
"15"	"EC.2.6.1.33"	6.38796762391483	"right"
"16"	"EC.1.1.1.88"	6.62815798082419	"right"
"17"	"EC.2.7.7.82"	6.93281607471436	"right"
"18"	"EC.2.3.1.209"	9.32687848289322	"right"
"19"	"EC.1.1.1.287"	9.59950836191611	"right"
"20"	"EC.1.1.1.30"	11.6379298727145	"right"
