"","Plate1_1002R_0_M_NS6_week10_S69_L001","Plate1_1002R_L_M_NS6_week10_S70_L001","Plate1_1075R_0_M_NS6_week9_S72_L001","Plate1_184R_0_F_NS6_week10_S65_L001","Plate1_184R_L_F_NS6_week10_S66_L001","Plate1_2403R_L_F_NS6_week10_S67_L001","Plate1_2506R_0_F_NS6_week10_S68_L001","Plate1_3894R_0_M_NS6_week10_S71_L001","Plate2_016R_0_F_NS6_week9_S79_L001","Plate2_1075R_L_M_NS6_week9_S84_L001","Plate2_1184R_0_M_NS6_week9_S85_L001","Plate2_1186R_0_M_NS6_week9_S86_L001","Plate2_1186R_RR_M_NS6_week9_S87_L001","Plate2_184R_0_M_NS6_week9_S88_L001","Plate2_2403R_0_F_NS6_week9_S80_L001","Plate2_2476R_R_F_NS6_week9_S81_L001","Plate2_2562R_0_F_NS6_week9_S82_L001","Plate2_2562R_RL_F_NS6_week9_S83_L001","Plate3_016R_0_F_NS6_week5_S1_L001","Plate3_016R_R_F_NS6_Pellet_week9_S2_L001","Plate3_1075R_RL_M_NS6_Pellet_week9_S3_L001","Plate4_016R_R_F_NS6_week5_S1_L001","Plate4_1075R_0_M_NS6_week5_S2_L001","Plate4_1075R_RL_M_NS6_week5_S3_L001","Plate4_1184R_0_M_NS6_week5_S4_L001","Plate4_1186R_0_M_NS6_week5_S5_L001","Plate4_1186R_RR_M_NS6_week5_S6_L001","Plate4_184R_0_M_NS6_week5_S7_L001","Plate4_2403R_0_F_NS6_week5_S8_L001","Plate4_2476R_R_F_NS6_week5_S9_L001","Plate4_2562R_0_F_NS6_week5_S10_L001","Plate4_2562R_RL_F_NS6_week5_S11_L001"
"Phocaeicola_vulgatus",10700,5222,7724,4723,7536,7124,3943,9254,5872,7127,6858,11667,9964,11638,6124,4142,9386,9755,8548,5197,3683,4878,7436,6938,5390,4333,6776,4210,6941,6893,6997,5697
"Phocaeicola_dorei",0,0,0,0,0,0,0,0,0,26,21,15,19,18,17,22,8,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_xylanisolvens",22932,14221,17507,10022,13805,15812,9560,17665,10997,12812,14911,16831,17077,22186,12142,14667,17217,17311,14850,11470,8970,9554,4799,10433,7578,6208,6612,8314,13406,11123,7223,8145
"Bacteroides_uniformis",12379,9755,4486,10794,16230,13430,4929,9207,21778,17829,19279,16528,15037,17236,10681,15054,15384,16367,7059,11998,4171,9843,6931,8346,4726,8474,12151,3116,5673,5930,6615,6855
"Akkermansia_massiliensis",14348,12590,6271,16528,7171,11144,13705,7210,9728,6473,4886,6066,5988,6309,12969,7608,12051,11553,11833,8151,5632,6087,4236,6364,6051,5989,4768,8072,8170,3820,4962,3207
"Escherichia_coli",1313,591,563,451,603,409,3615,685,563,394,170,490,425,424,637,802,465,440,2961,314,316,1404,410,955,1905,1444,942,182,872,785,1684,378
"Eisenbergiella_tayi",3810,4102,0,155,100,3356,2617,207,4302,78,110,6777,7397,0,2464,4371,4705,144,1716,444,107,0,0,0,0,2511,1795,0,356,568,1088,0
"Hungatella_effluvii",3482,3174,2048,4016,2686,2738,2070,7046,4122,4519,5888,4196,6115,4594,2636,2251,442,2284,1921,2134,5048,1561,2287,2828,2247,424,1772,1473,3599,1424,1058,1653
"Bacteroides_stercoris",1772,13213,13591,8641,10511,14199,10876,1966,2299,14614,16124,6148,8674,2193,19177,20797,2852,939,1621,8530,20336,5734,639,3948,1503,4787,3558,4577,1190,1921,1711,2157
"Parabacteroides_merdae",5018,4707,3638,4263,6315,6023,3085,6326,7092,6527,8292,3330,5665,6174,4035,4893,4961,6147,2359,7657,7205,1784,1980,3488,1768,1461,2637,2533,2387,3284,2420,1071
"Parabacteroides_distasonis",3018,2550,4046,2288,2925,2911,1918,4117,3543,2986,4410,3661,4499,4926,3083,2095,1936,2992,656,702,979,2155,3016,3490,3306,1439,1587,1488,1580,2706,3110,4215
"Enterocloster_bolteae/clostridioformis",1271,501,1525,657,680,3257,896,656,3996,621,354,2142,1890,3979,2013,425,825,607,1067,1269,852,190,130,162,86,564,552,100,144,71,150,112
"Phocaeicola_NA",1456,681,1019,799,1044,958,496,1291,1000,952,983,1490,1315,1526,687,502,1116,1254,1160,845,606,609,1059,975,621,550,890,563,908,973,942,735
"Alistipes_finegoldii",585,574,324,679,609,760,433,617,936,371,712,591,786,787,478,1024,688,539,177,548,301,106,283,294,204,129,164,267,140,356,355,249
"Sarcina_perfringens",1346,1891,2229,2467,126,103,10669,116,354,224,548,871,574,373,12410,6161,5446,408,0,709,87,315,2448,1043,815,3065,2167,2920,26,143,3504,172
"Eisenbergiella_porci",1052,599,6796,2753,4596,691,1006,7121,2443,3453,4754,1495,1393,8035,1120,530,1633,2883,1379,2348,3847,2037,4469,3402,3541,776,1150,2758,1460,3950,4641,4690
"Sutterella_wadsworthensis",896,570,447,684,893,784,240,428,421,418,736,442,389,769,495,583,363,578,529,343,155,277,137,378,266,134,93,283,329,560,311,392
"Flavonifractor_plautii",420,270,610,147,539,561,289,382,175,438,578,68,78,51,569,350,471,451,186,481,559,275,170,246,121,228,483,212,138,79,153,220
"Enterococcus_faecalis",62,38,19,11,0,13,121,24,13,8,23,11,17,34,16,21,24,0,296,14,13,213,117,117,75,98,113,49,58,113,79,37
"Enterococcus_A_avium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterocloster_sp005845215",1115,1857,2092,764,1806,399,633,1992,1009,1449,1979,2017,1716,1415,392,928,1054,1044,1236,671,1404,869,1367,1386,1942,574,423,1143,933,1517,1735,1533
"Agathobacter_faecis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_onderdonkii",73,118,107,84,82,108,69,81,117,75,86,70,53,45,59,92,89,57,15,85,77,18,39,41,26,28,37,50,0,43,38,38
"Bifidobacterium_longum",116,97,62,71,61,58,100,64,19,32,21,31,29,37,29,37,37,51,83,42,44,74,176,139,189,23,13,118,32,32,135,85
"Eggerthella_lenta",66,46,39,0,41,41,43,60,0,31,34,0,48,0,32,25,23,0,0,0,32,0,0,17,0,18,21,21,0,8,21,0
"Collinsella_sp902362275/sp902472315",119,104,110,90,81,122,99,117,0,35,54,62,50,63,0,36,68,36,65,87,56,49,60,47,0,55,33,50,40,31,76,44
"Hungatella_hathewayi",0,0,0,0,3219,0,0,0,0,0,0,1386,49,3457,0,0,607,1173,0,0,0,0,85,250,202,368,0,0,0,160,46,493
"Bifidobacterium_adolescentis",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_NA",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_NA",0,0,0,0,0,0,0,0,0,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
