,Plate1_T1D_NS1_defined_mouse_inocula_S81_L001,Plate4_NS1_defined_inocula_S88_L001,Plate5_NS1_mouse_inoculum_S35_L001
Phocaeicola_vulgatus,6702,7718,10652
Escherichia_coli,13381,8131,13530
Eisenbergiella_tayi,3164,1735,2617
Bacteroides_stercoris,5869,4464,6424
Parabacteroides_merdae,3373,1413,1783
Enterocloster_bolteae/clostridioformis,2491,1192,1789
Parabacteroides_distasonis,4627,3118,4643
Eisenbergiella_porci,678,327,444
Sutterella_wadsworthensis,4822,4009,9863
Akkermansia_muciniphila,2366,4989,7088
Alistipes_finegoldii,4625,1869,3023
Agathobacter_faecis,1755,898,1118
Flavonifractor_plautii,1550,733,983
Hungatella_effluvii,4768,2765,4152
Eggerthella_lenta,1285,1070,1484
Bacteroides_uniformis,5108,3053,4243
Ruminococcus_B_gnavus,1695,765,1261
Bacteroides_xylanisolvens,31,0,0
Hungatella_hathewayi,258,107,124
Enterococcus_A_avium,1471,1318,2290
Enterococcus_B_durans,79,0,0
Bacillus_subtilis,785,516,635
Staphylococcus_epidermidis,420,0,0
Sarcina_perfringens,151,0,0
Streptococcus_sp001556435,611,426,1113
Enterocloster_citroniae,530,270,302
Limosilactobacillus_fermentum,71,70,106
Bifidobacterium_dentium,432,300,388
Faecalibacterium_longum,121,0,0
Hydrogeniiclostridium_mannosilyticum,62,0,0
Holdemania_filiformis,155,330,610
Alistipes_NA,91,34,47
Parabacteroides_NA,7,0,0
Staphylococcus_NA,3,0,0
Staphylococcus_capitis,0,0,119
