"","Plate1_T1D_S2_defined_mouse_inocula_S83_L001","Plate3_S2_defined_inocula_S88_L001","Plate5_S2_mouse_inoculum_S36_L001"
"ASVp1_1",1360,0,0
"ASVp1_2",2775,0,0
"ASVp1_3",1099,0,0
"ASVp1_4",7492,0,0
"ASVp1_9",10601,0,0
"ASVp1_10",2730,0,0
"ASVp1_11",2072,0,0
"ASVp1_14",2171,0,0
"ASVp1_15",3691,0,0
"ASVp1_16",2477,0,0
"ASVp1_18",1013,0,0
"ASVp1_19",1477,0,0
"ASVp1_20",1694,0,0
"ASVp1_21",1215,0,0
"ASVp1_22",871,0,0
"ASVp1_25",1317,0,0
"ASVp1_37",1263,0,0
"ASVp1_44",2071,0,0
"ASVp1_45",163,0,0
"ASVp1_46",1750,0,0
"ASVp1_48",2380,0,0
"ASVp1_49",2000,0,0
"ASVp1_52",3118,0,0
"ASVp1_53",1872,0,0
"ASVp1_55",1711,0,0
"ASVp1_58",1015,0,0
"ASVp1_59",873,0,0
"ASVp1_69",115,0,0
"ASVp1_70",485,0,0
"ASVp1_71",213,0,0
"ASVp1_75",66,0,0
"ASVp1_76",2991,0,0
"ASVp1_83",24,0,0
"ASVp1_86",640,0,0
"ASVp1_87",96,0,0
"ASVp1_88",65,0,0
"ASVp1_89",2019,0,0
"ASVp1_93",350,0,0
"ASVp1_104",115,0,0
"ASVp1_106",544,0,0
"ASVp1_118",42,0,0
"ASVp1_121",439,0,0
"ASVp1_126",395,0,0
"ASVp1_128",189,0,0
"ASVp1_133",308,0,0
"ASVp1_135",298,0,0
"ASVp1_153",108,0,0
"ASVp1_155",99,0,0
"ASVp1_158",84,0,0
"ASVp1_159",71,0,0
"ASVp1_161",70,0,0
"ASVp1_162",50,0,0
"ASVp3_1",0,3137,0
"ASVp3_2",0,7216,0
"ASVp3_3",0,3271,0
"ASVp3_4",0,2862,0
"ASVp3_5",0,2611,0
"ASVp3_6",0,2251,0
"ASVp3_7",0,5919,0
"ASVp3_8",0,1371,0
"ASVp3_9",0,1515,0
"ASVp3_10",0,1303,0
"ASVp3_11",0,3145,0
"ASVp3_12",0,5924,0
"ASVp3_13",0,851,0
"ASVp3_15",0,4137,0
"ASVp3_16",0,3956,0
"ASVp3_17",0,1162,0
"ASVp3_18",0,790,0
"ASVp3_19",0,226,0
"ASVp3_20",0,543,0
"ASVp3_22",0,1980,0
"ASVp3_24",0,833,0
"ASVp3_27",0,1955,0
"ASVp3_29",0,252,0
"ASVp3_30",0,211,0
"ASVp3_32",0,313,0
"ASVp3_34",0,1773,0
"ASVp3_35",0,81,0
"ASVp3_38",0,2531,0
"ASVp3_41",0,102,0
"ASVp3_45",0,4242,0
"ASVp3_51",0,3,0
"ASVp3_52",0,401,0
"ASVp3_67",0,34,0
"ASVp3_75",0,2072,0
"ASVp3_82",0,137,0
"ASVp3_83",0,296,0
"ASVp3_85",0,1235,0
"ASVp3_96",0,698,0
"ASVp3_103",0,413,0
"ASVp3_123",0,171,0
"ASVp3_136",0,220,0
"ASVp3_143",0,11,0
"ASVp3_153",0,99,0
"ASVp5_1",0,0,3756
"ASVp5_2",0,0,9776
"ASVp5_4",0,0,3959
"ASVp5_5",0,0,5382
"ASVp5_6",0,0,5801
"ASVp5_8",0,0,7957
"ASVp5_9",0,0,3378
"ASVp5_10",0,0,7461
"ASVp5_12",0,0,2479
"ASVp5_13",0,0,1999
"ASVp5_15",0,0,1647
"ASVp5_16",0,0,1615
"ASVp5_18",0,0,8948
"ASVp5_19",0,0,1092
"ASVp5_21",0,0,1072
"ASVp5_22",0,0,6891
"ASVp5_23",0,0,1050
"ASVp5_24",0,0,2029
"ASVp5_26",0,0,3520
"ASVp5_28",0,0,644
"ASVp5_33",0,0,1485
"ASVp5_35",0,0,257
"ASVp5_36",0,0,344
"ASVp5_43",0,0,9827
"ASVp5_44",0,0,3819
"ASVp5_46",0,0,465
"ASVp5_49",0,0,2801
"ASVp5_50",0,0,3469
"ASVp5_55",0,0,35
"ASVp5_58",0,0,753
"ASVp5_59",0,0,2285
"ASVp5_61",0,0,788
"ASVp5_63",0,0,4
"ASVp5_65",0,0,1204
"ASVp5_68",0,0,42
"ASVp5_69",0,0,697
"ASVp5_72",0,0,140
"ASVp5_73",0,0,310
"ASVp5_76",0,0,257
"ASVp5_78",0,0,212
"ASVp5_96",0,0,4
"ASVp5_97",0,0,3
