"kingdom_final"	"phylum_final"	"class_final"	"order_final"	"family_final"	"genus_final"	"species_final"
"ASVp1_2"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Phocaeicola"	"vulgatus"
"ASVp1_3"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Phocaeicola"	"vulgatus"
"ASVp1_5"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"uniformis"
"ASVp1_6"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"xylanisolvens"
"ASVp1_8"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansia"	"massiliensis"
"ASVp1_9"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia"	"coli"
"ASVp1_10"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Eisenbergiella"	"tayi"
"ASVp1_11"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Hungatella"	"effluvii"
"ASVp1_12"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"stercoris"
"ASVp1_13"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"merdae"
"ASVp1_14"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"distasonis"
"ASVp1_15"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Enterocloster"	"bolteae/clostridioformis"
"ASVp1_16"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"thetaiotaomicron"
"ASVp1_18"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Alistipes"	"finegoldii"
"ASVp1_20"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"distasonis"
"ASVp1_21"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Sarcina"	"perfringens"
"ASVp1_22"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Eisenbergiella"	"porci"
"ASVp1_23"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Sutterella"	"wadsworthensis"
"ASVp1_24"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Flavonifractor"	"plautii"
"ASVp1_26"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansia"	"muciniphila"
"ASVp1_27"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Alistipes"	"finegoldii"
"ASVp1_28"	"Bacteria"	"Bacillota"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"subtilis"
"ASVp1_33"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Enterocloster"	"sp005845215"
"ASVp1_38"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Salmonella"	"diarizonae/houtenae/enterica"
"ASVp1_42"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Hungatella"	"effluvii"
"ASVp1_46"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Hungatella"	"effluvii"
"ASVp1_47"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Faecalibacterium"	"longum"
"ASVp1_55"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia"	"coli"
"ASVp1_66"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"CHH4-2"	"sp018378255"
"ASVp1_67"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"xylanisolvens"
"ASVp1_68"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Phocaeicola"	"vulgatus"
"ASVp1_75"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Hungatella"	"hathewayi"
"ASVp1_80"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Eisenbergiella"	"tayi"
"ASVp1_81"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Hungatella"	"effluvii"
"ASVp1_82"	"Bacteria"	"Bacillota"	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"Staphylococcus"	"capitis"
"ASVp1_88"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Enterocloster"	"alcoholdehydrogenati"
"ASVp1_90"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia"	"coli"
"ASVp1_93"	"Bacteria"	"Bacillota"	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"Staphylococcus"	"epidermidis"
"ASVp1_94"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Sutterella"	"wadsworthensis"
"ASVp1_101"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Phocaeicola"	"dorei"
"ASVp1_102"	"Bacteria"	"Actinomycetota"	"Actinomycetes"	"Actinomycetales"	"Bifidobacteriaceae"	"Bifidobacterium"	"pseudocatenulatum"
"ASVp1_104"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Agathobacter"	"faecis"
"ASVp1_105"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"uniformis"
"ASVp1_107"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Sarcina"	"perfringens"
"ASVp1_110"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Enterocloster"	"citroniae"
"ASVp1_113"	"Bacteria"	"Bacillota"	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"Staphylococcus"	"hominis"
"ASVp1_114"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"distasonis"
"ASVp1_120"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Limosilactobacillus"	"fermentum"
"ASVp1_138"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Faecalibacterium"	"longum"
"ASVp1_140"	"Bacteria"	"Bacillota"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"subtilis"
"ASVp1_142"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Oscillospirales"	"Acutalibacteraceae"	"Hydrogeniiclostridium"	"mannosilyticum"
"ASVp1_144"	"Bacteria"	"Bacillota"	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"Staphylococcus"	"capitis"
"ASVp1_149"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	"faecalis"
"ASVp3_3"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Hungatella"	"effluvii"
