Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
016R_0_F_NS6_week5_S1_L001_R1_001	(1.0, 3.916619522172418)	(2.0, 1.5405370120544846)	(3.0, 0.8538230558335871)	(4.0, 0.5674746507680927)	(5.0, 0.4830497410679316)	(6.0, 0.2976630836851038)	(7.0, 0.22542321249836805)	(8.0, 0.35510683667696596)	(9.0, 0.21933069324165544)	('>10', 5.221289003002742)	('>50', 3.459680577918969)	('>100', 21.676313155489797)	('>500', 8.145698246224814)	('>1k', 53.037991209365074)	('>5k', 0.0)	('>10k+', 0.0)
016R_0_F_NS6_week5_S1_L001_R2_001	(1.0, 10.376430654075461)	(2.0, 2.2403063666826233)	(3.0, 1.208929892510553)	(4.0, 0.8564341355150354)	(5.0, 0.6919361155837939)	(6.0, 0.5483267331041385)	(7.0, 0.5726968101309892)	(8.0, 0.4943644196875408)	(9.0, 0.49349405979372474)	('>10', 12.412202445711301)	('>50', 4.14117237477697)	('>100', 20.11575786587754)	('>500', 19.95996344488446)	('>1k', 25.88798468166587)	('>5k', 0.0)	('>10k+', 0.0)
016R_R_F_NS6_Pellet_week9_S2_L001_R1_001	(1.0, 3.633928945055865)	(2.0, 1.3993388291417332)	(3.0, 0.7607649495752605)	(4.0, 0.5289366866133824)	(5.0, 0.43520107126417545)	(6.0, 0.3816378624932)	(7.0, 0.26363141816964475)	(8.0, 0.3146838515294807)	(9.0, 0.20337280830229737)	('>10', 4.797254885550487)	('>50', 4.72025777294221)	('>100', 16.131732016571117)	('>500', 19.254299702891576)	('>1k', 47.17495919989957)	('>5k', 0.0)	('>10k+', 0.0)
016R_R_F_NS6_Pellet_week9_S2_L001_R2_001	(1.0, 9.928442900782525)	(2.0, 2.1408545005649247)	(3.0, 1.1248273841904843)	(4.0, 0.756580323890028)	(5.0, 0.6486169812110307)	(6.0, 0.6678662593631)	(7.0, 0.5155458844206386)	(8.0, 0.5490228899024981)	(9.0, 0.6402477298405658)	('>10', 11.850859940578315)	('>50', 3.927689668159183)	('>100', 23.24643260660334)	('>500', 13.248524919445956)	('>1k', 30.75448801104741)	('>5k', 0.0)	('>10k+', 0.0)
073R_R_M_S2_Pellet_week9_S61_L001_R1_001	(1.0, 3.4970017556259836)	(2.0, 1.4763218495633734)	(3.0, 0.8002918443192959)	(4.0, 0.4879272213228755)	(5.0, 0.4332064114548896)	(6.0, 0.32490480859116716)	(7.0, 0.26334389748968284)	(8.0, 0.19152283453795116)	(9.0, 0.3283248592079163)	('>10', 3.9649786816844887)	('>50', 3.349369570669646)	('>100', 13.235595886819123)	('>500', 14.166989671447135)	('>1k', 57.48022070726647)	('>5k', 0.0)	('>10k+', 0.0)
073R_R_M_S2_Pellet_week9_S61_L001_R2_001	(1.0, 9.635422604254543)	(2.0, 2.134111584851456)	(3.0, 1.0909961467429719)	(4.0, 0.7752114731298023)	(5.0, 0.6184591531954673)	(6.0, 0.3898857703094006)	(7.0, 0.32319478328279255)	(8.0, 0.30096445427392327)	(9.0, 0.27189402403155566)	('>10', 9.786474839827628)	('>50', 7.728744385416904)	('>100', 6.7517499258989035)	('>500', 13.911055883627077)	('>1k', 46.28183497115757)	('>5k', 0.0)	('>10k+', 0.0)
073R_R_M_S2_diabetes_S7_L001_R1_001	(1.0, 4.018623083924703)	(2.0, 1.6206593796064346)	(3.0, 0.7225305484627095)	(4.0, 0.5541817361676077)	(5.0, 0.4631606079889164)	(6.0, 0.21748411157740422)	(7.0, 0.30447775620836587)	(8.0, 0.21265113132012853)	(9.0, 0.15223887810418293)	('>10', 4.695240319943293)	('>50', 4.9014474775870545)	('>100', 15.540448017269851)	('>500', 19.662980176725977)	('>1k', 46.933876775113376)	('>5k', 0.0)	('>10k+', 0.0)
073R_R_M_S2_diabetes_S7_L001_R2_001	(1.0, 9.61601971855945)	(2.0, 2.0443506488275998)	(3.0, 1.0801710875011075)	(4.0, 0.7120590912386123)	(5.0, 0.5960675650639967)	(6.0, 0.4059703416111545)	(7.0, 0.467993588246192)	(8.0, 0.33508663117111165)	(9.0, 0.4059703416111545)	('>10', 11.179488831788122)	('>50', 5.677946305589342)	('>100', 14.29353911089273)	('>500', 16.092213263308818)	('>1k', 32.80304799954892)	('>5k', 4.290075475041685)	('>10k+', 0.0)
073R_R_M_S2_week5_S33_L001_R1_001	(1.0, 3.3936881170177298)	(2.0, 1.4221307316507443)	(3.0, 0.8067438859975936)	(4.0, 0.6407561502442702)	(5.0, 0.42040561893854833)	(6.0, 0.3609689624679259)	(7.0, 0.2536930459111929)	(8.0, 0.28993490961279195)	(9.0, 0.22180020585378582)	('>10', 4.321479827778664)	('>50', 3.196532378481031)	('>100', 20.41359214856265)	('>500', 12.188863600121772)	('>1k', 40.472738870123656)	('>5k', 11.596671547237646)	('>10k+', 0.0)
073R_R_M_S2_week5_S33_L001_R2_001	(1.0, 9.275017758513213)	(2.0, 2.084632000115974)	(3.0, 1.224250155840014)	(4.0, 0.7973210014351778)	(5.0, 0.5689972601151042)	(6.0, 0.5044867427262579)	(7.0, 0.40083501253968484)	(8.0, 0.37111668430437367)	(9.0, 0.42402980530870815)	('>10', 11.209608442904567)	('>50', 5.307258520462156)	('>100', 12.742639277482205)	('>500', 12.84701584494281)	('>1k', 42.24279149330975)	('>5k', 0.0)	('>10k+', 0.0)
