Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
016R_0_F_NS6_week5_S1_L001_R1_001	3.4179033030157973	78.43422255102486
016R_0_F_NS6_week5_S1_L001_R2_001	2.8887244875756126	61.77292310370338
016R_R_F_NS6_Pellet_week9_S2_L001_R1_001	3.8774741599363933	77.75201908189312
016R_R_F_NS6_Pellet_week9_S2_L001_R2_001	3.8925388124032305	62.597815625392315
073R_R_M_S2_Pellet_week9_S61_L001_R1_001	2.5428076335529766	78.56483275952483
073R_R_M_S2_Pellet_week9_S61_L001_R2_001	2.5479377094781004	61.71139332862126
073R_R_M_S2_diabetes_S7_L001_R1_001	2.1144288625580967	78.02685526029626
073R_R_M_S2_diabetes_S7_L001_R2_001	4.290075475041685	62.994675666749906
073R_R_M_S2_week5_S33_L001_R1_001	3.9982024035604002	78.13963265246952
073R_R_M_S2_week5_S33_L001_R2_001	3.1465186065728243	61.760484771168876
073R_S2_week21_S27_L001_R1_001	3.9979451436663913	77.01198897597347
073R_S2_week21_S27_L001_R2_001	2.543578921061583	61.27845385945061
096R_0_M_S5_week5_S4_L001_R1_001	2.6716718724627713	79.03258159727197
096R_0_M_S5_week5_S4_L001_R2_001	2.6974620549999524	62.50585055066815
1067R_0_M_S2_week5_S34_L001_R1_001	2.7956306205315995	79.94980444909449
1067R_0_M_S2_week5_S34_L001_R2_001	2.6405599980071246	64.04852651769923
1067R_0_M_S2_week9_S62_L001_R1_001	1.8355011614436714	78.03701013787267
1067R_0_M_S2_week9_S62_L001_R2_001	2.627803821059645	60.551730761150765
1067R_L_M_S2_week5_S35_L001_R1_001	2.387879069983941	80.47416234164204
1067R_L_M_S2_week5_S35_L001_R2_001	3.131860885485761	65.17094514394768
1067R_L_M_S2_week9_S63_L001_R1_001	3.2128814362003753	77.40638962107191
1067R_L_M_S2_week9_S63_L001_R2_001	2.0544744172134672	61.785654197745494
1067R_R_M_S2_diabetes_S8_L001_R1_001	2.266984626312852	78.08919782840327
1067R_R_M_S2_diabetes_S8_L001_R2_001	4.029631132984931	62.564310720990406
1067R_S2_week27_S30_L001_R1_001	2.640283135625728	77.36362517822636
1067R_S2_week27_S30_L001_R2_001	2.5346139092547424	61.109382124530455
1075R_RL_M_NS6_Pellet_week9_S3_L001_R1_001	4.60046795832141	77.66424832090493
1075R_RL_M_NS6_Pellet_week9_S3_L001_R2_001	4.071910717592203	63.29304627400812
1152R_0_M_S2_week5_S36_L001_R1_001	2.5379816424592545	79.54002879376013
1152R_0_M_S2_week5_S36_L001_R2_001	2.9425521962835393	62.860301666271816
1152R_L_M_S2_diabetes_S9_L001_R1_001	2.151049827640238	79.44406142275149
1152R_L_M_S2_diabetes_S9_L001_R2_001	3.0554685051707926	61.64650579755562
1152R_L_M_S2_week5_S37_L001_R1_001	3.100686910342017	78.87600848747857
1152R_L_M_S2_week5_S37_L001_R2_001	3.4938921322991714	63.104642938489754
1152R_L_M_S2_week9_S64_L001_R1_001	3.2431819848407075	78.0016932543148
1152R_L_M_S2_week9_S64_L001_R2_001	2.231229209303566	62.1530995220223
1152R_R_M_S2_week5_S38_L001_R1_001	3.4169122801091114	78.41247857040308
1152R_R_M_S2_week5_S38_L001_R2_001	2.5251032420974404	62.606514597461384
1152R_R_M_S2_week9_S65_L001_R1_001	3.4705574029678896	78.20139372223511
1152R_R_M_S2_week9_S65_L001_R2_001	3.4052535251205116	63.507161945024436
1152R_S2_week28_S31_L001_R1_001	3.4068513698031224	78.5143033947441
1152R_S2_week28_S31_L001_R2_001	2.301054005152316	61.663673480369404
1174R_0_M_S2_diabetes_S10_L001_R1_001	3.5278163881072655	78.5130691256738
1174R_0_M_S2_diabetes_S10_L001_R2_001	2.525002542631454	62.9786079940333
1174R_0_M_S2_week5_S39_L001_R1_001	2.6568334001913168	79.29382540809084
1174R_0_M_S2_week5_S39_L001_R2_001	3.0726386274570308	63.07742154472799
1174R_S2_week14_S21_L001_R1_001	2.414901454547825	78.7750764436273
1174R_S2_week14_S21_L001_R2_001	1.9787326983133502	63.769958469432325
2402R_R_F_S5_Pellet_week9_S5_L001_R1_001	3.173760164090543	79.1892535345396
2402R_R_F_S5_Pellet_week9_S5_L001_R2_001	2.8789099699655702	62.25734378433814
2404R_0_F_S2_week5_S40_L001_R1_001	3.261047798639009	77.15695116285426
2404R_0_F_S2_week5_S40_L001_R2_001	2.8258314886174194	62.69232871471127
2404R_0_F_S2_week9_S66_L001_R1_001	3.3510617945284102	78.64779031949493
2404R_0_F_S2_week9_S66_L001_R2_001	3.4321790702123587	62.691409986607994
2404R_L_F_S2_diabetes_S11_L001_R1_001	1.7357462810374387	79.00514295194382
2404R_L_F_S2_diabetes_S11_L001_R2_001	2.606038820992092	62.66175413371675
2404R_L_F_S2_week5_S41_L001_R1_001	2.3643268406223203	78.64820080336821
2404R_L_F_S2_week5_S41_L001_R2_001	2.7415101517115095	61.4815244653346
2404R_L_F_S2_week9_S67_L001_R1_001	3.969838263150226	79.30715430569722
2404R_L_F_S2_week9_S67_L001_R2_001	3.7585603963281367	61.74049249599301
2404R_S2_week14_S22_L001_R1_001	3.106216996088003	78.17892539832799
2404R_S2_week14_S22_L001_R2_001	2.380273497644818	61.97322049749655
2446R_0_F_S2_week5_S42_L001_R1_001	2.645813734713076	78.7297327209341
2446R_0_F_S2_week5_S42_L001_R2_001	2.885147473853135	61.17190526257539
2446R_L_F_S2_diabetes_S12_L001_R1_001	2.148048385395009	79.23511851194428
2446R_L_F_S2_diabetes_S12_L001_R2_001	1.8259342241641479	63.769294265871416
2446R_RL_F_S2_Pellet_week9_S69_L001_R1_001	2.3833185989086365	79.2128768710179
2446R_RL_F_S2_Pellet_week9_S69_L001_R2_001	3.5417492302533304	62.124805658019085
