Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
016R_0_F_NS6_week5_S1_L001_R1_001	016R_0_F_NS6_week5_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114895.0	0.0	301.0	50.0	5.783541494407938	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
016R_0_F_NS6_week5_S1_L001_R2_001	016R_0_F_NS6_week5_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	114895.0	0.0	301.0	52.0	13.334783933156361	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
016R_R_F_NS6_Pellet_week9_S2_L001_R1_001	016R_R_F_NS6_Pellet_week9_S2_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	119485.0	0.0	301.0	49.0	5.360505502782776	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
016R_R_F_NS6_Pellet_week9_S2_L001_R2_001	016R_R_F_NS6_Pellet_week9_S2_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	119485.0	0.0	301.0	51.0	12.774825291877642	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
073R_R_M_S2_Pellet_week9_S61_L001_R1_001	073R_R_M_S2_Pellet_week9_S61_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	175436.0	0.0	301.0	50.0	5.208737089308921	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
073R_R_M_S2_Pellet_week9_S61_L001_R2_001	073R_R_M_S2_Pellet_week9_S61_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	175436.0	0.0	301.0	52.0	12.152009849745776	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
073R_R_M_S2_diabetes_S7_L001_R1_001	073R_R_M_S2_diabetes_S7_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	124147.0	0.0	301.0	50.0	5.83904564749853	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
073R_R_M_S2_diabetes_S7_L001_R2_001	073R_R_M_S2_diabetes_S7_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	124147.0	0.0	301.0	52.0	12.184748725301457	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
073R_R_M_S2_week5_S33_L001_R1_001	073R_R_M_S2_week5_S33_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	137962.0	0.0	301.0	51.0	5.159391716559632	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
073R_R_M_S2_week5_S33_L001_R2_001	073R_R_M_S2_week5_S33_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	137962.0	0.0	301.0	53.0	11.9061770632493	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
073R_S2_week21_S27_L001_R1_001	073R_S2_week21_S27_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	144049.0	0.0	301.0	51.0	5.284312976834272	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
073R_S2_week21_S27_L001_R2_001	073R_S2_week21_S27_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	144049.0	0.0	301.0	53.0	12.24097355760887	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
096R_0_M_S5_week5_S4_L001_R1_001	096R_0_M_S5_week5_S4_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	104691.0	0.0	301.0	51.0	5.795149535299118	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
096R_0_M_S5_week5_S4_L001_R2_001	096R_0_M_S5_week5_S4_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	104691.0	0.0	301.0	53.0	12.720291142505086	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1067R_0_M_S2_week5_S34_L001_R1_001	1067R_0_M_S2_week5_S34_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	160572.0	0.0	301.0	51.0	4.941085618912388	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1067R_0_M_S2_week5_S34_L001_R2_001	1067R_0_M_S2_week5_S34_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	160572.0	0.0	301.0	53.0	11.340706972573052	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1067R_0_M_S2_week9_S62_L001_R1_001	1067R_0_M_S2_week9_S62_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	166603.0	0.0	301.0	50.0	5.323433551616718	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1067R_0_M_S2_week9_S62_L001_R2_001	1067R_0_M_S2_week9_S62_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	166603.0	0.0	301.0	52.0	12.40013685227757	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1067R_L_M_S2_week5_S35_L001_R1_001	1067R_L_M_S2_week5_S35_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	128901.0	0.0	301.0	50.0	5.468537870148409	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1067R_L_M_S2_week5_S35_L001_R2_001	1067R_L_M_S2_week5_S35_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	128901.0	0.0	301.0	52.0	11.6244249462766	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1067R_L_M_S2_week9_S63_L001_R1_001	1067R_L_M_S2_week9_S63_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	160479.0	0.0	301.0	51.0	5.3901133481639345	301.0	301	pass	pass	fail	pass	fail	fail	warn	pass	fail	fail	pass
1067R_L_M_S2_week9_S63_L001_R2_001	1067R_L_M_S2_week9_S63_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	160479.0	0.0	301.0	53.0	12.354887555381078	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1067R_R_M_S2_diabetes_S8_L001_R1_001	1067R_R_M_S2_diabetes_S8_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98545.0	0.0	301.0	50.0	6.35242782485159	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1067R_R_M_S2_diabetes_S8_L001_R2_001	1067R_R_M_S2_diabetes_S8_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98545.0	0.0	301.0	51.0	12.59729057790857	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1067R_S2_week27_S30_L001_R1_001	1067R_S2_week27_S30_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	138167.0	0.0	301.0	50.0	5.622905614220473	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1067R_S2_week27_S30_L001_R2_001	1067R_S2_week27_S30_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	138167.0	0.0	301.0	52.0	12.639052740524148	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1075R_RL_M_NS6_Pellet_week9_S3_L001_R1_001	1075R_RL_M_NS6_Pellet_week9_S3_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	118814.0	0.0	301.0	49.0	5.495143669937886	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1075R_RL_M_NS6_Pellet_week9_S3_L001_R2_001	1075R_RL_M_NS6_Pellet_week9_S3_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	118814.0	0.0	301.0	51.0	12.143350110256366	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1152R_0_M_S2_week5_S36_L001_R1_001	1152R_0_M_S2_week5_S36_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	164619.0	0.0	301.0	51.0	5.148251416908133	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1152R_0_M_S2_week5_S36_L001_R2_001	1152R_0_M_S2_week5_S36_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	164619.0	0.0	301.0	53.0	11.12447530357978	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1152R_L_M_S2_diabetes_S9_L001_R1_001	1152R_L_M_S2_diabetes_S9_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	159550.0	0.0	301.0	50.0	5.215293011595111	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1152R_L_M_S2_diabetes_S9_L001_R2_001	1152R_L_M_S2_diabetes_S9_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	159550.0	0.0	301.0	51.0	12.170479473519274	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1152R_L_M_S2_week5_S37_L001_R1_001	1152R_L_M_S2_week5_S37_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	166834.0	0.0	301.0	50.0	5.151827565124615	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1152R_L_M_S2_week5_S37_L001_R2_001	1152R_L_M_S2_week5_S37_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	166834.0	0.0	301.0	52.0	11.184171092223409	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1152R_L_M_S2_week9_S64_L001_R1_001	1152R_L_M_S2_week9_S64_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	150007.0	0.0	301.0	51.0	5.330417913830688	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1152R_L_M_S2_week9_S64_L001_R2_001	1152R_L_M_S2_week9_S64_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	150007.0	0.0	301.0	53.0	12.473417907164333	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1152R_R_M_S2_week5_S38_L001_R1_001	1152R_R_M_S2_week5_S38_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	118411.0	0.0	301.0	51.0	5.784091005058651	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1152R_R_M_S2_week5_S38_L001_R2_001	1152R_R_M_S2_week5_S38_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	118411.0	0.0	301.0	53.0	12.351048466780957	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1152R_R_M_S2_week9_S65_L001_R1_001	1152R_R_M_S2_week9_S65_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116379.0	0.0	301.0	50.0	5.523333247407178	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1152R_R_M_S2_week9_S65_L001_R2_001	1152R_R_M_S2_week9_S65_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116379.0	0.0	301.0	53.0	12.044269155088118	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1152R_S2_week28_S31_L001_R1_001	1152R_S2_week28_S31_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	148671.0	0.0	301.0	51.0	5.344687262478896	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1152R_S2_week28_S31_L001_R2_001	1152R_S2_week28_S31_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	148671.0	0.0	301.0	53.0	12.598960119996502	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1174R_0_M_S2_diabetes_S10_L001_R1_001	1174R_0_M_S2_diabetes_S10_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	147485.0	0.0	301.0	51.0	5.272400583110147	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1174R_0_M_S2_diabetes_S10_L001_R2_001	1174R_0_M_S2_diabetes_S10_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	147485.0	0.0	301.0	53.0	12.669763026748482	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1174R_0_M_S2_week5_S39_L001_R1_001	1174R_0_M_S2_week5_S39_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129628.0	0.0	301.0	50.0	5.692442990711883	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
1174R_0_M_S2_week5_S39_L001_R2_001	1174R_0_M_S2_week5_S39_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129628.0	0.0	301.0	52.0	11.885549418335545	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
1174R_S2_week14_S21_L001_R1_001	1174R_S2_week14_S21_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	153381.0	0.0	301.0	51.0	5.161004296490439	301.0	301	pass	pass	fail	pass	fail	fail	warn	pass	fail	fail	pass
1174R_S2_week14_S21_L001_R2_001	1174R_S2_week14_S21_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	153381.0	0.0	301.0	52.0	11.187174421864507	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
2402R_R_F_S5_Pellet_week9_S5_L001_R1_001	2402R_R_F_S5_Pellet_week9_S5_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	109208.0	0.0	301.0	51.0	5.907076404659	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
2402R_R_F_S5_Pellet_week9_S5_L001_R2_001	2402R_R_F_S5_Pellet_week9_S5_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	109208.0	0.0	301.0	53.0	13.1327375283862	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
2404R_0_F_S2_week5_S40_L001_R1_001	2404R_0_F_S2_week5_S40_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	146364.0	0.0	301.0	51.0	5.287502391298407	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
2404R_0_F_S2_week5_S40_L001_R2_001	2404R_0_F_S2_week5_S40_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	146364.0	0.0	301.0	53.0	11.584132710229293	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
2404R_0_F_S2_week9_S66_L001_R1_001	2404R_0_F_S2_week9_S66_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130675.0	0.0	301.0	51.0	5.351444423187297	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
2404R_0_F_S2_week9_S66_L001_R2_001	2404R_0_F_S2_week9_S66_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130675.0	0.0	301.0	53.0	11.981633824373446	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
2404R_L_F_S2_diabetes_S11_L001_R1_001	2404R_L_F_S2_diabetes_S11_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	144664.0	0.0	301.0	50.0	5.646187026488968	301.0	301	pass	pass	fail	pass	fail	fail	warn	pass	fail	fail	pass
2404R_L_F_S2_diabetes_S11_L001_R2_001	2404R_L_F_S2_diabetes_S11_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	144664.0	0.0	301.0	52.0	12.443316927500968	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
2404R_L_F_S2_week5_S41_L001_R1_001	2404R_L_F_S2_week5_S41_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	155097.0	0.0	301.0	50.0	5.653236361760705	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
2404R_L_F_S2_week5_S41_L001_R2_001	2404R_L_F_S2_week5_S41_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	155097.0	0.0	301.0	52.0	13.006699033508063	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
2404R_L_F_S2_week9_S67_L001_R1_001	2404R_L_F_S2_week9_S67_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	137260.0	0.0	301.0	51.0	5.316188255864782	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
2404R_L_F_S2_week9_S67_L001_R2_001	2404R_L_F_S2_week9_S67_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	137260.0	0.0	301.0	53.0	11.94667055223663	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
2404R_S2_week14_S22_L001_R1_001	2404R_S2_week14_S22_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	175358.0	0.0	301.0	50.0	5.143192782764402	301.0	301	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass
2404R_S2_week14_S22_L001_R2_001	2404R_S2_week14_S22_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	175358.0	0.0	301.0	52.0	10.770537985150378	301.0	301	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass
