Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
016R_0_F_NS6_week5_S1_L001_R1_001	94.21645850559206	50.0	301.0	301	45.45454545454545	0.114895
016R_0_F_NS6_week5_S1_L001_R2_001	86.66521606684364	52.0	301.0	301	54.54545454545454	0.114895
016R_R_F_NS6_Pellet_week9_S2_L001_R1_001	94.63949449721723	49.0	301.0	301	45.45454545454545	0.119485
016R_R_F_NS6_Pellet_week9_S2_L001_R2_001	87.22517470812235	51.0	301.0	301	54.54545454545454	0.119485
073R_R_M_S2_Pellet_week9_S61_L001_R1_001	94.79126291069107	50.0	301.0	301	45.45454545454545	0.17543599999999998
073R_R_M_S2_Pellet_week9_S61_L001_R2_001	87.84799015025422	52.0	301.0	301	54.54545454545454	0.17543599999999998
073R_R_M_S2_diabetes_S7_L001_R1_001	94.16095435250148	50.0	301.0	301	45.45454545454545	0.124147
073R_R_M_S2_diabetes_S7_L001_R2_001	87.81525127469854	52.0	301.0	301	54.54545454545454	0.124147
073R_R_M_S2_week5_S33_L001_R1_001	94.84060828344036	51.0	301.0	301	45.45454545454545	0.137962
073R_R_M_S2_week5_S33_L001_R2_001	88.0938229367507	53.0	301.0	301	54.54545454545454	0.137962
073R_S2_week21_S27_L001_R1_001	94.71568702316573	51.0	301.0	301	45.45454545454545	0.14404899999999998
073R_S2_week21_S27_L001_R2_001	87.75902644239113	53.0	301.0	301	54.54545454545454	0.14404899999999998
096R_0_M_S5_week5_S4_L001_R1_001	94.20485046470088	51.0	301.0	301	45.45454545454545	0.10469099999999999
096R_0_M_S5_week5_S4_L001_R2_001	87.27970885749491	53.0	301.0	301	54.54545454545454	0.10469099999999999
1067R_0_M_S2_week5_S34_L001_R1_001	95.05891438108762	51.0	301.0	301	45.45454545454545	0.160572
1067R_0_M_S2_week5_S34_L001_R2_001	88.65929302742694	53.0	301.0	301	54.54545454545454	0.160572
1067R_0_M_S2_week9_S62_L001_R1_001	94.67656644838328	50.0	301.0	301	45.45454545454545	0.166603
1067R_0_M_S2_week9_S62_L001_R2_001	87.59986314772243	52.0	301.0	301	54.54545454545454	0.166603
1067R_L_M_S2_week5_S35_L001_R1_001	94.53146212985159	50.0	301.0	301	45.45454545454545	0.128901
1067R_L_M_S2_week5_S35_L001_R2_001	88.3755750537234	52.0	301.0	301	54.54545454545454	0.128901
1067R_L_M_S2_week9_S63_L001_R1_001	94.60988665183606	51.0	301.0	301	45.45454545454545	0.16047899999999998
1067R_L_M_S2_week9_S63_L001_R2_001	87.64511244461892	53.0	301.0	301	54.54545454545454	0.16047899999999998
1067R_R_M_S2_diabetes_S8_L001_R1_001	93.64757217514841	50.0	301.0	301	45.45454545454545	0.098545
1067R_R_M_S2_diabetes_S8_L001_R2_001	87.40270942209143	51.0	301.0	301	54.54545454545454	0.098545
1067R_S2_week27_S30_L001_R1_001	94.37709438577953	50.0	301.0	301	45.45454545454545	0.13816699999999998
1067R_S2_week27_S30_L001_R2_001	87.36094725947585	52.0	301.0	301	54.54545454545454	0.13816699999999998
1075R_RL_M_NS6_Pellet_week9_S3_L001_R1_001	94.50485633006211	49.0	301.0	301	45.45454545454545	0.11881399999999999
1075R_RL_M_NS6_Pellet_week9_S3_L001_R2_001	87.85664988974364	51.0	301.0	301	54.54545454545454	0.11881399999999999
1152R_0_M_S2_week5_S36_L001_R1_001	94.85174858309186	51.0	301.0	301	45.45454545454545	0.164619
1152R_0_M_S2_week5_S36_L001_R2_001	88.87552469642021	53.0	301.0	301	54.54545454545454	0.164619
1152R_L_M_S2_diabetes_S9_L001_R1_001	94.78470698840489	50.0	301.0	301	45.45454545454545	0.15955
1152R_L_M_S2_diabetes_S9_L001_R2_001	87.82952052648072	51.0	301.0	301	54.54545454545454	0.15955
1152R_L_M_S2_week5_S37_L001_R1_001	94.84817243487538	50.0	301.0	301	45.45454545454545	0.16683399999999998
1152R_L_M_S2_week5_S37_L001_R2_001	88.81582890777659	52.0	301.0	301	54.54545454545454	0.16683399999999998
1152R_L_M_S2_week9_S64_L001_R1_001	94.66958208616931	51.0	301.0	301	45.45454545454545	0.150007
1152R_L_M_S2_week9_S64_L001_R2_001	87.52658209283567	53.0	301.0	301	54.54545454545454	0.150007
1152R_R_M_S2_week5_S38_L001_R1_001	94.21590899494134	51.0	301.0	301	45.45454545454545	0.11841099999999999
1152R_R_M_S2_week5_S38_L001_R2_001	87.64895153321905	53.0	301.0	301	54.54545454545454	0.11841099999999999
1152R_R_M_S2_week9_S65_L001_R1_001	94.47666675259282	50.0	301.0	301	45.45454545454545	0.116379
1152R_R_M_S2_week9_S65_L001_R2_001	87.95573084491188	53.0	301.0	301	54.54545454545454	0.116379
1152R_S2_week28_S31_L001_R1_001	94.6553127375211	51.0	301.0	301	45.45454545454545	0.148671
1152R_S2_week28_S31_L001_R2_001	87.4010398800035	53.0	301.0	301	54.54545454545454	0.148671
1174R_0_M_S2_diabetes_S10_L001_R1_001	94.72759941688986	51.0	301.0	301	45.45454545454545	0.147485
1174R_0_M_S2_diabetes_S10_L001_R2_001	87.33023697325152	53.0	301.0	301	54.54545454545454	0.147485
1174R_0_M_S2_week5_S39_L001_R1_001	94.30755700928812	50.0	301.0	301	45.45454545454545	0.129628
1174R_0_M_S2_week5_S39_L001_R2_001	88.11445058166446	52.0	301.0	301	54.54545454545454	0.129628
1174R_S2_week14_S21_L001_R1_001	94.83899570350957	51.0	301.0	301	45.45454545454545	0.153381
1174R_S2_week14_S21_L001_R2_001	88.81282557813549	52.0	301.0	301	54.54545454545454	0.153381
2402R_R_F_S5_Pellet_week9_S5_L001_R1_001	94.092923595341	51.0	301.0	301	45.45454545454545	0.109208
2402R_R_F_S5_Pellet_week9_S5_L001_R2_001	86.8672624716138	53.0	301.0	301	54.54545454545454	0.109208
2404R_0_F_S2_week5_S40_L001_R1_001	94.7124976087016	51.0	301.0	301	45.45454545454545	0.146364
