Pathways	Object ID	Names	Enzymes of pathway	Reactions of pathway	Ontology - pathway type	Ontology -  all instances of class	Species	Taxonomic-Range
HTTPS://vibrio.biocyc.org/pathway?orgid=META&id=PWY-8562	PWY-8562	[Fe]-hydrogenase cofactor biosynthesis // iron-guanylylpyridinol cofactor biosynthesis // FeGP cofactor biosynthesis	HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-124862 // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MJ_RS06700-MONOMER // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-124859 // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-124860 // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-124861 // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-124863	HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-25028 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-25020 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-25021 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-25022 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-25023 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-25024	HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=Cofactor-Biosynthesis		HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-230361 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-2173 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-2190 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-42879 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-39152 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-2187 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-83984 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-2320 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-145263 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-187420	HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-224756 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-183988 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-183939 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-183925
HTTPS://vibrio.biocyc.org/pathway?orgid=META&id=PWY-6835	PWY-6835	[6]-gingerol biosynthesis	HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-125026 // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-125024 // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-125025	HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-25350 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-25349 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-25346	HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=AROMATIC-COMPOUNDS-BIOSYN		HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-136217 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-94328	HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-4642
HTTPS://vibrio.biocyc.org/pathway?orgid=META&id=PWY-7250	PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis (mitochondria) // [Fe-S] cluster biosynthesis // [2Fe-2S] cluster biosynthesis	HTTPS://vibrio.biocyc.org/gene?orgid=META&id=G3O-34034-MONOMER // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=G3O-33724-MONOMER // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=G3O-29519-MONOMER // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=G3O-30538-MONOMER // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=G3O-32438-MONOMER // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=HS01304-MONOMER	HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-15881 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-14391 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-14390 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-14389 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-14388 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-14387 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-14386 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-14385 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-14384 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-14381	HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=Cofactor-Biosynthesis		HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-9606 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-4932	HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-2759
HTTPS://vibrio.biocyc.org/pathway?orgid=META&id=PWY-8566	PWY-8566	[2Fe-2S] iron-sulfur cluster biosynthesis (bacterial IscS system) // [Fe-S] cluster biosynthesis // [2Fe-2S] cluster biosynthesis	HTTPS://vibrio.biocyc.org/gene?orgid=META&id=G7324-MONOMER // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=BSU29590-MONOMER // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=G7325-MONOMER // HTTPS://vibrio.biocyc.org/complex?orgid=META&id=CPLX0-12620 // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=FERREDOXIN-MONOMER	HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-25093 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-25092 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-25091 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-25090 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-25089 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-25088 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-25087 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-25086 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-25085 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-25083	HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=Cofactor-Biosynthesis		HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-224308 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-511145	HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-2
HTTPS://vibrio.biocyc.org/pathway?orgid=META&id=PWY-6074	PWY-6074	zymosterol biosynthesis	HTTPS://vibrio.biocyc.org/gene?orgid=META&id=YNL280C-MONOMER // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=HS07110-MONOMER // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=YGL001C-MONOMER // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=HS07423-MONOMER // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=HS05604-MONOMER // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=YLR100W-MONOMER // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=YHR007C-MONOMER // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=HS00076-MONOMER // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=YGR060W-MONOMER // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=HS00650-MONOMER	HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-13709 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-13712 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN3O-130 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN66-314 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN66-319 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN66-318 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN66-313 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN66-306	HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=Lipid-Biosynthesis		HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-215803 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-9606 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-191768 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-4932	HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-2818505 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-33154
HTTPS://vibrio.biocyc.org/pathway?orgid=META&id=PWY-7694	PWY-7694	zwittermicin A biosynthesis	HTTPS://vibrio.biocyc.org/complex?orgid=META&id=CPLX-9367 // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-19431 // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-19437 // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-19434 // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-19435 // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-19446 // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-19445 // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-20564 // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-19436 // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-20561 // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-19432 // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-19433	HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-16916 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-16915 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-18393 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-18395 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-19819 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-16941 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-16934 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-16908 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-16907 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-16906 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-16917 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-16914 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-16919	HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=SECONDARY-METABOLITE-BIOSYNTHESIS		HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-1396 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-1428	HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-2
HTTPS://vibrio.biocyc.org/pathway?orgid=META&id=PWY-8515	PWY-8515	ZsYellow-type yellow fluorescent protein chromophore biosynthesis // YFP chromophore biosynthesis	HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-124627	HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-24504 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-24505 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-24503 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-24502 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-24501 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-24500	HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=Fluorescence		HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-105402	HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-6073
HTTPS://vibrio.biocyc.org/pathway?orgid=META&id=PWY-6265	PWY-6265	zerumbone biosynthesis	HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-14875 // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-15976 // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-16689	HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-10629 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-10628 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-8415	HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=SECONDARY-METABOLITE-BIOSYNTHESIS		HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-311405	HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-4642
HTTPS://vibrio.biocyc.org/pathway?orgid=META&id=PWY-6288	PWY-6288	zeaxanthin-&beta;-D-diglucoside biosynthesis	HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-14939	HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-10673 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-10672	HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=Other-biosynthesis		HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-549 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-553	HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-2
HTTPS://vibrio.biocyc.org/pathway?orgid=META&id=PWY-5944	PWY-5944	zeaxanthin biosynthesis	HTTPS://vibrio.biocyc.org/gene?orgid=META&id=AT4G25700-MONOMER // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=AT5G52570-MONOMER // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-12386 // HTTPS://vibrio.biocyc.org/gene?orgid=META&id=MONOMER-14937	HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-8026 // HTTPS://vibrio.biocyc.org/reaction?orgid=META&id=RXN-8025	HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=PATHWAY&object=SECONDARY-METABOLITE-BIOSYNTHESIS		HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-4072 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-549 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-553 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-4081 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-4113 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-264483 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=ORG-5993 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=ORG-6001	HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-4751 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-2 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-2763 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-3041 // HTTPS://vibrio.biocyc.org/META/NEW-IMAGE?type=ORGANISM&object=TAX-33090
