"features"	"coefs"	"category"
"1"	"ko.K11630"	-9.65189501474335	"left"
"2"	"ko.K09138"	-7.31780674680977	"left"
"3"	"ko.K19180"	-7.28861794609509	"left"
"4"	"ko.K07454"	-7.22275324499957	"left"
"5"	"ko.K17243"	-6.66325954271966	"left"
"6"	"ko.K07457"	-6.44816618622945	"left"
"7"	"ko.K01174"	-6.36421378279521	"left"
"8"	"ko.K21463"	-6.24319117463606	"left"
"9"	"ko.K08693"	-6.24319117463606	"left"
"10"	"ko.K07778"	-6.24319117463606	"left"
"11"	"ko.K07119"	6.49824510479803	"right"
"12"	"ko.K07452"	6.9846850250174	"right"
"13"	"ko.K00712"	7.08973961583364	"right"
"14"	"ko.K19147"	7.25739563961777	"right"
"15"	"ko.K21379"	7.32055876361985	"right"
"16"	"ko.K00823"	7.49738547620385	"right"
"17"	"ko.K01576"	7.79793521536115	"right"
"18"	"ko.K00231"	8.86640779157457	"right"
"19"	"ko.K16960"	8.98525231288063	"right"
"20"	"ko.K08139"	12.3657597874179	"right"
