"features"	"coefs"	"category"
"1"	"PWY.7371"	-2.40384247765415	"left"
"2"	"PWY.7374"	-2.38936646330016	"left"
"3"	"PWY.7373"	-1.6322239262603	"left"
"4"	"PWY.6263"	-1.11985849578174	"left"
"5"	"PWY.6143"	-1.0740026106069	"left"
"6"	"PWY.6071"	1.60599019977111	"right"
"7"	"TCA.GLYOX.BYPASS"	1.60652379061815	"right"
"8"	"GLYOXYLATE.BYPASS"	1.62261208425759	"right"
"9"	"AST.PWY"	1.62371150897282	"right"
"10"	"PWY0.321"	1.63303139500009	"right"
"11"	"PWY.5747"	1.64643286441883	"right"
"12"	"PWY0.42"	1.64922060494763	"right"
"13"	"AEROBACTINSYN.PWY"	1.65767695306913	"right"
"14"	"HCAMHPDEG.PWY"	1.65767695314372	"right"
"15"	"PWY.6690"	1.65767695314372	"right"
