	feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	Pathways	Names	Level 1	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
0	P221-PWY	Week_and_consortia	NS1_w5w6	-5.46675762745733	0.163508884928357	45	45	2.07744382339189e-32	3.19926348802352e-30	P221-PWY	octane oxidation	Degradation/utilization/assimilation						
1	PWY-5304	Week_and_consortia	NS1_w5w6	-3.03064311099485	0.0895481813060316	45	45	1.25377765853599e-32	3.19926348802352e-30	PWY-5304	superpathway of sulfur oxidation (<i>Acidianus ambivalens</i>)	Degradation/utilization/assimilation	Superpathways					
2	PWY-7090	Week_and_consortia	NS1_w5w6	-3.20598089628479	0.117113106298759	45	45	1.8291163765032e-28	1.87789281320995e-26	PWY-7090	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis // UDP-ManNAc(3NAc)A biosynthesis // Wbp pathway	Biosynthesis						
3	HSERMETANA-PWY	Week_and_consortia	NS1_w5w6	0.887197124198445	0.0381159347112447	45	45	1.05784320220918e-25	8.1453926570107e-24	HSERMETANA-PWY	L-methionine biosynthesis III // L-methionine biosynthesis by sulfhydrylation	Superpathways	Biosynthesis	Amino acid biosynthesis				
4	PWY-4984	Week_and_consortia	NS1_w5w6	-1.40989449142645	0.0680659826409724	45	45	5.3850427007882e-24	3.3171863036855297e-22	PWY-4984	urea cycle // Krebs ornithine cycle // Krebs-Henseleit cycle	Degradation/utilization/assimilation						
5	PWY-5419	Week_and_consortia	NS1_w5w6	3.37425627948669	0.166459954036056	45	45	1.25374092978247e-23	5.51646009104289e-22	PWY-5419	catechol degradation to 2-hydroxypentadienoate II // catechol degradation, <I>meta</I>-cleavage	Degradation/utilization/assimilation						
6	PWY-6344	Week_and_consortia	NS1_w5w6	1.5565317519126	0.0766313023013998	45	33	1.15805940565322e-23	5.51646009104289e-22	PWY-6344	L-arginine degradation XIV (oxidative Stickland reaction) // L-arginine fermentation	Degradation/utilization/assimilation	Generation of precursor metabolites and energy					
7	PWY-5420	Week_and_consortia	NS1_w5w6	3.03441655794749	0.154615240140058	45	45	4.41106612371435e-23	1.69826045763002e-21	PWY-5420	catechol degradation II (<I>meta</I>-cleavage pathway) // 4-oxalocrotonate pathway	Degradation/utilization/assimilation	Superpathways					
8	PWY-6151	Week_and_consortia	NS1_w5w6	0.691075513884988	0.0357004294716422	45	45	1.4004404010834898e-22	4.79261826148571e-21	PWY-6151	<i>S</i>-adenosyl-L-methionine salvage I // SAM cycle // activated methyl cycle // AMC // <i>S</i>-adenosyl-L-methionine cycle I	Biosynthesis						
9	ANAGLYCOLYSIS-PWY	Week_and_consortia	NS1_w5w6	0.285545585939997	0.0149386337846389	45	45	2.3341807917674e-22	7.1892768386436e-21	ANAGLYCOLYSIS-PWY	glycolysis III (from glucose) // anaerobic glycolysis // Embden-Meyerhof-Parnas pathway // EMP pathway // glycolysis III (glucokinase)	Generation of precursor metabolites and energy						
10	P281-PWY	Week_and_consortia	NS1_w5w6	-3.00815020830103	0.163951246257424	45	12	5.896036310847219e-22	1.6508901670372202e-20	P281-PWY	3-phenylpropanoate degradation // 3-phenylpropionate degradation // 3-phenylpropionic acid degradation	Degradation/utilization/assimilation	Superpathways					
11	PWY-5177	Week_and_consortia	NS1_w5w6	1.6040525923182	0.0920025341861324	45	33	6.40242392411973e-21	1.6432888071907302e-19	PWY-5177	glutaryl-CoA degradation	Degradation/utilization/assimilation						
12	PWY-6478	Week_and_consortia	NS1_w5w6	-1.61522269682971	0.0973778544383553	45	45	2.66790288364017e-20	6.3208776012398e-19	PWY-6478	GDP-D-<i>glycero</i>-&alpha;-D-<i>manno</i>-heptose biosynthesis	Biosynthesis						
13	MET-SAM-PWY	Week_and_consortia	NS1_w5w6	0.563239634990694	0.034061978858761	45	45	4.87566368893125e-20	1.07264601156488e-18	MET-SAM-PWY	superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis from L-aspartate	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
14	PWY-5989	Week_and_consortia	NS1_w5w6	-1.16112077429932	0.0719430158777678	45	45	1.1299774296205999e-19	2.08254821038198e-18	PWY-5989	stearate biosynthesis II (bacteria and plants) // stearic acid biosynthesis	Biosynthesis						
15	PWY-6282	Week_and_consortia	NS1_w5w6	-1.12783762605816	0.069906434179396	45	45	1.14945842780824e-19	2.08254821038198e-18	PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate) // palmitoleic acid biosynthesis I // palmitoleate biosynthesis (anaerobic)	Biosynthesis						
16	PWY0-862	Week_and_consortia	NS1_w5w6	-1.10559135513562	0.0684473368405233	45	45	1.10710931163702e-19	2.08254821038198e-18	PWY0-862	(5Z)-dodecenoate biosynthesis I // (5Z)-dodec-5-enoate biosynthesis I // <i>cis</i>-dodecenoate biosynthesis I	Biosynthesis						
17	P163-PWY	Week_and_consortia	NS1_w5w6	1.57869469228531	0.0988867831254086	45	33	1.5918705962425702e-19	2.72386746468173e-18	P163-PWY	L-lysine fermentation to acetate and butanoate // 3-keto-5-aminohexanoate pathway // L-lysine fermentation to acetate and butyrate // L-lysine fermentation to acetic acid and butanoic acid	Degradation/utilization/assimilation	Generation of precursor metabolites and energy					
18	FASYN-INITIAL-PWY	Week_and_consortia	NS1_w5w6	-1.11307425045376	0.0701863156397218	45	45	2.09781946241564e-19	3.37873491995244e-18	FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation	Superpathways	Biosynthesis	Fatty acid and lipid biosynthesis				
19	PWY-3781	Week_and_consortia	NS1_w5w6	-2.5020671115284	0.159675762651637	45	12	2.19398371425483e-19	3.37873491995244e-18	PWY-3781	aerobic respiration I (cytochrome c)	Generation of precursor metabolites and energy						
20	PWY-7373	Week_and_consortia	NS1_w5w6	3.75138792745538	0.241521908101063	45	33	3.0306767513680803e-19	4.27777905769084e-18	PWY-7373	superpathway of demethylmenaquinol-6 biosynthesis II // superpathway of demethylmenaquinone-6 biosynthesis II	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
21	PWY-7664	Week_and_consortia	NS1_w5w6	-1.02826879978375	0.0654864581524167	45	45	3.05555646977917e-19	4.27777905769084e-18	PWY-7664	oleate biosynthesis IV (anaerobic) // <i>cis</i>-7-hexadecenoate biosynthesis // <i>cis</i>-9-octadecenoate biosynthesis // (7<i>Z</i>)-hexadec-7-enoate biosynthesis // (9<i>Z</i>)-octadec-9-enoate biosynthesis // (7<i>Z</i>)-hexadecenoate biosynthesis // (9<i>Z</i>)-octadecenoate biosynthesis	Biosynthesis						
22	PWYG-321	Week_and_consortia	NS1_w5w6	-1.01742088376484	0.0652664318879745	45	45	3.97012997243812e-19	5.31652187613453e-18	PWYG-321	mycolate biosynthesis	Biosynthesis						
23	PWY-6471	Week_and_consortia	NS1_w5w6	1.68798354351382	0.10972137406129	45	45	6.5552064453323e-19	8.41251493817645e-18	PWY-6471	peptidoglycan biosynthesis IV (<i>Enterococcus faecium</i>)	Detoxification	Superpathways		Biosynthesis	Cell structure biosynthesis		
24	PWY-5971	Week_and_consortia	NS1_w5w6	-0.838861926807356	0.0570783483944313	45	45	3.1487443444495497e-18	3.87925303236184e-17	PWY-5971	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm)	Biosynthesis						
