"features"	"coefs"	"category"
"1"	"ko.K19180"	-8.01537661900794	"left"
"2"	"ko.K09138"	-8.00554521819481	"left"
"3"	"ko.K10242"	-7.76862846407842	"left"
"4"	"ko.K13924"	-7.75393234010886	"left"
"5"	"ko.K21355"	-7.64146322751586	"left"
"6"	"ko.K17241"	-7.53606844421346	"left"
"7"	"ko.K08222"	-7.42210606288655	"left"
"8"	"ko.K15924"	-7.39237865310139	"left"
"9"	"ko.K01727"	-7.3772302642946	"left"
"10"	"ko.K18987"	-7.36188403347037	"left"
"11"	"ko.K00372"	5.28110833602496	"right"
"12"	"ko.K07067"	5.58518948493735	"right"
"13"	"ko.K00712"	6.11632566237618	"right"
"14"	"ko.K21379"	7.2432197241149	"right"
"15"	"ko.K12138"	7.62755730783595	"right"
"16"	"ko.K01576"	8.36597849234587	"right"
"17"	"ko.K19147"	8.77242483222517	"right"
"18"	"ko.K07482"	8.77365322906299	"right"
"19"	"ko.K07452"	9.05619366401381	"right"
"20"	"ko.K16960"	9.55359790521083	"right"
