Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
016R_0_F_NS6_week5_S1_L001_R1_001	016R_0_F_NS6_week5_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93314.0	0.0	57-301	49.0	2.7123475577083824	279.1003386415758	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
016R_0_F_NS6_week5_S1_L001_R2_001	016R_0_F_NS6_week5_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93314.0	0.0	50-301	51.0	7.594787491694708	262.8934993677262	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
016R_R_F_NS6_Pellet_week9_S2_L001_R1_001	016R_R_F_NS6_Pellet_week9_S2_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96924.0	0.0	60-301	48.0	2.4369609178325287	279.752176963394	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
016R_R_F_NS6_Pellet_week9_S2_L001_R2_001	016R_R_F_NS6_Pellet_week9_S2_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96924.0	0.0	50-301	50.0	7.038504395196236	264.1272543436094	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
073R_R_M_S2_Pellet_week9_S61_L001_R1_001	073R_R_M_S2_Pellet_week9_S61_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	141795.0	0.0	55-301	49.0	2.344229345181424	279.0239077541521	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
073R_R_M_S2_Pellet_week9_S61_L001_R2_001	073R_R_M_S2_Pellet_week9_S61_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	141795.0	0.0	50-301	52.0	6.572164039634684	261.7531295179661	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
073R_R_M_S2_diabetes_S7_L001_R1_001	073R_R_M_S2_diabetes_S7_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100660.0	0.0	52-301	48.0	2.697198489966223	279.325988476058	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
073R_R_M_S2_diabetes_S7_L001_R2_001	073R_R_M_S2_diabetes_S7_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100660.0	0.0	50-301	51.0	6.733558513808862	263.0010729187363	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
073R_R_M_S2_week5_S33_L001_R1_001	073R_R_M_S2_week5_S33_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111937.0	0.0	54-301	50.0	2.3245218292432352	278.94596960790443	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
073R_R_M_S2_week5_S33_L001_R2_001	073R_R_M_S2_week5_S33_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111937.0	0.0	50-301	53.0	6.251730884336724	260.15492643183217	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
073R_S2_week21_S27_L001_R1_001	073R_S2_week21_S27_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116096.0	0.0	57-301	50.0	2.3351364388092613	278.9839787761852	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
073R_S2_week21_S27_L001_R2_001	073R_S2_week21_S27_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	116096.0	0.0	50-301	53.0	6.175923373759647	260.1485236356119	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
096R_0_M_S5_week5_S4_L001_R1_001	096R_0_M_S5_week5_S4_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84632.0	0.0	53-301	50.0	2.5333207297476132	278.9466632006806	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
096R_0_M_S5_week5_S4_L001_R2_001	096R_0_M_S5_week5_S4_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84632.0	0.0	50-301	52.0	6.909915871065318	261.36981283675203	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1067R_0_M_S2_week5_S34_L001_R1_001	1067R_0_M_S2_week5_S34_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130095.0	0.0	51-301	50.0	2.1392059648718242	279.36163572773745	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1067R_0_M_S2_week5_S34_L001_R2_001	1067R_0_M_S2_week5_S34_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	130095.0	0.0	50-301	52.0	5.888773588531458	261.21864022445135	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1067R_0_M_S2_week9_S62_L001_R1_001	1067R_0_M_S2_week9_S62_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	133810.0	0.0	57-301	48.0	2.396681862342127	279.10900530603095	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1067R_0_M_S2_week9_S62_L001_R2_001	1067R_0_M_S2_week9_S62_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	133810.0	0.0	50-301	51.0	6.822360062775577	262.90766011508856	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1067R_L_M_S2_week5_S35_L001_R1_001	1067R_L_M_S2_week5_S35_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103962.0	0.0	54-301	49.0	2.44223851022489	279.556943883342	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1067R_L_M_S2_week5_S35_L001_R2_001	1067R_L_M_S2_week5_S35_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103962.0	0.0	50-301	52.0	5.841557492160597	262.6626074911987	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1067R_L_M_S2_week9_S63_L001_R1_001	1067R_L_M_S2_week9_S63_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129674.0	0.0	54-301	49.0	2.4546169625368233	278.5983851813008	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1067R_L_M_S2_week9_S63_L001_R2_001	1067R_L_M_S2_week9_S63_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	129674.0	0.0	50-301	52.0	6.618905871647361	260.0563644215494	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1067R_R_M_S2_diabetes_S8_L001_R1_001	1067R_R_M_S2_diabetes_S8_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80122.0	0.0	75-301	48.0	2.8768627842540124	279.48061705898505	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1067R_R_M_S2_diabetes_S8_L001_R2_001	1067R_R_M_S2_diabetes_S8_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	80122.0	0.0	50-301	51.0	7.096677566710766	263.0208057711989	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1067R_S2_week27_S30_L001_R1_001	1067R_S2_week27_S30_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111196.0	0.0	57-301	49.0	2.62059786323249	278.8995647325443	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1067R_S2_week27_S30_L001_R2_001	1067R_S2_week27_S30_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111196.0	0.0	50-301	51.0	6.682794345120328	262.44758804273533	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1075R_RL_M_NS6_Pellet_week9_S3_L001_R1_001	1075R_RL_M_NS6_Pellet_week9_S3_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96031.0	0.0	65-301	48.0	2.4866970040924286	279.78865158126024	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1075R_RL_M_NS6_Pellet_week9_S3_L001_R2_001	1075R_RL_M_NS6_Pellet_week9_S3_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96031.0	0.0	50-301	50.0	6.730118399266903	264.80938446959834	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1152R_0_M_S2_week5_S36_L001_R1_001	1152R_0_M_S2_week5_S36_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132967.0	0.0	51-301	49.0	2.254694773891266	279.21124038295216	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1152R_0_M_S2_week5_S36_L001_R2_001	1152R_0_M_S2_week5_S36_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	132967.0	0.0	50-301	52.0	5.677348515045087	262.6925176923598	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1152R_L_M_S2_diabetes_S9_L001_R1_001	1152R_L_M_S2_diabetes_S9_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	128914.0	0.0	58-301	48.0	2.3690212079370743	279.44063484183255	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1152R_L_M_S2_diabetes_S9_L001_R2_001	1152R_L_M_S2_diabetes_S9_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	128914.0	0.0	50-301	51.0	6.761872255922554	262.6947499883643	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1152R_L_M_S2_week5_S37_L001_R1_001	1152R_L_M_S2_week5_S37_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	135009.0	0.0	54-301	49.0	2.3102163559466407	279.38490767282184	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1152R_L_M_S2_week5_S37_L001_R2_001	1152R_L_M_S2_week5_S37_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	135009.0	0.0	50-301	52.0	5.658141309097911	263.234021435608	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1152R_L_M_S2_week9_S64_L001_R1_001	1152R_L_M_S2_week9_S64_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	121329.0	0.0	55-301	49.0	2.46025270133274	279.0273388884768	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1152R_L_M_S2_week9_S64_L001_R2_001	1152R_L_M_S2_week9_S64_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	121329.0	0.0	50-301	52.0	6.82854057974598	260.2018890784561	277	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
1152R_R_M_S2_week5_S38_L001_R1_001	1152R_R_M_S2_week5_S38_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95198.0	0.0	51-301	50.0	2.6103489569108596	278.9040736149919	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
