Sample	Unique Reads	Duplicate Reads
016R_0_F_NS6_week5_S1_L001_R1_001	2531.0	90783.0
016R_0_F_NS6_week5_S1_L001_R2_001	7087.0	86227.0
016R_R_F_NS6_Pellet_week9_S2_L001_R1_001	2362.0	94562.0
016R_R_F_NS6_Pellet_week9_S2_L001_R2_001	6822.0	90102.0
073R_R_M_S2_Pellet_week9_S61_L001_R1_001	3324.0	138471.0
073R_R_M_S2_Pellet_week9_S61_L001_R2_001	9319.0	132476.0
073R_R_M_S2_diabetes_S7_L001_R1_001	2715.0	97945.0
073R_R_M_S2_diabetes_S7_L001_R2_001	6778.0	93882.0
073R_R_M_S2_week5_S33_L001_R1_001	2603.0	109334.0
073R_R_M_S2_week5_S33_L001_R2_001	6998.0	104939.0
073R_S2_week21_S27_L001_R1_001	2711.0	113385.0
073R_S2_week21_S27_L001_R2_001	7170.0	108926.0
096R_0_M_S5_week5_S4_L001_R1_001	2144.0	82488.0
096R_0_M_S5_week5_S4_L001_R2_001	5848.0	78784.0
1067R_0_M_S2_week5_S34_L001_R1_001	2783.0	127312.0
1067R_0_M_S2_week5_S34_L001_R2_001	7661.0	122434.0
1067R_0_M_S2_week9_S62_L001_R1_001	3207.0	130603.0
1067R_0_M_S2_week9_S62_L001_R2_001	9129.0	124681.0
1067R_L_M_S2_week5_S35_L001_R1_001	2539.0	101423.0
1067R_L_M_S2_week5_S35_L001_R2_001	6073.0	97889.0
1067R_L_M_S2_week9_S63_L001_R1_001	3183.0	126491.0
1067R_L_M_S2_week9_S63_L001_R2_001	8583.0	121091.0
1067R_R_M_S2_diabetes_S8_L001_R1_001	2305.0	77817.0
1067R_R_M_S2_diabetes_S8_L001_R2_001	5686.0	74436.0
1067R_S2_week27_S30_L001_R1_001	2914.0	108282.0
1067R_S2_week27_S30_L001_R2_001	7431.0	103765.0
1075R_RL_M_NS6_Pellet_week9_S3_L001_R1_001	2388.0	93643.0
1075R_RL_M_NS6_Pellet_week9_S3_L001_R2_001	6463.0	89568.0
1152R_0_M_S2_week5_S36_L001_R1_001	2998.0	129969.0
1152R_0_M_S2_week5_S36_L001_R2_001	7549.0	125418.0
1152R_L_M_S2_diabetes_S9_L001_R1_001	3055.0	125859.0
1152R_L_M_S2_diabetes_S9_L001_R2_001	8717.0	120197.0
1152R_L_M_S2_week5_S37_L001_R1_001	3119.0	131890.0
1152R_L_M_S2_week5_S37_L001_R2_001	7640.0	127369.0
1152R_L_M_S2_week9_S64_L001_R1_001	2985.0	118344.0
1152R_L_M_S2_week9_S64_L001_R2_001	8285.0	113044.0
1152R_R_M_S2_week5_S38_L001_R1_001	2485.0	92713.0
1152R_R_M_S2_week5_S38_L001_R2_001	6192.0	89006.0
1152R_R_M_S2_week9_S65_L001_R1_001	2374.0	91939.0
1152R_R_M_S2_week9_S65_L001_R2_001	6264.0	88049.0
1152R_S2_week28_S31_L001_R1_001	2852.0	117324.0
1152R_S2_week28_S31_L001_R2_001	7882.0	112294.0
1174R_0_M_S2_diabetes_S10_L001_R1_001	2741.0	116554.0
1174R_0_M_S2_diabetes_S10_L001_R2_001	8341.0	110954.0
1174R_0_M_S2_week5_S39_L001_R1_001	2691.0	101854.0
1174R_0_M_S2_week5_S39_L001_R2_001	6292.0	98253.0
1174R_S2_week14_S21_L001_R1_001	2935.0	121135.0
1174R_S2_week14_S21_L001_R2_001	7177.0	116893.0
2402R_R_F_S5_Pellet_week9_S5_L001_R1_001	2416.0	86212.0
2402R_R_F_S5_Pellet_week9_S5_L001_R2_001	6600.0	82028.0
2404R_0_F_S2_week5_S40_L001_R1_001	2703.0	115941.0
2404R_0_F_S2_week5_S40_L001_R2_001	7120.0	111524.0
2404R_0_F_S2_week9_S66_L001_R1_001	2477.0	103181.0
2404R_0_F_S2_week9_S66_L001_R2_001	6799.0	98859.0
2404R_L_F_S2_diabetes_S11_L001_R1_001	3044.0	113346.0
2404R_L_F_S2_diabetes_S11_L001_R2_001	7822.0	108568.0
2404R_L_F_S2_week5_S41_L001_R1_001	3272.0	121938.0
2404R_L_F_S2_week5_S41_L001_R2_001	9309.0	115901.0
2404R_L_F_S2_week9_S67_L001_R1_001	2606.0	107776.0
2404R_L_F_S2_week9_S67_L001_R2_001	6873.0	103509.0
2404R_S2_week14_S22_L001_R1_001	3263.0	138247.0
2404R_S2_week14_S22_L001_R2_001	8107.0	133403.0
2446R_0_F_S2_week5_S42_L001_R1_001	2793.0	113944.0
