Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
016R_0_F_NS6_week5_S1_L001_R1_001	29.872259253702556	62.02820584263884
016R_0_F_NS6_week5_S1_L001_R2_001	17.600788734809353	67.33394774631888
016R_R_F_NS6_Pellet_week9_S2_L001_R1_001	39.82295406710412	52.84243324666748
016R_R_F_NS6_Pellet_week9_S2_L001_R2_001	14.211134497131772	71.88622013123685
073R_R_M_S2_Pellet_week9_S61_L001_R1_001	24.692690151274725	67.28516520328643
073R_R_M_S2_Pellet_week9_S61_L001_R2_001	33.77975245953665	52.098451990549734
073R_R_M_S2_diabetes_S7_L001_R1_001	19.243989668189947	72.76375918935028
073R_R_M_S2_diabetes_S7_L001_R2_001	39.274786409696006	47.016689847009744
073R_R_M_S2_week5_S33_L001_R1_001	36.7045748948069	55.63486604071934
073R_R_M_S2_week5_S33_L001_R2_001	32.369100476160696	54.33681445813269
073R_S2_week21_S27_L001_R1_001	38.291586273428884	54.29127618522602
073R_S2_week21_S27_L001_R2_001	33.799614112458656	53.14825661521499
096R_0_M_S5_week5_S4_L001_R1_001	27.021693921920786	65.3996124397391
096R_0_M_S5_week5_S4_L001_R2_001	25.15715095944796	61.12108894980622
1067R_0_M_S2_week5_S34_L001_R1_001	28.981897843883313	63.99246704331449
1067R_0_M_S2_week5_S34_L001_R2_001	27.97263538183635	59.53572389407741
1067R_0_M_S2_week9_S62_L001_R1_001	16.533144010163664	75.448023316643
1067R_0_M_S2_week9_S62_L001_R2_001	36.17068978402212	49.349824377849195
1067R_L_M_S2_week5_S35_L001_R1_001	22.199457494084378	70.6373482618649
1067R_L_M_S2_week5_S35_L001_R2_001	33.256382139627945	54.738269752409536
1067R_L_M_S2_week9_S63_L001_R1_001	31.70797538442556	60.389129663618
1067R_L_M_S2_week9_S63_L001_R2_001	27.94314974474451	58.06021253296729
1067R_R_M_S2_diabetes_S8_L001_R1_001	20.743366366291404	71.48972816454906
1067R_R_M_S2_diabetes_S8_L001_R2_001	37.87598911659719	48.28386710266843
1067R_S2_week27_S30_L001_R1_001	23.488254973200476	68.21648260728804
1067R_S2_week27_S30_L001_R2_001	33.91398971186014	52.08820461167667
1075R_RL_M_NS6_Pellet_week9_S3_L001_R1_001	40.99093001218357	51.68955858004186
1075R_RL_M_NS6_Pellet_week9_S3_L001_R2_001	24.34734616946611	62.34965792296238
1152R_0_M_S2_week5_S36_L001_R1_001	26.859295915527916	65.80279317424623
1152R_0_M_S2_week5_S36_L001_R2_001	31.312280490648053	56.25531146825905
1152R_L_M_S2_diabetes_S9_L001_R1_001	18.67756799106381	73.7716617279737
1152R_L_M_S2_diabetes_S9_L001_R2_001	39.54419225219914	46.33088725817211
