Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
016R_0_F_NS6_week5_S1_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.3333333333333333)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.25)	(39.0, 0.3333333333333333)	(40.0, 3.5)	(41.0, 12.333333333333332)	(42.0, 49.416666666666664)	(43.0, 77.16666666666667)	(44.0, 126.66666666666661)	(45.0, 754.4166666666837)	(46.0, 6620.833333331824)	(47.0, 7068.916666664738)	(48.0, 9622.333333332946)	(49.0, 1900.4999999998574)	(50.0, 742.0833333333459)	(51.0, 5813.249999999201)	(52.0, 9197.833333332183)	(53.0, 4998.6666666665915)	(54.0, 1947.0833333331782)	(55.0, 349.58333333333144)	(56.0, 129.49999999999955)	(57.0, 56.250000000000085)	(58.0, 40.24999999999999)	(59.0, 28.66666666666665)	(60.0, 9.833333333333334)	(61.0, 11.000000000000004)	(62.0, 54.333333333333435)	(63.0, 7.83333333333333)	(64.0, 3.0)	(65.0, 3.1666666666666665)	(66.0, 0.8333333333333333)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
016R_0_F_NS6_week5_S1_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.3333333333333333)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 1.0)	(36.0, 1.0)	(37.0, 1.5)	(38.0, 4.833333333333333)	(39.0, 5.333333333333333)	(40.0, 6.0)	(41.0, 11.166666666666668)	(42.0, 21.166666666666664)	(43.0, 26.499999999999996)	(44.0, 70.50000000000003)	(45.0, 1819.49999999987)	(46.0, 10586.333333334675)	(47.0, 7860.916666664072)	(48.0, 4138.083333333973)	(49.0, 3104.666666666907)	(50.0, 631.4166666666698)	(51.0, 2162.166666666556)	(52.0, 2228.749999999914)	(53.0, 2038.8333333331873)	(54.0, 2844.3333333334613)	(55.0, 1181.1666666666647)	(56.0, 6275.749999998982)	(57.0, 5784.083333332677)	(58.0, 831.7500000000135)	(59.0, 364.1666666666657)	(60.0, 347.66666666666623)	(61.0, 305.9999999999998)	(62.0, 180.66666666666666)	(63.0, 136.16666666666666)	(64.0, 121.66666666666663)	(65.0, 92.66666666666666)	(66.0, 76.0)	(67.0, 77.33333333333334)	(68.0, 61.83333333333334)	(69.0, 42.66666666666667)	(70.0, 34.0)	(71.0, 33.0)	(72.0, 67.16666666666669)	(73.0, 30.16666666666666)	(74.0, 11.333333333333332)	(75.0, 3.833333333333333)	(76.0, 0.8333333333333333)	(77.0, 1.0)	(78.0, 3.0)	(79.0, 2.0)	(80.0, 0.0)	(81.0, 0.6666666666666666)	(82.0, 1.1666666666666665)	(83.0, 0.5)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.25)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.3333333333333333)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
016R_R_F_NS6_Pellet_week9_S2_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.25)	(32.0, 0.25)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 0.0)	(37.0, 0.3333333333333333)	(38.0, 0.5833333333333333)	(39.0, 0.5)	(40.0, 3.5)	(41.0, 7.083333333333334)	(42.0, 39.08333333333333)	(43.0, 74.25)	(44.0, 134.58333333333331)	(45.0, 616.4166666666697)	(46.0, 5266.833333333027)	(47.0, 8441.833333330844)	(48.0, 15452.58333334347)	(49.0, 2674.000000000093)	(50.0, 957.4166666667016)	(51.0, 4048.5833333340365)	(52.0, 7034.249999998105)	(53.0, 3300.416666667038)	(54.0, 1003.9166666667087)	(55.0, 384.499999999996)	(56.0, 82.49999999999994)	(57.0, 32.0833333333333)	(58.0, 21.41666666666666)	(59.0, 22.666666666666657)	(60.0, 6.999999999999999)	(61.0, 11.166666666666668)	(62.0, 66.16666666666681)	(63.0, 16.00000000000001)	(64.0, 4.5)	(65.0, 4.333333333333334)	(66.0, 2.333333333333333)	(67.0, 0.5)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
016R_R_F_NS6_Pellet_week9_S2_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.0)	(36.0, 1.0)	(37.0, 2.5)	(38.0, 3.5)	(39.0, 4.0)	(40.0, 3.5)	(41.0, 6.5)	(42.0, 18.833333333333332)	(43.0, 32.49999999999999)	(44.0, 69.16666666666667)	(45.0, 1210.3333333333367)	(46.0, 9598.999999999567)	(47.0, 10959.50000000196)	(48.0, 8943.333333331813)	(49.0, 5197.999999999782)	(50.0, 814.583333333348)	(51.0, 2270.666666666599)	(52.0, 2330.9999999999413)	(53.0, 1930.5833333332228)	(54.0, 2794.0833333334317)	(55.0, 926.5833333333501)	(56.0, 3736.666666667127)	(57.0, 3893.666666667192)	(58.0, 599.3333333333355)	(59.0, 296.9999999999999)	(60.0, 225.41666666666683)	(61.0, 173.33333333333337)	(62.0, 127.49999999999994)	(63.0, 108.49999999999999)	(64.0, 87.66666666666666)	(65.0, 70.0)	(66.0, 60.16666666666667)	(67.0, 61.50000000000001)	(68.0, 55.5)	(69.0, 38.5)	(70.0, 28.666666666666668)	(71.0, 28.33333333333333)	(72.0, 57.3333333333334)	(73.0, 20.0)	(74.0, 6.833333333333334)	(75.0, 2.5)	(76.0, 1.5)	(77.0, 1.5)	(78.0, 1.5)	(79.0, 0.5)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.5833333333333333)	(100.0, 0.3333333333333333)
073R_R_M_S2_Pellet_week9_S61_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 0.25)	(36.0, 0.5)	(37.0, 0.5)	(38.0, 0.25)	(39.0, 0.3333333333333333)	(40.0, 0.6666666666666666)	(41.0, 3.9166666666666665)	(42.0, 11.833333333333332)	(43.0, 29.916666666666668)	(44.0, 124.66666666666664)	(45.0, 214.00000000000017)	(46.0, 454.7499999999937)	(47.0, 17368.166666674922)	(48.0, 19234.416666668247)	(49.0, 5245.749999999711)	(50.0, 5053.333333333211)	(51.0, 11679.416666669933)	(52.0, 15507.750000010115)	(53.0, 5507.499999999495)	(54.0, 1420.5833333332932)	(55.0, 460.4999999999925)	(56.0, 148.83333333333314)	(57.0, 62.33333333333345)	(58.0, 88.74999999999989)	(59.0, 79.91666666666663)	(60.0, 16.666666666666668)	(61.0, 8.999999999999998)	(62.0, 19.333333333333332)	(63.0, 4.0)	(64.0, 1.6666666666666665)	(65.0, 1.3333333333333333)	(66.0, 1.5)	(67.0, 0.5)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
073R_R_M_S2_Pellet_week9_S61_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.3333333333333333)	(28.0, 1.0)	(29.0, 0.3333333333333333)	(30.0, 0.3333333333333333)	(31.0, 0.5)	(32.0, 1.8333333333333333)	(33.0, 1.3333333333333333)	(34.0, 0.5)	(35.0, 0.5)	(36.0, 1.0)	(37.0, 2.5)	(38.0, 4.666666666666666)	(39.0, 7.5)	(40.0, 11.5)	(41.0, 17.0)	(42.0, 26.166666666666668)	(43.0, 31.833333333333325)	(44.0, 67.08333333333339)	(45.0, 2076.7499999998295)	(46.0, 16433.833333345017)	(47.0, 9656.33333333303)	(48.0, 2070.7499999998504)	(49.0, 1009.3333333333612)	(50.0, 789.6666666666778)	(51.0, 3100.00000000023)	(52.0, 3906.750000000554)	(53.0, 7132.749999998251)	(54.0, 6029.666666665861)	(55.0, 1696.1666666666188)	(56.0, 10214.083333333667)	(57.0, 10840.083333334753)	(58.0, 1610.4999999999502)	(59.0, 684.5000000000033)	(60.0, 535.6666666666656)	(61.0, 452.9166666666654)	(62.0, 323.41666666666663)	(63.0, 251.0000000000001)	(64.0, 223.33333333333366)	(65.0, 171.00000000000003)	(66.0, 155.41666666666666)	(67.0, 128.83333333333334)	(68.0, 92.33333333333334)	(69.0, 71.0)	(70.0, 63.333333333333336)	(71.0, 57.66666666666667)	(72.0, 47.83333333333335)	(73.0, 19.499999999999996)	(74.0, 11.166666666666666)	(75.0, 11.833333333333334)	(76.0, 6.0)	(77.0, 3.0)	(78.0, 1.5)	(79.0, 1.3333333333333333)	(80.0, 1.0)	(81.0, 0.5)	(82.0, 0.5)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.5)	(86.0, 1.0)	(87.0, 0.8333333333333333)	(88.0, 0.3333333333333333)	(89.0, 0.5)	(90.0, 0.5)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.5)	(94.0, 0.5)	(95.0, 0.0)	(96.0, 0.5)	(97.0, 0.5)	(98.0, 0.3333333333333333)	(99.0, 0.0)	(100.0, 0.0)
073R_R_M_S2_diabetes_S7_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.25)	(29.0, 0.25)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.25)	(35.0, 0.25)	(36.0, 0.0)	(37.0, 0.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.5)	(41.0, 0.5)	(42.0, 5.583333333333333)	(43.0, 22.833333333333336)	(44.0, 97.25)	(45.0, 154.16666666666669)	(46.0, 384.8333333333287)	(47.0, 14357.58333334147)	(48.0, 15149.91666667624)	(49.0, 2971.250000000222)	(50.0, 3022.7500000002456)	(51.0, 5631.499999999365)	(52.0, 9573.499999999533)	(53.0, 5362.083333332941)	(54.0, 1082.250000000031)	(55.0, 311.33333333333303)	(56.0, 100.16666666666642)	(57.0, 42.500000000000014)	(58.0, 39.41666666666668)	(59.0, 33.33333333333331)	(60.0, 14.166666666666673)	(61.0, 6.166666666666665)	(62.0, 12.83333333333334)	(63.0, 1.9999999999999998)	(64.0, 0.3333333333333333)	(65.0, 1.0)	(66.0, 0.3333333333333333)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
073R_R_M_S2_diabetes_S7_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.3333333333333333)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.5)	(34.0, 1.3333333333333333)	(35.0, 0.5)	(36.0, 0.0)	(37.0, 1.0)	(38.0, 2.333333333333333)	(39.0, 2.1666666666666665)	(40.0, 2.333333333333333)	(41.0, 5.5)	(42.0, 12.0)	(43.0, 24.66666666666666)	(44.0, 61.00000000000011)	(45.0, 2263.499999999917)	(46.0, 13802.666666673826)	(47.0, 6276.499999998796)	(48.0, 1144.1666666666824)	(49.0, 634.7500000000025)	(50.0, 563.7499999999991)	(51.0, 3131.1666666669157)	(52.0, 4007.0000000006194)	(53.0, 5152.4999999998445)	(54.0, 4339.75000000044)	(55.0, 1192.8333333333337)	(56.0, 4954.166666666708)	(57.0, 5010.249999999943)	(58.0, 825.4166666666789)	(59.0, 401.9999999999987)	(60.0, 322.6666666666662)	(61.0, 266.83333333333354)	(62.0, 187.5)	(63.0, 146.3333333333334)	(64.0, 129.66666666666666)	(65.0, 98.83333333333331)	(66.0, 75.16666666666667)	(67.0, 71.16666666666666)	(68.0, 59.00000000000001)	(69.0, 41.666666666666664)	(70.0, 37.83333333333333)	(71.0, 32.5)	(72.0, 26.83333333333333)	(73.0, 15.666666666666668)	(74.0, 6.333333333333333)	(75.0, 3.833333333333333)	(76.0, 5.0)	(77.0, 3.5)	(78.0, 1.3333333333333333)	(79.0, 1.0)	(80.0, 1.5)	(81.0, 1.5)	(82.0, 1.3333333333333333)	(83.0, 1.5)	(84.0, 1.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 1.0)	(89.0, 1.3333333333333333)	(90.0, 0.3333333333333333)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.5)	(98.0, 0.5)	(99.0, 0.0)	(100.0, 0.0)
073R_R_M_S2_week5_S33_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.3333333333333333)	(35.0, 0.3333333333333333)	(36.0, 0.5)	(37.0, 1.0)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.3333333333333333)	(41.0, 1.4166666666666665)	(42.0, 3.916666666666667)	(43.0, 16.833333333333332)	(44.0, 71.25000000000001)	(45.0, 110.9999999999999)	(46.0, 222.25000000000153)	(47.0, 10839.083333335153)	(48.0, 12029.33333333728)	(49.0, 2430.083333333319)	(50.0, 2885.2500000001824)	(51.0, 13876.583333340575)	(52.0, 16645.91666667742)	(53.0, 4885.750000000022)	(54.0, 1444.9166666666204)	(55.0, 377.9166666666632)	(56.0, 138.33333333333297)	(57.0, 56.50000000000008)	(58.0, 92.33333333333314)	(59.0, 90.7499999999998)	(60.0, 19.166666666666664)	(61.0, 6.999999999999998)	(62.0, 22.74999999999999)	(63.0, 3.5000000000000004)	(64.0, 3.166666666666667)	(65.0, 2.6666666666666665)	(66.0, 1.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
073R_R_M_S2_week5_S33_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.5)	(30.0, 0.5)	(31.0, 0.5)	(32.0, 1.0)	(33.0, 0.5)	(34.0, 0.0)	(35.0, 0.6666666666666666)	(36.0, 0.8333333333333333)	(37.0, 2.0)	(38.0, 4.166666666666667)	(39.0, 6.666666666666667)	(40.0, 9.666666666666666)	(41.0, 8.166666666666666)	(42.0, 9.666666666666666)	(43.0, 16.0)	(44.0, 39.0)	(45.0, 866.5000000000277)	(46.0, 10082.333333333785)	(47.0, 7784.666666664093)	(48.0, 1003.0000000000363)	(49.0, 514.8333333333276)	(50.0, 408.8333333333304)	(51.0, 2257.6666666665865)	(52.0, 2682.25000000008)	(53.0, 4785.166666666807)	(54.0, 4451.750000000357)	(55.0, 1437.2499999999739)	(56.0, 11749.333333336137)	(57.0, 12608.000000004226)	(58.0, 1728.9999999999372)	(59.0, 649.6666666666682)	(60.0, 505.166666666665)	(61.0, 437.83333333333235)	(62.0, 298.1666666666666)	(63.0, 238.91666666666686)	(64.0, 231.5000000000005)	(65.0, 177.0000000000001)	(66.0, 132.58333333333331)	(67.0, 104.33333333333333)	(68.0, 96.99999999999999)	(69.0, 80.5)	(70.0, 61.833333333333336)	(71.0, 50.333333333333336)	(72.0, 48.00000000000001)	(73.0, 28.833333333333332)	(74.0, 18.75)	(75.0, 11.5)	(76.0, 7.0)	(77.0, 2.5)	(78.0, 1.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.5)	(82.0, 0.5)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.5)	(89.0, 0.5)	(90.0, 0.0)	(91.0, 0.3333333333333333)	(92.0, 0.3333333333333333)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.5)	(99.0, 0.5)	(100.0, 0.0)
