Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
016R_0_F_NS6_week5_S1_L001_R1_001	97.28765244229162	49.0	279.1003386415758	282	45.45454545454545	0.093314
016R_0_F_NS6_week5_S1_L001_R2_001	92.4052125083053	51.0	262.8934993677262	277	45.45454545454545	0.093314
016R_R_F_NS6_Pellet_week9_S2_L001_R1_001	97.56303908216748	48.0	279.752176963394	282	45.45454545454545	0.096924
016R_R_F_NS6_Pellet_week9_S2_L001_R2_001	92.96149560480376	50.0	264.1272543436094	277	45.45454545454545	0.096924
073R_R_M_S2_Pellet_week9_S61_L001_R1_001	97.65577065481858	49.0	279.0239077541521	282	45.45454545454545	0.141795
073R_R_M_S2_Pellet_week9_S61_L001_R2_001	93.42783596036531	52.0	261.7531295179661	277	45.45454545454545	0.141795
073R_R_M_S2_diabetes_S7_L001_R1_001	97.30280151003377	48.0	279.325988476058	282	45.45454545454545	0.10066
073R_R_M_S2_diabetes_S7_L001_R2_001	93.26644148619114	51.0	263.0010729187363	277	45.45454545454545	0.10066
073R_R_M_S2_week5_S33_L001_R1_001	97.67547817075676	50.0	278.94596960790443	282	45.45454545454545	0.111937
073R_R_M_S2_week5_S33_L001_R2_001	93.74826911566328	53.0	260.15492643183217	277	45.45454545454545	0.111937
073R_S2_week21_S27_L001_R1_001	97.66486356119074	50.0	278.9839787761852	282	45.45454545454545	0.11609599999999999
073R_S2_week21_S27_L001_R2_001	93.82407662624036	53.0	260.1485236356119	277	45.45454545454545	0.11609599999999999
096R_0_M_S5_week5_S4_L001_R1_001	97.46667927025238	50.0	278.9466632006806	282	45.45454545454545	0.084632
096R_0_M_S5_week5_S4_L001_R2_001	93.09008412893468	52.0	261.36981283675203	277	45.45454545454545	0.084632
1067R_0_M_S2_week5_S34_L001_R1_001	97.86079403512818	50.0	279.36163572773745	282	45.45454545454545	0.130095
1067R_0_M_S2_week5_S34_L001_R2_001	94.11122641146854	52.0	261.21864022445135	277	45.45454545454545	0.130095
1067R_0_M_S2_week9_S62_L001_R1_001	97.60331813765788	48.0	279.10900530603095	282	45.45454545454545	0.13380999999999998
1067R_0_M_S2_week9_S62_L001_R2_001	93.17763993722443	51.0	262.90766011508856	277	45.45454545454545	0.13380999999999998
