pathway	Plate1_1136R_RL_F_S5_week10_S58_L001	Plate1_1136R_R_F_S5_week10_S57_L001	Plate1_2518R_L_M_S5_week10_S61_L001	Plate1_2518R_R_M_S5_week10_S62_L001	Plate1_3752R_0_F_S5_week10_S59_L001	Plate1_3752R_L_F_S5_week10_S60_L001	Plate1_3893R_RL_M_S5_week10_S64_L001	Plate1_3893R_R_M_S5_week10_S63_L001	Plate2_096R_0_M_S5_week9_S74_L001	Plate2_1060R_L_M_S5_week9_S75_L001	Plate2_1076R_0_M_S5_week9_S76_L001	Plate2_1136R_0_F_S5_week9_S69_L001	Plate2_2402R_0_F_S5_week9_S70_L001	Plate2_2433R_0_F_S5_week9_S71_L001	Plate2_2475R_0_M_S5_week9_S77_L001	Plate2_2518R_0_M_S5_week9_S78_L001	Plate2_3924R_L_F_S5_week9_S72_L001	Plate2_3929R_0_F_S5_week9_S73_L001	Plate3_096R_0_M_S5_week5_S4_L001	Plate3_2402R_R_F_S5_Pellet_week9_S5_L001	Plate3_2475R_RL_M_S5_Pellet_week9_S6_L001	Plate4_1060R_L_M_S5_week5_S12_L001	Plate4_1076R_0_M_S5_week5_S13_L001	Plate4_1136R_0_F_S5_week5_S14_L001	Plate4_2402R_0_F_S5_week5_S15_L001	Plate4_2402R_R_F_S5_week5_S16_L001	Plate4_2433R_0_F_S5_week5_S17_L001	Plate4_2475R_0_M_S5_week5_S18_L001	Plate4_2475R_RL_M_S5_week5_S19_L001	Plate4_2518R_0_M_S5_week5_S20_L001	Plate4_3924R_L_F_S5_week5_S21_L001	Plate4_3929R_0_F_S5_week5_S22_L001
1CMET2-PWY	17205.51639260521	17875.118296320015	19124.77143200947	16976.829645664326	17271.246597078407	15315.392835420633	15587.277599124795	19105.937645994265	21314.706839955044	20035.608025956957	16295.199896054133	24182.028219322754	22784.76574243314	21643.35404042424	21157.293440207584	18119.38212726061	21000.956023077004	21886.218867962118	10987.733083109739	12332.679117513324	14773.353713196822	13177.68296940523	13202.407698172901	10538.703112931187	14705.383974553277	12062.873658511102	17376.733594050766	20057.083362787816	20060.42164110659	14037.419958578794	15934.23208145236	16927.493302584786
AEROBACTINSYN-PWY	159.29	145.14	133.29	156.0	388.14	126.71	196.14	115.86	299.14	204.86	754.15	141.43	716.85	174.86	128.0	88.57	161.57	127.57000000000001	259.71	204.0	407.86000000000007	476.28999999999996	413.14	98.29	94.86	433.57	253.85999999999999	262.29	691.71	153.29	113.0	347.86
ALL-CHORISMATE-PWY	5322.70498462194	5178.698164215601	5192.373152553317	5230.936642072269	7508.038911029517	4571.15966632342	5536.085488011298	4822.335957064617	7987.468287618111	6207.481186679204	7926.005550756443	5689.295569580008	9733.40560698944	6225.333001939247	5300.210401976016	4042.932756039272	5891.6777580265125	5363.910481593937	4370.747898350736	4552.301148489103	6001.732118864314	5551.606632459851	5920.952282029163	3062.3681281783065	3594.8008792158976	5047.583508836304	6168.90632501287	6912.836790205998	9080.779359983375	4401.206560541066	4193.857203918658	6238.222120509779
ANAEROFRUCAT-PWY	12516.912903193734	13657.707162184066	13888.3164240591	13623.75551087392	12906.015500315263	12827.778948462132	13001.722388201886	14584.598218196359	15393.672685666546	13645.474186997903	13494.479775531137	23177.26362399399	16568.536118391974	17158.340599233823	17920.601905466134	14162.250753580689	16704.927003979737	16243.970024435304	9628.88733133295	10199.567925105848	12394.9135789742	10030.466233925767	11506.54476618241	9211.629130328864	7914.25391760256	10436.831155607715	14776.390236747622	16851.59458922983	16984.80439410458	11381.40326471844	13132.953172013827	15537.075365957266
ANAGLYCOLYSIS-PWY	22653.883690288614	23600.180858926997	25334.078375953588	22644.144462522203	22950.949661371764	20667.63575539342	20975.61267304994	25303.135757424632	28125.465435125996	26500.330897099633	21350.21203563709	34323.11531058797	29552.46958809838	29126.900425450534	28511.785538457767	24381.00757063422	28236.271870997156	28920.745292096497	14630.51126327609	16364.643440471922	19415.882153839768	17224.94103299433	17896.04295897676	14289.352183865385	18686.581070905388	15955.159301810949	23283.84298672939	26945.005345465488	26849.251030141066	18586.320321677198	21151.106302855693	23264.526566462126
ARG+POLYAMINE-SYN	1368.6361019697251	1221.3276777530552	1381.679951732241	1512.5243469849954	2316.631852801676	1063.582790145117	1409.4553252042147	1213.1633598027015	1968.2234146313472	1471.2578956302316	3730.7315710159387	1180.7026140645487	3877.177761136492	1663.194761926288	1530.2363855919752	1104.0533339202764	1729.308246293909	1517.832502214214	1293.4966681834774	1171.579263860073	1938.4341341577804	2556.1276304512826	2347.6970278238623	1173.2782861218982	679.0110480189497	2335.2768290572417	2243.3390882597687	2554.908269423581	4160.27996996877	1480.2322306641106	1386.4359871610563	2201.9432611916263
ARGORNPROST-PWY	705.541870175688	469.065629034443	434.7605108531528	604.7442324532046	503.11176461343933	668.329997142471	704.9885583645992	602.9628113670415	557.3529542210738	600.543583424389	1244.5043221252652	781.3766069350644	648.6524864931802	878.1556553783811	1146.2406022342925	590.4070005957219	732.9782081407249	738.9110064721685	611.43088381863	719.341434589649	682.3262509147022	557.8946824030542	457.3698185300028	363.3768816295308	170.27363910093425	693.8041371816386	684.803041613307	742.5742607467292	709.3533276219148	604.6221185408561	344.2338619390281	650.783540828798
ARGSYN-PWY	14947.368357950438	15613.304545789517	16260.844414026422	14597.778250473639	14751.741525461908	13206.82886104546	13222.135316720465	16530.432563954888	18678.845852570168	16937.38510940097	14303.798439997257	19374.425168586215	20412.91835332622	18357.15716096794	18278.048941054734	15209.38031162645	18071.475204432885	19727.95322012053	10391.360975867727	11603.43642756448	14052.293091359386	11578.29158179517	11393.287509162177	9064.65839579294	13174.42422253897	10781.305316335407	15274.13747160098	17375.38874770199	17328.35614661609	12464.352467251967	14230.64661164947	13976.103821271377
ARGSYNBSUB-PWY	16541.903490356377	17318.963739937823	17935.40799652987	16098.993731384267	16333.023836526196	14559.102691159704	14536.588631790139	18269.389027991496	20748.919058130487	18750.44258671675	15898.171257281308	20640.067849027753	22865.617893317092	20223.77672337884	20191.260387243212	16711.651709628284	19943.868455367214	21995.776053580677	11727.921781901045	13061.248245855704	15888.966758272878	12917.476115116477	12582.045221431243	9986.96051193138	14763.032668706715	12048.789425827828	16957.23292087016	19244.537026521994	19251.7979306552	13856.572556723411	15815.908181071713	15312.988028204916
ARO-PWY	16599.706356531507	17383.16284560244	18278.907762680985	16356.158373166312	16670.52262961981	14767.235133944148	14969.776035461568	18413.45815844951	20730.48862972546	19282.946307523514	16110.613865983756	22191.70370385379	22562.21556031823	20759.22314075812	20551.766491876802	17231.958920003886	20235.975030470265	21496.81039893763	11266.76362187529	12552.628348404816	15218.454078038421	13032.831392801081	12856.226990845005	10219.180628305889	14350.683500468258	12091.868711893123	17056.90664127972	19545.400635777616	19713.52225391979	13804.669257859778	15663.438774750808	16191.802856659086
ASPASN-PWY	9198.383281324346	9965.707221543167	10916.573798953163	10253.702620205859	9714.85454474785	9151.103642348242	9893.871423847111	10707.085164747072	10326.404958885656	11396.085241734323	9754.218181384025	20205.65300825822	11847.663063038153	13774.844277473365	12824.902563598782	11402.270529359226	13198.352348458933	10297.198607558495	5492.943884741513	5669.281309161386	6886.335948952969	7523.882225563099	9192.221736838368	7540.680315513066	5619.324036530047	7097.027321496987	10842.931641804942	12709.51957070809	13056.612113451536	8209.670608396373	9545.614277558147	13225.964331300427
AST-PWY	176.98888888888888	161.26666666666668	148.1	173.33333333333337	431.2666666666666	140.7888888888889	217.9333333333333	128.73333333333332	332.37777777777774	227.62222222222223	837.9444444444445	157.14444444444445	796.5	194.2888888888889	142.22222222222223	98.4111111111111	179.5222222222222	141.74444444444444	288.56666666666666	226.66666666666666	453.17777777777775	529.2111111111111	459.0444444444444	109.21111111111111	105.40000000000002	481.7444444444444	282.06666666666666	291.43333333333334	768.5666666666666	170.3222222222222	125.55555555555556	386.5111111111112
BIOTIN-BIOSYNTHESIS-PWY	17649.608858125448	18599.06964471295	20383.07830398495	17858.651837063793	17842.494198895365	15463.85106395044	16683.99481371328	19776.45640155784	19959.08267420334	22418.802525921237	16621.088767339625	28160.9437374157	21698.145331100142	23770.241634748527	21819.80215763509	19790.89110677065	22489.259827803216	18826.921720348237	6554.791456663869	7775.477465588847	8718.803889678236	13989.424023627242	14085.523162980782	11691.468238737345	13765.82319728691	11930.94281134958	17491.141075831987	20613.953265508928	20710.310820908056	14257.196950474157	16189.020722641397	19840.435146637825
BRANCHED-CHAIN-AA-SYN-PWY	20531.63767830535	21412.738897113108	22911.185077865175	20497.008808064387	20589.515709618543	18609.497699638232	18795.46283203228	22954.546308258967	25412.599530970576	23440.8340464561	19246.581448631638	29337.668503372093	27013.383301154125	26149.031610411774	25520.472761305744	21870.523323270754	25469.914267189466	26473.099465033407	13461.214688036465	15058.236978558334	18053.559129900103	15518.888836991679	16087.82337122154	12902.379405379104	17064.956327601038	14355.724531932075	21070.485554191117	24179.06750755079	24054.759728821766	16951.597019160992	19491.611152994203	20316.3747459837
CALVIN-PWY	16921.877129859986	18038.095476528975	19004.262368504325	17894.289359641876	17376.495957125073	16245.975832142447	17094.662547641616	19288.053667152453	19845.41190195198	20281.79936217983	17922.131206991806	30220.72483761953	22315.60615511632	23246.631861169084	23068.810731034457	19261.520982110687	22441.414556279156	20482.09303613292	11719.42593744528	12368.043551862385	15080.298269989004	13742.175024781332	15256.508887471444	12252.533132885641	11672.559057269415	13399.097642244118	19080.256489203115	22179.168455210573	22331.868139741637	14819.359060500929	16728.516985863447	21012.42883801056
CENTFERM-PWY	992.7091896883918	920.2045948302242	851.3231445979336	983.834724546114	2065.9755927565743	810.6252153117257	1200.808322493573	753.537010475801	1757.098890431985	1226.5974490400226	3332.2483822867907	937.4876807777372	3397.466333924015	1106.0779834025038	834.5295062256532	583.3075515626196	1030.62894927751	829.4752231822949	1420.3225051982502	1187.773489034703	2131.5383447700206	2150.865427046893	2124.4284210962624	622.0689351005485	584.8223124667747	2076.300324150906	1502.988896153095	1578.8231415590922	3332.1991800063884	941.6574397122622	729.11993357405	1986.8694977426671
COA-PWY	14956.175526695582	15402.587907296058	16752.18105449333	14600.674344153085	15023.07359105419	12921.346698375333	13383.640742102403	16447.736239880287	18366.52393308195	18119.03977024753	14044.359333239843	20426.344753940157	19626.509255467547	18942.27959986761	18262.66788663495	15834.219009109513	18150.24567715509	18504.305588225987	8680.589558806585	9966.368854047467	11724.941587619982	11569.232767864713	11199.492051108982	9115.604822709778	13114.647658279342	10270.76337842934	14886.5301349518	17363.169909159617	17368.34732280071	12084.102213009188	13402.518927487386	14441.840681069538
COBALSYN-PWY	13004.437646477625	13599.532348967974	14711.946562695588	13375.499582324219	13293.440538649375	11856.536746744565	12319.150333330244	14680.881974680138	15890.235126193224	15134.8898088383	12803.907237351461	19667.438632193276	16174.205947741633	17118.33947067929	16795.575464965365	14399.271955246653	16452.44317696618	15931.095407614466	8144.501144593269	9007.861863785221	10724.195614709424	9837.226943660567	10775.236996016318	8622.946321206065	9277.138628892651	9321.308377509442	13582.980321414143	15847.449924107665	15928.910166644622	10679.972812859365	12124.762937684702	14301.258544498856
COLANSYN-PWY	15600.968404323672	16245.708777595746	17156.79056438329	14936.654491792722	15924.537499416456	13249.407568551209	13582.376880305388	16893.561201719764	18937.82202982643	19128.66605362028	15284.949461615273	17006.00916061616	21619.83339209713	19608.604231862395	18831.14167280994	15863.510565991908	18941.19467321672	19407.171641111712	9700.368122382246	10807.630150527602	12816.923714683555	12857.77562205344	12094.044832518028	9248.85975512022	13774.51642322475	11556.45923705878	15784.039036236292	18034.29062269363	18665.778246402067	12937.875024823274	14244.700497373444	14825.597035430244
COMPLETE-ARO-PWY	18110.70261130329	18971.004363224245	19943.632587132266	17832.303794647338	18182.85364858567	16081.00370079502	16308.965672547862	20077.821790475864	22576.14739256622	21090.990397469115	17565.70612413167	24200.75299188569	24664.887046457163	22678.36292451198	22418.702264650718	18805.197651558505	22099.682829606187	23439.957787111423	12279.09460331038	13677.690872840158	16581.245957907027	14250.072807299568	14029.781363151884	11163.954649528354	15710.045154581507	13203.669975418647	18625.063079768825	21337.290218791764	21517.282010460807	15080.13380431221	17097.915439315926	17686.569277250157
DAPLYSINESYN-PWY	15056.387193818045	16400.614509212766	16302.60811810601	15727.27754574679	14996.743173569832	14954.468494188948	15195.238282959293	17607.95240478741	18819.558105973	16668.206540183222	15088.49365682629	25946.83888975469	19471.852821937937	19411.363574018647	20145.669411939976	16409.88455578999	19282.827384240594	19702.861209797415	11314.316603097537	12209.718051160284	14791.280833882285	11672.556539310142	12891.138567980448	9831.835592621474	10746.902587031645	11918.380676650959	15852.369130597277	18023.75300586875	17570.954040913486	12637.106903332293	15035.59181894573	17713.027434175903
DTDPRHAMSYN-PWY	24583.490455505376	25365.420391914486	28272.825668947433	25389.740540081395	25307.10458258812	23435.15861265036	23759.615586508153	27920.137774267372	30111.12510803777	27875.85238759221	22775.201327566665	44492.20084699567	30517.730484068335	32989.488842894134	31421.248843806196	27882.343956352583	31849.05527924469	30749.048177861434	14530.473749014787	16349.606592225435	18985.496741298128	17876.043389812796	20511.55284229378	16446.763989603103	18369.01404370074	16351.590879326159	25583.042274039904	29630.35468664782	29553.45563120343	19979.875220990387	23301.47458148448	27963.256087257752
ECASYN-PWY	412.2718341662756	368.06095430576386	378.21642900913923	423.04925580619863	853.3499470466179	341.5545384923139	478.4681115017235	342.1932313538931	711.7194868065749	544.9561216454415	1516.1445153922762	384.28237004809125	1416.4297146113752	443.68262831012174	352.02216936797316	264.01977576171606	414.99178906985765	362.0699739135173	561.6888549828262	481.2271172764128	871.7000728650677	913.1974737997375	870.7311672070183	252.99330631982215	286.99714951340206	863.3682853947448	608.2517382978311	641.8582070287991	1443.8566980549447	368.566762020929	320.05114001015045	838.9749058603132
ENTBACSYN-PWY	1043.753204023037	987.5742807018348	905.0423185726647	1019.8679525016142	2186.605908991927	850.8869351905496	1235.0014485904105	807.6673640897724	1874.482096514077	1372.7180170117008	3526.9880243535335	976.74747593765	3812.4043064394154	1171.7894920669246	903.3901814827177	630.468954063456	1088.8940009627254	892.5538855086027	1530.908894420532	1275.621436390762	2322.9815556839467	2442.231526675093	2075.0143015241574	630.1953556056336	668.630663207064	2253.757519170464	1546.5700942266958	1642.072991170705	3501.8052816085815	974.8947005866476	761.4311850758111	1967.9466404820816
FAO-PWY	702.4471249075374	680.3205604046318	613.3615911386975	690.5086701754032	1443.5380330860758	591.7463665073117	848.5231464231044	550.1118464197762	1236.5982371595946	918.3888305278315	2312.519552756848	726.8906259473465	2390.782254797653	793.7696563059534	632.351501791159	437.10273635359005	741.9665941773033	619.1046083129007	1021.8295430235329	861.4285583382305	1511.0534244362257	1581.7994140677317	1406.3702759641617	438.5420380011245	430.11566650920514	1524.4568890074195	1027.7712671923323	1122.0935491094385	2371.029518259971	653.6149917998559	506.20746024046247	1381.981853642976
FASYN-ELONG-PWY	20876.486206384736	21765.450918594357	24603.98648195444	21834.638853624074	21048.460245548045	18908.462208846257	20756.98942052371	23903.40107748135	25000.147567076598	25457.77943290134	19595.33924910918	35583.98819065136	26411.831855586333	28019.385602924893	25812.747569943458	24056.13434749502	26241.900169408622	25186.953756076444	11675.778351333303	13344.404089896056	15444.527614284296	15838.481162388274	16453.715032697022	13860.81675750186	16735.399116978668	14123.20818174187	20657.624072365306	23916.673759245532	23958.79169824716	16729.57659593266	18845.688490412653	23901.96741833779
FASYN-INITIAL-PWY	9007.619480762676	8954.969348310924	9843.005439920347	9502.806115021476	10452.197648686431	9437.75516529143	9472.169473674388	9809.551819766188	11929.442001277568	10308.706527134806	10694.286862390649	17562.056253043564	12091.49223964118	12886.040250706434	13210.999704610804	10474.646214409073	12367.531757125385	11639.275212396627	4439.314944446457	5307.617536512327	5867.911729322994	7512.4919136896915	9149.15402203968	6576.107924634075	5192.429660544102	7564.26801833393	10829.709424098943	12764.477491551494	13563.178754318698	7850.427512715477	8243.866253873766	11382.927370732381
FERMENTATION-PWY	8610.148920986438	9407.780568664337	8768.48142013807	8958.129621720333	9300.364611917254	8910.324112850047	9174.564772102502	9747.630394733893	11065.392195581617	10345.961366576905	10947.632649329638	15389.30482143167	12355.672174184856	11296.750915453653	12489.785647681996	9088.979428168754	10899.098548135064	11118.79005285954	7919.00680659219	8239.422322612123	10200.192965496533	7991.451159100939	7951.907380884831	5535.768465931106	5694.12147518783	8475.98832131818	9562.369286710611	10804.340157645669	11719.620729196393	7468.338357378398	8082.12203297807	11182.274601823627
FOLSYN-PWY	15904.42834010699	16545.6733184544	18028.845062095614	16015.372311501082	16172.959223916243	14442.028282128256	14809.129539391753	17827.173013001964	19313.738899047054	18400.16636763628	15026.373788261284	23722.200401744347	20566.478516479492	20592.30437568897	19570.507228045633	17252.409871184773	19871.419539188937	19592.180162567594	9490.121130938553	10605.91073058546	12597.112063716057	12144.727932876944	12748.722788516132	10075.829364162077	12632.955266185907	10942.518431055967	16065.888750807699	18483.409611496845	18679.455463489874	12902.957242993347	14888.760653653002	16373.361352839893
FUC-RHAMCAT-PWY	7927.774324824519	8735.195632179384	9197.730050113341	8581.63288830347	8177.811413476948	7778.260349401299	8267.082200521168	9215.66290075871	8906.03478672564	10006.98513337585	8701.774662534088	14745.214751461164	10709.554374697109	11618.820068090708	11067.893140036012	9473.426092586258	11062.714860132437	9225.590998310243	5551.894755025624	5636.390842165661	7014.600340931729	6797.071108044479	7489.823891199651	6127.6084576873645	5177.245442229261	6731.5347413850595	9078.189385974	10459.184007684486	10709.813186725998	7148.270915519421	8216.547783446045	10724.332543940418
FUCCAT-PWY	11280.876382827126	11947.81837829832	12042.81531909039	10513.454186492962	11112.989399262546	9509.497748751683	9536.575063978833	12332.101950261598	14124.281457500434	13629.810342709327	10614.9816660059	12540.008069172178	16263.620168781565	13429.880232495907	13192.737476879343	11011.939003243437	13251.26422802369	14930.030182853536	7992.943547057627	8865.233934050224	10772.347319173525	9274.685216682306	8039.846959976926	6176.026312024097	11159.542631798238	8416.515964948176	10814.794726258971	12185.932970216683	12267.172641473344	9158.79194831692	10415.94802565524	9969.686281464663
GALACT-GLUCUROCAT-PWY	8863.743145584916	9791.11170647199	9845.266543672422	9427.81944984528	9614.253381241208	9041.900009591913	9608.805932022855	10406.909190615686	11008.41289744249	10697.557678710325	9830.21548944905	16701.831135603963	11795.1239099276	11479.155154230632	11854.812005983917	9859.866917713662	11218.439615619285	10605.053182405009	6237.536474578068	6423.467867260558	7916.23649919464	7677.05135734721	8188.520355383356	5527.562349913249	5824.756506242087	7594.289581953497	9046.728926790629	10531.691754086844	11435.535740053243	6984.899451099993	8306.306225555378	11587.751599058452
GALACTARDEG-PWY	3496.4150447255447	3779.1150610377163	3503.0392930481507	3714.7872372324127	3741.7200281791615	3511.3463817176066	3896.3295157095054	4018.97644448612	3846.532988302382	3881.4790247326555	5086.026979241083	7146.333736838976	5382.932581985967	4455.325273386902	4629.916926071979	3676.288702109972	4570.235914252405	3645.4164140964394	1956.52435045635	1884.5490260068116	2278.0659396367896	3411.0135580704527	3841.3250029007986	2436.624618900665	2076.649972402646	3572.0777595973727	3871.13104913786	4375.11311228002	5068.400819184005	2991.1960287262955	3482.8034671640567	5292.433769570611
GALACTUROCAT-PWY	10842.36351517353	12208.319597150748	12243.402423575531	11874.38857366101	11193.652275459614	11198.269874267258	11708.96813102902	12683.47744513999	12157.705770914697	13065.420114927125	11181.850436180863	23627.00586807016	14012.39506180959	15680.575920329255	15437.85012887851	12763.247362222943	15249.651096964859	12801.790098868023	8179.658785059268	8276.288391131066	10011.066092712455	9084.55036840547	10533.593783890969	8302.410189901988	6791.066354017298	9275.712821290934	12360.16852405669	14016.331573294268	14017.736175954182	9737.133052242187	11424.126239144667	15524.488229125787
GALLATE-DEGRADATION-II-PWY	97.38924965295625	0.0	0.0	60.62780741285463	0.0	76.83091406557783	95.05106325188378	81.60052799885592	0.0	60.9901389536609	247.7590726678315	120.64959527697489	69.5692089034078	62.228787048934095	46.9282054525903	67.5593835787868	96.01537571302762	138.33448472626262	49.865658834439756	84.90732874048967	0.0	0.0	0.0	16.614200995831393	0.0	0.0	0.0	26.450137636017214	0.0	0.0	0.0	0.0
GLCMANNANAUT-PWY	9323.984989971299	9844.727050025873	10035.31030322918	10140.951796016792	9903.58483398179	10439.449058802174	9867.418466275845	10865.588508284847	12125.531469731608	8253.535234368748	9939.595144833635	19258.149865573767	12096.507625109147	12854.502148930242	13452.183524188133	10572.273579968878	12933.743414966351	13397.865750923182	8477.609330349896	8912.717086298666	10676.01250911619	6858.296840883501	9406.436943947716	6646.843420584598	5021.720779403882	7653.534908696729	10971.972954201254	12092.422795240578	12147.501968398805	8287.123905719765	9967.875382345363	11519.297339618495
GLUCARDEG-PWY	1190.8105006560427	979.326267246704	845.8327854743435	1065.117317069048	1636.258591963778	994.4875677177998	1295.1795181785158	1025.7836419167181	1616.4076933753952	1284.223597245912	3075.809524556096	1537.5058707229502	2791.4624984132006	1129.4585596039276	1125.9841876015416	798.4846080860376	1177.246493964181	1319.6021492070213	1330.1757505670937	1266.840289095336	1781.973031829517	1787.4517389647249	1859.9298595242117	669.3185973294517	610.6989557836675	1783.1184192414562	1317.1167178220055	1505.510341792221	2580.6991136307765	934.1518665740621	680.6712710066898	1941.4419484292284
GLUCARGALACTSUPER-PWY	3496.4150447255447	3779.1150610377163	3503.0392930481507	3714.7872372324127	3741.7200281791615	3511.3463817176066	3896.3295157095054	4018.97644448612	3846.532988302382	3881.4790247326555	5086.026979241083	7146.333736838976	5382.932581985967	4455.325273386902	4629.916926071979	3676.288702109972	4570.235914252405	3645.4164140964394	1956.52435045635	1884.5490260068116	2278.0659396367896	3411.0135580704527	3841.3250029007986	2436.624618900665	2076.649972402646	3572.0777595973727	3871.13104913786	4375.11311228002	5068.400819184005	2991.1960287262955	3482.8034671640567	5292.433769570611
GLUCONEO-PWY	18129.531993589746	18866.904762335	20498.97743452938	18320.48242707606	18419.622769387257	16480.0163934538	17013.533012013537	20322.84112559531	22007.50920491472	21276.289202883152	17441.949593269204	27418.986529370693	23380.07034573076	23615.27763204505	22718.168133578984	19776.54523813962	22734.52889536139	22268.000709431373	10929.265338879712	12209.836944603767	14516.802433400759	13927.538274353808	14596.63477493056	11646.437634726526	14198.517659385952	12709.05603752368	18588.42316690314	21515.182089721566	21691.276896584735	14856.568050559144	16917.63285936602	18956.92527679536
GLUCOSE1PMETAB-PWY	17639.772696070988	18079.24142800768	21122.74404623678	19050.175984506946	19251.464108562363	17125.421944837377	18612.710974964742	20134.707845589564	19714.085854515484	21606.406519146873	18320.203117966586	36562.032955784845	21600.38812580447	25746.438223390098	22869.667144355313	21694.882375675996	24250.730495985168	18400.955816580423	7392.221551470423	8135.448973524055	9918.894561353354	14010.333268760576	17088.420299130496	12993.336569838864	10915.07968603522	12193.217080097183	18732.052629770464	22193.10375591508	23433.09297776907	14139.78819200009	16234.524994626721	23287.08738317742
GLUCUROCAT-PWY	8364.648147943604	9221.852712488919	9193.248723662968	8854.450402730477	9388.504084312266	8669.071944687612	9183.80652063335	9784.604670837016	10865.699460397831	10195.704942213248	9970.623667940656	15593.391935944133	11611.873672066058	10674.952765596592	11301.52923188862	9204.2887992895	10451.72401121637	10225.059178658044	6813.414005937361	6880.280660763672	8658.335515061755	7532.883360165149	7898.436256819473	5007.734931815341	5484.10394353853	7717.5890423413675	8551.025864819345	9990.808919197205	11275.316072399419	6482.3907633070385	7648.387451511492	10950.457020002257
GLUTORN-PWY	17112.769611749118	17776.572591635915	19000.3499115315	16836.179478096183	17162.68685999219	15136.469267258077	15350.829445567231	18984.07672844356	21366.97484184317	19746.756328765656	16248.17180632864	22541.407100427485	22849.72377032723	21323.00281677319	20852.767708516716	17831.05462330077	20725.445656285614	21948.75702009908	11016.795630290746	12407.696479020922	14946.701494491745	13159.219443499767	13055.013774382118	10395.599898223802	14777.452917315115	11989.598630491151	17241.03939705811	19805.050589348706	19937.756346525683	13979.563134436863	15926.03954011022	16229.529567156995
