pathway	Plate1_1136R_RL_F_S5_week10_S58_L001	Plate1_1136R_R_F_S5_week10_S57_L001	Plate1_2518R_L_M_S5_week10_S61_L001	Plate1_2518R_R_M_S5_week10_S62_L001	Plate1_3752R_0_F_S5_week10_S59_L001	Plate1_3752R_L_F_S5_week10_S60_L001	Plate1_3893R_RL_M_S5_week10_S64_L001	Plate1_3893R_R_M_S5_week10_S63_L001	Plate2_096R_0_M_S5_week9_S74_L001	Plate2_1060R_L_M_S5_week9_S75_L001	Plate2_1076R_0_M_S5_week9_S76_L001	Plate2_1136R_0_F_S5_week9_S69_L001	Plate2_2402R_0_F_S5_week9_S70_L001	Plate2_2433R_0_F_S5_week9_S71_L001	Plate2_2475R_0_M_S5_week9_S77_L001	Plate2_2518R_0_M_S5_week9_S78_L001	Plate2_3924R_L_F_S5_week9_S72_L001	Plate2_3929R_0_F_S5_week9_S73_L001	Plate3_096R_0_M_S5_week5_S4_L001	Plate3_2402R_R_F_S5_Pellet_week9_S5_L001	Plate3_2475R_RL_M_S5_Pellet_week9_S6_L001	Plate4_1060R_L_M_S5_week5_S12_L001	Plate4_1076R_0_M_S5_week5_S13_L001	Plate4_1136R_0_F_S5_week5_S14_L001	Plate4_2402R_0_F_S5_week5_S15_L001	Plate4_2402R_R_F_S5_week5_S16_L001	Plate4_2433R_0_F_S5_week5_S17_L001	Plate4_2475R_0_M_S5_week5_S18_L001	Plate4_2475R_RL_M_S5_week5_S19_L001	Plate4_2518R_0_M_S5_week5_S20_L001	Plate4_3924R_L_F_S5_week5_S21_L001	Plate4_3929R_0_F_S5_week5_S22_L001
1CMET2-PWY	17293.788083636875	18050.937509770327	19363.294380029532	17141.344086826666	17286.42477976892	15286.584927480866	15755.642022988503	19250.68088329758	21091.731008050632	20576.45733205149	16290.088280557915	24339.90839450205	22787.88181103229	22044.692436163958	21321.931513332398	18425.79744366463	21230.649996873668	21600.75490661607	10701.143687692223	12021.506383160093	14374.779514563477	13382.66071601961	13337.347592962999	10817.035775373446	14803.315803341246	12122.945095571094	17476.982909260132	20193.724327825224	20151.14321719781	14174.458326446089	16027.351003557844	17374.928123957714
AEROBACTINSYN-PWY	159.29	145.14	133.29	156.0	388.14	126.71	196.14	115.86	299.14	204.86	754.15	141.43	716.85	174.86	128.0	88.57	161.57	127.57	259.71	204.0	407.86	476.29	413.14	98.29	94.86	433.57	253.86	262.29	691.71	153.29	113.0	347.86
ALL-CHORISMATE-PWY	184.75271375464683	168.34081784386615	154.59657992565053	180.93680297397768	450.18468401486984	146.96475836431225	227.49323420074347	134.38037174721188	346.95791821561335	237.6071375464684	874.7018587360594	164.03776951672862	831.4394052044609	202.81159851301115	148.46096654275092	102.72802973977694	187.39717472118957	147.96223048327136	301.22498141263935	236.6096654275093	473.05695167286245	552.4255762081784	479.1809665427509	114.0017843866171	110.02349442379182	502.8767286245353	294.43985130111525	304.21739776951677	802.2807434944239	177.79360594795537	131.0631970260223	403.46587360594793
ANAEROFRUCAT-PWY	3433.667140064836	3887.7431439192055	3696.0077524306976	3996.8358671256265	3622.9663590440205	3840.61475740912	3857.1421450780585	4247.172889492239	4661.0301180456545	3308.820227625627	4565.430425872273	6896.292289134215	5156.7996334759	4586.408826197145	5313.226066622725	3933.9694054936936	4730.908380708938	5163.390556548259	4101.1718463323405	4047.6034540951837	5551.098632073353	2848.7334235879116	3575.596921531279	2822.035203548431	1922.9671856828552	3363.925820882032	4701.848782030491	5394.03471482865	5669.277530210311	3382.7894228462733	4203.233578878545	4597.830385383413
ANAGLYCOLYSIS-PWY	21550.41278066624	22459.415018389744	24201.67337895615	21590.793646200407	21849.971851299902	19658.731460622374	19975.136620288737	24101.058736974057	26606.74875021058	25233.024262830764	20260.551540984914	32170.37890383183	28157.020486329617	27859.10509852249	27051.65498556409	23316.92719808566	26998.664529531383	27414.216702613474	13734.823155661747	15363.188778123258	18242.21871362883	16407.655131787902	17098.679119104287	13692.088769127007	17826.64898428686	15081.804016816022	22167.482526168427	25635.388892882493	25579.639707571045	17694.41358317927	20228.468425991112	21995.925560749645
ARG+POLYAMINE-SYN	188.0144262295082	171.31278688524588	157.32590163934424	184.1311475409836	458.1324590163934	149.55934426229507	231.5095081967213	136.7527868852459	353.08327868852456	241.80196721311478	890.144262295082	166.93377049180327	846.1180327868852	206.392131147541	151.08196721311475	104.54163934426228	190.70557377049178	150.5744262295082	306.5429508196721	240.78688524590163	481.40852459016395	562.1783606557377	487.6406557377049	116.0144262295082	111.96590163934425	511.75475409836065	299.6380327868853	309.5881967213115	816.4445901639344	180.93245901639344	133.37704918032787	410.5888524590164
ARGORNPROST-PWY	223.2441935483871	109.5	97.5	187.23967741935485	122.17	203.96548387096777	227.05064516129033	180.92032258064518	124.67	185.12032258064517	506.5967741935484	270.02483870967745	208.8667741935484	272.38709677419354	351.90548387096777	176.82258064516128	243.29258064516128	256.86870967741936	206.78387096774193	247.5925806451613	197.83	172.17	126.33	105.74516129032259	30.83	234.83	198.17	197.98709677419356	192.17	175.67	73.67	198.17
ARGSYN-PWY	10855.930239587935	11437.494533160158	11404.512974625213	10168.089500384222	10630.790173823083	9132.62534692717	8977.895549865047	11749.160614058672	14016.207918643102	12470.96096298121	10713.841188172892	11013.714686932148	16151.22386544694	12685.62019418276	13067.760590940732	10290.982633363166	12614.684186165074	15160.476202069714	8776.267696231136	9687.196897262433	12114.213700801085	8917.258532704931	7863.632354733505	6204.988557961487	10766.6755937665	8445.397388164696	11214.140206483806	12595.941349000046	12717.226650189068	9317.539388719626	10407.136313593322	9159.908557268149
ARGSYNBSUB-PWY	12429.537309670255	13114.145625388148	13073.039783375265	11664.553283612233	12175.445564521933	10492.19894229591	10298.409051813693	13483.1286717643	16055.042811401641	14229.251801800154	12232.417179512257	12721.158344564252	18502.327469089178	14538.906310603532	14953.884819026014	11806.588623914002	14471.270668022167	17398.81323029577	10082.453580597481	11115.958559642108	13918.363334896003	10186.100980360216	9016.058545660024	7112.949044927655	12307.79234128386	9645.72442516362	12842.431408497212	14407.575967054336	14549.689409778715	10665.604192304152	11964.88646351567	10484.841882878438
ARO-PWY	11158.836749099435	11782.213302572352	11731.311546962188	10454.149430232805	11004.283134213487	9386.458791430816	9266.880622695968	12080.460964818147	14456.58154658303	12997.781988164134	11156.115314222607	11325.480875613423	16720.393018871706	13082.675500324689	13512.418702744319	10605.399121831362	12915.258813527742	15561.519293278485	9068.404576096542	9981.933977345701	12520.255800061555	9287.764288210352	8098.3744086519955	6380.6231954483055	11110.86497144522	8812.834091843502	11570.293783012661	13024.08599986409	13239.364833885944	9586.61373358198	10611.453387625379	9520.340044376824
