pathway	Plate1_1136R_RL_F_S5_week10_S58_L001	Plate1_1136R_R_F_S5_week10_S57_L001	Plate1_2518R_L_M_S5_week10_S61_L001	Plate1_2518R_R_M_S5_week10_S62_L001	Plate1_3752R_0_F_S5_week10_S59_L001	Plate1_3752R_L_F_S5_week10_S60_L001	Plate1_3893R_RL_M_S5_week10_S64_L001	Plate1_3893R_R_M_S5_week10_S63_L001	Plate2_096R_0_M_S5_week9_S74_L001	Plate2_1060R_L_M_S5_week9_S75_L001	Plate2_1076R_0_M_S5_week9_S76_L001	Plate2_1136R_0_F_S5_week9_S69_L001	Plate2_2402R_0_F_S5_week9_S70_L001	Plate2_2433R_0_F_S5_week9_S71_L001	Plate2_2475R_0_M_S5_week9_S77_L001	Plate2_2518R_0_M_S5_week9_S78_L001	Plate2_3924R_L_F_S5_week9_S72_L001	Plate2_3929R_0_F_S5_week9_S73_L001	Plate3_096R_0_M_S5_week5_S4_L001	Plate3_2402R_R_F_S5_Pellet_week9_S5_L001	Plate3_2475R_RL_M_S5_Pellet_week9_S6_L001	Plate4_1060R_L_M_S5_week5_S12_L001	Plate4_1076R_0_M_S5_week5_S13_L001	Plate4_1136R_0_F_S5_week5_S14_L001	Plate4_2402R_0_F_S5_week5_S15_L001	Plate4_2402R_R_F_S5_week5_S16_L001	Plate4_2433R_0_F_S5_week5_S17_L001	Plate4_2475R_0_M_S5_week5_S18_L001	Plate4_2475R_RL_M_S5_week5_S19_L001	Plate4_2518R_0_M_S5_week5_S20_L001	Plate4_3924R_L_F_S5_week5_S21_L001	Plate4_3929R_0_F_S5_week5_S22_L001
1CMET2-PWY	2.985009999923626e-11	0.0	0.0	0.0	1.8381999999710374e-11	3.073652627732472e-05	0.0	0.0	0.996806686158211	0.0	6.999999999999997e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.9998153317994914	0.9999988947130054	0.9999999999999906	0.9999999999999216	0.0	0.0	0.0	1.3999999999999983e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANAGLYCOLYSIS-PWY	1.0	1.0	0.9999477453226855	0.9999999611309446	1.0	1.0	0.9676247382657706	1.0	1.0	0.9998681677327864	1.0	0.9429870589406818	0.9999999999999668	0.9999999999996572	1.0	0.9678645037093967	0.9999999999999996	1.0	0.9999999999997375	1.0	1.0	0.999999897943554	0.9999996354330173	0.9988923957757841	0.9999999660149904	0.9999979958391775	0.9999999996816406	0.9999999999986579	0.9999999999997454	0.9999999997492923	0.9999999999999704	0.9975374725755626
ARGSYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999461286	0.9999999995170499	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYNBSUB-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999999999584641	0.9999999996274385	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARO-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5413004714810108e-06	0.0	0.7778380609383512	0.0	0.06928929564512011	0.0	0.0	0.0	0.0	0.0029292111095091562	0.9999999999991134	1.0	1.0	3.6612430169820454e-05	0.0	0.0	1.3439999999998451e-13	0.982363549000898	0.0	0.0	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY	1.0	1.0	0.9998288229919297	0.9999998016841009	1.0	1.0	0.9168885358516089	0.9999999999999998	1.0	0.9996344867797835	1.0	0.6760033387986567	0.9999999999998621	0.9999999999985381	1.0	0.9341631804720723	0.9999999999999979	1.0	0.999999999998766	1.0	1.0	0.9999997034401557	0.9999988311349695	0.9971404926261664	0.9999999174098435	0.9999952254775908	0.9999999988574084	0.9999999999933575	0.9999999999987121	0.9999999989701017	0.9999999999999123	0.7629855611754371
COA-PWY	0.9983465435821913	0.6283068531217418	2.0780917104047748e-05	0.00010137260280683364	0.9985989462087497	0.6270927524851525	1.6036230878611327e-13	0.30583614947398696	0.9999960295994502	0.46430584070230785	0.9900977185766875	0.0	0.32054300488077525	0.08436753190949148	0.523491003814228	1.1046464749257665e-11	0.08169154235631744	0.7822012418654228	2.1466780619500483e-06	0.0809031022470239	8.924798848667266e-05	0.6108551623040958	2.9949074452334926e-05	8.922765461751396e-07	0.9530105264792564	0.009576257587956083	0.0014252353254268053	0.08320166422224005	0.3040302218724395	0.046254753658903816	0.0003396611252791072	0.0
COMPLETE-ARO-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9043423415773606e-06	0.0	0.8000558045504069	0.0	0.07841161140518525	0.0	0.0	0.0	0.0	0.0033462695637273953	0.9999999999992242	1.0	1.0	4.184255848583042e-05	0.0	0.0	1.5359999999997935e-13	0.9845340097283383	0.0	0.0	0.0	0.0	0.0	0.0
DAPLYSINESYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9999966306744327	0.00894889405986767	0.8192090094773818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DTDPRHAMSYN-PWY	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
