	Naive	MinPath	Total families	Families found
PWY-6610	Yes	Yes	3	1
PWY-6708	Yes	Yes	8	5
THREONINE-DEG2-PWY	Yes	Yes	2	1
ARG-PRO-PWY	Yes	No	3	1
RIBOSYN2-PWY	Yes	Yes	9	9
PWY-7227	Yes	Yes	2	1
PWY-6890	Yes	Yes	2	1
PWY-7174	Yes	No	4	1
COA-PWY	Yes	Yes	4	4
FASYN-ELONG-PWY	Yes	Yes	5	5
MANNIDEG-PWY	Yes	Yes	1	1
GLYCOGENSYNTH-PWY	Yes	Yes	4	3
PWY-5344	Yes	Yes	2	2
ANAPHENOXI-PWY	Yes	Yes	3	1
P3-PWY	Yes	No	11	1
PWY-6121	Yes	Yes	5	5
PWY-6952	Yes	Yes	2	2
PWY-2301	Yes	Yes	2	1
PWY-6823	Yes	No	6	1
RIBOKIN-PWY	Yes	Yes	2	1
PWY-5686	Yes	Yes	6	6
PWY-8139	Yes	No	5	1
PWY0-1296	Yes	No	4	1
PWY-8245	Yes	Yes	6	6
PWY1YI0-3	Yes	No	3	1
PWY-5971	Yes	Yes	9	7
P221-PWY	Yes	No	5	1
PWY-6910	Yes	Yes	2	2
PWY-7335	Yes	Yes	1	1
HOMOSERSYN-PWY	Yes	Yes	3	3
PWY-7385	Yes	No	9	4
P142-PWY	Yes	Yes	1	1
PWY-8187	Yes	No	4	1
PWY-6902	Yes	No	4	1
PWY-7586	Yes	Yes	3	3
PWY-8595	Yes	Yes	6	4
FERMENTATION-PWY	Yes	No	16	7
ARG-GLU-PWY	Yes	Yes	2	1
PWY-6638	Yes	No	4	1
PWY-6587	Yes	No	3	1
PWY-6983	Yes	Yes	3	2
PWY-7663	Yes	Yes	4	4
PWY-7821	Yes	No	9	1
PWY-2942	Yes	Yes	7	5
PWY-8228	Yes	Yes	5	1
PWY-6151	Yes	Yes	4	2
PWY-5512	Yes	Yes	1	1
PWY-622	Yes	Yes	7	4
PWY-5028	Yes	Yes	5	3
PWY-1722	Yes	Yes	3	2
P161-PWY	Yes	No	5	1
PWY-7818	Yes	Yes	9	1
PWY-5384	Yes	Yes	4	3
PWY-7664	Yes	Yes	6	5
CODH-PWY	Yes	No	12	2
PWY-7013	Yes	No	5	2
DARABITOLUTIL-PWY	Yes	Yes	2	1
PWY-5891	Yes	Yes	2	2
PWY-7440	Yes	No	6	2
GLUTDEG-PWY	Yes	Yes	2	2
PWY-7514	Yes	No	3	1
PWY-7181	Yes	Yes	3	1
PWY-5886	Yes	Yes	1	1
PWY-5189	Yes	Yes	4	1
PWY-7405	Yes	Yes	4	1
PHESYN	Yes	No	3	1
PWY-5921	Yes	No	3	1
PWY-5661	Yes	Yes	3	2
SERSYN-PWY	Yes	Yes	3	3
PWY-7193	Yes	Yes	3	2
PWY-6627	Yes	No	9	2
PWY-8536	Yes	Yes	1	1
PWY-6707	Yes	Yes	1	1
PWY-8457	Yes	Yes	3	1
PWY-3461	Yes	Yes	4	1
PWY-6454	Yes	Yes	3	2
PWY-5870	Yes	No	9	3
PWY0-1535	Yes	Yes	1	1
PWY-5890	Yes	Yes	2	2
PWY-8425	Yes	Yes	4	1
PWY0-901	Yes	No	3	1
PWY-7221	Yes	Yes	4	3
PWY-6322	Yes	Yes	20	1
PWY-8585	Yes	No	4	1
PWY8J2-29	Yes	Yes	3	2
PWY-6969	Yes	No	9	4
PWY-8073	Yes	Yes	6	6
PWY-7814	Yes	Yes	6	3
P23-PWY	Yes	Yes	9	6
ARABCAT-PWY	Yes	No	3	1
PWY-5386	Yes	Yes	3	1
PWY-7180	Yes	Yes	3	1
GLUTSYNIII-PWY	Yes	Yes	1	1
PWY0-1336	Yes	Yes	2	1
CYCLOHEXANOL-OXIDATION-PWY	Yes	Yes	5	1
PWY-6953	Yes	No	5	2
PWY-5108	Yes	Yes	3	2
NADPHOS-DEPHOS-PWY	Yes	No	3	1
PWY-6973	Yes	No	5	2
PWY-6907	Yes	No	3	1
PWY-7218	Yes	Yes	4	3
PWY-5523	Yes	Yes	3	2
PWY-7184	Yes	No	9	3
PWY-5844	Yes	Yes	1	1
PWY-5154	Yes	Yes	9	8
PWY-7948	Yes	No	6	1
PWY-7686	Yes	Yes	1	1
TCA	Yes	No	10	3
PWY-8561	Yes	No	3	1
THIOREDOX-PWY	Yes	Yes	2	1
PWY-8535	Yes	Yes	8	5
PWY-5741	Yes	No	11	2
PWY-5155	Yes	Yes	1	1
UDPNAGSYN-PWY	Yes	Yes	5	2
PWY-7222	Yes	Yes	3	2
PWY-6559	Yes	Yes	4	3
PWY-8271	Yes	Yes	4	1
PWY-6891	Yes	No	4	1
PWY-7977	Yes	Yes	4	2
PWY0-1586	Yes	Yes	4	2
PWY-8247	Yes	Yes	4	1
PWY-5989	Yes	Yes	6	5
PWY1-2	Yes	Yes	1	1
PWYI-14	Yes	Yes	6	6
PWY-7674	Yes	Yes	6	3
PWY-8534	Yes	No	8	3
PWY0-1337	Yes	No	13	1
PWY-6497	Yes	Yes	3	1
PWY-5853	Yes	Yes	1	1
PWY-8284	Yes	Yes	2	2
PWY-8175	Yes	Yes	11	6
PWY2B4Q-4	Yes	Yes	6	5
PWY-7176	Yes	Yes	3	2
SUCSYN-PWY	Yes	Yes	7	4
PWY-6974	Yes	No	5	2
PWY-7587	Yes	Yes	3	2
PWY-5743	Yes	No	13	2
PWY-8106	Yes	Yes	5	3
PWY-8537	Yes	Yes	1	1
P163-PWY	Yes	No	10	1
MALTOSECAT-PWY	Yes	Yes	2	1
PWY-7996	Yes	Yes	1	1
PWY-6754	Yes	Yes	2	1
PWY-6562	Yes	Yes	6	3
PWY-8488	Yes	Yes	3	1
P105-PWY	Yes	No	9	3
PWY-6282	Yes	Yes	6	5
VALSYN-PWY	Yes	Yes	4	4
PWY-6886	Yes	Yes	5	4
TRNA-CHARGING-PWY	Yes	Yes	21	20
PWY-8427	Yes	Yes	2	2
GALACTUROCAT-PWY	Yes	Yes	5	1
PWY-5857	Yes	Yes	8	5
PWY-7344	Yes	Yes	1	1
PWY-8581	Yes	No	4	1
PWY-7183	Yes	Yes	1	1
P181-PWY	Yes	Yes	11	1
PWYG-321	Yes	No	24	5
DARABCATK12-PWY	Yes	No	4	1
PWY-8164	Yes	Yes	2	1
PWY-2722	Yes	No	3	1
PWY-8010	Yes	Yes	3	2
PWY-7303	Yes	Yes	4	1
PWY-6608	Yes	Yes	4	2
PWY-8135	Yes	Yes	2	1
PWY0-1479	Yes	Yes	5	1
PWY-5695	Yes	Yes	4	3
PWY-7301	Yes	Yes	5	3
PWY-5084	Yes	No	3	1
PWY-5097	Yes	Yes	7	7
ALKANEMONOX-PWY	Yes	Yes	2	1
PWY-6386	Yes	Yes	8	7
PWY-7769	Yes	No	21	1
PWY-5676	Yes	No	6	1
PWY-8203	Yes	Yes	4	3
PYRIDOXSYN-PWY	Yes	Yes	7	5
PWY0-1275	Yes	Yes	1	1
P108-PWY	Yes	Yes	7	5
PWY-7199	Yes	Yes	5	3
PWY-8419	Yes	No	5	1
FASYN-INITIAL-PWY	Yes	Yes	3	2
PWY0-1576	Yes	Yes	2	1
PWY-8452	Yes	Yes	1	1
PWY-7892	Yes	Yes	4	2
PWY-8197	Yes	No	6	1
PANTO-PWY	Yes	Yes	4	3
PROPIONMET-PWY	Yes	Yes	3	2
PWY-7589	Yes	Yes	2	1
PWY-7560	Yes	Yes	8	7
PWY-7688	Yes	No	6	2
PWY-7346	Yes	Yes	1	1
PWY-8296	Yes	No	7	2
PWY-6620	Yes	Yes	2	1
PWY-7413	Yes	Yes	4	2
PWY-6545	Yes	No	9	2
PWY-8074	Yes	Yes	2	2
PWY-6614	Yes	Yes	3	3
PWY0-1581	Yes	Yes	2	1
PWY2PN3-13	Yes	Yes	5	3
KDO-LIPASYN-PWY	Yes	Yes	2	1
TYRSYN	Yes	No	3	1
PWY-5667	Yes	Yes	4	4
PWY-6660	Yes	No	3	1
PWY-8325	Yes	Yes	4	2
PWY-I9	Yes	No	6	1
PWY0-1299	Yes	Yes	1	1
PWY-6808	Yes	No	5	2
PWY-7863	Yes	Yes	2	1
PWY-7179	Yes	Yes	2	1
SUCROSEUTIL2-PWY	Yes	No	4	1
PWY-5938	Yes	Yes	2	1
PWY-7343	Yes	Yes	2	1
PWY-5895	Yes	Yes	2	2
PWY-8402	Yes	Yes	3	1
LCYSDEG-PWY	Yes	Yes	1	1
PWY-6642	Yes	No	3	1
PWY-40	Yes	Yes	2	2
PWY-7822	Yes	No	5	1
PWY-8179	Yes	No	15	2
PWY-6499	Yes	No	3	1
PWY-8183	Yes	Yes	2	1
PWY-3641	Yes	No	3	1
CALVIN-PWY	Yes	No	11	5
PWY-1042	Yes	Yes	7	6
PWY0-1313	Yes	Yes	1	1
PWY-6863	Yes	No	9	1
PWY-6317	Yes	Yes	5	4
PWY-7153	Yes	No	5	2
PWY-6077	Yes	Yes	2	1
PWY-701	Yes	Yes	1	1
MENAQUINONESYN-PWY	Yes	Yes	1	1
PWY-6148	Yes	No	11	2
PWY-7124	Yes	No	8	2
PWY-6644	Yes	No	5	1
PWY-8511	Yes	No	5	2
PWY-8365	Yes	Yes	9	1
PWY-5392	Yes	Yes	10	5
PWY-6942	Yes	No	6	2
PWY-7219	Yes	Yes	3	3
PWY-6871	Yes	Yes	3	1
PWY-5265	Yes	Yes	5	3
PWY-5497	Yes	No	17	7
PWY-7316	Yes	Yes	4	2
PWY-5981	Yes	Yes	5	3
PWY-7723	Yes	Yes	8	2
PWY-7185	Yes	No	5	2
PWY2PN3-7	Yes	No	4	1
P122-PWY	Yes	Yes	18	10
GLYSYN-PWY	Yes	Yes	1	1
PWY-8504	Yes	No	9	2
PWY-3781	Yes	No	4	1
PWY-7790	Yes	Yes	6	6
PWY-7852	Yes	Yes	3	2
PWY0-1391	Yes	Yes	1	1
PWY-7807	Yes	No	7	2
PWY-7942	Yes	Yes	4	1
PWY-5122	Yes	Yes	1	1
PWY-6153	Yes	No	3	1
SAM-PWY	Yes	Yes	1	1
PWY0-862	Yes	Yes	6	5
PWY-8086	Yes	Yes	13	8
PWY-8131	Yes	No	4	1
PWY-8015	Yes	Yes	2	1
PWY-8274	Yes	Yes	1	1
PWY-3462	Yes	No	4	1
ASPASN-PWY	Yes	Yes	3	2
PWY-8303	Yes	Yes	9	5
PWY-8362	Yes	Yes	10	5
PWY-5851	Yes	Yes	1	1
PWY-8328	Yes	Yes	1	1
PWY-6387	Yes	Yes	8	8
ORN-AMINOPENTANOATE-CAT-PWY	Yes	Yes	1	1
PWY-5659	Yes	Yes	4	4
PWY-6583	Yes	No	8	1
PWY-6397	Yes	No	9	1
PWY2DNV-3	Yes	Yes	5	1
PWY-5939	Yes	Yes	2	1
PWY-621	Yes	No	4	1
PWY-8165	Yes	Yes	1	1
LARABITOLUTIL-PWY	Yes	Yes	2	1
PWY-6120	Yes	No	4	1
PWY0-1608	Yes	Yes	3	2
GLYCOCAT-PWY	Yes	Yes	7	5
PWY0-1582	Yes	Yes	2	2
PWY-5785	Yes	Yes	2	2
BGALACT-PWY	Yes	Yes	1	1
PWY-2161	Yes	Yes	3	2
ASPARTATE-DEG1-PWY	Yes	Yes	1	1
PWY-4261	Yes	Yes	2	1
PWY-5940	Yes	No	11	1
P101-PWY	Yes	No	5	2
PWY-8004	Yes	Yes	7	5
2AMINOBENZDEG-PWY	Yes	Yes	1	1
PWY-8016	Yes	No	5	1
PWY-7226	Yes	Yes	2	1
CENTFERM-PWY	Yes	Yes	7	3
PWY-7104	Yes	No	6	2
PWY0-1324	Yes	No	3	1
GLYOXYLATE-BYPASS	Yes	No	6	1
PWY-6894	Yes	Yes	2	1
NAGLIPASYN-PWY	Yes	Yes	6	6
PWY0-1587	Yes	Yes	3	2
PWY-7254	Yes	No	9	3
GLUCONEO-PWY	Yes	Yes	13	11
GLUCOSE1PMETAB-PWY	Yes	No	5	2
PROSYN-PWY	Yes	Yes	3	3
PWY1A0-6120	Yes	No	13	6
PWY-8174	Yes	Yes	12	6
PWY-5852	Yes	Yes	1	1
ARGDEG-III-PWY	Yes	No	3	1
PWY-6854	Yes	Yes	2	1
PWY0-321	Yes	Yes	9	1
PWY-7456	Yes	Yes	7	4
PWY-7581	Yes	Yes	2	2
PWY-6383	Yes	No	5	1
PWY-8060	Yes	No	3	1
PWY-8543	Yes	Yes	1	1
PWY-7414	Yes	No	5	2
PWY-7854	Yes	No	13	2
PWY-101	Yes	No	4	1
PWY-6906	Yes	Yes	7	1
PWY-6964	Yes	Yes	2	1
PWY-8462	Yes	Yes	1	1
PWY0-166	Yes	No	10	4
PWY0-1319	Yes	Yes	4	4
PWY-7791	Yes	Yes	6	6
PWY-8132	Yes	No	5	1
PWY0-1433	Yes	No	3	1
PWY-2941	Yes	Yes	8	6
DETOX1-PWY-1	Yes	No	4	1
FUCCAT-PWY	Yes	Yes	4	1
PWY-7883	Yes	No	9	3
PWY-7400	Yes	No	9	3
PWY0-1021	Yes	Yes	1	1
PWY-7090	Yes	Yes	5	3
NONOXIPENT-PWY	Yes	Yes	4	3
PWY-8277	Yes	Yes	6	4
TREDEGLOW-PWY	Yes	Yes	2	1
PWY-8017	Yes	No	6	1
PWY-8480	Yes	No	10	2
PWY-5103	Yes	Yes	6	4
PWY-6164	Yes	Yes	2	1
PWY-5839	Yes	Yes	2	2
P164-PWY	Yes	Yes	13	3
PWY-5653	Yes	Yes	3	3
ALANINE-SYN2-PWY	Yes	Yes	1	1
COLANSYN-PWY	Yes	Yes	1	1
PWY0-1305	Yes	Yes	1	1
P124-PWY	Yes	Yes	15	10
PWY2DNV-11	Yes	Yes	3	2
PWY-7817	Yes	No	15	1
PWY-8571	Yes	Yes	7	5
PWY-8533	Yes	Yes	6	5
PWY2DNV-1	Yes	Yes	2	2
PWY-8289	Yes	No	5	2
P21-PWY	Yes	Yes	2	1
PYRIDNUCSYN-PWY	Yes	Yes	6	5
PWY-7761	Yes	Yes	5	3
PWY-8178	Yes	Yes	5	4
PWY0-1597	Yes	Yes	3	1
PWY-6976	Yes	No	6	2
PWY-7909	Yes	Yes	3	2
PWY-6501	Yes	No	5	1
ILEUSYN-PWY	Yes	Yes	5	5
PWY-8133	Yes	No	5	1
NONMEVIPP-PWY	Yes	Yes	8	7
PWY-8190	Yes	Yes	7	1
PWY-8196	Yes	No	5	1
PWY66-366	Yes	Yes	2	2
PWY-1622	Yes	No	10	4
HSERMETANA-PWY	Yes	Yes	2	1
PWY-5480	Yes	No	3	1
PWY-7902	Yes	No	5	2
PWY-8380	Yes	Yes	5	3
PWY-7398	Yes	Yes	8	2
PWY-7884	Yes	No	4	1
PWY-6154	Yes	No	3	1
PWY-6987	Yes	Yes	3	2
PWY-7858	Yes	Yes	6	4
PWY-7407	Yes	No	4	1
PWY18C3-5	Yes	Yes	2	1
SUCUTIL-PWY	Yes	No	3	1
1CMET2-PWY	Yes	Yes	9	7
PWY-8438	Yes	No	8	1
QUINATEDEG-PWY	Yes	No	3	1
PWY-5041	Yes	No	3	1
LEUSYN-PWY	Yes	Yes	3	2
PWY-6416	Yes	No	3	1
PWY-5913	Yes	No	8	3
PWY-6992	Yes	No	5	2
GLYCOLYSIS	Yes	Yes	13	10
PWY-8491	Yes	No	3	1
PWY2PN3-14	Yes	No	4	1
PWY-7900	Yes	No	8	2
HOMOSER-THRESYN-PWY	Yes	Yes	2	2
DARABCAT-PWY	Yes	Yes	2	2
ARGSYNBSUB-PWY	Yes	Yes	10	7
PWY-6519	Yes	Yes	8	5
REDCITCYC	Yes	Yes	9	3
PWY2DNV-2	Yes	Yes	2	1
PWY-6123	Yes	Yes	6	6
PWY-6486	Yes	No	5	1
PWY-8523	Yes	No	11	1
PWY8J2-27	Yes	Yes	3	2
PWY-8525	Yes	Yes	8	6
PWY-6609	Yes	Yes	3	2
PWY-7626	Yes	No	8	1
PWY-3801	Yes	Yes	5	3
PWY-8088	Yes	Yes	4	3
DTDPRHAMSYN-PWY	Yes	Yes	4	4
PWY-3661	Yes	No	6	2
PWY-7312	Yes	Yes	4	2
PWY0-1561	Yes	Yes	2	1
