	Unnamed: 0	Pathways	Naive	MinPath	Total families	Families found	Ontology - pathway type	Names	Common-Name-Taxa	Classification	Level 1	Level 1.1	Level 1.2	Level 1.3	Level 2	Level 2.1	Level 2.2	Level 2.3
0	0	PWY-6610	Yes	Yes	3	2	Nucleotide-Biosynthesis	adenine salvage	Schizosaccharomyces pombe,Saccharomyces cerevisiae,Cyberlindnera jadinii,Leishmania tropica species complex,Leishmania tarentolae,Leishmania mexicana species complex,Leishmania donovani species complex,Leishmania braziliensis,Crithidia fasciculata,Bacillus subtilis,Azotobacter vinelandii	Bacteria	Biosynthesis				Nucleoside and nucleotide biosynthesis			
1	1	PWY-6543	Yes	Yes	2	2	AROMATIC-COMPOUNDS-BIOSYN	4-aminobenzoate biosynthesis I // pABA biosynthesis I // plastidial PABA biosynthesis // PABA biosynthesis in plastids // <i>p</i>-aminobenzoate biosynthesis I	Escherichia coli,Glycine max,Oryza sativa,Solanum lycopersicum,Streptomyces griseus,Arabidopsis thaliana	Bacteria	Biosynthesis				Aromatic compound biosynthesis			
2	2	PWY-6708	Yes	No	8	3	Cofactor-Biosynthesis	ubiquinol-8 biosynthesis (early decarboxylation) // ubiquinone-8 biosynthesis (prokaryotic) // ubiquinol-8 biosynthesis (prokaryotic)	Acinetobacter calcoaceticus,Acinetobacter lwoffii,Aeromonas caviae,Aeromonas hydrophila,Allochromatium vinosum,Azotobacter chroococcum,Azotobacter vinelandii,Bordetella pertussis,Citrobacter freundii,Cupriavidus necator,Escherichia coli,Halorhodospira halophila,Klebsiella aerogenes,Neisseria meningitidis,Proteus mirabilis,Proteus vulgaris,Rubrivivax gelatinosus,Salinivibrio costicola,Serratia marcescens,Stenotrophomonas maltophilia,Xanthomonas citri,Xanthomonas oryzae	Bacteria	Biosynthesis				Cofactor, carrier, and vitamin biosynthesis			
3	3	THREONINE-DEG2-PWY	Yes	Yes	2	1	Amino-Acid-Degradation	L-threonine degradation II // threonine dehydrogenase pathway // TDG pathway	Acetoanaerobium sticklandii,Aves,Escherichia coli,Mammalia,Pseudomonas sp. cruciviae,Pyrococcus furiosus,Pyrococcus horikoshii,Xanthomonas campestris,Arthrobacter sp.,Corynebacterium sp.	Bacteria	Degradation/utilization/assimilation				Amino acid degradation			
4	4	PWY-5436	Yes	Yes	2	1	Amino-Acid-Degradation	L-threonine degradation IV	Escherichia coli,Saccharomyces cerevisiae,Pseudomonas sp. NCIMB 10558,Clostridium pasteurianum,Vanrija humicola,Bacillus subtilis,Arthrobacter sp.,Aeromonas jandaei,Pseudomonas putida,Achromobacter xylosoxidans	Bacteria	Degradation/utilization/assimilation				Amino acid degradation			
5	5	ARG-PRO-PWY	Yes	Yes	3	3	Amino-Acid-Degradation	L-arginine degradation VI (arginase 2 pathway)	Saccharomyces cerevisiae,Synechocystis sp. PCC 6803	Bacteria	Degradation/utilization/assimilation				Amino acid degradation			
6	6	RIBOSYN2-PWY	Yes	Yes	9	9	Cofactor-Biosynthesis	flavin biosynthesis I (bacteria and plants) // riboflavin, FMN and FAD biosynthesis // vitamin B<sub>2</sub> biosynthesis	Bacillus subtilis,Escherichia coli,Arabidopsis thaliana	Bacteria	Biosynthesis				Cofactor, carrier, and vitamin biosynthesis			
7	7	PWY-7227	Yes	Yes	2	2	Nucleotide-Biosynthesis	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis I	Escherichia coli,Homo sapiens,Salmonella enterica,Arabidopsis thaliana	Bacteria	Biosynthesis				Nucleoside and nucleotide biosynthesis			
8	8	PWY-6890	Yes	Yes	2	2	Cofactor-Biosynthesis	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I // HMP-PP biosynthesis	Bacillus subtilis,Escherichia coli,Pyrobaculum calidifontis,Salmonella enterica,Arabidopsis thaliana	Bacteria	Biosynthesis				Cofactor, carrier, and vitamin biosynthesis			
9	9	PWY-7174	Yes	Yes	4	2	NUCLEO-DEG // Amino-Acid-Biosynthesis	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation II // MTA-isoprenoid shunt	Rhodospirillum rubrum	Bacteria	Biosynthesis	Degradation/utilization/assimilation			Amino acid biosynthesis	Nucleoside and nucleotide degradation		
