	Pathways	Naive	MinPath	Total families	Families found	Ontology - pathway type	Names	Common-Name-Taxa
0	PWY-6610	Yes	Yes	3	3	Nucleotide-Biosynthesis	adenine salvage	Schizosaccharomyces pombe,Saccharomyces cerevisiae,Cyberlindnera jadinii,Leishmania tropica species complex,Leishmania tarentolae,Leishmania mexicana species complex,Leishmania donovani species complex,Leishmania braziliensis,Crithidia fasciculata,Bacillus subtilis,Azotobacter vinelandii
1	PWY-6543	Yes	Yes	2	1	AROMATIC-COMPOUNDS-BIOSYN	4-aminobenzoate biosynthesis I // pABA biosynthesis I // plastidial PABA biosynthesis // PABA biosynthesis in plastids // <i>p</i>-aminobenzoate biosynthesis I	Escherichia coli,Glycine max,Oryza sativa,Solanum lycopersicum,Streptomyces griseus,Arabidopsis thaliana
2	PWY-2661	Yes	No	3	1	Carbohydrates-Biosynthesis // Metabolic-Regulators	trehalose biosynthesis V	Mycobacterium tuberculosis,Arthrobacter sp. Q36,Azorhizobium caulinodans,Bradyrhizobium elkanii,Bradyrhizobium japonicum,Brevibacterium helvolum,Rhizobiaceae,Rhizobium leguminosarum,Rhizobium tropici,Sinorhizobium fredii,Sulfolobus acidocaldarius,Sinorhizobium meliloti Rm2011
3	PWY-6708	Yes	Yes	8	1	Cofactor-Biosynthesis	ubiquinol-8 biosynthesis (early decarboxylation) // ubiquinone-8 biosynthesis (prokaryotic) // ubiquinol-8 biosynthesis (prokaryotic)	Acinetobacter calcoaceticus,Acinetobacter lwoffii,Aeromonas caviae,Aeromonas hydrophila,Allochromatium vinosum,Azotobacter chroococcum,Azotobacter vinelandii,Bordetella pertussis,Citrobacter freundii,Cupriavidus necator,Escherichia coli,Halorhodospira halophila,Klebsiella aerogenes,Neisseria meningitidis,Proteus mirabilis,Proteus vulgaris,Rubrivivax gelatinosus,Salinivibrio costicola,Serratia marcescens,Stenotrophomonas maltophilia,Xanthomonas citri,Xanthomonas oryzae
4	PWY-8062	Yes	No	3	1	Noncarbon-Nutrients	sulfoacetaldehyde degradation IV	Bacteroidales bacterium Barb6XT,Bifidobacterium tissieri,Bilophila wadsworthia,Desulfitobacterium dehalogenans,Desulfotomaculum nigrificans,Oleidesulfovibrio alaskensis,Desulfovibrio desulfuricans,Desulfovibrio fairfieldensis,Desulfovibrio piger,Nitratidesulfovibrio termitidis,Nitratidesulfovibrio vulgaris,Paenibacillus borealis,Propionispora vibrioides,Sporomusa silvacetica
5	THREONINE-DEG2-PWY	Yes	Yes	2	2	Amino-Acid-Degradation	L-threonine degradation II // threonine dehydrogenase pathway // TDG pathway	Acetoanaerobium sticklandii,Aves,Escherichia coli,Mammalia,Pseudomonas sp. cruciviae,Pyrococcus furiosus,Pyrococcus horikoshii,Xanthomonas campestris,Arthrobacter sp.,Corynebacterium sp.
6	PWY-5436	Yes	Yes	2	2	Amino-Acid-Degradation	L-threonine degradation IV	Escherichia coli,Saccharomyces cerevisiae,Pseudomonas sp. NCIMB 10558,Clostridium pasteurianum,Vanrija humicola,Bacillus subtilis,Arthrobacter sp.,Aeromonas jandaei,Pseudomonas putida,Achromobacter xylosoxidans
7	PWY-5794	Yes	Yes	3	1	CARBOXYLATES-DEG	malonate degradation I (biotin-independent)	Acinetobacter calcoaceticus,Klebsiella pneumoniae,Pseudomonas fluorescens,Pseudomonas putida
8	ARG-PRO-PWY	Yes	No	3	1	Amino-Acid-Degradation	L-arginine degradation VI (arginase 2 pathway)	Saccharomyces cerevisiae,Synechocystis sp. PCC 6803
9	PWY-7227	Yes	Yes	2	1	Nucleotide-Biosynthesis	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis I	Escherichia coli,Homo sapiens,Salmonella enterica,Arabidopsis thaliana
10	PWY-6890	Yes	Yes	2	1	Cofactor-Biosynthesis	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I // HMP-PP biosynthesis	Bacillus subtilis,Escherichia coli,Pyrobaculum calidifontis,Salmonella enterica,Arabidopsis thaliana
11	PWY-7174	Yes	Yes	4	2	NUCLEO-DEG // Amino-Acid-Biosynthesis	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation II // MTA-isoprenoid shunt	Rhodospirillum rubrum
12	COA-PWY	Yes	Yes	4	4	Cofactor-Biosynthesis	coenzyme A biosynthesis I (bacteria) // CoA biosynthesis	Escherichia coli
