	Naive	MinPath	Total families	Families found
PWY-6610	Yes	Yes	3	3
PWY-6708	Yes	Yes	8	1
PWY-8062	Yes	No	3	1
THREONINE-DEG2-PWY	Yes	Yes	2	1
PWY-5436	Yes	Yes	2	2
ARG-PRO-PWY	Yes	No	3	1
RIBOSYN2-PWY	Yes	Yes	9	9
PWY-8324	Yes	No	3	1
ARGDEGRAD-PWY	Yes	Yes	1	1
PWY-7227	Yes	Yes	2	2
PWY-6944	Yes	Yes	20	1
PWY-6890	Yes	Yes	2	1
PWY-7174	Yes	Yes	4	2
COA-PWY	Yes	Yes	4	4
FASYN-ELONG-PWY	Yes	Yes	5	4
MANNIDEG-PWY	Yes	Yes	1	1
GLYCOGENSYNTH-PWY	Yes	Yes	4	4
PWY-5344	Yes	Yes	2	1
PWY-7165	Yes	Yes	6	1
PWY-6637	Yes	No	4	1
PWY0-42	Yes	Yes	5	1
ANAPHENOXI-PWY	Yes	Yes	3	1
P3-PWY	Yes	No	11	2
PWY-6121	Yes	Yes	5	5
PWY-922	Yes	Yes	7	5
PWY-6952	Yes	Yes	2	2
PWY-2301	Yes	Yes	2	1
PWY-6823	Yes	Yes	6	2
RIBOKIN-PWY	Yes	Yes	2	2
PWY-7290	Yes	No	8	1
PWY-7097	Yes	Yes	2	1
PWY-5686	Yes	Yes	6	5
PWY-8139	Yes	No	5	1
PWY0-1296	Yes	Yes	4	2
PWY0-1312	Yes	Yes	2	1
PWY-5971	Yes	Yes	9	5
PWY-5074	Yes	Yes	2	1
PWY-7308	Yes	Yes	2	1
P221-PWY	Yes	Yes	5	1
PWY-6910	Yes	Yes	2	2
HOMOSERSYN-PWY	Yes	Yes	3	3
PWY-7385	Yes	No	9	4
P142-PWY	Yes	Yes	1	1
PWY-8002	Yes	No	3	1
PWY-8187	Yes	Yes	4	3
PWY-6902	Yes	No	4	1
PWY-7586	Yes	Yes	3	2
PWY-8595	Yes	Yes	6	3
FERMENTATION-PWY	Yes	Yes	16	9
ARG-GLU-PWY	Yes	Yes	2	1
PWY-6638	Yes	No	4	1
PWY-6587	Yes	Yes	3	3
PWY-8204	Yes	Yes	3	2
PWY-8003	Yes	Yes	2	1
PWY-7663	Yes	Yes	4	4
