ID	Total pathways	Naive	MinPath	Bacteria	Non-Bacteria	Cyclitol biosynthesis	8-oxo-GTP-detoxification	Antibiotic resistance	Other degradation	Protein modification	Secondary metabolite biosynthesis	Carboxylic acid biosynthesis	Fluorescence protein biosynthesis	Aldehyde degradation	Aminoacyl-tRNAs-charging	Amide, amidine, amine, and polyamine biosynthesis	Storage compound biosynthesis	Cyclitol degradation	Cofactor, carrier, and vitamin biosynthesis	Amide, amidine, amine, and polyamine degradation	Hydrocarbon degradation	Aromatic compound degradation	Protein degradation	Cell structure biosynthesis	Carboxylic acid degradation	Acetate degradation	Alcohol degradation	Chlorinated compound degradation	Polyprenyl biosynthesis	Tetrapyrrole biosynthesis	nan	Hormone, neurotransmitter, and signaling molecule degradation	Cyanide detoxification	Carbohydrate biosynthesis	Nucleotide-alditol biosynthesis	Secondary metabolite degradation	Amino acid biosynthesis	Chromoprotein biosynthesis	Nucleoside and nucleotide degradation	Carbohydrate degradation	Polymeric compound degradation	Other biosynthesis	Arsenic detoxification	Reactive oxygen species degradation	C1 Compound utilization and assimilation	Fatty acid and lipid degradation	Hormone, neurotransmitter, and signaling molecule biosynthesis	Nucleoside and nucleotide biosynthesis	Mercury detoxification	Nucleic acid processing	Methylglyoxal detoxification	Cofactor, carrier, and vitamin degradation	Inorganic nutrient metabolism	Acid resistance	Amino acid degradation	Metabolic regulator biosynthesis	Nitrogen remobilization from senescing leaves	Metabolic regulators	Aromatic compound biosynthesis	Hydrocarbon biosynthesis	Fatty acid and lipid biosynthesis	Seleno amino acid detoxification
S_NS6_Pp_057_v1v9_updated_parsed_report.tsv	614	614	378	614	0	0	1	2	6	3	40	6	0	1	3	9	2	3	85	11	0	6	0	53	13	1	9	1	6	10	614	0	0	53	0	7	53	0	23	41	7	5	3	1	16	1	3	32	0	6	0	0	16	2	51	0	0	1	7	0	31	0
S_NS6_Bs_032_updated_parsed_report.tsv	710	710	517	710	0	1	0	4	5	2	39	7	0	2	3	7	2	2	99	7	0	7	0	50	17	1	9	0	6	2	710	0	0	57	0	5	55	0	20	64	16	10	3	1	16	2	3	33	0	6	1	0	29	2	47	0	0	2	10	0	48	0
S_S5_Af_090_updated_parsed_report.tsv	614	614	418	614	0	1	0	3	4	3	35	7	0	1	3	7	4	2	77	6	0	7	0	46	11	1	10	0	6	2	614	0	0	50	0	4	52	0	19	50	7	7	0	1	14	2	3	32	0	6	1	0	13	2	48	0	0	1	6	0	45	0
S_S5_Cc_098_updated_parsed_report.tsv	725	725	500	725	0	1	1	2	7	4	39	6	0	2	3	7	5	2	75	16	0	25	0	28	27	1	15	2	6	3	725	0	0	60	0	7	54	0	23	71	13	5	3	1	15	6	4	33	0	6	1	0	21	1	48	2	0	2	8	0	38	0
S_NS1_He_021_v1v9_updated_parsed_report.tsv	693	693	494	693	0	1	1	2	7	3	36	6	0	2	3	7	2	5	82	15	0	8	0	21	19	1	13	2	6	12	693	0	0	54	0	8	53	0	22	76	15	4	3	2	16	2	5	35	1	6	1	0	30	1	52	2	0	1	7	0	36	0
S_S2_Ea_077_v1v9_updated_parsed_report.tsv	733	733	471	733	0	1	1	2	9	5	47	6	0	2	3	4	4	3	86	11	0	28	0	56	21	1	13	3	7	6	733	0	0	75	1	4	50	0	21	67	9	8	3	1	14	3	4	35	0	7	1	0	21	2	61	0	0	2	6	0	35	0
S_NS6_Am_029_v1v9_updated_parsed_report.tsv	622	622	417	622	0	1	1	3	4	8	38	5	0	0	3	8	2	2	102	4	0	2	0	43	6	1	5	0	6	2	622	0	0	51	0	1	47	0	10	47	9	9	3	2	14	1	4	28	0	6	0	0	22	2	41	0	0	2	9	2	45	0
S_S2_Ca_088_v1v9_updated_parsed_report.tsv	544	544	313	544	0	0	1	2	2	4	29	6	0	1	2	5	2	5	58	4	0	4	0	53	8	1	11	0	5	1	544	0	0	74	0	2	48	0	15	49	7	7	3	0	13	1	2	31	0	6	0	0	21	0	39	0	0	1	5	0	28	0
S_NS6_Ca_028_updated_parsed_report.tsv	532	532	302	532	0	0	0	2	2	4	28	6	0	1	2	5	2	3	56	5	0	3	0	54	5	1	13	0	5	1	532	0	0	73	0	2	47	0	15	46	5	7	3	0	13	1	2	31	0	6	0	0	17	0	39	0	0	1	5	0	30	0
S_S5_Bp_095_updated_parsed_report.tsv	595	595	346	595	0	1	1	3	4	6	27	6	0	1	2	3	3	2	73	8	0	5	0	53	14	1	8	1	5	1	595	0	0	77	1	2	50	0	13	46	9	10	4	0	15	3	2	30	0	6	0	0	17	0	43	2	0	3	6	0	32	0
