	Naive	MinPath	Total families	Families found
PWY-6610	Yes	Yes	3	3
PWY-6543	Yes	Yes	2	1
PWY-2661	Yes	No	3	1
PWY-6708	Yes	Yes	8	1
PWY-8062	Yes	No	3	1
THREONINE-DEG2-PWY	Yes	Yes	2	1
PWY-5436	Yes	Yes	2	2
ARG-PRO-PWY	Yes	No	3	1
RIBOSYN2-PWY	Yes	Yes	9	8
PWY-5951	Yes	Yes	1	1
PWY-7227	Yes	Yes	2	1
PWY-6944	Yes	Yes	20	1
PWY-6890	Yes	Yes	2	1
PWY-7174	Yes	Yes	4	2
COA-PWY	Yes	Yes	4	4
FASYN-ELONG-PWY	Yes	Yes	5	3
PWY0-1221	Yes	Yes	4	1
GLYCOGENSYNTH-PWY	Yes	Yes	4	4
PWY-5344	Yes	Yes	2	1
PWY-7165	Yes	Yes	6	1
PWY-6637	Yes	No	4	1
ANAPHENOXI-PWY	Yes	Yes	3	1
P3-PWY	Yes	No	11	3
PWY-6121	Yes	Yes	5	5
PWY-6952	Yes	Yes	2	2
PWY-6759	Yes	Yes	1	1
PWY-2301	Yes	Yes	2	1
PWY-6823	Yes	Yes	6	4
RIBOKIN-PWY	Yes	Yes	2	2
PWY-5686	Yes	Yes	6	5
PWY-8139	Yes	Yes	5	3
PWY0-1296	Yes	Yes	4	2
PWY-5677	Yes	No	7	1
PWY0-1312	Yes	Yes	2	1
PWY-6538	Yes	No	5	1
PWY1YI0-3	Yes	No	3	1
PWY-5971	Yes	Yes	9	6
PWY-7308	Yes	Yes	2	1
P221-PWY	Yes	No	5	1
PWY-6910	Yes	Yes	2	2
NAD-BIOSYNTHESIS-III	Yes	Yes	2	1
HOMOSERSYN-PWY	Yes	Yes	3	3
PWY-7385	Yes	No	9	4
P142-PWY	Yes	Yes	1	1
PWY-8187	Yes	Yes	4	2
PWY-6902	Yes	Yes	4	2
PWY-7586	Yes	Yes	3	2
PWY-8595	Yes	Yes	6	3
FERMENTATION-PWY	Yes	Yes	16	10
PWY-7247	Yes	Yes	2	1
PWY-6638	Yes	No	4	1
PWY-6587	Yes	Yes	3	3
PWY-6983	Yes	Yes	3	1
PWY-7663	Yes	Yes	4	4
PWY-7821	Yes	No	9	1
PWY-2942	Yes	Yes	7	5
PWY-8228	Yes	Yes	5	1
PWY-6151	Yes	Yes	4	4
PWY-622	Yes	Yes	7	6
PWY-7872	Yes	Yes	2	1
PWY-1722	Yes	Yes	3	3
P161-PWY	Yes	Yes	5	4
PWY-7818	Yes	Yes	9	1
PWY-5384	Yes	Yes	4	3
PWY-7664	Yes	Yes	6	4
CODH-PWY	Yes	No	12	5
PWY-7013	Yes	Yes	5	3
DARABITOLUTIL-PWY	Yes	Yes	2	1
GALLATE-DEGRADATION-II-PWY	Yes	Yes	4	1
PWY-7440	Yes	No	6	2
GLUTDEG-PWY	Yes	Yes	2	2
PWY-5530	Yes	No	3	1
PWY-7514	Yes	No	3	1
PWY-7962	Yes	Yes	3	3
PWY-7181	Yes	Yes	3	3
PWY-5886	Yes	Yes	1	1
PWY-5189	Yes	Yes	4	2
PHESYN	Yes	No	3	1
PWY-5921	Yes	Yes	3	1
PWY-5661	Yes	Yes	3	2
SERSYN-PWY	Yes	Yes	3	2
PWY-7193	Yes	Yes	3	2
PWY-6627	Yes	Yes	9	2
PWY-6707	Yes	Yes	1	1
GLYCOLATEMET-PWY	Yes	Yes	4	2
PWY-6785	Yes	Yes	1	1
PWY-8457	Yes	Yes	3	2
PWY-3461	Yes	No	4	1
PWY0-1535	Yes	Yes	1	1
PWY-1281	Yes	Yes	2	1
PWY-8058	Yes	No	8	2
PWY-8425	Yes	No	4	1
PWY-2622	Yes	Yes	1	1
PWY0-901	Yes	Yes	3	3
PWY-7221	Yes	Yes	4	3
PWY-6322	Yes	Yes	20	1
