ID	Total pathways	Naive	MinPath	Bacteria	Non-Bacteria	Glycan pathways	Metabolite activation/inactivation/interconversion	Macromolecule modification	Detoxification	Transport	Bioluminescence/fluorescence/chromoprotein biosynthesis	Degradation/utilization/assimilation	Superpathways	Generation of precursor metabolites and energy	Metabolic clusters	nan	Biosynthesis
S_NS6_Pp_057_v1v9_updated_parsed_report.tsv	614	614	378	614	0	47	0	12	8	0	1	197	39	79	7	614	350
S_NS6_Bs_032_updated_parsed_report.tsv	710	710	517	710	0	45	2	11	10	0	1	222	39	95	7	709	406
S_S5_Af_090_updated_parsed_report.tsv	614	614	418	614	0	43	1	12	6	0	1	181	32	92	5	613	356
S_S5_Cc_098_updated_parsed_report.tsv	725	725	500	725	0	23	1	13	8	0	0	270	44	110	8	724	359
S_NS1_He_021_v1v9_updated_parsed_report.tsv	693	693	494	693	0	20	1	12	9	0	1	263	43	91	7	693	349
S_S2_Ea_077_v1v9_updated_parsed_report.tsv	733	733	471	733	0	50	0	15	9	0	0	265	39	93	8	732	389
S_NS6_Am_029_v1v9_updated_parsed_report.tsv	622	622	417	622	0	37	0	17	9	0	0	152	38	88	7	621	386
S_S2_Ca_088_v1v9_updated_parsed_report.tsv	544	544	313	544	0	45	0	12	6	0	0	166	35	77	7	544	316
S_NS6_Ca_028_updated_parsed_report.tsv	532	532	302	532	0	45	0	12	5	0	0	156	35	76	7	532	314
S_S5_Bp_095_updated_parsed_report.tsv	595	595	346	595	0	48	1	14	8	0	0	175	39	84	6	595	344
S_NS1_Em_017_updated_parsed_report.tsv	1024	1024	759	1024	0	77	2	16	12	0	1	392	57	134	10	1021	518
S_NS6_He_053_updated_parsed_report.tsv	708	708	502	708	0	21	1	13	9	0	1	256	44	90	7	708	371
S_S2_Rf_118_v1v9_updated_parsed_report.tsv	616	616	407	616	0	13	1	11	8	0	1	204	43	92	7	616	334
S_S5_Ca_088_v1v9_updated_parsed_report.tsv	544	544	313	544	0	45	0	12	6	0	0	166	35	77	7	544	316
S_NS6_Af_030_v1v9_updated_parsed_report.tsv	614	614	418	614	0	43	1	12	6	0	1	181	32	92	5	613	356
S_S5_Et_102_v1v9_updated_parsed_report.tsv	747	747	505	747	0	22	1	14	11	0	1	273	49	100	7	747	386
S_NS1_Bp_010_updated_parsed_report.tsv	594	594	345	594	0	48	1	14	7	0	0	175	39	84	6	594	343
S_S5_Em_101_updated_parsed_report.tsv	726	726	498	726	0	23	1	15	11	0	1	249	46	111	8	725	378
S_S5_Et_102_updated_parsed_report.tsv	747	747	505	747	0	22	1	14	11	0	1	273	49	100	7	747	386
S_S5_Fp_106_v1v9_updated_parsed_report.tsv	687	687	434	687	0	48	0	12	10	0	1	261	41	97	8	687	346
S_NS6_Et_048_updated_parsed_report.tsv	753	753	516	753	0	22	1	14	11	0	1	273	48	100	8	753	391
S_S5_Rf_112_v1v9_updated_parsed_report.tsv	647	647	416	647	0	48	1	13	5	0	0	199	42	82	7	647	380
S_NS6_Pd_055_updated_parsed_report.tsv	788	788	553	788	0	65	2	11	11	0	1	243	39	110	9	786	452
S_NS1_He_021_updated_parsed_report.tsv	693	693	494	693	0	20	1	12	9	0	1	263	43	91	7	693	349
S_NS1_Fp_020_v1v9_updated_parsed_report.tsv	672	672	426	672	0	48	0	12	10	0	1	256	41	97	8	672	336
S_NS6_Em_047_v1v9_updated_parsed_report.tsv	737	737	476	737	0	59	1	15	11	0	1	240	46	99	8	737	409
S_NS1_Bs_004_updated_parsed_report.tsv	703	703	508	703	0	43	2	11	9	0	1	219	39	94	7	702	402
S_NS1_Bs_004_v1v9_updated_parsed_report.tsv	703	703	508	703	0	43	2	11	9	0	1	219	39	94	7	702	402
S_NS6_Pd_055_v1v9_updated_parsed_report.tsv	788	788	553	788	0	65	2	11	11	0	1	243	39	110	9	786	452
S_NS1_Em_017_v1v9_updated_parsed_report.tsv	1024	1024	759	1024	0	77	2	16	12	0	1	392	57	134	10	1021	518
S_S2_Et_074_v1v9_updated_parsed_report.tsv	757	757	519	757	0	22	1	14	11	0	1	276	47	101	8	757	392
S_S5_Rg_113_v1v9_updated_parsed_report.tsv	628	628	435	628	0	19	0	11	10	0	0	208	39	84	8	628	349
S_NS1_Ss_026_v1v9_updated_parsed_report.tsv	603	603	367	603	0	48	0	14	8	0	1	188	32	76	7	603	348
S_NS6_Sh_058_v1v9_updated_parsed_report.tsv	695	695	456	695	0	46	2	15	8	0	1	217	39	101	6	694	390
S_NS1_Pm_023_v1v9_updated_parsed_report.tsv	752	752	530	752	0	47	2	13	10	0	1	240	38	99	7	750	428
S_NS6_He_053_v1v9_updated_parsed_report.tsv	708	708	502	708	0	21	1	13	9	0	1	256	44	90	7	708	371
S_S2_Ef_078_updated_parsed_report.tsv	1002	1002	748	1002	0	78	2	16	13	0	1	360	56	134	10	998	527
S_S2_Hf_081_updated_parsed_report.tsv	345	345	201	345	0	8	0	11	6	0	0	125	23	59	5	344	161
S_NS1_Fp_020_updated_parsed_report.tsv	672	672	426	672	0	48	0	12	10	0	1	256	41	97	8	672	336
S_S5_Pd_110_updated_parsed_report.tsv	788	788	553	788	0	65	2	11	11	0	1	243	39	110	9	786	452
S_NS6_Bs_033_v1v9_updated_parsed_report.tsv	710	710	517	710	0	45	2	11	10	0	1	222	39	95	7	709	406
S_NS6_Fp_052_updated_parsed_report.tsv	676	676	428	676	0	47	0	12	10	0	1	257	41	97	8	676	339
S_NS1_Am_001_v1v9_updated_parsed_report.tsv	618	618	417	618	0	33	1	14	9	0	0	149	38	87	7	616	387
S_S2_Pd_083_v1v9_updated_parsed_report.tsv	788	788	553	788	0	65	2	11	11	0	1	243	39	110	9	786	452
S_NS6_Blss_040_v1v9_updated_parsed_report.tsv	600	600	351	600	0	47	1	14	7	0	0	178	39	84	6	600	346
S_S2_Cc_069_updated_parsed_report.tsv	614	614	396	614	0	16	0	14	8	0	0	201	41	87	7	614	338
S_NS1_Bt_005_v1v9_updated_parsed_report.tsv	758	758	523	758	0	63	2	11	10	0	1	238	37	98	7	756	434
S_NS1_Bu_006_updated_parsed_report.tsv	774	774	532	774	0	84	2	14	9	0	1	223	39	92	7	772	470
S_NS1_Am_001_updated_parsed_report.tsv	618	618	417	618	0	33	1	14	9	0	0	149	38	87	7	616	387
S_S2_Blss_067_updated_parsed_report.tsv	591	591	351	591	0	47	1	14	7	0	0	173	39	84	6	591	342
S_NS1_Cc_012_updated_parsed_report.tsv	774	774	525	774	0	23	1	14	9	0	0	301	46	111	8	774	376
S_NS6_Sw_060_updated_parsed_report.tsv	584	584	383	584	0	35	1	12	9	0	0	179	41	86	8	583	332
S_S2_Bs_063_v1v9_updated_parsed_report.tsv	855	855	585	855	0	51	2	16	8	0	1	326	43	111	7	854	435
