	Naive	MinPath	Total families	Families found
PWY-6708	Yes	Yes	8	1
PWY-5436	Yes	Yes	2	1
ARG-PRO-PWY	Yes	No	3	1
RIBOSYN2-PWY	Yes	Yes	9	8
PWY-7227	Yes	Yes	2	2
PWY-6944	Yes	Yes	20	1
PWY-6890	Yes	Yes	2	2
PWY-7174	Yes	No	4	1
COA-PWY	Yes	Yes	4	4
FASYN-ELONG-PWY	Yes	Yes	5	5
PWY0-1321	Yes	Yes	2	1
GLYCOGENSYNTH-PWY	Yes	No	4	1
PWY-7165	Yes	Yes	6	1
CYANCAT-PWY	Yes	Yes	1	1
ANAPHENOXI-PWY	Yes	Yes	3	1
P3-PWY	Yes	Yes	11	1
PWY-6121	Yes	Yes	5	5
PWY-6952	Yes	Yes	2	1
PWY-2301	Yes	Yes	2	1
PWY-6823	Yes	Yes	6	5
RIBOKIN-PWY	Yes	Yes	2	1
PWY-5686	Yes	Yes	6	6
PWY-8139	Yes	No	5	1
PWY0-1296	Yes	No	4	1
PWY-5677	Yes	No	7	1
PWY-8245	Yes	Yes	6	6
PWY-5971	Yes	Yes	9	6
P221-PWY	Yes	Yes	5	2
PWY-6910	Yes	Yes	2	2
HOMOSERSYN-PWY	Yes	Yes	3	2
PWY-7385	Yes	No	9	2
P142-PWY	Yes	Yes	1	1
PWY-8187	Yes	Yes	4	2
PWY-6902	Yes	No	4	1
PWY-7586	Yes	Yes	3	1
PWY-8595	Yes	Yes	6	4
FERMENTATION-PWY	Yes	No	16	4
PWY-6638	Yes	No	4	1
PWY-6587	Yes	Yes	3	2
PWY-7044	Yes	Yes	4	1
PWY-6983	Yes	No	3	1
PWY-7663	Yes	Yes	4	4
PWY-7717	Yes	Yes	6	1
PWY-7821	Yes	No	9	1
PWY-2942	Yes	Yes	7	4
PWY-6151	Yes	Yes	4	2
PWY-622	Yes	No	7	2
HEME-BIOSYNTHESIS-II-1	Yes	Yes	4	2
PWY-1722	Yes	Yes	3	3
P161-PWY	Yes	No	5	1
PWY-5384	Yes	Yes	4	2
PWY-7664	Yes	Yes	6	5
CODH-PWY	Yes	No	12	4
PWY-7013	Yes	No	5	1
DARABITOLUTIL-PWY	Yes	Yes	2	1
PWY-5891	Yes	Yes	2	2
GLUTDEG-PWY	Yes	Yes	2	2
PWY-7514	Yes	No	3	1
PWY-5886	Yes	Yes	1	1
PWY-5189	Yes	Yes	4	2
PWY-7205	Yes	Yes	2	1
PHESYN	Yes	No	3	1
BETSYN-PWY	Yes	Yes	2	1
PWY-5661	Yes	No	3	1
SERSYN-PWY	Yes	No	3	1
PWY-8536	Yes	Yes	1	1
PWY-6707	Yes	Yes	1	1
GLYCOLATEMET-PWY	Yes	Yes	4	2
PWY-8457	Yes	Yes	3	3
PWY-5870	Yes	No	9	1
PWY-5890	Yes	Yes	2	2
PWY-8058	Yes	No	8	1
PWY0-901	Yes	No	3	1
PWY-7221	Yes	Yes	4	4
PWY-8585	Yes	No	4	1
PWY8J2-29	Yes	Yes	3	2
PWY-6969	Yes	No	9	2
PWY-8073	Yes	Yes	6	6
PWY-7814	Yes	Yes	6	1
P23-PWY	Yes	No	9	4
PWY-5108	Yes	No	3	1
NADPHOS-DEPHOS-PWY	Yes	No	3	1
PWY-6907	Yes	Yes	3	2
PWY-7218	Yes	Yes	4	2
PWY-5523	Yes	No	3	1
PWY-7184	Yes	Yes	9	5
PWY-5844	Yes	Yes	1	1
PWY-5154	Yes	Yes	9	7
TCA	Yes	No	10	2
PWY-8561	Yes	No	3	1
THIOREDOX-PWY	Yes	Yes	2	1
PWY-8535	Yes	No	8	1
UDPNAGSYN-PWY	Yes	Yes	5	5
PWY-7222	Yes	Yes	3	3
ORNDEG-PWY	Yes	Yes	1	1
PWY4FS-7	Yes	Yes	2	2
PWY-8558	Yes	Yes	3	1
PWY-6559	Yes	No	4	1
PWY-6502	Yes	Yes	1	1
PWY-8171	Yes	Yes	3	2
PWY-8271	Yes	Yes	4	1
PWY0-1585	Yes	Yes	2	1
PWY-6891	Yes	No	4	1
PWY-7977	Yes	No	4	1
PWY0-1586	Yes	Yes	4	2
PWY-5645	Yes	Yes	7	1
PWY-8247	Yes	Yes	4	1
PWY-5989	Yes	Yes	6	5
PWY-7194	Yes	Yes	1	1
PWYI-14	Yes	Yes	6	6
PWY-7674	Yes	Yes	6	3
PWY-8534	Yes	No	8	1
PWY0-1337	Yes	No	13	1
PWY0-1601	Yes	Yes	1	1
PWY-5853	Yes	Yes	1	1
PWY-8284	Yes	Yes	2	2
PWY-8175	Yes	Yes	11	6
PWY-6696	Yes	No	5	1
PWY2B4Q-4	Yes	Yes	6	5
PWY-7274	Yes	No	6	1
P641-PWY	Yes	Yes	2	1
PWY-7176	Yes	Yes	3	3
SUCSYN-PWY	Yes	Yes	7	5
GLUCARDEG-PWY	Yes	Yes	4	2
PWY-7587	Yes	Yes	3	1
PWY-5743	Yes	No	13	3
PWY-1001	Yes	Yes	1	1
P162-PWY	Yes	No	10	1
PWY-8106	Yes	Yes	5	3
PWY-8537	Yes	Yes	1	1
PWY-7996	Yes	Yes	1	1
P283-PWY	Yes	Yes	1	1
HEME-BIOSYNTHESIS-II	Yes	No	4	1
PWY-5162	Yes	No	3	1
PWY-6562	Yes	No	6	1
