	Naive	MinPath	Total families	Families found
PWY-6610	Yes	Yes	3	2
PWY-6543	Yes	Yes	2	1
PWY-6708	Yes	Yes	8	1
PWY-5436	Yes	Yes	2	1
ARG-PRO-PWY	Yes	No	3	1
RIBOSYN2-PWY	Yes	No	9	2
PWY-1781	Yes	Yes	2	1
PWY-6890	Yes	Yes	2	1
PWY-7174	Yes	Yes	4	1
COA-PWY	Yes	Yes	4	4
FASYN-ELONG-PWY	Yes	Yes	5	3
GLYCOGENSYNTH-PWY	Yes	Yes	4	4
PWY-5344	Yes	Yes	2	1
PWY-6637	Yes	No	4	1
ANAPHENOXI-PWY	Yes	Yes	3	1
P3-PWY	Yes	No	11	2
PWY-6121	Yes	Yes	5	5
PWY-922	Yes	No	7	1
PWY-6759	Yes	Yes	1	1
PWY-6823	Yes	Yes	6	3
RIBOKIN-PWY	Yes	Yes	2	1
PWY-7290	Yes	No	8	1
PWY-5686	Yes	Yes	6	4
PWY-8139	Yes	No	5	1
PWY0-1296	Yes	No	4	1
PWY0-1312	Yes	Yes	2	1
PWY-6538	Yes	No	5	1
PWY-5971	Yes	No	9	4
P221-PWY	Yes	Yes	5	2
PWY-6910	Yes	Yes	2	2
NAD-BIOSYNTHESIS-III	Yes	Yes	2	1
HOMOSERSYN-PWY	Yes	Yes	3	3
PWY-5033	Yes	Yes	4	1
PWY-7385	Yes	No	9	4
P142-PWY	Yes	Yes	1	1
PWY-8187	Yes	Yes	4	2
PWY-6902	Yes	No	4	1
PWY-7586	Yes	Yes	3	1
PWY-8595	Yes	Yes	6	3
FERMENTATION-PWY	Yes	Yes	16	6
ARG-GLU-PWY	Yes	Yes	2	1
PWY-6638	Yes	No	4	1
PWY-6587	Yes	No	3	1
PWY-8204	Yes	Yes	3	2
PWY-7663	Yes	Yes	4	4
PWY-7821	Yes	No	9	1
PWY-2942	Yes	Yes	7	5
PWY1G-0	Yes	Yes	5	1
PWY-6151	Yes	Yes	4	2
PWY-622	Yes	Yes	7	5
HEME-BIOSYNTHESIS-II-1	Yes	Yes	4	1
PWY-1722	Yes	Yes	3	3
P161-PWY	Yes	No	5	2
PWY-5384	Yes	Yes	4	2
PWY-7664	Yes	Yes	6	4
CODH-PWY	Yes	No	12	3
PWY-7013	Yes	No	5	1
DARABITOLUTIL-PWY	Yes	Yes	2	1
GLUTDEG-PWY	Yes	Yes	2	1
PWY-7514	Yes	No	3	1
PWY-7962	Yes	No	3	1
PWY-7181	Yes	Yes	3	1
PWY-5886	Yes	Yes	1	1
PWY-5189	Yes	Yes	4	3
PHESYN	Yes	No	3	1
PWY-5921	Yes	Yes	3	1
PWY-5661	Yes	Yes	3	2
PWY-8221	Yes	No	5	1
SERSYN-PWY	Yes	Yes	3	2
PWY-7193	Yes	Yes	3	2
PWY-6627	Yes	Yes	9	2
PWY-7905	Yes	No	7	1
PWY-6707	Yes	Yes	1	1
GLYCOLATEMET-PWY	Yes	No	4	1
PWY-6785	Yes	Yes	1	1
PWY-8457	Yes	Yes	3	2
PWY-3461	Yes	No	4	1
PWY0-1535	Yes	Yes	1	1
PWY-1281	Yes	Yes	2	1
PWY-8058	Yes	No	8	1
PWY0-901	Yes	Yes	3	3
PWY-7221	Yes	Yes	4	3
PWY-8585	Yes	No	4	1
PWY8J2-29	Yes	Yes	3	2
PWY-6969	Yes	No	9	3
P23-PWY	Yes	No	9	3
PWY-7180	Yes	Yes	3	1
GLUTSYNIII-PWY	Yes	Yes	1	1
PWY-722	Yes	No	6	1
PWY-5108	Yes	No	3	1
NADPHOS-DEPHOS-PWY	Yes	No	3	1
PWY-6907	Yes	Yes	3	3
PWY-7218	Yes	Yes	4	3
PWY-5523	Yes	No	3	1
PWY-7184	Yes	No	9	4
PWY-5154	Yes	Yes	9	8
PWY-5766	Yes	Yes	1	1
PWY-7686	Yes	Yes	1	1
TCA	Yes	No	10	3
PWY-8561	Yes	No	3	1
THIOREDOX-PWY	Yes	Yes	2	1
PWY-8535	Yes	No	8	1
UDPNAGSYN-PWY	Yes	Yes	5	5
PWY-7222	Yes	No	3	1
PWY4FS-7	Yes	Yes	2	1
PWY-8558	Yes	Yes	3	1
PWY-6559	Yes	Yes	4	2
PWY-6502	Yes	Yes	1	1
PWY-8231	Yes	No	8	1
PWY-7970	Yes	Yes	3	3
PWY-8171	Yes	Yes	3	1
PWY-8271	Yes	Yes	4	1
PWY-6891	Yes	No	4	1
PWY-7977	Yes	Yes	4	2
PWY0-1586	Yes	Yes	4	2
PWY-5989	Yes	Yes	6	3
PWY1-2	Yes	Yes	1	1
PWY-7194	Yes	Yes	1	1
PWY-8217	Yes	No	6	1
PWY0-1601	Yes	Yes	1	1
PWY-8175	Yes	No	11	5
PWY-6696	Yes	No	5	1
PWY-7274	Yes	No	6	1
PWY-7965	Yes	Yes	3	3
PWY-5481	Yes	Yes	1	1
PWY-6767	Yes	Yes	3	1
PWY-7176	Yes	Yes	3	2
SUCSYN-PWY	Yes	Yes	7	5
GLUCARDEG-PWY	Yes	No	4	1
PWY-7587	Yes	Yes	3	2
PWY-5743	Yes	No	13	2
PWY-8106	Yes	Yes	5	3
P163-PWY	Yes	No	10	2
PWY-5807	Yes	Yes	1	1
HEME-BIOSYNTHESIS-II	Yes	No	4	1
PWY-6754	Yes	Yes	2	1
PWY-6562	Yes	No	6	2
PWY-8488	Yes	Yes	3	1
P105-PWY	Yes	No	9	3
PWY-6282	Yes	Yes	6	4
PWY-8244	Yes	No	4	1
VALSYN-PWY	Yes	Yes	4	4
PWY-6886	Yes	Yes	5	4
PWY-8282	Yes	Yes	2	1
TRNA-CHARGING-PWY	Yes	Yes	21	19
PWY-8427	Yes	Yes	2	2
PWY-5857	Yes	No	8	1
PWY-7431	Yes	No	7	1
PWY-5022	Yes	Yes	7	1
PWY-7344	Yes	Yes	1	1
PWY-8581	Yes	No	4	1
PWY-8136	Yes	Yes	2	2
PWY-7183	Yes	Yes	1	1
IDNCAT-PWY	Yes	Yes	3	1
PWYG-321	Yes	No	24	4
PWY-8164	Yes	Yes	2	1
PWY-7509	Yes	Yes	1	1
PWY-8230	Yes	No	6	1
PWY-2722	Yes	No	3	1
PWY-8010	Yes	Yes	3	2
PWY-6375	Yes	No	4	1
PWY-7303	Yes	Yes	4	1
PWY-8226	Yes	No	5	1
TEICHOICACID-PWY	Yes	No	11	2
PWY-7622	Yes	Yes	1	1
PWY-6608	Yes	Yes	4	3
PWY0-1479	Yes	Yes	5	2
