	Naive	MinPath	Total families	Families found
PWY-6610	Yes	Yes	3	3
PWY-6543	Yes	Yes	2	1
PWY-5436	Yes	Yes	2	1
ARG-PRO-PWY	Yes	No	3	1
RIBOSYN2-PWY	Yes	Yes	9	8
PWY-7227	Yes	Yes	2	1
PWY-6944	Yes	Yes	20	3
PWY-6890	Yes	Yes	2	1
PWY-7174	Yes	Yes	4	2
COA-PWY	Yes	Yes	4	2
FASYN-ELONG-PWY	Yes	Yes	5	3
PWY0-1221	Yes	Yes	4	1
GLYCOGENSYNTH-PWY	Yes	Yes	4	4
PWY-5344	Yes	Yes	2	1
PWY-6637	Yes	No	4	1
ANAPHENOXI-PWY	Yes	No	3	1
P3-PWY	Yes	No	11	4
PWY-6121	Yes	Yes	5	5
PWY-922	Yes	No	7	1
PWY-6952	Yes	Yes	2	1
PWY-6759	Yes	Yes	1	1
PWY-6823	Yes	Yes	6	3
PWY490-3	Yes	Yes	2	1
PWY-7290	Yes	No	8	1
PWY-5686	Yes	Yes	6	5
PWY-8139	Yes	No	5	1
PWY0-1296	Yes	No	4	1
PWY-5677	Yes	Yes	7	4
PWY0-1312	Yes	Yes	2	1
PWY-6538	Yes	No	5	1
PWY-5971	Yes	No	9	4
PWY-7308	Yes	Yes	2	1
P221-PWY	Yes	Yes	5	1
PWY-6910	Yes	Yes	2	2
PWY-7472	Yes	Yes	2	1
HOMOSERSYN-PWY	Yes	Yes	3	3
PWY-7385	Yes	No	9	4
P142-PWY	Yes	Yes	1	1
PWY-8187	Yes	Yes	4	2
PWY-6902	Yes	No	4	1
PWY-7586	Yes	Yes	3	2
PWY-8595	Yes	Yes	6	3
FERMENTATION-PWY	Yes	Yes	16	8
PWY-6638	Yes	No	4	1
PWY-6587	Yes	Yes	3	2
PWY-8204	Yes	Yes	3	2
PWY-7663	Yes	Yes	4	4
PWY-7821	Yes	No	9	1
PWY-2942	Yes	Yes	7	5
PWY-6151	Yes	Yes	4	1
PWY-622	Yes	Yes	7	5
PWY-7872	Yes	Yes	2	1
PWY-1722	Yes	Yes	3	3
P161-PWY	Yes	Yes	5	3
PWY-5384	Yes	Yes	4	2
PWY-7664	Yes	Yes	6	5
PWY-6948	Yes	No	13	1
CODH-PWY	Yes	No	12	3
PWY-7013	Yes	Yes	5	3
DARABITOLUTIL-PWY	Yes	Yes	2	1
GLUTDEG-PWY	Yes	Yes	2	2
PWY-7514	Yes	Yes	3	2
PWY-7962	Yes	Yes	3	1
PWY-7181	Yes	Yes	3	1
PWY-5886	Yes	Yes	1	1
PHESYN	Yes	No	3	1
PWY-5921	Yes	Yes	3	1
PWY-5661	Yes	Yes	3	2
PWY-8221	Yes	No	5	1
SERSYN-PWY	Yes	Yes	3	2
PWY-7193	Yes	Yes	3	2
PWY-6627	Yes	Yes	9	2
PWY-7905	Yes	No	7	1
PWY-6707	Yes	Yes	1	1
PWY-6785	Yes	Yes	1	1
PWY-8457	Yes	Yes	3	2
PWY-3461	Yes	No	4	1
PWY-6454	Yes	Yes	3	1
PWY0-1535	Yes	Yes	1	1
PWY-1281	Yes	Yes	2	1
PWY-8058	Yes	No	8	2
PWY-8425	Yes	Yes	4	3
PWY0-901	Yes	Yes	3	3
PWY-7221	Yes	Yes	4	3
PWY-6322	Yes	Yes	20	1
PWY-6336	Yes	Yes	4	1
PWY-8585	Yes	No	4	1
PWY-6883	Yes	No	6	2
PWY8J2-29	Yes	Yes	3	2
PWY-6969	Yes	No	9	4
P23-PWY	Yes	Yes	9	5
PWY-8589	Yes	No	5	1
ARABCAT-PWY	Yes	No	3	1
PWY-5386	Yes	Yes	3	1
PWY-7180	Yes	Yes	3	1
GLUTSYNIII-PWY	Yes	Yes	1	1
PWY-7401	Yes	No	12	3
PWY-6961	Yes	No	5	2
PWY-5108	Yes	Yes	3	2
