	Naive	MinPath	Total families	Families found
PWY-6610	Yes	Yes	3	3
PWY-6708	Yes	No	8	3
PWY-8062	Yes	No	3	1
PWY-5436	Yes	Yes	2	2
ARG-PRO-PWY	Yes	Yes	3	2
RIBOSYN2-PWY	Yes	No	9	2
PWY-8324	Yes	No	3	1
ARGDEGRAD-PWY	Yes	Yes	1	1
PWY-1781	Yes	Yes	2	1
PWY-7227	Yes	Yes	2	1
PWY-6890	Yes	Yes	2	2
PWY-7174	Yes	Yes	4	1
COA-PWY	Yes	Yes	4	4
FASYN-ELONG-PWY	Yes	Yes	5	1
GLYCOGENSYNTH-PWY	Yes	Yes	4	4
PWY-5344	Yes	Yes	2	1
PWY-6637	Yes	No	4	1
ANAPHENOXI-PWY	Yes	Yes	3	1
P3-PWY	Yes	No	11	2
PWY-6121	Yes	Yes	5	5
PWY-922	Yes	No	7	1
PWY-6952	Yes	Yes	2	1
PWY-6823	Yes	Yes	6	3
RIBOKIN-PWY	Yes	Yes	2	1
PWY-7290	Yes	Yes	8	1
PWY-5686	Yes	Yes	6	5
PWY-8139	Yes	No	5	1
PWY0-1296	Yes	No	4	1
PWY0-1312	Yes	Yes	2	1
PWY-5971	Yes	No	9	1
P221-PWY	Yes	Yes	5	1
PWY-6910	Yes	Yes	2	2
HOMOSERSYN-PWY	Yes	Yes	3	3
PWY-7385	Yes	No	9	4
P142-PWY	Yes	Yes	1	1
PWY-8187	Yes	Yes	4	3
PWY-7586	Yes	No	3	1
PWY-8595	Yes	No	6	1
FERMENTATION-PWY	Yes	Yes	16	8
ARG-GLU-PWY	Yes	Yes	2	1
PWY-6638	Yes	No	4	1
PWY-6587	Yes	Yes	3	3
PWY-8204	Yes	No	3	1
PWY-6983	Yes	No	3	1
PWY-7663	Yes	No	4	1
PWY-7821	Yes	Yes	9	1
PWY-2942	Yes	Yes	7	5
PWY-6151	Yes	Yes	4	3
PWY-622	Yes	Yes	7	5
PWY-1722	Yes	Yes	3	3
P161-PWY	Yes	Yes	5	4
PWY-5384	Yes	Yes	4	3
PWY-7664	Yes	No	6	1
CODH-PWY	Yes	No	12	3
PWY-7013	Yes	No	5	2
PWY-7440	Yes	No	6	2
GLUTDEG-PWY	Yes	Yes	2	1
PWY-7514	Yes	No	3	1
PWY-5886	Yes	Yes	1	1
PHESYN	Yes	No	3	1
PWY-5661	Yes	Yes	3	2
PWY-8221	Yes	No	5	1
SERSYN-PWY	Yes	No	3	1
PWY-6627	Yes	Yes	9	2
PWY-7905	Yes	No	7	1
PWY-6707	Yes	Yes	1	1
PWY-8457	Yes	No	3	1
PWY-3461	Yes	No	4	1
PWY-5870	Yes	No	9	1
PWY-1281	Yes	Yes	2	1
PWY0-901	Yes	Yes	3	3
PWY-7221	Yes	Yes	4	3
PWY-6322	Yes	Yes	20	1
PWY-8585	Yes	No	4	1
PWY8J2-29	Yes	Yes	3	2
PWY-6969	Yes	No	9	2
PWY-7814	Yes	Yes	6	3
P23-PWY	Yes	No	9	2
PWY-7180	Yes	No	3	1
GLUTSYNIII-PWY	Yes	Yes	1	1
PWY-6953	Yes	No	5	2
PWY-5108	Yes	No	3	1
PWY-6973	Yes	No	5	2
PWY-6907	Yes	Yes	3	2
PWY-1361	Yes	Yes	7	1
PWY-7218	Yes	Yes	4	3
PWY-5523	Yes	No	3	1
PWY-7184	Yes	No	9	4
PWY-5154	Yes	Yes	9	7
TCA	Yes	No	10	1
PWY-8561	Yes	Yes	3	2
THIOREDOX-PWY	Yes	Yes	2	1
PWY-8535	Yes	No	8	3
UDPNAGSYN-PWY	Yes	Yes	5	5
PWY-7222	Yes	Yes	3	2
PWY-6605	Yes	Yes	2	1
PWY4FS-7	Yes	Yes	2	1
PWY-6559	Yes	Yes	4	2
PWY-6502	Yes	Yes	1	1
PWY-8231	Yes	No	8	1
PWY-8171	Yes	Yes	3	1
PWY-8271	Yes	Yes	4	1
PWY-6986	Yes	No	7	1
PWY-6891	Yes	No	4	1
PWY-7977	Yes	Yes	4	2
PWY0-1586	Yes	Yes	4	1
PWY-5989	Yes	No	6	1
PWY-8534	Yes	No	8	1
PWY-8217	Yes	No	6	1
PWY-8175	Yes	No	11	2
PWY-6696	Yes	Yes	5	1
PWY-7274	Yes	No	6	1
PWY-5481	Yes	Yes	1	1
PWY-7176	Yes	Yes	3	2
SUCSYN-PWY	Yes	Yes	7	5
PWY-6974	Yes	No	5	2
PWY-7587	Yes	Yes	3	2
PWY-8106	Yes	Yes	5	3
P163-PWY	Yes	No	10	2
PWY-5162	Yes	No	3	1
PWY-6754	Yes	Yes	2	1
PWY-6562	Yes	No	6	2
PWY-8488	Yes	Yes	3	1
P105-PWY	Yes	No	9	1
PWY-6282	Yes	No	6	1
PWY-8244	Yes	No	4	1
VALSYN-PWY	Yes	No	4	1
PWY-6886	Yes	Yes	5	4
TRNA-CHARGING-PWY	Yes	Yes	21	19
PWY-8427	Yes	Yes	2	1
GALACTUROCAT-PWY	Yes	No	5	1
GALACTITOLCAT-PWY	Yes	Yes	4	3
PWY-5857	Yes	No	8	3
PWY-7431	Yes	No	7	1
PWY-6771	Yes	Yes	3	1
PWY-7344	Yes	Yes	1	1
PWY-8581	Yes	No	4	1
PWY-8136	Yes	Yes	2	2
PWY-7183	Yes	Yes	1	1
IDNCAT-PWY	Yes	Yes	3	1
PWY-7237	Yes	Yes	4	2
PWYG-321	Yes	No	24	1
PWY-8164	Yes	Yes	2	1
PWY-7509	Yes	Yes	1	1
PWY-8230	Yes	No	6	1
PWY-2722	Yes	No	3	1
PWY-8010	Yes	Yes	3	2
PWY-7303	Yes	Yes	4	1
PWY-8226	Yes	No	5	1
PWY-7569	Yes	Yes	7	1
TEICHOICACID-PWY	Yes	No	11	1
PWY-7622	Yes	Yes	1	1
PWY-6608	Yes	Yes	4	2
PWY-8135	Yes	Yes	2	1
PWY0-1479	Yes	Yes	5	3
PWY-5695	Yes	Yes	4	3
PWY-7301	Yes	Yes	5	3
PWY-5097	Yes	Yes	7	6
PWY-6386	Yes	Yes	8	7
PWY-7769	Yes	No	21	1
PWY-8203	Yes	No	4	1
PYRIDOXSYN-PWY	Yes	No	7	2
PWY-7199	Yes	No	5	1
PWY-7387	Yes	No	3	1
PWY-8452	Yes	Yes	1	1
PWY-7892	Yes	Yes	4	2
PWY-8319	Yes	Yes	3	1
PANTO-PWY	Yes	Yes	4	2
PWY-7589	Yes	Yes	2	1
PWY-7560	Yes	Yes	8	8
PWY2DNV-5	Yes	No	6	1
PWY-7688	Yes	No	6	2
PWY-8296	Yes	No	7	2
PWY-6620	Yes	Yes	2	1
PWY-7413	Yes	Yes	4	2
PWY-8263	Yes	Yes	1	1
PWY-6545	Yes	No	9	3
PWY-6614	Yes	Yes	3	2
PWY-7870	Yes	Yes	2	1
PWY-8234	Yes	No	5	1
PWY0-1581	Yes	Yes	2	1
PWY2PN3-13	Yes	Yes	5	4
TYRSYN	Yes	No	3	1
PWY-5667	Yes	Yes	4	4
BSUBPOLYAMSYN-PWY	Yes	Yes	2	1
PWY-I9	Yes	Yes	6	3
PWY-6808	Yes	No	5	2
PWY-7863	Yes	Yes	2	1
PWY-7179	Yes	Yes	2	1
SUCROSEUTIL2-PWY	Yes	No	4	1
PWY-7343	Yes	Yes	2	1
PWY-8402	Yes	Yes	3	1
PWY-6642	Yes	No	3	1
PWY-8179	Yes	No	15	2
PWY-8241	Yes	No	6	1
PWY-8183	Yes	Yes	2	1
PWY-8252	Yes	No	4	1
CALVIN-PWY	Yes	Yes	11	7
PWY-1042	Yes	Yes	7	6
PWY-6863	Yes	No	9	1
PWY-6317	Yes	Yes	5	5
PWY-7242	Yes	Yes	4	2
PWY-7570	Yes	No	8	1
PWY-7153	Yes	No	5	2
PWY-6148	Yes	No	11	1
PWY-7124	Yes	Yes	8	4
PWY-6644	Yes	No	5	1
PWY-8511	Yes	Yes	5	3
