	Naive	MinPath	Total families	Families found
PWY-6610	Yes	Yes	3	3
PWY-8062	Yes	No	3	1
PWY-5436	Yes	Yes	2	2
ARG-PRO-PWY	Yes	Yes	3	1
RIBOSYN2-PWY	Yes	No	9	2
PWY-7227	Yes	Yes	2	1
COA-PWY	Yes	Yes	4	1
GLYCOGENSYNTH-PWY	Yes	No	4	1
P3-PWY	Yes	No	11	1
PWY-6952	Yes	Yes	2	1
PWY-6823	Yes	No	6	1
RIBOKIN-PWY	Yes	Yes	2	1
PWY-5686	Yes	No	6	2
PWY-8139	Yes	No	5	1
PWY0-1296	Yes	Yes	4	3
PWY-5677	Yes	Yes	7	1
PWY1YI0-3	Yes	No	3	1
PWY-7308	Yes	Yes	2	1
P221-PWY	Yes	No	5	1
PWY-7385	Yes	No	9	4
PWY-8187	Yes	No	4	1
FERMENTATION-PWY	Yes	No	16	6
PWY-6587	Yes	Yes	3	2
PWY-6151	Yes	Yes	4	2
PWY-622	Yes	No	7	2
PWY-1722	Yes	Yes	3	3
P161-PWY	Yes	Yes	5	3
PWY-7818	Yes	Yes	9	2
PWY-5384	Yes	Yes	4	2
CODH-PWY	Yes	No	12	3
PWY-7013	Yes	No	5	2
PWY-5661	Yes	Yes	3	2
PWY-7193	Yes	Yes	3	2
PWY-6627	Yes	No	9	2
PWY-8430	Yes	Yes	3	1
GLYCOLATEMET-PWY	Yes	No	4	1
PWY-3461	Yes	Yes	4	1
PWY-8058	Yes	No	8	1
PWY0-901	Yes	No	3	1
PWY-7221	Yes	Yes	4	3
PWY-6969	Yes	No	9	1
P23-PWY	Yes	No	9	1
PWY-7180	Yes	Yes	3	3
PWY0-1336	Yes	Yes	2	1
PWY-6907	Yes	Yes	3	2
PWY-7218	Yes	Yes	4	2
PWY-5523	Yes	No	3	1
PWY-7184	Yes	No	9	2
PWY-7686	Yes	Yes	1	1
TCA	Yes	No	10	1
PWY-8561	Yes	No	3	1
THIOREDOX-PWY	Yes	Yes	2	1
PWY-5741	Yes	No	11	1
UDPNAGSYN-PWY	Yes	Yes	5	5
PWY-3161	Yes	Yes	2	1
PWY-7222	Yes	Yes	3	2
PWY-6605	Yes	Yes	2	1
PWY4FS-7	Yes	Yes	2	1
PWY-6891	Yes	No	4	1
PWY0-1586	Yes	No	4	1
PWY-7674	Yes	Yes	6	3
PWY-7176	Yes	Yes	3	2
SUCSYN-PWY	Yes	Yes	7	4
GLUCARDEG-PWY	Yes	No	4	1
PWY-7587	Yes	No	3	1
PWY-5743	Yes	No	13	1
PWY-8106	Yes	No	5	2
P163-PWY	Yes	No	10	1
PWY-5162	Yes	No	3	1
PWY-6754	Yes	Yes	2	1
PWY-8488	Yes	Yes	3	1
P105-PWY	Yes	No	9	1
PWY-6886	Yes	Yes	5	3
TRNA-CHARGING-PWY	Yes	Yes	21	18
GALACTUROCAT-PWY	Yes	Yes	5	1
GALACTITOLCAT-PWY	Yes	Yes	4	1
PWY0-1241	Yes	Yes	5	1
PWY-7431	Yes	No	7	1
PWY-5022	Yes	No	7	1
PWY-7344	Yes	Yes	1	1
PWY-7183	Yes	Yes	1	1
IDNCAT-PWY	Yes	Yes	3	1
DARABCATK12-PWY	Yes	Yes	4	1
PWY-8164	Yes	Yes	2	1
PWY-2722	Yes	No	3	1
TEICHOICACID-PWY	Yes	No	11	1
PWY-6608	Yes	No	4	1
PWY0-1479	Yes	Yes	5	1
PWY-5695	Yes	Yes	4	2
PWY-5084	Yes	Yes	3	1
PWY-6386	Yes	Yes	8	6
PWY0-1544	Yes	Yes	2	1
PYRIDOXSYN-PWY	Yes	No	7	1
P108-PWY	Yes	No	7	2
PWY-7199	Yes	Yes	5	2
PWY-7387	Yes	No	3	1
PWY0-1576	Yes	Yes	2	1
PWY-6478	Yes	Yes	4	1
PWY-8452	Yes	Yes	1	1
PWY-7892	Yes	Yes	4	2
PANTO-PWY	Yes	Yes	4	1
PROPIONMET-PWY	Yes	No	3	1
PWY-7560	Yes	No	8	3
PWY-6620	Yes	Yes	2	1
PWY-8263	Yes	Yes	1	1
PWY-6545	Yes	No	9	2
PWY-6614	Yes	Yes	3	2
PWY-5667	Yes	Yes	4	3
ASPARAGINESYN-PWY	Yes	Yes	1	1
PWY-8325	Yes	No	4	1
PWY-I9	Yes	No	6	1
PWY-7863	Yes	Yes	2	1
PWY-7179	Yes	Yes	2	2
PWY-7343	Yes	Yes	2	1
PWY-5737	Yes	No	4	1
PWY-3641	Yes	No	3	1
CALVIN-PWY	Yes	Yes	11	6
PWY-1042	Yes	Yes	7	4
PWY-6317	Yes	Yes	5	4
PWY-7242	Yes	No	4	1
PWY-7124	Yes	No	8	1
PWY-6644	Yes	No	5	1
PWY-8511	Yes	Yes	5	3
PWY-5392	Yes	No	10	1
PWY-7219	Yes	Yes	3	3
PWY-6871	Yes	No	3	1
PWY-5265	Yes	Yes	5	3
PWY-5497	Yes	No	17	4
PWY0-1300	Yes	Yes	2	1
PWY-5981	Yes	No	5	2
PWY-7185	Yes	No	5	1
P122-PWY	Yes	Yes	18	9
GLYSYN-PWY	Yes	Yes	1	1
ARGASEDEG-PWY	Yes	No	3	1
PWY-3781	Yes	No	4	1
PWY-7790	Yes	No	6	2
PWY0-1391	Yes	Yes	1	1
PWY-7807	Yes	No	7	1
PWY-7942	Yes	Yes	4	1
PWY-5122	Yes	Yes	1	1
PWY-6153	Yes	No	3	1
SAM-PWY	Yes	Yes	1	1
PWY0-1315	Yes	Yes	1	1
PWY-8086	Yes	Yes	13	4
PWY-8131	Yes	No	4	1
PWY-3162	Yes	No	7	1
PWY-8015	Yes	Yes	2	1
PWY-3462	Yes	No	4	1
PWY-8303	Yes	No	9	4
PWY-7085	Yes	No	3	1
PWY-8362	Yes	Yes	10	3
CRNFORCAT-PWY	Yes	Yes	4	1
PWY3O-450	Yes	No	3	1
PWY-5025	Yes	Yes	2	1
PWY-6853	Yes	No	3	1
ARGDEG-V-PWY	Yes	No	3	1
PWY-6387	Yes	Yes	8	7
PWY-5486	Yes	Yes	2	1
PWY-5659	Yes	No	4	1
PWY-6397	Yes	No	9	1
PWY-621	Yes	No	4	1
PWY-8165	Yes	Yes	1	1
