pathway	1174R_0_M_S2_week9	160R_0_F_S2_week10	160R_L_F_S2_week10	2446R_0_F_S2_week9	3795R_R_F_S2_week10	3896R_0_M_S2_week10	3896R_L_M_S2_week10	3909R_R_M_S2_week10	S2_inocula	073R_0_M_S2_week5	073R_0_M_S2_week6	073R_0_M_S2_week7	073R_0_M_S2_week9	1067R_R_M_S2_week5	1067R_R_M_S2_week6	1067R_R_M_S2_week7	1067R_R_M_S2_week9	1152R_0_M_S2_week9	2404R_R_F_S2_week5	2404R_R_F_S2_week6	2404R_R_F_S2_week7	2404R_R_F_S2_week9	2446R_L_F_S2_week5	2446R_L_F_S2_week6	2446R_L_F_S2_week7	2446R_L_F_S2_week9	3795R_0_F_S2_week5	3795R_0_F_S2_week6	3795R_0_F_S2_week7	3795R_0_F_S2_week9	3909R_0_M_S2_week5	3909R_0_M_S2_week6	3909R_0_M_S2_week7	3909R_0_M_S2_week9	3918R_R_M_S2_week5	3918R_R_M_S2_week6	3918R_R_M_S2_week7	3918R_R_M_S2_week9	3969R_0_F_S2_week5	3969R_0_F_S2_week6	3969R_0_F_S2_week7	3969R_0_F_S2_week9	3980R_0_F_S2_week9	073R_R_M_S2_diabetes	073R_R_M_S2_Pellet_week9	073R_R_M_S2_week5	073R_S2_week21	1067R_0_M_S2_week5	1067R_0_M_S2_week9	1067R_L_M_S2_week5	1067R_L_M_S2_week9	1067R_R_M_S2_diabetes	1067R_S2_week27	1152R_0_M_S2_week5	1152R_L_M_S2_diabetes	1152R_L_M_S2_week5	1152R_L_M_S2_week9	1152R_R_M_S2_week5	1152R_R_M_S2_week9	1152R_S2_week28	1174R_0_M_S2_diabetes	1174R_0_M_S2_week5	1174R_S2_week14	2404R_0_F_S2_week5	2404R_0_F_S2_week9	2404R_L_F_S2_diabetes	2404R_L_F_S2_week5	2404R_L_F_S2_week9	2404R_S2_week14	2446R_0_F_S2_week5	2446R_L_F_S2_diabetes	2446R_R_F_S2_Pellet_week9	2446R_R_F_S2_week5	2446R_RL_F_S2_Pellet_week9	2446R_RL_F_S2_week5	2446R_S2_week15	2453R_0_F_S2_Pellet_week9	2453R_0_F_S2_week5	2453R_L_F_S2_diabetes	2453R_L_F_S2_Pellet_week9	2453R_L_F_S2_week5	2453R_R_F_S2_diabetes	2453R_R_F_S2_Pellet_week9	2453R_R_F_S2_week5	2453R_S2_week21	3795R_L_F_S2_week5	3795R_L_F_S2_week9	3880R_0_F_S2_week5	3880R_0_F_S2_week9	3880R_L_F_S2_week5	3880R_L_F_S2_week9	3880R_R_F_S2_week5	3880R_R_F_S2_week9	3880R_S2_week15	3909R_0_M_S2_diabetes	3909R_L_M_S2_diabetes	3909R_L_M_S2_week5	3909R_L_M_S2_week9	3909R_S2_week21	3918R_0_M_S2_diabetes	3918R_0_M_S2_week5	3918R_0_M_S2_week9	3918R_L_M_S2_week5	3918R_L_M_S2_week9	3918R_RL_M_S2_week5	3918R_RL_M_S2_week9	3918R_RR_M_S2_week5	3918R_RR_M_S2_week9	3918R_S2_week29	3969R_R_F_S2_diabetes	3969R_R_F_S2_Pellet_week9	3969R_R_F_S2_week5	3969R_S2_week18	3980R_0_F_S2_diabetes	3980R_0_F_S2_week5	3980R_L_F_S2_Pellet_week9	3980R_L_F_S2_week5	3980R_R_F_S2_diabetes	3980R_R_F_S2_Pellet_week9	3980R_R_F_S2_week5	3980R_S2_week14	S2_defined_inocula	048R_S2_R_Female_week5	048R_S2_R_Female_week9	1050R_S2_L_Male_week5	1050R_S2_L_Male_week9	1050R_S2_R_Male_week5	1050R_S2_R_Male_week9	1050R_S2_RR_Male_week5	1050R_S2_RR_Male_week9	1127R_S2_0_Female_week5	1127R_S2_0_Female_week9	1127R_S2_R_Female_week5	1127R_S2_R_Female_week9	2514R_S2_L_Male_week5	2514R_S2_L_Male_week9	2514R_S2_R_Male_week5	2514R_S2_R_Male_week9	3995R_S2_0_Female_week5	3995R_S2_0_Female_week9	3995R_S2_L_Female_week5	3995R_S2_L_Female_week9	3995R_S2_R_Female_week5	3995R_S2_R_Female_week9	3995R_S2_RR_Female_week5	3995R_S2_RR_Female_week9	3997R_S2_L_Male_week5	3997R_S2_L_Male_week9	3997R_S2_R_Male_week5	3997R_S2_R_Male_week9	S2_mouse_inoculum
1CMET2-PWY	0.010358690751014652	0.0014071943637781472	0.9999951950286641	0.14287166273639815	0.0	0.9688950362559227	0.6008914166199409	0.986021700853656	0.005789643760203935	0.9996345513530546	0.9602040063535083	0.7899779055957432	0.22103433992576532	0.9072813923393073	0.0	0.9728621757052361	2.3935019553738427e-06	0.01841043493772047	0.0025479959909727535	0.011862610835227315	0.1597412141048685	0.0	0.9969201802613682	0.9886134336834554	0.8972128336441175	0.6132644274450728	0.9939880574204739	0.999699979171202	0.9821683551207661	0.5343571990297602	0.999631638487117	0.9999836216724746	0.8755956155825371	0.6320199731456438	9.726056074473875e-07	0.7267688585771676	0.6982931656286353	0.017989195992688327	0.9747322782269794	0.8319876521791743	0.11257777942242088	5.917099999965123e-12	0.9872748426605064	3.499999999999989e-15	2.294110931217718e-08	0.9942844778094534	0.9945732247588529	0.9004305363878288	0.0	7.495473600291833e-05	0.8882864400445365	3.499999999999988e-15	1.5981769997658625e-10	0.9934404514539854	0.0	0.002505232063334667	0.9854386216460767	0.8796313463067887	0.6616370180243569	0.998503032864263	0.9585096533791707	0.03914002906388719	0.0011460985024307167	0.7787610414429044	0.6597703551927231	4.960340838773871e-13	0.006689414689638796	0.9999999976481223	0.01799662168457119	0.025317888008917842	0.0002512915743820915	0.9946243143858267	0.12625619360209034	0.0	0.8185716524241633	0.000283571260557058	0.9997787361199063	0.6967889475921536	0.0	0.2549842726792994	0.013545942986651141	2.7999999999999934e-15	0.985337954849996	0.00168804050345189	0.001410702718389431	0.9944839755180027	0.9996672318628989	0.9996462922166235	0.9999999999920162	0.9971284684546144	0.999999995058301	0.9966659522487915	0.7957607330760761	0.85121064177045	0.02374858164721724	0.0	0.9944194012929968	0.8779643013933008	0.019471597510918284	2.509973128506994e-08	0.012202561592663076	0.011337034316896689	0.6773350358461887	0.010081572879383478	0.973587914201491	0.9248547622362022	0.9312007625726488	1.399999999999998e-15	8.226057709638794e-08	3.4999999999999894e-15	0.9508427267028301	0.9679846836949327	0.6694546182155271	0.08525104622084612	0.9974604320063123	0.9794824681748092	0.304052996105242	6.768999999995927e-13	0.9963223375557247	9.129402366376671e-09	9.687999999991955e-13	0.6389889268943229	0.9924032664088708	0.00019984927043514367	0.476062067494149	0.6956403542344641	0.8730681142262009	0.9581620031578343	0.9866442306549735	2.2104681893265747e-05	0.991787107099813	0.8682381723401347	0.021264802204198137	0.0012310534468736372	0.7194859310226883	0.5852143443129929	0.9048952947275631	0.0	0.9823112540584639	0.9992153092169218	0.8753188532308956	1.5306252124505143e-07	0.9960764908574224	0.603556135172631	0.9931080532150335	0.15596472180225857	0.41541031219838365	0.0	0.989490470557185	0.7834103798273302	1.627760498565374e-05
ANAGLYCOLYSIS-PWY	0.986852958055251	0.9999999264762132	0.9999999999999427	0.9999937797528452	0.8571697043565835	0.9999999993501524	0.9999999121589674	0.9999999999959392	0.9997274474305785	0.9999985414838187	0.9999999712249827	0.9999999962959981	0.9999999999888911	0.9994110133074622	0.976495998630526	0.9999999999999972	0.9998567309957307	0.9999993415876686	0.8520591418522768	0.9354553172747657	0.9999942717340461	0.8152012035172874	0.9999859602744157	0.9999994190263024	0.9999845811444995	0.9999868356326399	0.9999996375792459	0.9999999938808394	0.9999999993523423	0.9999995863590975	0.9999999634213991	0.999999999999814	0.9999999941181607	0.9999998943354725	0.8393646243210376	0.9999941143159239	0.9999999799013762	0.9999963098208065	0.9998575769516612	0.9999673637828653	0.9999993267343414	0.8526729317197872	0.9999999992442411	0.8351580520698012	0.8908604362881992	0.9999944325545219	0.9999999999231789	0.9997175255948739	0.8387825239996997	0.8607214610228987	0.9999999997409112	0.8442344141521373	0.8910673040275152	0.9999923193028155	0.8471962850204492	0.9013375457989176	0.9999999992271332	0.9990556011897009	0.9999990672541623	0.9999999999999329	0.9999999999402966	0.8394866785570346	0.9999035453787307	0.9999820644430584	0.9999999812342842	0.8518196710902796	0.8639036670738779	1.0	0.9999999985984718	0.8795386041790881	0.9988433584437271	0.9999999966949389	0.878887382250622	0.929804993413048	0.9999978143435903	0.9999671169741501	0.9999999999687498	0.9807040626804373	0.8484187303623961	0.9996607701686724	0.8920910847252186	0.893107044540623	0.9999983232139069	0.8454138190873927	0.9996974018031801	0.9999947544504231	0.9999997940172692	0.9999999921570392	0.9999999999999978	0.9999815553615458	0.9999999999999998	0.9999999310151694	0.9999445866005648	0.9999999902829946	0.9999932495260725	0.8532714924007293	0.9999670734053594	0.9999999799071541	0.9999986050026243	0.869717174665991	0.9122468051717019	0.9999935893439927	0.9894289581371466	0.999999955705282	0.9999886191221347	0.9999999997599756	0.9999735526043856	0.8575989890860286	0.867602134865213	0.9102646051274905	0.9999999943205137	0.9999527291988811	0.9999999999966709	0.999999671204617	0.9999983205613399	0.999999945780988	0.9976177427915461	0.9119400777044347	0.9999999995873154	0.8417728694646446	0.9999906231046818	0.999980207254648	0.9998896787804309	0.9999955608090136	0.9998623043689869	0.9999980432270703	0.999947423099033	0.999999674724734	0.9999965834963858	0.9999116385411789	0.9999999916675	0.9999968752350573	0.9986930490012259	0.9999999999423625	0.999629332092011	0.9999999998263989	0.9999706662802993	0.9904970911108527	0.9999996155112727	0.9999999999996785	0.9993774000717559	0.8718458696942434	0.9999904016878102	0.999999987148286	0.9999168816421299	0.9999999999343068	0.8364252880255914	0.8893095884449397	0.9997470886142249	0.9999998747276989	0.9999964211782677
ARGSYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021971504635536262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGSYNBSUB-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0282973621207295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARO-PWY	0.0	0.0	0.014389668237520581	0.0	0.0	0.0	0.0	0.0	0.687479675061978	0.0	0.0	0.0	0.0	0.0	1.4204749998193967e-10	0.9999999999537138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4419999999998216e-13	0.0	0.0	1.5809723509901442e-05	0.0	0.0	0.5911329789932067	3.403031210737528e-08	0.0	0.0386136534748144	0.0	2.4270142912088483e-06	0.0	2.505466894935751e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.561566328540174e-06	5.3974598750098964e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8859162819239965e-05	0.0	0.0	0.9724046400659296	0.0	2.077688910118493e-05	0.0	9.816099999917409e-12	6.999999999999945e-15	0.0	0.8756391249448898	0.0	0.0	0.9982731534382322	2.7999999999999934e-15	0.0	0.0	0.832447282029509	0.0	0.0	0.0	0.0	1.0203471826842446e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.9836832613489037	0.9999995835689195	0.9999999999999934	0.9884122995058715	0.9923809629141878	0.0001401721581715091	0.6004136195452009	0.0	0.0	0.0	0.08046105744551911	2.3999078106323606e-08	0.0	0.0	0.0	0.0	0.0	1.5399999999999797e-14	0.024104092786700313	0.000983808623360235	0.9999266604602268	0.0	0.0	0.0	9.799999999999918e-15	4.671398793333607e-07	0.0	0.999999102047624	0.0032689718125359837	0.4823457137606906	0.0	0.0	6.320299999965761e-12	0.0	0.0	0.7788802421984327	5.5999999999999735e-15	0.0	0.0	0.7483723316387274	0.0	0.9518616988293708	0.0	0.23485052698191466	0.32406234217915036	7.825628053967578e-06	0.0	0.9999999998929159	1.1888156961908749e-05	0.00038814771043975497	0.0	2.3651529995101936e-10	0.0067686313019023284	0.9876016520304367	0.995753399071936	3.4999999999999875e-15	0.030555738195242443	0.9999999425566494	0.0	8.810124212888747e-05	0.0	0.0	0.0	5.85521999970614e-11	0.7786691190432148
BIOTIN-BIOSYNTHESIS-PWY	0.0	0.007274923540075764	0.0	2.8742943848646155e-13	0.0	3.2131591034008636e-08	4.014796407272424e-07	7.622051787035053e-06	0.0	0.0	4.666664741496397e-16	6.968523399903353e-14	0.0	6.29999737659134e-15	0.0	0.0	0.0	6.997680937180112e-16	0.0	0.0	3.17333333327421e-14	0.0	0.0	0.0	0.0	0.0	5.2985283304541005e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8312261779684024e-07	2.5766629689032374e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.133236182574947e-15	0.0	0.0	0.0	0.0	0.0	1.2767603622646201e-09	0.0	2.0548321864685455e-06	8.743959983372537e-08	0.0	0.0	0.0	8.429395455191948e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.567298104028148e-13	0.0	0.0	8.30268881076037e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6618030366203918e-08	2.7990883932931722e-15	0.0	0.0	0.0	9.416417732150842e-11	0.0	0.0	0.00031978999526680496	0.0	1.240524071180629e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.043496776292963e-10	0.0	0.0	0.0	0.0	0.0	4.190345029273553e-15	0.0	1.4584548936803083e-11	0.0	0.0	1.2279828857720146e-06	0.0	0.0	1.0500119782736538e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY	0.9703226489034074	0.9999997771939971	0.9999999999995971	0.9999822881751219	0.7374247187928762	0.999999997658918	0.9999997457652661	0.9999999999835364	0.583564160489136	0.9999966950599763	0.9999999157787975	0.9999999887303472	0.9999999999711271	0.9985902000795237	0.9426053766817398	0.9999999999999843	0.9996379298288742	0.9999980022363798	0.682840323774896	0.8631128133268268	0.9999870911597528	0.6882864779949395	0.9999651635325971	0.9999982150945863	0.9999600012522891	0.9999624442772839	0.9999989113108996	0.9999999855625922	0.9999999982405214	0.9999989696725514	0.9999998354864365	0.9999999999994698	0.9999999791430203	0.9999996712619016	0.7197841012209008	0.9999858038046636	0.9999999496130517	0.9999912579458964	0.9996408990483431	0.9999130281477426	0.9999982007864977	0.7285938286360595	0.999999997317661	0.689031480181644	0.7887010513949043	0.9999871978234642	0.9999999997769444	0.9991697011254583	0.6847234069337207	0.7101338510543449	0.9999999991990973	0.6883456268129194	0.7552284191074755	0.9999696884603029	0.6758967326577738	0.7955928582824103	0.9999999975087368	0.997539877835003	0.9999976897823226	0.9999999999996433	0.9999999997976925	0.6916834484607864	0.9997867645757813	0.9999515781324813	0.9999999391757658	0.6838177403625917	0.7226025519583772	1.0	0.9999999941117128	0.7853362157340859	0.9976284490845171	0.9999999897552072	0.7478312462515535	0.8487228409102646	0.999992589638856	0.9999053015744096	0.9999999998862338	0.9583098457975896	0.6861864453198896	0.9987812333676046	0.7862076960888157	0.7572001845374395	0.9999946842034262	0.6975834644696279	0.9990419854391261	0.9999845269030129	0.9999993864683846	0.9999999778417465	0.9999999999999927	0.9999500771214817	0.9999999999999994	0.9999998368134196	0.9998416805145705	0.9999999692310122	0.9999783550112393	0.6723129428333793	0.9999330406923638	0.9999999362761193	0.9999949468966511	0.6866344801073048	0.8415221211848182	0.9999866938208486	0.9763057157701577	0.9999998781624982	0.9999744914931713	0.9999999993136891	0.9999249119768281	0.729203139447361	0.6827518927677838	0.7748430092161632	0.9999999837087459	0.999890608759819	0.9999999999798878	0.9999987364029572	0.9999949961183304	0.9999998629067303	0.9949493653587358	0.8143349050585676	0.9999999983065233	0.6969175441807354	0.9999743509698393	0.7013207240804286	0.9996905766858546	0.9999891496649198	0.9996375712362	0.9999947051185919	0.9998704179998178	0.9999992229762501	0.9999877230738752	0.9998080862075575	0.9999999738811997	0.9999890505313305	0.9970605042680152	0.9999999998696009	0.9990318595337384	0.9999999990147586	0.9999005594233054	0.9732882854830639	0.9999984631420819	0.9999999999987867	0.9984791965087934	0.7408011889711912	0.9999711874095614	0.9999999352285739	0.999776073486246	0.9999999997681478	0.7060985775565743	0.7828128408626518	0.9992078865551324	0.9999996601994348	0.701263944043981
CALVIN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COA-PWY	0.019935369747289593	0.9998981005580557	0.9999999998321012	0.7941922766189368	0.018343860609305464	0.9974890575258134	0.9944233763813022	0.999999848375812	7.449999999950173e-12	0.13670046431212599	0.977341585464554	0.9691571107285148	0.9896083884984825	0.000462114906042599	1.093702657298539e-05	0.9999693245157761	0.10830209841398297	0.683633078189038	2.820921765760557e-05	0.03287844423776535	0.9523372873214775	0.048686444165757604	0.8669615339824347	0.9612309092617148	0.6100953644658996	0.7728266917545549	0.9960437902337559	0.9984509181788013	0.9988192676344632	0.9806037580191281	2.753931033670528e-05	0.9790194370630031	0.7641662913363242	0.9903988641411545	5.694915254237287e-16	0.005890583429779815	0.5028193610059053	0.9909901116145289	0.5735376813470433	0.5541108318465646	0.9262248430529217	0.00020965866277563252	0.9989410704198055	5.6900031960667905e-05	0.0004763615132221275	0.6301375451397712	0.9850291042955628	0.014439679379029083	0.0020146288343285182	3.129044787102356e-07	0.9968535091374845	0.014649676771137576	0.0013648998763112305	0.007912517645958	0.0005331120550093044	3.771667465230267e-08	0.9926160766560632	0.008416442027569014	0.9818020090472434	0.999997483377632	0.9989139285964183	3.0006249166480076e-06	0.00034330527447755697	0.2727977032256177	0.9991368966365738	0.02605145879965018	1.1118797197348467e-07	0.9999999999996296	0.9948417670743782	8.802493166217628e-05	0.39562870405316297	0.9985213985873894	3.068297653708252e-05	3.33655093132165e-05	0.0029735290463775363	0.604232435970875	0.9995045736926299	0.18935747021368513	1.655563101099242e-09	0.03847910306452063	1.4860090786369843e-07	5.450174594629525e-06	0.7848609511546362	2.5999808254039535e-15	0.07692016920130021	0.6544981075922036	0.9781021434747027	0.8728875376066181	0.9999998952615533	0.26404037026345756	0.9999671290430877	0.9606364820365982	0.07374058285011105	0.9882561906979878	0.8929605855639845	0.003946971623587952	0.04005026712928971	0.9997453456374139	0.9758349688804205	2.73646075048633e-05	8.443183256368611e-07	0.9992407783783271	6.880548690532081e-07	0.9983498542337178	1.3856234419382477e-06	0.9999946761019824	4.837099805063019e-06	0.05761518058457442	0.004032067673284321	1.8272842996974158e-05	0.8015924714386555	0.02533806342095875	0.9991202157369932	0.9759665800881794	0.5414307441085892	0.8044905202253722	0.0003323204211547401	0.00015432255037746876	0.8616397662925301	2.0114017794606118e-10	0.9235920962014107	1.0532431991697755e-09	6.191240693616474e-05	0.9609188871449497	0.012323831755827045	0.30007358777455806	0.5586955997216259	0.8107499193537836	0.6079279592490515	0.10148610874010117	0.6635837340661783	0.6598611552895743	0.029900504900771577	0.6048836509526843	0.021371983931633184	0.8453350001413192	0.6057784115314722	0.23765224476381208	0.05998676131880736	0.9879182653528105	0.0013443063033979632	2.6740284154739514e-05	0.000500562617447466	0.295602664799438	0.018062291529068727	0.8577052494061509	5.0814222247616676e-14	1.5733300103397753e-05	1.95978796857423e-05	0.8848826632654214	0.0
COBALSYN-PWY	3.399999999999953e-15	0.0	0.0	8.859852854776182e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7999999999999993e-15	4.999999999999991e-15	0.0	1.4308639999316827e-10	5.142857142857143e-16	0.0	0.0	0.0	1.8472229834752937e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.742857142857118e-15	0.0	6.6469999999852726e-12	8.46139999976134e-11	0.02998656298187329	0.0	0.0	0.0	4.3199999999997976e-14	0.0	1.999999999999998e-15	0.0	0.0	0.0	0.0	0.0	4.283339665928055e-10	0.0	0.0	0.0	5.929971998827847e-10	0.0	1.999999999999999e-15	0.0	2.370857142856956e-13	0.0	0.0	0.0	0.0	5.999999999999987e-15	0.0	0.0	0.0	0.0	5.350947521029244e-08	2.9389570981501008e-08	0.0	1.571999999998532e-13	0.0	0.0	0.0	2.9999999999999967e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11906860320255e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5999999999999973e-15	0.0	7.335792707934487e-07	0.0	0.0	3.432210184983508e-09	1.0231971428528544e-11	0.0	1.2652664909871294e-12	0.13836065104398615	7.972199999978814e-12	0.005509850774625916	1.8263166298443145e-11	0.0	0.0	2.083999998085795e-13	0.0	0.0	1.907517187364884e-07	0.0	1.2651188570859978e-10	2.8622057142583315e-11	0.0	8.954025057535905e-10	9.999999999999999e-16	0.0	3.362452631402574e-06	0.0	0.0	0.0	0.0	0.0	0.0	6.553225085682449e-09	0.0	0.0	0.0	8.817999999973936e-12	0.0	4.489208023240744e-08	1.1599999999999542e-13	0.0	2.1207710198189145e-06	0.0	0.0	0.0	3.084799999996828e-12	6.204364897817819e-11	2.3599999999999816e-14	0.0	4.282799999993886e-12	3.611487999565237e-10	7.2033999999827025e-12	1.194999999999524e-12	0.0	0.0	1.73999999999999e-14	5.328887210250277e-07	0.0
