pathway	048R_S2_R_Female_week5	048R_S2_R_Female_week9	073R_0_M_S2_week5	073R_0_M_S2_week6	073R_0_M_S2_week7	073R_0_M_S2_week9	073R_R_M_S2_Pellet_week9	073R_R_M_S2_diabetes	073R_R_M_S2_week5	073R_S2_week21	1050R_S2_L_Male_week5	1050R_S2_L_Male_week9	1050R_S2_RR_Male_week5	1050R_S2_RR_Male_week9	1050R_S2_R_Male_week5	1050R_S2_R_Male_week9	1067R_0_M_S2_week5	1067R_0_M_S2_week9	1067R_L_M_S2_week5	1067R_L_M_S2_week9	1067R_R_M_S2_diabetes	1067R_R_M_S2_week5	1067R_R_M_S2_week6	1067R_R_M_S2_week7	1067R_R_M_S2_week9	1067R_S2_week27	1127R_S2_0_Female_week5	1127R_S2_0_Female_week9	1127R_S2_R_Female_week5	1127R_S2_R_Female_week9	1152R_0_M_S2_week5	1152R_0_M_S2_week9	1152R_L_M_S2_diabetes	1152R_L_M_S2_week5	1152R_L_M_S2_week9	1152R_R_M_S2_week5	1152R_R_M_S2_week9	1152R_S2_week28	1174R_0_M_S2_diabetes	1174R_0_M_S2_week5	1174R_0_M_S2_week9	1174R_S2_week14	160R_0_F_S2_week10	160R_L_F_S2_week10	2404R_0_F_S2_week5	2404R_0_F_S2_week9	2404R_L_F_S2_diabetes	2404R_L_F_S2_week5	2404R_L_F_S2_week9	2404R_R_F_S2_week5	2404R_R_F_S2_week6	2404R_R_F_S2_week7	2404R_R_F_S2_week9	2404R_S2_week14	2446R_0_F_S2_week5	2446R_0_F_S2_week9	2446R_L_F_S2_diabetes	2446R_L_F_S2_week5	2446R_L_F_S2_week6	2446R_L_F_S2_week7	2446R_L_F_S2_week9	2446R_RL_F_S2_Pellet_week9	2446R_RL_F_S2_week5	2446R_R_F_S2_Pellet_week9	2446R_R_F_S2_week5	2446R_S2_week15	2453R_0_F_S2_Pellet_week9	2453R_0_F_S2_week5	2453R_L_F_S2_Pellet_week9	2453R_L_F_S2_diabetes	2453R_L_F_S2_week5	2453R_R_F_S2_Pellet_week9	2453R_R_F_S2_diabetes	2453R_R_F_S2_week5	2453R_S2_week21	2514R_S2_L_Male_week5	2514R_S2_L_Male_week9	2514R_S2_R_Male_week5	2514R_S2_R_Male_week9	3795R_0_F_S2_week5	3795R_0_F_S2_week6	3795R_0_F_S2_week7	3795R_0_F_S2_week9	3795R_L_F_S2_week5	3795R_L_F_S2_week9	3795R_R_F_S2_week10	3880R_0_F_S2_week5	3880R_0_F_S2_week9	3880R_L_F_S2_week5	3880R_L_F_S2_week9	3880R_R_F_S2_week5	3880R_R_F_S2_week9	3880R_S2_week15	3896R_0_M_S2_week10	3896R_L_M_S2_week10	3909R_0_M_S2_diabetes	3909R_0_M_S2_week5	3909R_0_M_S2_week6	3909R_0_M_S2_week7	3909R_0_M_S2_week9	3909R_L_M_S2_diabetes	3909R_L_M_S2_week5	3909R_L_M_S2_week9	3909R_R_M_S2_week10	3909R_S2_week21	3918R_0_M_S2_diabetes	3918R_0_M_S2_week5	3918R_0_M_S2_week9	3918R_L_M_S2_week5	3918R_L_M_S2_week9	3918R_RL_M_S2_week5	3918R_RL_M_S2_week9	3918R_RR_M_S2_week5	3918R_RR_M_S2_week9	3918R_R_M_S2_week5	3918R_R_M_S2_week6	3918R_R_M_S2_week7	3918R_R_M_S2_week9	3918R_S2_week29	3969R_0_F_S2_week5	3969R_0_F_S2_week6	3969R_0_F_S2_week7	3969R_0_F_S2_week9	3969R_R_F_S2_Pellet_week9	3969R_R_F_S2_diabetes	3969R_R_F_S2_week5	3969R_S2_week18	3980R_0_F_S2_diabetes	3980R_0_F_S2_week5	3980R_0_F_S2_week9	3980R_L_F_S2_Pellet_week9	3980R_L_F_S2_week5	3980R_R_F_S2_Pellet_week9	3980R_R_F_S2_diabetes	3980R_R_F_S2_week5	3980R_S2_week14	3995R_S2_0_Female_week5	3995R_S2_0_Female_week9	3995R_S2_L_Female_week5	3995R_S2_L_Female_week9	3995R_S2_RR_Female_week5	3995R_S2_RR_Female_week9	3995R_S2_R_Female_week5	3995R_S2_R_Female_week9	3997R_S2_L_Male_week5	3997R_S2_L_Male_week9	3997R_S2_R_Male_week5	3997R_S2_R_Male_week9	S2_defined_inocula	S2_inocula	S2_mouse_inoculum
1CMET2-PWY	19257.561192080833	15437.474100097725	21635.652392567124	25000.14493596724	27095.945381026337	24529.946794080697	21043.179829238215	13965.239482973846	18007.33517758504	19592.15417084904	27624.175155579604	21750.778393503657	21900.62472446368	26040.61017426358	18686.92432905789	20248.9124001524	20165.86738834985	18185.02045002094	15223.654526641534	20077.02176779399	11186.960567354228	20584.108336590816	21066.12469267416	25894.7397246789	18490.303272587134	16627.60382987226	22550.229106851184	20754.96924129206	19022.34419885174	35231.24306294499	19887.74131941342	24100.415948892452	17922.366660192423	19842.1299948811	18620.69923442808	14561.327106211316	14775.71497691261	19519.834897331195	19004.61941023896	15239.704399477643	15532.64820316208	18910.226087963605	17638.937446780914	18772.82677741519	17972.536977901484	17227.4307964889	16130.63487778631	17220.38990574829	19100.06257577714	15259.667031318353	19308.652526775328	20862.366308442695	14783.02370153916	22351.414674304295	17026.393289717995	17795.165187409835	19596.838639693564	16351.7373373412	20208.147985591462	17935.167122219504	16328.84190589371	20007.504599998836	18403.704967966165	17227.35922277095	18026.401899675413	16420.60576324515	17239.60413805901	15206.840292678813	17223.668318156964	20651.58810330867	18022.662872475456	15030.238765124017	16724.596855652893	13156.195395795521	15736.032961212715	12895.70820358672	30901.04375086091	18586.593905533064	32138.73407837149	19961.14912241146	18171.41697964657	17007.629069983475	21388.561102255804	19235.865059786403	18454.22681510889	18677.567814183996	19903.195072810508	23347.377131724374	16254.572820553543	25538.789864727303	19447.81050813207	17030.299208484572	15404.265904014845	16281.544871288797	20978.798241437486	16925.887775385083	24138.59775114012	32115.74163672693	21187.71787319675	21428.800895970027	19071.41126012727	15663.695778956673	18507.643781539387	19405.94081394551	17268.360630049097	20964.893534593277	16792.075638821025	15374.713645807158	15647.741971363259	19347.725724260083	16595.069663356837	18839.41231242728	18480.6391334869	15046.177374930197	17823.669874412484	20054.561765833685	22734.465007829585	16349.433268108101	16605.45605230583	17733.984050880685	16585.53714000768	22021.446536227835	16261.15769746149	18556.053962091068	18138.153312258597	21479.151815440455	17136.253009144213	20849.27746147447	19736.3984288764	23566.72670630904	18527.464102692076	21650.86710096445	19780.557024448553	22919.13368622318	22964.961536809533	23101.25798180465	26096.61178475034	20145.263267921953	17498.109256090327	19303.43505235818	16634.942705006048	32205.635080721528	16475.811170552373	29172.735317906838	14596.726196024707	26051.30079313254	25592.334956547533	16904.16924179813	13903.610666055887	10889.556272464983	21140.53005480711
AEROBACTINSYN-PWY	310.29	137.14	185.57	231.0	145.43	133.43	159.0	113.57	223.29	120.57	345.14	238.86	340.29	365.71	268.57	245.57	722.86	214.14	752.57	223.0	123.14	513.0	219.14	228.14	154.14	136.57	433.14	273.43	372.57	111.57	642.0	193.57	181.71	431.29	114.86	370.14	106.14	210.57	679.43	414.57	142.29	123.43	190.0	295.0	395.43	198.14	1239.0	481.29	252.57	300.86	268.43	109.71	109.43	185.57	214.57	148.43	1696.29	107.86	210.14	158.86	182.43	236.0	201.71	190.14	274.14	119.29	274.0	199.43	224.29	177.86	223.14	137.86	120.86	216.0	139.43	130.71	273.57	406.71	347.0	291.29	121.0	155.86	205.0	375.43	187.43	147.71	650.43	239.71	461.0	254.71	676.0	148.86	141.86	129.71	165.86	157.43	724.0	321.14	119.0	171.29	300.29	379.43	171.71	178.14	136.57	430.14	544.71	150.0	523.0	159.0	477.0	175.29	812.71	147.43	408.86	219.29	145.29	101.0	197.0	174.71	343.29	134.43	140.0	240.86	255.14	377.0	169.0	1220.86	262.0	301.43	359.57	320.14	327.57	173.43	310.86	153.86	1151.29	293.71	712.43	279.86	454.29	598.14	417.71	401.14	174.29	276.29	427.57	135.0	845.57	1514.29	1136.71
ALL-CHORISMATE-PWY	359.89026022304836	159.0620074349442	215.23360594795537	267.9256505576208	168.6771747211896	154.7589591078067	184.4163568773234	131.72431226765798	258.9831970260223	139.84327137546467	400.3110780669145	277.0420817843866	394.68579925650556	424.16921933085496	311.5012639405204	284.8246840148699	838.4101115241635	248.3705576208178	872.8692936802975	258.64684014869886	142.82408921933086	595.003717472119	254.16981412639402	264.6084758364312	178.77947955390331	158.40089219330855	502.3779925650557	317.1381412639405	432.12579925650556	129.4046096654275	744.6245353159851	224.5124163568773	210.75657992565056	500.23226765799257	133.22052044609666	429.3073605947955	123.10661710037175	244.22988847583642	788.0377695167285	480.8395539033457	165.03524163568773	143.16044609665428	220.3717472118959	342.15613382899625	458.64	229.81293680297395	1437.0557620817842	558.2248327137546	292.9436431226766	348.9528624535316	311.3388847583643	127.24728624535315	126.92252788104089	215.23360594795537	248.86929368029737	172.1567286245353	1967.444163568773	125.10156133828995	243.73115241635685	184.2539776951673	211.59167286245352	273.724907063197	233.9536059479554	220.534126394052	317.9616356877323	138.35866171003718	317.7992565055762	231.30914498141263	260.14304832713754	206.29115241635688	258.809219330855	159.89710037174723	140.1796282527881	250.5278810408922	161.71806691449814	151.60416356877323	317.30052044609664	471.72312267657986	402.46840148698885	337.85308550185874	140.34200743494424	180.77442379182156	237.76951672862452	435.44297397769515	217.39092936802973	171.32163568773234	754.4020817843865	278.02795539033457	534.6914498141264	295.42572490706317	784.0594795539033	172.65546468401487	164.53650557620819	150.444312267658	192.37293680297398	182.5953903345725	839.7323420074349	372.4746468401487	138.02230483271376	198.67092936802973	348.29174721189594	440.0823791821561	199.15806691449814	206.6159107806691	158.40089219330855	498.89843866171003	631.7826022304832	173.97769516728624	606.6022304832713	184.4163568773234	553.2490706319702	203.3103345724907	942.6227509293681	170.99687732342008	474.2168029739777	254.34379182156133	168.51479553903343	117.1449814126394	228.49070631970258	202.63762081784387	398.1653531598513	155.91881040892193	162.37918215613382	279.3617843866171	295.9244609665427	437.26394052044606	196.01486988847583	1416.0160594795536	303.8810408921933	349.6139776951673	417.0477323420074	371.3147955390334	379.9324907063197	201.15301115241635	360.55137546468404	178.45472118959108	1335.3252044609665	340.65992565055757	826.3128624535315	324.5959851301115	526.9088475836431	693.7534572490706	484.48148698884756	465.262750929368	202.15048327137544	320.45531598513014	495.91762081784384	156.5799256505576	980.7354646840149	1756.351226765799	1318.4145724907064
ANAEROFRUCAT-PWY	4427.495009417931	3215.032200845809	3984.7304342899333	4704.55746606664	5820.729203517085	5002.093656594027	4180.884534930399	4220.770381352725	3586.702839574728	4358.885862296839	6509.648418237563	7513.537161682673	5049.093448796658	10042.054380556943	4544.464295455492	6064.893676366929	5647.909907840309	4517.937541333492	4801.716287487894	4205.153387169274	3653.436984050779	5664.048182472312	7626.014827242119	5265.776859413639	5681.936377858608	4551.486882501928	5315.576698010625	6222.091253631856	4951.918192916695	12840.027700431641	5173.234655395944	5886.226117841913	5694.569686824886	6075.998749042372	3773.624689314125	4208.954626036315	2857.578555786785	3629.055870332047	4505.795831699535	4703.618894476114	4222.176797793946	6338.150911440518	2342.178839096191	2791.496617365624	4094.897387593025	3947.665951751616	5917.997119251229	5836.328676120523	4484.949623345441	4317.865691450427	3184.700537473077	1959.8332168941645	3404.899436532331	5482.707485706045	4548.991058627073	4173.10967168683	6604.202326332503	2311.748691152806	3222.0736195855343	4221.45567517717	2873.54419031457	5490.0798572857975	5235.112965606622	2978.342210030717	3524.875970203841	3172.4029354331174	3180.8601405413697	2681.128882459259	6446.0597573606965	6209.529060859802	4650.753933998175	3770.595295698549	5128.399495708613	3967.5309112167124	3626.2903565323	3702.0904140562493	8451.712548181808	3807.7460550764877	13080.130322171693	2811.344806451986	2640.2924847957797	2910.5753278917473	4185.378947751312	3972.1175672014724	3686.0286121265717	4129.4904683592495	4130.381020667483	3268.1280688656802	3739.4446192941264	5167.282831707521	4162.488657626424	5686.7213219366895	2845.1522583128462	3067.5179797788383	3650.6797164861077	4097.444191155969	6025.220538076732	6118.582768381935	4372.63281518065	5987.374101411839	6383.73195643962	4161.206921537517	4883.801718660425	3209.031600400682	3890.93477856242	7107.309126932686	4496.3854075316485	4664.875256727836	4640.12459962588	6106.216418132419	4731.726402017946	4735.220350223403	5625.122552438198	4738.50846372494	5430.630470388468	5755.472216096135	6310.636545866302	5013.543053103554	5438.027311741265	2839.055594488785	3969.618559392368	3721.399945258752	3839.1505141504194	4564.71578698812	5970.108383229432	5373.205064792075	3491.671817823463	6593.854307258376	4492.651552609523	3466.655631325871	5300.5626813473355	6657.113401081789	5132.88982308404	3908.838774574072	6942.695844439133	4034.1884584162954	7061.006670226966	5373.740539341398	5480.948234401086	7660.618533609494	4345.446756691563	8917.294706795468	4557.656537801655	10509.521985717625	3828.1845562313615	10050.777617469728	6107.664779568349	4462.646122898427	6919.450137252179	7101.26877133542	11715.152124409982
ANAGLYCOLYSIS-PWY	24712.354419305953	20044.954946007205	27678.978542631303	32338.494032932434	34915.822127621475	31438.85128596281	27242.237560024176	18217.634326324398	23126.999309429728	25235.25560958881	35822.63232909381	28521.165791707983	28256.407923471674	34256.160478275095	24224.31236280637	26189.154380861517	26372.248356566495	24048.281121678756	19880.97847104944	26019.490769210417	14663.291269545443	26961.37863844148	27929.470799956332	33253.89215868925	24248.11631813933	21683.544416160556	29136.742928816337	27307.821844795766	24750.126779364207	45933.01646466386	26003.305875213315	31119.813496026123	23477.386299428123	26089.54869259756	23920.602457494882	19126.497528936165	19015.365222246226	25076.723734689254	24329.697520687503	20126.879978658013	20274.39450579865	24792.183041385317	22458.818622040035	24007.65879424291	23462.04306712214	22184.69789072603	21218.237101060804	22860.837795603915	24836.56829606354	20127.22846842107	25016.156581661264	26448.06167719462	19272.86619334349	29132.724049508557	22164.003758034534	23029.09644460637	24900.21320745795	20906.466536340424	26048.420738695648	23412.496592480737	20827.26369337972	26086.30603170211	23760.316920613514	21983.867055013365	23619.069208353838	20994.449340483097	22195.70338084143	19603.401517422648	22899.802054427957	26941.060241814914	23470.302981106328	19550.72829052918	21843.695620383027	17280.095889156728	20164.6903430079	16742.85509574621	39998.70519963745	24078.224247409486	42664.21119236129	25565.693900020415	23105.96190014297	21856.005892743367	27444.43136042784	24836.32516533886	23472.08562779035	24284.97321183217	25591.577217656315	29441.059211410935	20899.851904953768	32722.29913623107	25156.56583586871	22352.7512079983	19730.947054477816	20960.225701218063	27027.563362439523	21909.690345388655	31276.461820116034	41117.0866556906	27013.72258567459	27995.06611352199	25202.059551455175	20324.548157595436	24110.373005636582	25046.09546877744	22349.509795992253	27705.77182850497	21895.80413443225	20101.14788781592	20538.439169626592	25387.636206332616	21577.14853718345	24354.060666573507	24115.11161650032	19809.30884722558	23097.241879901725	26275.948633561307	29641.536276244096	21348.29530209693	22005.920449831312	22699.31760420571	21735.038263036986	28333.986593398513	21397.976957372615	24180.23789433413	23994.86135403869	27875.9984456958	22040.251561662015	26933.442891357186	25543.999789093952	30001.381930296106	24213.84632567022	28349.74893470202	25490.294792865127	29276.255750040746	30040.795446283195	29488.284173432105	33808.37081809994	25966.95635209307	22805.62791208845	25495.12677801542	21577.164687559856	41922.94552179853	21278.34838143868	38188.53612708448	18934.193366533895	34624.106231072015	33380.592417014224	21859.884784842827	20177.062861269755	16495.625340766343	30944.165829890655
ARG+POLYAMINE-SYN	366.24393442622954	161.87016393442622	219.03344262295082	272.655737704918	171.6550819672131	157.4911475409836	187.67213114754097	134.04983606557377	263.55540983606556	142.31213114754098	407.3783606557377	281.93311475409837	401.6537704918033	431.6577049180328	317.0006557377049	289.8531147540983	853.2118032786885	252.75540983606555	888.2793442622951	263.21311475409834	145.3455737704918	605.5081967213115	258.6570491803279	269.28	181.935737704918	161.19737704918032	511.24721311475406	322.73704918032786	439.75475409836065	131.68918032786885	757.7704918032787	228.47606557377048	214.47737704918032	509.06360655737706	135.57245901639345	436.88655737704914	125.28	248.54163934426228	801.9501639344262	489.3285245901639	167.9488524590164	145.68786885245902	224.2622950819672	348.1967213114754	466.73704918032786	233.87016393442622	1462.4262295081967	568.08	298.11540983606557	355.11344262295086	316.8354098360656	129.49377049180328	129.1632786885246	219.03344262295082	253.2629508196721	175.19606557377048	2002.1783606557376	127.31016393442623	248.03409836065572	187.50688524590166	215.3272131147541	278.55737704918033	238.08393442622952	224.42754098360655	323.57508196721307	140.80131147540985	323.40983606557376	235.3927868852459	264.735737704918	209.93311475409837	263.3783606557377	162.72000000000003	142.6544262295082	254.95081967213113	164.57311475409836	154.28065573770493	322.9022950819672	480.05114754098355	409.57377049180326	343.8177049180328	142.81967213114754	183.96590163934428	241.9672131147541	443.1304918032787	221.2288524590164	174.34622950819673	767.7206557377049	282.93639344262294	544.1311475409836	300.64131147540985	797.9016393442623	175.70360655737707	167.44131147540986	153.10032786885247	195.76918032786887	185.81901639344264	854.5573770491803	379.05049180327865	140.45901639344262	202.1783606557377	354.44065573770496	447.8518032786885	202.67409836065573	210.26360655737702	161.19737704918032	507.7062295081967	642.936393442623	177.04918032786884	617.311475409836	187.67213114754097	563.016393442623	206.89967213114753	959.264262295082	174.01573770491802	482.5888524590164	258.83409836065573	171.48983606557377	119.21311475409836	232.52459016393442	206.2150819672131	405.19475409836065	158.67147540983606	165.24590163934425	284.2937704918033	301.1488524590164	444.983606557377	199.47540983606558	1441.015081967213	309.24590163934425	355.7862295081967	424.41049180327866	377.8701639344262	386.64	204.70426229508197	366.91672131147544	181.60524590163936	1358.8996721311476	346.6740983606557	840.9009836065572	330.3265573770492	536.2111475409836	706.0013114754098	493.0347540983606	473.4767213114754	205.71934426229507	326.1127868852459	504.6727868852459	159.34426229508196	998.0498360655738	1787.35868852459	1341.6904918032787
ARGORNPROST-PWY	210.0	158.15999999999997	251.5	201.32999999999998	251.32999999999998	208.82999999999998	139.17000000000002	171.32999999999998	340.66	203.17000000000002	230.82999999999998	231.33999999999997	253.82999999999998	358.66	235.0	213.67000000000002	56.5	187.84000000000003	38.67	195.15999999999997	125.83	82.17	149.5	64.0	298.5	163.82999999999998	390.49999999999994	178.51	454.66999999999996	88.66	368.16999999999996	105.67	84.83	268.34000000000003	133.67000000000002	224.67000000000002	99.33	210.67000000000002	216.34	359.84	39.84	133.0	189.66	104.0	350.99	195.5	420.66999999999996	484.6700000000001	78.0	297.0	82.34	73.16	197.0	325.84	289.83	212.82999999999998	124.83	104.83	207.5	291.83	58.0	203.15999999999997	352.34	45.34	242.82999999999998	136.32999999999998	216.16	185.67000000000002	78.66	311.51000000000005	237.16	89.5	228.17000000000002	246.84	260.0	187.0	1060.67	280.17	961.67	281.17	158.84000000000003	272.83	247.17000000000002	256.5	145.5	197.84000000000003	993.6700000000001	101.83	492.17	329.34000000000003	588.17	332.17	202.5	175.32999999999998	216.01	105.67	310.01	387.16	139.17000000000002	413.82	216.0	165.49	331.5	263.5	162.32999999999998	48.17	78.99	66.84	62.5	203.68	94.66	132.17	169.34	153.67000000000002	65.34	208.5	189.82999999999998	244.84000000000003	187.49	253.66	129.66	124.01	85.5	208.17000000000002	231.82999999999998	551.3399999999999	170.17000000000002	380.49999999999994	382.01	139.82999999999998	70.17	443.66	85.16	98.33	388.84	130.17000000000002	761.18	365.34	535.0	305.01	357.16	934.9999999999999	254.82	410.16	124.99	345.33	338.34	157.99	297.67	472.33	383.83
ARGSYN-PWY	13598.003567271524	9589.865468234657	15582.40314308369	16279.315423072776	17719.10140928886	16391.154828491814	11780.853209315217	7050.1030224661345	12852.240441866992	14205.86254724424	18579.71542593554	14850.912687816117	15122.54078140428	16688.025697937184	12410.557042466917	14685.891162485776	13508.219143462002	8821.420581444376	9266.537471124431	13179.374317233774	5519.44107805813	13110.566423030325	13425.823485064317	21845.08589621301	11599.919234701825	9715.23286409189	16881.594627129674	14015.877770850057	12137.06296648573	26860.928449019506	12573.45263427851	15383.190930411873	8552.667084760693	11385.469291774354	11934.409316279585	10024.202283150149	9430.679173372388	13085.044427540128	14014.44312985127	8806.799362867245	9294.046674099665	12220.58285788133	11446.176128397134	14746.32794422605	11477.455729719919	11833.538136050936	8670.319599113524	9950.970313641772	13706.043393914935	7019.915411839275	11633.553890221558	14005.662033986642	7051.722593121447	13938.868769687255	9745.987920577489	11283.731001868471	12766.838278657875	11304.660628566298	13635.613762587676	12642.949602492463	11621.716246986207	11756.033093581895	13452.947309117235	12501.214074619493	10085.247090163297	10422.4853178865	11637.45792844583	9546.585465814816	10394.241492016934	11084.264089063607	10032.832703954684	9614.338528406417	9564.509176402978	7716.485887911677	9983.399801384845	8830.86385887329	22008.935116843873	12834.494796577606	19457.991243025805	13016.47929490966	14507.314910162695	11379.423417199656	14367.532019947332	12423.296908612532	15072.880020706072	9060.450671926412	16409.328184383074	21199.00398363997	12830.510809297362	20273.484810585414	14131.394503758545	11655.07985141068	10236.35500835866	10525.12364560024	13523.866359597176	10672.555927621073	17912.40033034172	24435.82550334326	14809.044650912354	15204.655808332795	8890.609729101547	11198.331265071307	12556.638537963978	12645.371742840818	10825.356839706295	11177.594332614088	10198.236339891042	9449.394079674277	9781.52253329947	11941.724469450724	11323.617850615157	13232.817746809284	13673.816111585551	8398.05850835865	10674.14618216432	13820.372735774314	14854.758134795284	10664.802226828951	7936.9366911528205	12964.768792164617	10531.979189429983	14371.610024811609	8484.794904245493	12467.565620574947	10116.563769029624	15410.33092846296	11322.758940075966	15014.345924485922	14819.153278385538	17109.018703773752	12975.9499001776	13924.53952307881	13104.694536827512	13622.634436498893	12805.032207036364	14437.02301543082	17978.841669625017	14833.542105502938	12656.176694471034	11320.872637024471	10696.197020510805	22346.24747280795	11512.878609295733	20956.90673917792	7572.227451753752	15089.786799505117	15976.24949643836	11381.303816200325	8635.42218848042	7440.043347146864	13882.28642104677
ARGSYNBSUB-PWY	15528.336417972125	10884.74198639014	17766.948180723914	18526.035585263104	20182.582699481	18661.909167660593	13412.73369899304	8013.40871138242	14634.414989227955	16185.828837537234	21148.511493388844	16922.373887391677	17222.25071837814	18995.7924045925	14134.708718984977	16723.758208411935	15412.33265175462	10021.820408395235	10597.270165058502	15002.053071008244	6268.769686357324	14966.671295559952	15317.858999219374	24898.099477052892	13205.554293288309	11060.188381977754	19214.11193168507	15970.634595584046	13784.705243857821	30659.583825780886	14329.994918937635	17534.584821184475	9724.966658694584	12969.591061436176	13600.422615516049	11425.988185308657	10738.876018490197	14894.160942311739	15970.340031574691	10013.390310423494	10601.206675622348	13927.820569169575	13025.370285790716	16779.22221148274	13063.178657996097	13451.097615097233	9843.609549534984	11262.485869924827	15558.977705199166	7995.855053534472	13259.407865806397	15971.30581548409	7999.384507443785	15835.973863683017	11082.8673781236	12840.738321646779	14501.276023406946	12887.714064311269	15530.638929958412	14382.477931017404	13247.402431267828	13359.478100819737	15317.314973646466	14247.748793344024	11478.225935230254	11871.48421766037	13246.171552173844	10870.799353258266	11820.627255111183	12608.886082498158	11450.001952152004	10951.72546260026	10874.981310898671	8822.923708665032	11363.282420212377	10048.764060661248	24990.683068199243	14563.287958374916	22079.15360603605	14800.690537937362	16521.94614301084	12940.226532511037	16333.426745390007	14150.591371106837	17168.163190113748	10288.193752654593	18624.279543014847	24135.578695476222	14594.886413875996	23079.214506882967	16064.076693377907	13260.680403378541	11663.941419046845	11997.497277743683	15407.16030745773	12144.6476352757	20438.652640308614	27840.280266320842	16902.518719838772	17275.905971401913	10102.557095205091	12766.758573308161	14260.612818285737	14380.753201968846	12324.828441550433	12739.392774747044	11641.296076267734	10751.566701995253	11170.941892665225	13564.498879947738	12933.864989277165	15051.555320369169	15609.507848090627	9538.592814734506	12222.051997088713	15764.20709279643	16935.503878325428	12109.154887185936	9029.64928335958	14761.586603752325	11996.63310913758	16371.825128665856	9662.585675057306	14196.098319206589	11482.915111189359	17519.358878207095	12901.541785582522	17073.222645478163	16851.993850090377	19498.75389185681	14801.354747343707	15825.843526230961	14947.282578363169	15501.92539832258	14593.28442194695	16424.515582312244	20415.175090650355	16876.688231342607	14387.260349903132	12871.482249392428	12176.588224540887	25364.575435941708	13130.068679771915	23839.86190095294	8656.392487469238	17160.86183816319	18185.161066847035	12959.70140490029	9580.7002995759	8306.038059247967	15380.291220330535
ARO-PWY	14270.898435568053	10255.923471951963	16303.763202341135	17219.962436353504	18809.37596820208	17298.52458473953	12497.37153319145	7723.849058553765	13550.78335084119	15098.589359531772	19757.38620700314	16095.420466935235	16076.128951948413	18317.056650286308	13247.364135375496	15707.601800496604	14407.750233606972	9620.770036459917	9945.50835333688	14063.554385413498	6178.840915311138	13987.337308249718	14589.427760147457	23069.981426282047	12610.845526312454	10599.81840840681	17918.025300813315	15257.660632309724	13027.750483100232	29286.140047912224	13413.799761693019	16374.200030011654	9493.876937341645	12366.986496946893	12621.128431754838	10706.919420023818	9999.6588571881	13941.089577239789	14922.634331458396	9539.273540437824	9967.403275983075	13199.48506733303	12066.152564571297	15476.263136021582	12215.66501834397	12614.43162080673	9769.21529256613	10920.163997592985	14609.030402351274	7621.605853982974	12279.00520064356	14551.7455560454	7632.3744090148975	15071.807712805308	10458.703405556398	12030.338104679742	13685.964194993412	11802.328857821527	14345.441280467721	13429.821997200263	12166.872984126376	12592.502642862573	14270.022982264112	13109.94739957687	10618.361069486673	10991.666550065873	12255.52929058984	10089.881516849093	11330.707622022905	11935.855256688961	10719.44670868805	10205.332173406301	10356.831543389579	8169.297802244856	10569.55804582193	9382.74777097902	23553.172984557106	13571.562506701632	21575.743051573423	13668.843356630689	15128.0755944436	11959.099424989865	15191.228918985	13140.6387277668	15813.811127115638	9729.487386655012	17345.590557210904	22056.26344653897	13533.904057578293	21377.621449883445	15032.655288005471	12592.237217860038	10823.199929753218	11212.349806881526	14380.05237878788	11513.935664576364	18865.10880893382	25699.92833329533	15547.256976271916	16430.115404872296	10009.94698211209	11883.015222116652	13595.147728349546	13472.165995426678	11649.523900451002	12403.326531861256	10884.042305006586	10305.51941393027	10438.28712114878	13018.118726195908	12010.776293414916	14183.678209549505	14524.137176358061	9210.098146270397	11380.068567548395	14699.30440553106	15838.825689685315	11596.966437785042	8924.848072717139	13591.677224358975	11228.009208498024	15205.005012377114	9142.112592099927	13299.513433908482	11181.593709853552	16409.856030556402	12013.128373669811	16208.723176560756	15661.053893115943	17884.521038638897	13842.104874442584	14991.057472091314	13882.724149082798	14298.462327594507	13802.564873796497	15241.420712146548	19082.29684644522	15754.48486188811	13545.936847319346	12325.963472902095	11350.200945221446	23955.48442162005	12118.902570804195	22631.788861888108	7978.652906759907	16554.77599125874	16862.80642511655	12119.936840326338	9724.315667933519	8670.722272613257	15754.1241972104
