pathway	1174R_0_M_S2_week9	160R_0_F_S2_week10	160R_L_F_S2_week10	2446R_0_F_S2_week9	3795R_R_F_S2_week10	3896R_0_M_S2_week10	3896R_L_M_S2_week10	3909R_R_M_S2_week10	S2_inocula	073R_0_M_S2_week5	073R_0_M_S2_week6	073R_0_M_S2_week7	073R_0_M_S2_week9	1067R_R_M_S2_week5	1067R_R_M_S2_week6	1067R_R_M_S2_week7	1067R_R_M_S2_week9	1152R_0_M_S2_week9	2404R_R_F_S2_week5	2404R_R_F_S2_week6	2404R_R_F_S2_week7	2404R_R_F_S2_week9	2446R_L_F_S2_week5	2446R_L_F_S2_week6	2446R_L_F_S2_week7	2446R_L_F_S2_week9	3795R_0_F_S2_week5	3795R_0_F_S2_week6	3795R_0_F_S2_week7	3795R_0_F_S2_week9	3909R_0_M_S2_week5	3909R_0_M_S2_week6	3909R_0_M_S2_week7	3909R_0_M_S2_week9	3918R_R_M_S2_week5	3918R_R_M_S2_week6	3918R_R_M_S2_week7	3918R_R_M_S2_week9	3969R_0_F_S2_week5	3969R_0_F_S2_week6	3969R_0_F_S2_week7	3969R_0_F_S2_week9	3980R_0_F_S2_week9	073R_R_M_S2_diabetes	073R_R_M_S2_Pellet_week9	073R_R_M_S2_week5	073R_S2_week21	1067R_0_M_S2_week5	1067R_0_M_S2_week9	1067R_L_M_S2_week5	1067R_L_M_S2_week9	1067R_R_M_S2_diabetes	1067R_S2_week27	1152R_0_M_S2_week5	1152R_L_M_S2_diabetes	1152R_L_M_S2_week5	1152R_L_M_S2_week9	1152R_R_M_S2_week5	1152R_R_M_S2_week9	1152R_S2_week28	1174R_0_M_S2_diabetes	1174R_0_M_S2_week5	1174R_S2_week14	2404R_0_F_S2_week5	2404R_0_F_S2_week9	2404R_L_F_S2_diabetes	2404R_L_F_S2_week5	2404R_L_F_S2_week9	2404R_S2_week14	2446R_0_F_S2_week5	2446R_L_F_S2_diabetes	2446R_R_F_S2_Pellet_week9	2446R_R_F_S2_week5	2446R_RL_F_S2_Pellet_week9	2446R_RL_F_S2_week5	2446R_S2_week15	2453R_0_F_S2_Pellet_week9	2453R_0_F_S2_week5	2453R_L_F_S2_diabetes	2453R_L_F_S2_Pellet_week9	2453R_L_F_S2_week5	2453R_R_F_S2_diabetes	2453R_R_F_S2_Pellet_week9	2453R_R_F_S2_week5	2453R_S2_week21	3795R_L_F_S2_week5	3795R_L_F_S2_week9	3880R_0_F_S2_week5	3880R_0_F_S2_week9	3880R_L_F_S2_week5	3880R_L_F_S2_week9	3880R_R_F_S2_week5	3880R_R_F_S2_week9	3880R_S2_week15	3909R_0_M_S2_diabetes	3909R_L_M_S2_diabetes	3909R_L_M_S2_week5	3909R_L_M_S2_week9	3909R_S2_week21	3918R_0_M_S2_diabetes	3918R_0_M_S2_week5	3918R_0_M_S2_week9	3918R_L_M_S2_week5	3918R_L_M_S2_week9	3918R_RL_M_S2_week5	3918R_RL_M_S2_week9	3918R_RR_M_S2_week5	3918R_RR_M_S2_week9	3918R_S2_week29	3969R_R_F_S2_diabetes	3969R_R_F_S2_Pellet_week9	3969R_R_F_S2_week5	3969R_S2_week18	3980R_0_F_S2_diabetes	3980R_0_F_S2_week5	3980R_L_F_S2_Pellet_week9	3980R_L_F_S2_week5	3980R_R_F_S2_diabetes	3980R_R_F_S2_Pellet_week9	3980R_R_F_S2_week5	3980R_S2_week14	S2_defined_inocula	048R_S2_R_Female_week5	048R_S2_R_Female_week9	1050R_S2_L_Male_week5	1050R_S2_L_Male_week9	1050R_S2_R_Male_week5	1050R_S2_R_Male_week9	1050R_S2_RR_Male_week5	1050R_S2_RR_Male_week9	1127R_S2_0_Female_week5	1127R_S2_0_Female_week9	1127R_S2_R_Female_week5	1127R_S2_R_Female_week9	2514R_S2_L_Male_week5	2514R_S2_L_Male_week9	2514R_S2_R_Male_week5	2514R_S2_R_Male_week9	3995R_S2_0_Female_week5	3995R_S2_0_Female_week9	3995R_S2_L_Female_week5	3995R_S2_L_Female_week9	3995R_S2_R_Female_week5	3995R_S2_R_Female_week9	3995R_S2_RR_Female_week5	3995R_S2_RR_Female_week9	3997R_S2_L_Male_week5	3997R_S2_L_Male_week9	3997R_S2_R_Male_week5	3997R_S2_R_Male_week9	S2_mouse_inoculum
1CMET2-PWY	15878.388737846657	18004.254641498694	19176.702087240097	18226.30412535066	19011.88301833254	16730.789386818706	21486.6229728405	19917.12728804392	12902.37172300707	22165.370665021976	25599.744899960675	27711.02037432217	25195.088505094962	21153.366851561765	21032.42480635101	26318.658403616802	18999.408327811103	24605.348825589022	15685.291870858484	19621.970847024575	21270.965071229093	15042.563926543162	16671.78135588472	20591.065044725165	18429.80938533671	16739.430086482203	20408.60388021887	18461.802732863427	17388.575788308972	21888.085753810752	25038.190873827596	32872.885072999896	21675.626527458542	21991.173993385044	18243.334682865618	20477.019215318975	23254.23224120246	16723.88210221709	18171.440386007158	16947.027767282994	22631.722803199926	16668.484799549537	24066.21567400215	14363.850732756837	21546.936938141513	18421.955325832136	20184.45957752498	20707.928977315398	18661.465490645227	15576.465035872096	20629.604050167447	11472.722578131317	17165.522309855525	20499.191895207507	18431.64529840932	20410.954581606802	19037.179305764905	14979.004277620475	15112.044823752534	20097.693465561853	19486.06030474136	15611.950846988628	19457.625658188856	18356.41741799399	17653.161985245482	16479.40440921582	17900.77311648004	19504.54070576709	23029.737880051383	17379.420999362777	20021.177510059708	17611.80508890284	18388.960722256852	20535.234025435617	18783.81377825722	16831.1750487147	17676.617895899446	15536.482938912079	21190.580954322184	17672.014581745763	18425.453656068752	17243.01309213344	15391.393095177056	13405.99365092626	16175.903392615252	19699.572390823334	18847.44257747405	20408.179554527713	23748.34294258547	16687.14051719682	26186.05483546404	19894.746527876807	17424.189552660122	15806.117954873622	17482.122315467852	19626.645348211612	16077.140416014363	19002.610681792114	17757.642949347424	21643.16143300223	17148.883951457283	15613.544820737436	16106.685400339156	19794.833800096632	17045.810008985132	19229.462350699465	18995.423520336593	15366.27189080797	17160.373245278493	18871.11677660102	19146.023907498875	22080.403929623353	17610.88914915075	21355.473020761317	20295.608482575244	18894.93046178106	22185.289100290855	23545.570201746217	20259.752871691413	23250.585893221458	23612.27908878751	15984.451138920242	19815.58886685583	15900.34950825941	28449.75696631124	22269.97979454159	19117.413156591472	20716.026804764937	22486.220257408233	26348.284244740385	23222.359955993346	21424.072575086713	19562.1032150131	35869.86916252024	13221.147704605217	31677.891256228715	19119.43787535084	32833.772724850554	26855.169691171017	20683.451074931923	17995.4467857708	19699.89218936545	16915.026580448066	29893.318714684156	17053.766640517497	33088.869799062566	14946.548659849126	26559.324718491574	26321.332357785453	17331.937887948006	24390.02947400179
AEROBACTINSYN-PWY	142.29	190.0	295.0	148.43	147.71	129.71	165.86	178.14	1514.29	185.57000000000002	231.0	145.43	133.43	513.0	219.14	228.14	154.14	193.57	300.86	268.43	109.70999999999998	109.43	107.86	210.14	158.86	182.43	291.29	121.0	155.86	205.0	724.0	321.14	119.0	171.29	408.86	219.29000000000002	145.29	101.0	174.71	343.29	134.43	140.0	301.43	113.57	159.0	223.29	120.57	722.86	214.14000000000001	752.57	223.0	123.13999999999999	136.57	642.0	181.71	431.28999999999996	114.86	370.14	106.14	210.57	679.43	414.57	123.43	395.43	198.14000000000001	1239.0	481.29	252.57	185.57000000000002	214.57	1696.29	190.14	274.14	236.0	201.71	119.29	274.0	199.43	177.86	224.29000000000002	223.14000000000001	120.85999999999999	137.86	216.0	139.43	375.43	187.43	650.43	239.70999999999998	461.0	254.70999999999998	676.0	148.86	141.86	157.43	300.29	379.43	171.71	136.57	430.14000000000004	544.71	150.0	523.0	159.0	477.0	175.29	812.71	147.43	197.00000000000003	255.14000000000001	240.86000000000004	377.0	169.0	1220.86	262.0	359.57	320.14	173.43	327.57	310.86	153.86	845.57	310.29	137.14	345.14	238.85999999999999	268.57	245.57	340.29	365.71	433.13999999999993	273.43	372.57	111.57000000000001	130.71	273.57	406.7099999999999	347.0	1151.29	293.71	712.43	279.86	417.71	401.14000000000004	454.29	598.14	174.29	276.29	427.57	135.0	1136.71
ALL-CHORISMATE-PWY	4772.853426294854	5456.75732914079	6922.517603034055	5088.354964842032	5223.006554980291	4646.853456295945	5835.033763398502	5959.643901425346	6024.563844843729	5804.272094060514	7501.260850187424	6203.384146204049	5710.438744208661	8075.015014967502	6412.1543081428945	7235.012716502884	5192.200266635691	6754.467681140425	5489.211204621818	6752.072657563381	4411.023352110912	3886.728113537771	3956.6289827192863	6131.211844188143	5248.352194006105	5014.036253133889	6834.778254771783	4484.28424375007	5142.761140900218	6387.413107310846	9624.27444851181	9535.448809950942	4879.453740788818	5971.162824638849	6590.374087040482	6395.950896494054	5810.374259055493	3938.7788390642595	4872.956211644724	6449.778934410446	5298.568041021694	4699.340319998915	7805.5593843489505	3742.0407991459874	5912.14653595057	5615.697367426425	4838.713068595535	8749.449870712793	6037.2612181808145	6888.651032684887	6653.908966703695	3499.181709200959	4863.838699536312	8388.297843560831	5332.528148625233	7178.019268873302	4669.090312485032	5696.975188948935	3967.1196259751664	6400.791369491396	8605.98024516519	6243.406034661609	4748.064945440303	6885.65155657427	5624.155361527521	8277.584040369518	6879.607898390311	6972.453241441422	6551.326635510591	5527.904211339682	10938.278147096731	5550.413559435832	6417.609783009026	6702.201896051659	5532.852346201681	4450.487877160357	6502.219177259629	5262.210959631281	5800.703089537453	5985.185883119296	5676.426635836683	4397.486676983409	4582.563605639034	4639.104117825872	4743.390349802219	7277.2900405003775	5296.104130816135	7742.634463403188	6428.968618221605	6273.988757865844	7824.274893340602	8686.067208383565	4977.173079625808	4655.812950895598	5175.31944969467	6504.003600432811	5990.148571781836	5603.206264292373	4888.754658689073	8186.133258939973	7089.093351131968	4701.371287038634	6703.692798670731	5507.069326813145	6662.454286826711	5722.183363141505	8319.971957525659	4619.433968474331	5558.521536318634	6535.598234773806	6520.753350643783	7433.349262745704	5442.67638036769	10207.556403251996	6248.060902491062	7360.963641817333	7354.894888031708	6376.312220791644	7445.268624931627	7519.549785504692	5802.903994215424	6505.738084022981	6289.899806745472	4475.576801868014	8563.310789291738	6856.6299774616355	6510.368223739651	6617.266139451555	7424.800499143775	8667.11400558551	8253.842901004005	7063.537602445003	7239.504034760544	5285.615251033435	3714.1090915745554	8888.971946379555	6806.747207939893	9617.994133451886	11708.263397311182	7125.1922095695945	7576.388985752332	6597.465800493059	6497.496400982978	9786.23281932186	6847.937898900554	12246.9731177393	4453.814220805559	7908.1418315705005	9019.824152768024	4845.522473696182	9115.255174442384
ANAEROFRUCAT-PWY	13069.234947900952	11070.55635678078	10802.648925520174	14500.676191772185	15606.738062445582	11977.728670431508	14959.497580326939	13572.043467170215	15137.117876515369	15559.269411268224	18263.768906370067	20830.93664736251	18267.61874705484	17518.345436409945	19891.9942955426	16027.469258025734	17115.89489394984	19292.469264964446	14731.86547086858	13126.204447105029	10623.128590284121	12799.483378564835	10189.745162940384	13738.449292164893	14534.014356337444	10766.549889732929	13237.473252017833	10695.307157977422	12309.593122756605	15812.5092218016	19743.47874191285	22560.335144889334	15401.731852386385	18267.982067095752	16090.691554217497	17403.314765697887	19473.61735393395	14580.054810670379	12077.187933471692	13381.866740895832	15157.961135032658	13819.621400717333	14286.262759075205	13177.931372386303	16185.675632804832	13731.4537540151	14750.541039167269	16787.261441870676	16149.47714839028	13431.342645719655	15392.7031693058	10797.675484615816	14454.110113149422	17451.554755522804	16917.186686414378	18627.552356371456	13854.607007821773	12827.124669359837	10838.747410626711	13934.55691179292	14249.778810928376	14713.10160089367	17621.76714790229	15116.59824435276	13355.406837290444	16246.826366022204	17495.903084879516	14298.188868627345	18864.004041325552	15307.411455906462	16536.896372075244	11010.335970470562	14455.56493240289	17809.828640564254	15931.61113047406	12140.621451029148	12428.547093105533	11058.384948058758	19589.790325313075	16678.977602474035	15940.204872059081	15608.416320484519	12241.612386630852	12552.189605902568	12908.796423073658	14885.112131463284	12015.06038119878	16250.645825617888	11626.065460268524	13002.20269465144	17773.722017600467	15691.139993251365	15836.880661925004	11235.421107166887	13546.26190267379	18835.99377502445	13046.240723748246	15517.93219823633	13614.065035792479	19633.297749161844	14372.53744701946	13274.291535583545	13896.671244554664	17517.71908567711	14567.019283039888	14600.063322786387	16060.27438972131	13970.28568714866	16052.103581530962	17426.483691037054	15256.835845723643	18392.4730812142	12870.025096515628	17972.63145703143	15639.541830795917	15350.495494291868	20205.378979189878	16033.314667130207	15847.872554948099	21596.632398219677	16158.415059960227	17148.28165787997	15129.270670726231	12251.473125089293	22230.71570661073	19702.17963284443	15139.58955701507	16762.377426430263	17080.57573168273	24945.050771959664	17890.95565487028	17927.476823315905	16915.585699364055	29500.974918134638	11234.68528735413	27344.635153358977	14234.112335315982	33798.788314210324	23204.742578260193	16540.82607119875	16207.5037939325	19623.781109392316	14255.458016412142	26329.593855952593	14583.32904583747	28797.202191160144	13093.296496740124	26467.95344290258	21722.623345566713	13822.321994993834	26200.764793089995
ANAGLYCOLYSIS-PWY	21643.532758025536	23737.389023976702	25533.269600351166	24631.088940957	25829.73968224163	22299.945868766747	28692.000025564615	26688.31566861371	18099.384521363954	29386.385565207995	34410.9832087152	37259.67401153991	33540.52569287098	28684.74478741699	29965.3660361657	35464.96144566515	26012.7137411235	33209.41875674076	21439.77574052908	26457.980543767157	27643.305320753574	20489.22606357741	22071.891725071247	27614.148932785123	25120.137805176877	22064.471567511126	27133.796100760108	24530.75277965952	23334.00720960108	29319.886613516843	33333.46241126964	43777.65104336737	28712.84360845172	30204.908990539006	24515.072635005472	28146.797987962855	31739.076688713318	22971.701222511954	24094.427509510628	23164.997195960124	30017.047100012554	22725.101979283892	31725.65176963134	19468.586112407465	28989.61482285523	24685.157116620303	26995.817469343365	28107.399016518844	25604.83888755631	21089.9967863402	27772.787238365323	15713.271671744387	23232.995468805886	27756.68471579699	25087.957274310418	27857.269079154245	25469.437700262053	20471.83467865235	20230.02710818291	26753.55295510111	26001.301526595875	21597.33681253005	26603.364567810208	25055.05872824077	23781.607959392164	22781.340507241726	24632.58442409074	26771.083928335138	31246.35678564773	23741.297441788636	26842.11050981964	23349.555351096104	25142.033754701006	27944.564618315475	25569.096835749755	22334.18444381929	23665.82570582224	20838.81618114343	28788.542565869437	24639.044947323036	24978.387822025845	23407.522610372456	20916.35264414885	18459.315482053837	21603.121770101843	26458.723381862274	25081.740243620487	27651.28706857586	31226.747121332104	22484.66645441339	35070.61806052799	26991.93226676514	24155.927193586318	21005.749233654184	23450.070741819494	26946.584221733203	21727.844078201015	25985.06695744101	23864.10056525125	29637.201638551847	23270.33006598066	21527.042219168212	21866.828618838557	27282.520157973584	22931.40043379327	26156.539998528573	25763.685496051115	21218.85677518822	23606.005291665988	25798.070983041038	25883.233909787195	29957.70925810061	23496.01965361885	28990.57214888536	27390.90131336138	25921.711896677745	30498.90203619975	31087.31264757695	27245.17153048147	32158.9689856777	31284.544802897664	22347.664319219955	26280.9847394014	21403.89807164126	38222.360659340586	30687.640559354102	25904.342773168228	28194.63298870649	30195.57279403091	36887.806297233285	31230.743907859433	29327.487001704427	26576.48447124045	49434.0325600938	17982.99231423543	43226.16274551621	25753.469479099404	45868.05768720461	36405.5336552941	27935.678078212983	24615.972774031306	27414.120341333906	22773.33212436921	41219.68540003035	23110.26952838701	45229.70688221665	20095.0915617774	37104.81501429283	35632.30381309584	23438.793303632	34380.12606289913
ARG+POLYAMINE-SYN	807.4581452352927	886.0604890877038	1215.3457858937657	890.1351672169237	860.2559006073186	755.4678163675492	914.9828789091363	1008.3665069357189	5177.231212071109	1082.8313463113896	1323.504631785473	941.7153159037243	898.7848326539573	2259.5632142545555	1223.4956146260683	1341.9558088453302	963.1588276970688	1126.5582499464163	1403.990444392375	1225.400301055627	620.3196014306053	659.3476725704337	624.1488628958288	1088.0255501973336	935.7284136702968	994.7733419979037	1318.5963141363918	727.0390674939936	878.5181922125588	1174.7529463444646	3123.6494131205677	1766.1380417577727	758.3639940194219	1094.1582910089153	1759.179780139827	1261.1606492975807	930.7372322047934	693.4923268091687	958.764175320865	1620.9714259209338	858.7408741370666	833.0131940238471	1448.5485297514695	761.9411412640143	946.407778770468	1119.2402894678721	810.5668140781039	2771.4196358292684	1172.7860023704557	2770.9670961510956	1250.4467394733663	745.8906219171757	875.5759781733244	2607.539705468421	1142.7219219310298	2004.9026491640946	699.0490484545062	1685.7522729645189	630.8740856573438	1201.228010264617	2645.590263477829	1730.200445404638	889.1910260271459	1713.7864982557148	1106.6386961078294	3825.3510724010557	2409.217662637774	1310.1239726834285	1194.0078832365375	1160.1379638056976	5472.262745372902	989.1700771202266	1298.3554891196695	1337.5920876521468	1204.447018861002	733.288252761498	1321.494035192458	944.0257949663346	1088.5007045223008	1285.2420086537427	1148.0238773413457	819.1854227403437	803.7363860466796	1067.6481723218483	835.7418210207782	1640.814154128569	1032.349320115826	2405.971969282359	1222.7521766202035	1858.6863571524902	1478.245018634755	2301.0518553054267	935.460441815357	784.5182358937535	989.1695676003733	1684.008929638697	1666.5944155069792	1048.7950312315465	862.7229679666	2163.616830116595	1970.694940953401	839.7620660232892	2131.6179040806733	993.2410020172937	2051.31380078459	989.6573687989091	3002.412931236225	867.4586954726783	1152.2167069321074	1517.5524351392612	1326.8480139948208	1877.957095208117	967.9531250203256	4098.059741348413	1462.2099577616416	1543.8555251365754	1733.7171283157377	1058.7098071138296	1615.7382942431552	1610.561850324094	1003.3743251167931	4081.688176465156	1590.4388771550055	864.792412614827	1914.5102300570693	1385.012784999184	1349.715268310427	1355.59624152984	1723.936533490342	1992.02706146087	2079.1741813815447	1543.5722267995382	1840.2167516273232	954.5778863506484	826.0959404986429	1644.4438416702592	2043.093460116107	2088.3487596311143	4324.392345101771	1593.0645414828246	2730.6541792026974	1620.7985082003859	1883.4841248142725	2292.7124411882523	1944.9232048837898	2967.621493930758	940.4236967660981	1639.0059346316687	2236.7392747807694	846.8804121557988	6007.733332938918
ARGORNPROST-PWY	466.4369062461011	762.9161670887647	578.2401308828372	1006.0297271668007	914.0625582507996	754.6240304099699	928.1833308388011	1001.7901490774423	3450.819929437437	1147.7022944507194	1130.890845435142	1265.915765909198	1283.604362270093	886.4668363127319	937.1685553717011	688.5898049680891	1322.0764673179494	732.3152574458613	1279.9504422195773	548.2836466898258	488.6525656180989	827.3380675201627	561.8245450797608	956.1076254720405	1323.3528567994695	536.1692376053707	1108.4665630213062	745.9642244168278	1059.6125401885981	1148.0297615457555	1777.5029947063679	1813.315347307091	806.8645446998862	1584.062272409902	554.5659498095608	1161.0353608007001	1097.8501127476457	1069.082527573323	1079.22011287326	890.048196746058	865.1863420321289	610.4457862906111	788.9216889642054	840.6715268963346	801.3838742498913	1338.3948539887417	1087.1761116177993	736.0122797971302	990.3469305047289	455.2773805922015	973.7252477157282	573.7625591917857	938.7577310379598	1643.3755273347294	640.6704615069368	1479.6495745591558	734.4947944204075	1149.3453339792748	562.3211995058531	981.3901808587551	959.8791834726521	1455.7915648011272	867.0163959622178	1476.7321380648661	916.323807270261	1364.1454933219345	2022.5941863070752	736.1967799236654	1484.6323428467156	1269.5597158663873	698.0392276013215	413.7126307303204	1134.0292412240822	1163.5122298420702	1552.2964096020019	781.3814524266045	1002.4323059499004	853.0821332580775	1517.8134395832958	857.9830846408663	1123.0775442778197	1250.2011565598575	603.6550090472751	1057.8601713389814	1124.3386263194534	1142.117690498126	752.7971123192891	2950.205345305252	827.0969874599367	1763.9890152911164	1495.1838838124067	2032.269013360123	1322.8112382533513	887.4149350641642	726.0316512335734	1079.930568157153	998.8437049832536	1250.8191830870435	812.4251609006174	813.3698336123443	573.6144940179242	415.58789469788803	677.2445536662239	1075.621567680316	771.4553197770057	732.2766874845835	1070.4282757497149	800.2447126142351	1083.196269722985	1433.2885078688184	1209.9315195803622	2133.9704948297317	874.8717746228681	1650.7220951448787	1653.987712734002	574.4960777824311	1899.5326730526635	923.0082902898225	700.2180017371898	1643.8570346962706	816.6521033163688	3480.786685009501	987.8229427282472	871.5213780258985	1608.3222402322651	1347.1784768245514	1154.0000722263967	1186.7799246177221	1299.0285170441366	1732.0865347908139	1782.6394443849242	1036.366764308342	1835.7291051828804	859.6109654209213	1011.2734577527704	3389.296925210774	1433.4251628925863	3762.585844864624	2768.8973063304834	1649.358724619728	2012.6509347823849	1491.4072801305635	1191.6372526502996	2215.8335960033874	1462.0059425130255	3407.67690811636	701.3886140116196	1815.9434282207833	1726.2794642054578	969.0209117070049	5497.893460955117
ARGSYN-PWY	12988.68485388938	15207.503800569431	17601.08018172419	15247.969602586718	15496.288272182546	14233.130462987243	18172.339229624922	16863.807367428173	11166.318996775424	19866.661789537313	21669.318947379583	23512.41423773323	21582.666238459642	17891.798785161955	18081.903790444405	25128.651697348872	15835.435242174894	20672.775936558985	12967.237659960836	16234.500886292852	18377.537981638983	12303.432343647406	14650.732482704347	17861.50319553818	16146.005840173266	14764.400454032817	17356.998658408174	17230.5971258956	14973.728433501417	18720.75530806915	22862.05075584962	29880.37841876391	19043.89434964064	19187.411962046343	15198.687171574673	18016.520761521475	19805.38738602574	13937.24229500206	16249.410823556895	14290.39640408951	19199.8264957532	13198.409837717118	21447.295833665365	11717.62391514041	17167.413492817843	16331.766303638828	17950.784779985323	17853.36446905615	15230.067285136298	12931.951930990543	17575.40982182498	9455.287883699097	13851.555399833782	17383.59151967685	15317.28048079384	16411.05728838856	16064.370427909847	13077.694592510834	12679.654031043281	17282.057762325872	17468.88789836263	12624.743537548902	16545.746686257076	15635.649204050505	15184.109563151327	13703.049875594072	14399.208840340492	17173.677625913726	19044.097845657565	13999.903404781893	17140.575034763362	15679.328226907195	14864.338237148526	16647.216880101103	16993.200797564266	14146.373334471	15277.609549880712	13020.076906662218	16966.229557704864	14473.941852052158	14774.279280069057	13776.608437554603	12986.788583045767	11300.392021379761	13664.747912800582	16753.383882923215	17570.51481235504	19238.107107524807	23281.746751819843	15455.835570359359	24241.075219703554	17763.572486627618	15157.71074892513	13583.815118488357	14578.8260150919	16340.13171097987	14321.279996242865	16241.799573488908	14760.415971664013	17643.25949111061	14256.046609930094	12677.984956944962	13597.610726503672	16139.684855396008	14974.514930764173	16659.252279713197	17228.861538241366	12353.942919641066	14237.392036055082	15080.779058523405	16487.511956955488	19555.476773295217	15079.230676840465	18702.006495012283	18295.1595222962	16581.38710953351	18726.383389799244	19239.492298836765	17382.646811502196	18779.051867883507	19593.391312878943	13515.57787960622	17687.97528873316	13100.929186812671	24405.642371501926	19185.42195492499	16350.35012532794	18270.840764642104	19584.079678483708	22147.57988337776	20906.721549203263	18435.341697858483	16401.923326663768	32491.53894108738	11523.984609231275	27727.443828554715	16642.52260182475	26601.834748329653	23449.317592034895	18413.157515269668	15998.509445862186	15983.314111093046	14978.427111451256	26151.965172134005	14530.201650116114	28622.496306442918	11896.854629574069	21322.060192697118	22166.90791582572	14840.573338383487	21317.700210632836
ARGSYNBSUB-PWY	14307.021236623616	16834.17926517691	19713.12298350814	16842.943985684924	15202.067063848797	15728.178575498898	20094.125340217233	18640.25395551275	12088.553298443387	22118.90785052014	23976.22148564282	26032.76188176893	23914.566347467953	19804.908181482373	20018.50273703401	28274.538709836008	17476.09731770163	22876.20309282385	12497.94508989496	17881.713490084516	20393.26783548047	11872.74728375625	16275.897234773882	19810.43949458975	17953.036682022015	16448.642994147285	19196.41709998104	19312.838989249365	16583.57159586015	20756.93815274814	25485.95054803775	33402.2675173059	21193.28441028435	21341.762545962658	16770.796519374744	20019.250520464073	21934.70598003648	15432.664690053012	18113.355341782066	15799.539230759841	21247.232768741258	13989.764276101148	23921.240377447793	11860.203906345385	18784.424561373406	18177.928804446503	19988.555812638446	19841.244868355774	14941.145740614116	14322.413728931817	19444.99298524302	9296.598720272566	15191.351285237275	19197.175105318434	14715.29280018643	18012.746780296246	17759.77304993993	14536.488959647308	14016.45789321769	19134.89513953833	19515.810390077644	13855.717917913582	18293.249055451746	17266.610078271457	16864.197911438663	14061.482146173732	15732.606187755558	19101.151817893326	20975.842138278174	15342.570592904536	19020.601858801583	17484.746660181307	16253.127628404816	18271.974082153225	18922.985753653225	15623.735178632542	16937.467452787678	14368.828615983866	18099.52132756493	15924.519796892982	16181.288588649535	15088.255105365275	14353.869363154517	12405.678181456109	15067.19055229706	18531.283129151496	19743.569508279605	21571.171783327383	26302.785358464593	17305.090400889996	27146.19555257345	19790.069843971265	16816.907601984905	15045.201474568745	16076.687750652274	15478.20831994328	15952.115609993618	18004.815442825806	16285.948067470585	18308.9402549756	15744.433075022316	14016.933602658597	15030.505429436025	17805.070604523986	16643.287854849405	18546.545472373466	19255.957773315513	13135.309557793027	13683.297209338694	16227.184458843387	18265.760443422616	21754.69114410334	16695.511491712427	20902.384368661966	20415.99154889341	18476.719032933106	20689.235336056197	21129.52172741718	19278.463426531114	20556.400139849848	21631.149808083388	14352.301179525097	19680.237492756234	14430.642416156943	27061.22030661849	21325.097570696915	18124.60183524449	20389.08347413284	21755.498392369813	24528.98102927597	23340.001347061345	20449.328844425985	18105.28969848575	36418.374088943114	12783.856408123871	30832.919242900167	18449.88231111836	29293.58743737075	26029.557327785238	20540.152517563438	17826.322193986936	17563.965579842523	16660.34977036936	29164.548131164778	16060.607915604269	31783.952265586562	12854.821597111857	23423.659556131326	24428.212408620642	16465.29721448258	22677.489262096915
ARO-PWY	15528.207961432669	17519.245965188467	19651.4009276399	17926.32387376419	17537.472184967264	16459.046210855264	21104.21642070136	19596.809603870242	13148.051629882037	22284.36364552132	25228.37364459202	27392.46995243719	24805.72060099367	21061.130377047164	21711.648220153806	27901.335348624176	18906.03008569442	24251.08317906125	14584.059688214826	19076.598228425642	20644.64806036179	13865.500514736194	16525.331578258665	20491.75715152805	18619.501970137706	16649.631636083697	19976.24604455001	19021.150271848783	17160.79169339641	21666.015798498407	25610.00167849703	33682.082471703936	21612.047164369476	22494.98981565939	17913.80706323184	20867.634164704534	23195.838634353517	16781.644596617396	18311.494435167024	16883.721038282154	22131.476035581843	15734.367663519964	24085.09912873953	13523.465469178927	20444.6939163671	18648.742065996925	20467.01636237317	20888.573777959475	17418.93100708833	15450.579843549604	20461.071516311982	10904.87706170957	16741.64846529641	20416.4486966168	17247.11000782744	20024.23570581307	18669.712964474413	15259.49803198072	14794.501990115376	19929.697772957137	19946.35161211903	15412.039002041302	19433.49116970231	18381.979124957765	17679.62353173739	16403.487314419475	17671.111482154243	19898.570169348404	22723.32857969366	16907.480443832847	20025.160175875462	17658.955899198012	17604.926332311323	19928.286125136034	19394.27835296712	16378.35820268759	17546.22960669071	15213.913075611186	20201.388408594445	17563.92695505958	17740.89602291157	16652.515912632454	15195.07391117075	13220.529435339853	15844.155599783508	19482.902712137304	19546.758867694323	21697.764831059434	25161.05488776345	17425.158895567343	27105.641182668467	20539.612991467475	17799.36622552733	15595.607759125844	17178.969073922904	18477.214555725557	16430.862053759818	19203.81398684378	17427.87782022439	20909.795708454763	16949.21088176489	15474.932054892195	16023.181352765163	19619.303074703566	17275.573954778967	19479.349036172225	19723.169095931444	14919.822762667287	16291.907557879207	18339.46165091309	19173.68304947765	22621.20459924871	17397.806744504887	22060.44876957169	20846.517755608278	19262.15798328629	22309.576564818286	22417.308256249995	20150.02674703232	22824.47398492715	22789.926868281054	15915.622407947163	19869.85719478126	15491.267498457119	28430.42280289031	22727.989731801437	19201.24078297258	21208.207766878837	22652.0180782031	26920.253868505657	23876.858858140236	21697.42032051263	19501.22429093798	37737.1497293123	13373.061067149916	32386.24542851848	19251.870794985825	33023.521121723024	27275.233841470475	21190.576116246928	18677.05726752316	19455.924012383548	17118.120546040398	30817.579636851082	17036.621336553184	33654.39271072735	14094.338623905482	26270.867482074587	25871.831375648042	17321.18962576542	24697.415042235207
