ASV_count,ASV_length,Prevalence_threshold,Num_of_samples,Min_samples_for_prevalence,PPV,TP,FP,Total_ASVs,Unique_taxa,Taxa with no species before filtering,Taxa_with_no_species_after_filtering
600,200,0.001,130,1,100,55,0,55,24,36,0
600,200,0.005,130,1,100,55,0,55,24,36,0
600,200,0.01,130,2,100,55,0,55,24,36,0
600,250,0.001,130,1,100,55,0,55,24,36,0
600,250,0.005,130,1,100,55,0,55,24,36,0
600,250,0.01,130,2,100,55,0,55,24,36,0
600,300,0.001,130,1,100,55,0,55,24,36,0
600,300,0.005,130,1,100,55,0,55,24,36,0
600,300,0.01,130,2,100,55,0,55,24,36,0
600,350,0.001,130,1,100,55,0,55,24,36,0
600,350,0.005,130,1,100,55,0,55,24,36,0
600,350,0.01,130,2,100,55,0,55,24,36,0
600,400,0.001,130,1,100,55,0,55,24,36,0
600,400,0.005,130,1,100,55,0,55,24,36,0
600,400,0.01,130,2,100,55,0,55,24,36,0
600,200,0.05,130,7,100,50,0,50,21,36,0
600,250,0.05,130,7,100,50,0,50,21,36,0
600,300,0.05,130,7,100,50,0,50,21,36,0
600,350,0.05,130,7,100,50,0,50,21,36,0
600,400,0.05,130,7,100,50,0,50,21,36,0
600,200,0.1,130,13,100,42,0,42,20,36,0
600,200,0.15,130,20,100,42,0,42,20,36,0
600,250,0.1,130,13,100,42,0,42,20,36,0
600,250,0.15,130,20,100,42,0,42,20,36,0
600,300,0.1,130,13,100,42,0,42,20,36,0
600,300,0.15,130,20,100,42,0,42,20,36,0
600,350,0.1,130,13,100,42,0,42,20,36,0
600,350,0.15,130,20,100,42,0,42,20,36,0
600,400,0.1,130,13,100,42,0,42,20,36,0
600,400,0.15,130,20,100,42,0,42,20,36,0
600,200,0.2,130,26,100,40,0,40,20,36,0
600,250,0.2,130,26,100,40,0,40,20,36,0
600,300,0.2,130,26,100,40,0,40,20,36,0
600,350,0.2,130,26,100,40,0,40,20,36,0
600,400,0.2,130,26,100,40,0,40,20,36,0
200,200,0.001,130,1,98.41269841,62,1,63,25,36,0
200,200,0.005,130,1,98.41269841,62,1,63,25,36,0
200,250,0.001,130,1,98.41269841,62,1,63,25,36,0
200,250,0.005,130,1,98.41269841,62,1,63,25,36,0
200,300,0.001,130,1,98.41269841,62,1,63,25,36,0
200,300,0.005,130,1,98.41269841,62,1,63,25,36,0
200,350,0.001,130,1,98.41269841,62,1,63,25,36,0
200,350,0.005,130,1,98.41269841,62,1,63,25,36,0
200,400,0.001,130,1,98.41269841,62,1,63,25,36,0
200,400,0.005,130,1,98.41269841,62,1,63,25,36,0
250,200,0.001,130,1,98.38709677,61,1,62,25,36,0
