"ASV_count","ASV_length","Prevalence_threshold","Num_of_samples","Min_samples_for_prevalence","PPV","TP","FP","Total_ASVs","Unique_taxa","Taxa with no species before filtering","Taxa_with_no_species_after_filtering"
0,0,0,158,0,37.0093457943925,198,337,535,95,36,36
100,200,0.001,158,1,79.3650793650794,100,26,126,39,36,0
100,200,0.005,158,1,79.3650793650794,100,26,126,39,36,0
100,200,0.01,158,2,83.1683168316832,84,17,101,37,36,0
100,200,0.05,158,8,86.3636363636364,57,9,66,27,36,0
100,200,0.1,158,16,94.3396226415094,50,3,53,21,36,0
100,200,0.15,158,24,100,45,0,45,19,36,0
100,200,0.2,158,32,100,39,0,39,19,36,0
100,250,0.001,158,1,79.3650793650794,100,26,126,39,36,0
100,250,0.005,158,1,79.3650793650794,100,26,126,39,36,0
100,250,0.01,158,2,83.1683168316832,84,17,101,37,36,0
100,250,0.05,158,8,86.3636363636364,57,9,66,27,36,0
100,250,0.1,158,16,94.3396226415094,50,3,53,21,36,0
100,250,0.15,158,24,100,45,0,45,19,36,0
100,250,0.2,158,32,100,39,0,39,19,36,0
100,300,0.001,158,1,79.3650793650794,100,26,126,39,36,0
100,300,0.005,158,1,79.3650793650794,100,26,126,39,36,0
100,300,0.01,158,2,83.1683168316832,84,17,101,37,36,0
100,300,0.05,158,8,86.3636363636364,57,9,66,27,36,0
100,300,0.1,158,16,94.3396226415094,50,3,53,21,36,0
100,300,0.15,158,24,100,45,0,45,19,36,0
100,300,0.2,158,32,100,39,0,39,19,36,0
100,350,0.001,158,1,79.3650793650794,100,26,126,39,36,0
100,350,0.005,158,1,79.3650793650794,100,26,126,39,36,0
100,350,0.01,158,2,83.1683168316832,84,17,101,37,36,0
100,350,0.05,158,8,86.3636363636364,57,9,66,27,36,0
100,350,0.1,158,16,94.3396226415094,50,3,53,21,36,0
100,350,0.15,158,24,100,45,0,45,19,36,0
100,350,0.2,158,32,100,39,0,39,19,36,0
100,400,0.001,158,1,79.3650793650794,100,26,126,39,36,0
100,400,0.005,158,1,79.3650793650794,100,26,126,39,36,0
100,400,0.01,158,2,83.1683168316832,84,17,101,37,36,0
100,400,0.05,158,8,86.3636363636364,57,9,66,27,36,0
100,400,0.1,158,16,94.3396226415094,50,3,53,21,36,0
100,400,0.15,158,24,100,45,0,45,19,36,0
100,400,0.2,158,32,100,39,0,39,19,36,0
150,200,0.001,158,1,80.9090909090909,89,21,110,38,36,0
150,200,0.005,158,1,80.9090909090909,89,21,110,38,36,0
150,200,0.01,158,2,84.375,81,15,96,36,36,0
150,200,0.05,158,8,86.1538461538462,56,9,65,27,36,0
150,200,0.1,158,16,94.3396226415094,50,3,53,21,36,0
150,200,0.15,158,24,100,45,0,45,19,36,0
150,200,0.2,158,32,100,39,0,39,19,36,0
150,250,0.001,158,1,80.9090909090909,89,21,110,38,36,0
150,250,0.005,158,1,80.9090909090909,89,21,110,38,36,0
150,250,0.01,158,2,84.375,81,15,96,36,36,0
150,250,0.05,158,8,86.1538461538462,56,9,65,27,36,0
150,250,0.1,158,16,94.3396226415094,50,3,53,21,36,0
150,250,0.15,158,24,100,45,0,45,19,36,0
150,250,0.2,158,32,100,39,0,39,19,36,0
150,300,0.001,158,1,80.9090909090909,89,21,110,38,36,0
150,300,0.005,158,1,80.9090909090909,89,21,110,38,36,0
150,300,0.01,158,2,84.375,81,15,96,36,36,0
150,300,0.05,158,8,86.1538461538462,56,9,65,27,36,0
150,300,0.1,158,16,94.3396226415094,50,3,53,21,36,0
150,300,0.15,158,24,100,45,0,45,19,36,0
150,300,0.2,158,32,100,39,0,39,19,36,0
150,350,0.001,158,1,80.9090909090909,89,21,110,38,36,0
150,350,0.005,158,1,80.9090909090909,89,21,110,38,36,0
150,350,0.01,158,2,84.375,81,15,96,36,36,0
150,350,0.05,158,8,86.1538461538462,56,9,65,27,36,0
150,350,0.1,158,16,94.3396226415094,50,3,53,21,36,0
150,350,0.15,158,24,100,45,0,45,19,36,0
150,350,0.2,158,32,100,39,0,39,19,36,0
150,400,0.001,158,1,80.9090909090909,89,21,110,38,36,0
150,400,0.005,158,1,80.9090909090909,89,21,110,38,36,0
150,400,0.01,158,2,84.375,81,15,96,36,36,0
150,400,0.05,158,8,86.1538461538462,56,9,65,27,36,0
150,400,0.1,158,16,94.3396226415094,50,3,53,21,36,0
150,400,0.15,158,24,100,45,0,45,19,36,0
150,400,0.2,158,32,100,39,0,39,19,36,0
200,200,0.001,158,1,80.5825242718447,83,20,103,38,36,0
200,200,0.005,158,1,80.5825242718447,83,20,103,38,36,0
200,200,0.01,158,2,84.2105263157895,80,15,95,36,36,0
200,200,0.05,158,8,86.1538461538462,56,9,65,27,36,0
200,200,0.1,158,16,94.3396226415094,50,3,53,21,36,0
200,200,0.15,158,24,100,45,0,45,19,36,0
200,200,0.2,158,32,100,39,0,39,19,36,0
200,250,0.001,158,1,80.5825242718447,83,20,103,38,36,0
200,250,0.005,158,1,80.5825242718447,83,20,103,38,36,0
200,250,0.01,158,2,84.2105263157895,80,15,95,36,36,0
