"features"	"coefs"	"category"
"1"	"EC.4.1.1.7"	-7.65295561380859	"left"
"2"	"EC.2.4.1.52"	-6.7874855695806	"left"
"3"	"EC.1.1.1.47"	-4.96504965797962	"left"
"4"	"EC.1.8.4.8"	-4.29069727568235	"left"
"5"	"EC.1.8.4.10"	-4.29069727568235	"left"
"6"	"EC.1.5.1.24"	-4.14694024391595	"left"
"7"	"EC.4.1.1.50"	-3.36862516486048	"left"
"8"	"EC.3.13.1.6"	-3.28812358761217	"left"
"9"	"EC.2.7.7.83"	-3.28812358761217	"left"
"10"	"EC.2.7.1.95"	-3.28812358761217	"left"
"11"	"EC.4.2.1.167"	4.44289808108498	"right"
"12"	"EC.3.1.21.5"	4.57965837187458	"right"
"13"	"EC.3.3.2.9"	4.63694615987072	"right"
"14"	"EC.2.1.1.148"	4.70203788214323	"right"
"15"	"EC.4.2.1.18"	4.75559126507543	"right"
"16"	"EC.1.1.1.2"	4.85593158820202	"right"
"17"	"EC.3.4.11.5"	5.28639590305136	"right"
"18"	"EC.1.3.7.8"	5.48608237812965	"right"
"19"	"EC.4.1.1.82"	6.08169885865842	"right"
"20"	"EC.1.1.1.281"	6.49791967732136	"right"
