S_NS1_Ca_028_1	NADH-DEHYDROG-A-RXN
S_NS1_Ca_028_2	RXN-11135
S_NS1_Ca_028_3	RXN-11135
S_NS1_Ca_028_4	RXN-11135
S_NS1_Ca_028_5	RXN-11135
S_NS1_Ca_028_6	RXN-11135
S_NS1_Ca_028_7	RXN-11135
S_NS1_Ca_028_8	RXN-11135
S_NS1_Ca_028_9	RXN-11135
S_NS1_Ca_028_10	RXN-11135
S_NS1_Ca_028_11	RXN-11135
S_NS1_Ca_028_12	RXN-11135
S_NS1_Ca_028_13	3.2.1.23-RXN
S_NS1_Ca_028_13	RXN-12400
S_NS1_Ca_028_13	RXN-12399
S_NS1_Ca_028_13	RXN-12398
S_NS1_Ca_028_13	BETAGALACTOSID-RXN
S_NS1_Ca_028_13	KETOLACTOSE-RXN
S_NS1_Ca_028_14	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Ca_028_15	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Ca_028_16	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Ca_028_17	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Ca_028_18	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Ca_028_19	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Ca_028_20	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS1_Ca_028_21	2.1.1.72-RXN
S_NS1_Ca_028_22	2.1.1.72-RXN
S_NS1_Ca_028_23	2.1.1.72-RXN
S_NS1_Ca_028_24	2.1.1.72-RXN
S_NS1_Ca_028_25	TRANS-RXN-2
S_NS1_Ca_028_25	3.6.3.12-RXN
S_NS1_Ca_028_26	TRANS-RXN-2
S_NS1_Ca_028_26	3.6.3.12-RXN
S_NS1_Ca_028_27	TRANS-RXN-2
S_NS1_Ca_028_27	3.6.3.12-RXN
S_NS1_Ca_028_28	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Ca_028_29	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS1_Ca_028_30	2.7.13.3-RXN
S_NS1_Ca_028_31	2.7.13.3-RXN
S_NS1_Ca_028_32	2.7.13.3-RXN
S_NS1_Ca_028_33	2.7.13.3-RXN
S_NS1_Ca_028_34	2.7.13.3-RXN
S_NS1_Ca_028_35	2.7.13.3-RXN
S_NS1_Ca_028_36	GPH-RXN
S_NS1_Ca_028_37	GPH-RXN
S_NS1_Ca_028_38	INORGPYROPHOSPHAT-RXN
S_NS1_Ca_028_39	PROTEIN-KINASE-RXN
S_NS1_Ca_028_40	PROTEIN-KINASE-RXN
S_NS1_Ca_028_41	PROTEIN-KINASE-RXN
S_NS1_Ca_028_42	PROTEIN-KINASE-RXN
S_NS1_Ca_028_43	RXN-11065
S_NS1_Ca_028_43	3.4.16.4-RXN
S_NS1_Ca_028_43	RXN-16649
S_NS1_Ca_028_43	RXN-11351
S_NS1_Ca_028_43	RXN-16659
S_NS1_Ca_028_43	RXN-11302
S_NS1_Ca_028_44	RXN-11065
S_NS1_Ca_028_44	3.4.16.4-RXN
S_NS1_Ca_028_44	RXN-16649
S_NS1_Ca_028_44	RXN-11351
S_NS1_Ca_028_44	RXN-16659
S_NS1_Ca_028_44	RXN-11302
S_NS1_Ca_028_45	RXN-11065
S_NS1_Ca_028_45	3.4.16.4-RXN
S_NS1_Ca_028_45	RXN-16649
S_NS1_Ca_028_45	RXN-11351
S_NS1_Ca_028_45	RXN-16659
S_NS1_Ca_028_45	RXN-11302
S_NS1_Ca_028_46	RXN-11065
S_NS1_Ca_028_46	3.4.16.4-RXN
S_NS1_Ca_028_46	RXN-16649
S_NS1_Ca_028_46	RXN-11351
S_NS1_Ca_028_46	RXN-16659
S_NS1_Ca_028_46	RXN-11302
S_NS1_Ca_028_47	RXN-11065
S_NS1_Ca_028_47	3.4.16.4-RXN
S_NS1_Ca_028_47	RXN-16649
S_NS1_Ca_028_47	RXN-11351
S_NS1_Ca_028_47	RXN-16659
S_NS1_Ca_028_47	RXN-11302
S_NS1_Ca_028_48	3.1.21.3-RXN
S_NS1_Ca_028_49	3.1.21.3-RXN
S_NS1_Ca_028_50	3.1.21.3-RXN
S_NS1_Ca_028_51	3.1.21.3-RXN
S_NS1_Ca_028_52	3.1.21.3-RXN
S_NS1_Ca_028_53	RXN-11109
S_NS1_Ca_028_54	RXN-13202
S_NS1_Ca_028_54	CARBPSYN-RXN
S_NS1_Ca_028_55	RXN-13202
S_NS1_Ca_028_55	CARBPSYN-RXN
S_NS1_Ca_028_56	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_NS1_Ca_028_57	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_NS1_Ca_028_58	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_NS1_Ca_028_59	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_NS1_Ca_028_60	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_NS1_Ca_028_61	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_NS1_Ca_028_62	6.3.5.6-RXN
S_NS1_Ca_028_63	6.3.5.6-RXN
S_NS1_Ca_028_64	6.3.5.6-RXN
S_NS1_Ca_028_65	6.3.5.7-RXN
S_NS1_Ca_028_66	6.3.5.7-RXN
S_NS1_Ca_028_67	6.3.5.7-RXN
S_NS1_Ca_028_68	6PFRUCTPHOS-RXN
S_NS1_Ca_028_69	RXN0-2584
S_NS1_Ca_028_70	RXN0-2584
S_NS1_Ca_028_71	RXN-11591
