S_NS1_Pm_023_1	NADH-DEHYDROG-A-RXN
S_NS1_Pm_023_2	RXN-11135
S_NS1_Pm_023_3	RXN-11135
S_NS1_Pm_023_4	RXN-11135
S_NS1_Pm_023_5	RXN-11135
S_NS1_Pm_023_6	RXN-11135
S_NS1_Pm_023_7	RXN-11135
S_NS1_Pm_023_8	RXN-11135
S_NS1_Pm_023_9	RXN-11135
S_NS1_Pm_023_10	RXN-11135
S_NS1_Pm_023_11	RXN-11135
S_NS1_Pm_023_12	RXN-11135
S_NS1_Pm_023_13	RXN-11135
S_NS1_Pm_023_14	RXN-11135
S_NS1_Pm_023_15	RXN-11135
S_NS1_Pm_023_16	RXN-11135
S_NS1_Pm_023_17	RXN-11135
S_NS1_Pm_023_18	3.2.1.23-RXN
S_NS1_Pm_023_18	RXN-12400
S_NS1_Pm_023_18	RXN-12399
S_NS1_Pm_023_18	RXN-12398
S_NS1_Pm_023_18	BETAGALACTOSID-RXN
S_NS1_Pm_023_18	KETOLACTOSE-RXN
S_NS1_Pm_023_19	3.2.1.23-RXN
S_NS1_Pm_023_19	RXN-12400
S_NS1_Pm_023_19	RXN-12399
S_NS1_Pm_023_19	RXN-12398
S_NS1_Pm_023_19	BETAGALACTOSID-RXN
S_NS1_Pm_023_19	KETOLACTOSE-RXN
S_NS1_Pm_023_20	3.2.1.23-RXN
S_NS1_Pm_023_20	RXN-12400
S_NS1_Pm_023_20	RXN-12399
S_NS1_Pm_023_20	RXN-12398
S_NS1_Pm_023_20	BETAGALACTOSID-RXN
S_NS1_Pm_023_20	KETOLACTOSE-RXN
S_NS1_Pm_023_21	3.2.1.23-RXN
S_NS1_Pm_023_21	RXN-12400
S_NS1_Pm_023_21	RXN-12399
S_NS1_Pm_023_21	RXN-12398
S_NS1_Pm_023_21	BETAGALACTOSID-RXN
S_NS1_Pm_023_21	KETOLACTOSE-RXN
S_NS1_Pm_023_22	3.2.1.23-RXN
S_NS1_Pm_023_22	RXN-12400
S_NS1_Pm_023_22	RXN-12399
S_NS1_Pm_023_22	RXN-12398
S_NS1_Pm_023_22	BETAGALACTOSID-RXN
S_NS1_Pm_023_22	KETOLACTOSE-RXN
S_NS1_Pm_023_23	3.2.1.23-RXN
S_NS1_Pm_023_23	RXN-12400
S_NS1_Pm_023_23	RXN-12399
S_NS1_Pm_023_23	RXN-12398
