S_S5_He_108_1	NADH-DEHYDROG-A-RXN
S_S5_He_108_2	RXN-11135
S_S5_He_108_3	RXN-11135
S_S5_He_108_4	RXN-11135
S_S5_He_108_5	RXN-11135
S_S5_He_108_6	RXN-11135
S_S5_He_108_7	RXN-11135
S_S5_He_108_8	RXN-11135
S_S5_He_108_9	RXN-11135
S_S5_He_108_10	RXN-11135
S_S5_He_108_11	RXN-11135
S_S5_He_108_12	RXN-11135
S_S5_He_108_13	RXN-11135
S_S5_He_108_14	RXN-11135
S_S5_He_108_15	RXN-11135
S_S5_He_108_16	RXN-11135
S_S5_He_108_17	RXN-11135
S_S5_He_108_18	RXN-11135
S_S5_He_108_19	RXN-11135
S_S5_He_108_20	RXN-11135
S_S5_He_108_21	RXN-11135
S_S5_He_108_22	3.2.1.23-RXN
S_S5_He_108_22	RXN-12400
S_S5_He_108_22	RXN-12399
S_S5_He_108_22	RXN-12398
S_S5_He_108_22	BETAGALACTOSID-RXN
S_S5_He_108_22	KETOLACTOSE-RXN
S_S5_He_108_23	3.2.1.23-RXN
S_S5_He_108_23	RXN-12400
S_S5_He_108_23	RXN-12399
S_S5_He_108_23	RXN-12398
S_S5_He_108_23	BETAGALACTOSID-RXN
S_S5_He_108_23	KETOLACTOSE-RXN
S_S5_He_108_24	3.2.1.23-RXN
S_S5_He_108_24	RXN-12400
S_S5_He_108_24	RXN-12399
S_S5_He_108_24	RXN-12398
S_S5_He_108_24	BETAGALACTOSID-RXN
S_S5_He_108_24	KETOLACTOSE-RXN
S_S5_He_108_25	3.2.1.23-RXN
S_S5_He_108_25	RXN-12400
S_S5_He_108_25	RXN-12399
S_S5_He_108_25	RXN-12398
S_S5_He_108_25	BETAGALACTOSID-RXN
S_S5_He_108_25	KETOLACTOSE-RXN
S_S5_He_108_26	3.2.1.23-RXN
S_S5_He_108_26	RXN-12400
S_S5_He_108_26	RXN-12399
S_S5_He_108_26	RXN-12398
S_S5_He_108_26	BETAGALACTOSID-RXN
S_S5_He_108_26	KETOLACTOSE-RXN
S_S5_He_108_27	3.2.1.23-RXN
S_S5_He_108_27	RXN-12400
S_S5_He_108_27	RXN-12399
S_S5_He_108_27	RXN-12398
S_S5_He_108_27	BETAGALACTOSID-RXN
S_S5_He_108_27	KETOLACTOSE-RXN
S_S5_He_108_28	3.2.1.23-RXN
S_S5_He_108_28	RXN-12400
S_S5_He_108_28	RXN-12399
S_S5_He_108_28	RXN-12398
S_S5_He_108_28	BETAGALACTOSID-RXN
S_S5_He_108_28	KETOLACTOSE-RXN
S_S5_He_108_29	3.2.1.23-RXN
S_S5_He_108_29	RXN-12400
S_S5_He_108_29	RXN-12399
S_S5_He_108_29	RXN-12398
S_S5_He_108_29	BETAGALACTOSID-RXN
S_S5_He_108_29	KETOLACTOSE-RXN
S_S5_He_108_30	3.2.1.23-RXN
S_S5_He_108_30	RXN-12400
S_S5_He_108_30	RXN-12399
S_S5_He_108_30	RXN-12398
S_S5_He_108_30	BETAGALACTOSID-RXN
S_S5_He_108_30	KETOLACTOSE-RXN
S_S5_He_108_31	3.2.1.23-RXN
S_S5_He_108_31	RXN-12400
S_S5_He_108_31	RXN-12399
S_S5_He_108_31	RXN-12398
S_S5_He_108_31	BETAGALACTOSID-RXN
S_S5_He_108_31	KETOLACTOSE-RXN
S_S5_He_108_32	RXN0-5226
S_S5_He_108_32	3.2.1.52-RXN
S_S5_He_108_32	RXN-12625
S_S5_He_108_32	RXN-12626
S_S5_He_108_33	RXN0-5226
S_S5_He_108_33	3.2.1.52-RXN
S_S5_He_108_33	RXN-12625
S_S5_He_108_33	RXN-12626
S_S5_He_108_34	RXN0-5226
S_S5_He_108_34	3.2.1.52-RXN
S_S5_He_108_34	RXN-12625
S_S5_He_108_34	RXN-12626
S_S5_He_108_35	RXN0-5226
S_S5_He_108_35	3.2.1.52-RXN
S_S5_He_108_35	RXN-12625
S_S5_He_108_35	RXN-12626
S_S5_He_108_36	RXN0-5226
S_S5_He_108_36	3.2.1.52-RXN
S_S5_He_108_36	RXN-12625
S_S5_He_108_36	RXN-12626
S_S5_He_108_37	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S5_He_108_38	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S5_He_108_39	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S5_He_108_40	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S5_He_108_41	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S5_He_108_42	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S5_He_108_43	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S5_He_108_44	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S5_He_108_45	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S5_He_108_46	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S5_He_108_47	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S5_He_108_48	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S5_He_108_49	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S5_He_108_50	2.1.1.72-RXN
S_S5_He_108_51	2.1.1.72-RXN
S_S5_He_108_52	2.1.1.72-RXN
S_S5_He_108_53	2.1.1.72-RXN
S_S5_He_108_54	2.1.1.72-RXN
S_S5_He_108_55	TRANS-RXN-2
S_S5_He_108_55	3.6.3.12-RXN
S_S5_He_108_56	TRANS-RXN-2
S_S5_He_108_56	3.6.3.12-RXN
S_S5_He_108_57	TRANS-RXN-2
S_S5_He_108_57	3.6.3.12-RXN
S_S5_He_108_58	TRANS-RXN-2
S_S5_He_108_58	3.6.3.12-RXN
S_S5_He_108_59	TRANS-RXN-2
S_S5_He_108_59	3.6.3.12-RXN
S_S5_He_108_60	TRANS-RXN-2
S_S5_He_108_60	3.6.3.12-RXN
S_S5_He_108_61	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S5_He_108_62	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S5_He_108_63	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S5_He_108_64	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S5_He_108_65	2.7.13.3-RXN
S_S5_He_108_66	2.7.13.3-RXN
S_S5_He_108_67	2.7.13.3-RXN
S_S5_He_108_68	2.7.13.3-RXN
S_S5_He_108_69	2.7.13.3-RXN
S_S5_He_108_70	2.7.13.3-RXN
S_S5_He_108_71	2.7.13.3-RXN
S_S5_He_108_72	2.7.13.3-RXN
S_S5_He_108_73	2.7.13.3-RXN
S_S5_He_108_74	2.7.13.3-RXN
S_S5_He_108_75	2.7.13.3-RXN
S_S5_He_108_76	2.7.13.3-RXN
S_S5_He_108_77	2.7.13.3-RXN
S_S5_He_108_78	2.7.13.3-RXN
S_S5_He_108_79	2.7.13.3-RXN
S_S5_He_108_80	2.7.13.3-RXN
S_S5_He_108_81	2.7.13.3-RXN
S_S5_He_108_82	2.7.13.3-RXN
S_S5_He_108_83	2.7.13.3-RXN
S_S5_He_108_84	2.7.13.3-RXN
S_S5_He_108_85	2.7.13.3-RXN
S_S5_He_108_86	2.7.13.3-RXN
S_S5_He_108_87	2.7.13.3-RXN
S_S5_He_108_88	2.7.13.3-RXN
S_S5_He_108_89	2.7.13.3-RXN
S_S5_He_108_90	2.7.13.3-RXN
S_S5_He_108_91	2.7.13.3-RXN
S_S5_He_108_92	2.7.13.3-RXN
S_S5_He_108_93	2.7.13.3-RXN
S_S5_He_108_94	2.7.13.3-RXN
S_S5_He_108_95	2.7.13.3-RXN
S_S5_He_108_96	2.7.13.3-RXN
S_S5_He_108_97	2.7.13.3-RXN
S_S5_He_108_98	2.7.13.3-RXN
S_S5_He_108_99	2.7.13.3-RXN
S_S5_He_108_100	2.7.13.3-RXN
S_S5_He_108_101	2.7.13.3-RXN
S_S5_He_108_102	2.7.13.3-RXN
S_S5_He_108_103	2.7.13.3-RXN
S_S5_He_108_104	2.7.13.3-RXN
S_S5_He_108_105	2.7.13.3-RXN
S_S5_He_108_106	2.7.13.3-RXN
S_S5_He_108_107	2.7.13.3-RXN
