S_NS6_Pm_056_1	NADH-DEHYDROG-A-RXN
S_NS6_Pm_056_2	RXN-11135
S_NS6_Pm_056_3	RXN-11135
S_NS6_Pm_056_4	RXN-11135
S_NS6_Pm_056_5	RXN-11135
S_NS6_Pm_056_6	RXN-11135
S_NS6_Pm_056_7	RXN-11135
S_NS6_Pm_056_8	RXN-11135
S_NS6_Pm_056_9	RXN-11135
S_NS6_Pm_056_10	RXN-11135
S_NS6_Pm_056_11	RXN-11135
S_NS6_Pm_056_12	RXN-11135
S_NS6_Pm_056_13	RXN-11135
S_NS6_Pm_056_14	RXN-11135
S_NS6_Pm_056_15	RXN-11135
S_NS6_Pm_056_16	RXN-11135
S_NS6_Pm_056_17	RXN-11135
S_NS6_Pm_056_18	RXN-11135
S_NS6_Pm_056_19	RXN-11135
S_NS6_Pm_056_20	3.2.1.23-RXN
S_NS6_Pm_056_20	RXN-12400
S_NS6_Pm_056_20	RXN-12399
S_NS6_Pm_056_20	RXN-12398
S_NS6_Pm_056_20	BETAGALACTOSID-RXN
S_NS6_Pm_056_20	KETOLACTOSE-RXN
S_NS6_Pm_056_21	3.2.1.23-RXN
S_NS6_Pm_056_21	RXN-12400
S_NS6_Pm_056_21	RXN-12399
S_NS6_Pm_056_21	RXN-12398
S_NS6_Pm_056_21	BETAGALACTOSID-RXN
S_NS6_Pm_056_21	KETOLACTOSE-RXN
S_NS6_Pm_056_22	3.2.1.23-RXN
S_NS6_Pm_056_22	RXN-12400
S_NS6_Pm_056_22	RXN-12399
S_NS6_Pm_056_22	RXN-12398
S_NS6_Pm_056_22	BETAGALACTOSID-RXN
S_NS6_Pm_056_22	KETOLACTOSE-RXN
S_NS6_Pm_056_23	3.2.1.23-RXN
S_NS6_Pm_056_23	RXN-12400
S_NS6_Pm_056_23	RXN-12399
S_NS6_Pm_056_23	RXN-12398
S_NS6_Pm_056_23	BETAGALACTOSID-RXN
S_NS6_Pm_056_23	KETOLACTOSE-RXN
S_NS6_Pm_056_24	3.2.1.23-RXN
S_NS6_Pm_056_24	RXN-12400
S_NS6_Pm_056_24	RXN-12399
S_NS6_Pm_056_24	RXN-12398
S_NS6_Pm_056_24	BETAGALACTOSID-RXN
S_NS6_Pm_056_24	KETOLACTOSE-RXN
S_NS6_Pm_056_25	3.2.1.23-RXN
S_NS6_Pm_056_25	RXN-12400
S_NS6_Pm_056_25	RXN-12399
S_NS6_Pm_056_25	RXN-12398
S_NS6_Pm_056_25	BETAGALACTOSID-RXN
S_NS6_Pm_056_25	KETOLACTOSE-RXN
S_NS6_Pm_056_26	3.2.1.23-RXN
S_NS6_Pm_056_26	RXN-12400
S_NS6_Pm_056_26	RXN-12399
S_NS6_Pm_056_26	RXN-12398
S_NS6_Pm_056_26	BETAGALACTOSID-RXN
S_NS6_Pm_056_26	KETOLACTOSE-RXN
S_NS6_Pm_056_27	3.2.1.23-RXN
S_NS6_Pm_056_27	RXN-12400
S_NS6_Pm_056_27	RXN-12399
S_NS6_Pm_056_27	RXN-12398
S_NS6_Pm_056_27	BETAGALACTOSID-RXN
S_NS6_Pm_056_27	KETOLACTOSE-RXN
S_NS6_Pm_056_28	3.2.1.23-RXN
S_NS6_Pm_056_28	RXN-12400
S_NS6_Pm_056_28	RXN-12399
S_NS6_Pm_056_28	RXN-12398
S_NS6_Pm_056_28	BETAGALACTOSID-RXN
S_NS6_Pm_056_28	KETOLACTOSE-RXN
S_NS6_Pm_056_29	3.2.1.23-RXN
S_NS6_Pm_056_29	RXN-12400
S_NS6_Pm_056_29	RXN-12399
S_NS6_Pm_056_29	RXN-12398
S_NS6_Pm_056_29	BETAGALACTOSID-RXN
S_NS6_Pm_056_29	KETOLACTOSE-RXN
S_NS6_Pm_056_30	3.2.1.23-RXN
S_NS6_Pm_056_30	RXN-12400
S_NS6_Pm_056_30	RXN-12399
S_NS6_Pm_056_30	RXN-12398
S_NS6_Pm_056_30	BETAGALACTOSID-RXN
S_NS6_Pm_056_30	KETOLACTOSE-RXN
S_NS6_Pm_056_31	3.2.1.23-RXN
S_NS6_Pm_056_31	RXN-12400
S_NS6_Pm_056_31	RXN-12399
S_NS6_Pm_056_31	RXN-12398
S_NS6_Pm_056_31	BETAGALACTOSID-RXN
S_NS6_Pm_056_31	KETOLACTOSE-RXN
S_NS6_Pm_056_32	RXN0-5226
S_NS6_Pm_056_32	3.2.1.52-RXN
S_NS6_Pm_056_32	RXN-12625
S_NS6_Pm_056_32	RXN-12626
S_NS6_Pm_056_33	RXN0-5226
S_NS6_Pm_056_33	3.2.1.52-RXN
S_NS6_Pm_056_33	RXN-12625
S_NS6_Pm_056_33	RXN-12626
S_NS6_Pm_056_34	RXN0-5226
S_NS6_Pm_056_34	3.2.1.52-RXN
S_NS6_Pm_056_34	RXN-12625
S_NS6_Pm_056_34	RXN-12626
S_NS6_Pm_056_35	RXN0-5226
S_NS6_Pm_056_35	3.2.1.52-RXN
S_NS6_Pm_056_35	RXN-12625
S_NS6_Pm_056_35	RXN-12626
S_NS6_Pm_056_36	RXN0-5226
S_NS6_Pm_056_36	3.2.1.52-RXN
S_NS6_Pm_056_36	RXN-12625
S_NS6_Pm_056_36	RXN-12626
S_NS6_Pm_056_37	RXN0-5226
S_NS6_Pm_056_37	3.2.1.52-RXN
S_NS6_Pm_056_37	RXN-12625
S_NS6_Pm_056_37	RXN-12626
S_NS6_Pm_056_38	RXN0-5226
S_NS6_Pm_056_38	3.2.1.52-RXN
S_NS6_Pm_056_38	RXN-12625
S_NS6_Pm_056_38	RXN-12626
S_NS6_Pm_056_39	RXN0-5226
S_NS6_Pm_056_39	3.2.1.52-RXN
S_NS6_Pm_056_39	RXN-12625
S_NS6_Pm_056_39	RXN-12626
S_NS6_Pm_056_40	RXN0-5226
S_NS6_Pm_056_40	3.2.1.52-RXN
S_NS6_Pm_056_40	RXN-12625
S_NS6_Pm_056_40	RXN-12626
S_NS6_Pm_056_41	RXN0-5226
S_NS6_Pm_056_41	3.2.1.52-RXN
S_NS6_Pm_056_41	RXN-12625
S_NS6_Pm_056_41	RXN-12626
S_NS6_Pm_056_42	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Pm_056_43	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Pm_056_44	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Pm_056_45	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Pm_056_46	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Pm_056_47	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Pm_056_48	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Pm_056_49	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Pm_056_50	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Pm_056_51	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Pm_056_52	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Pm_056_53	2.1.1.72-RXN
S_NS6_Pm_056_54	2.1.1.72-RXN
S_NS6_Pm_056_55	2.1.1.72-RXN
S_NS6_Pm_056_56	2.1.1.72-RXN
S_NS6_Pm_056_57	2.1.1.72-RXN
S_NS6_Pm_056_58	2.1.1.72-RXN
S_NS6_Pm_056_59	2.1.1.72-RXN
S_NS6_Pm_056_60	TRANS-RXN-2
S_NS6_Pm_056_60	3.6.3.12-RXN
S_NS6_Pm_056_61	TRANS-RXN-2
S_NS6_Pm_056_61	3.6.3.12-RXN
S_NS6_Pm_056_62	TRANS-RXN-2
S_NS6_Pm_056_62	3.6.3.12-RXN
S_NS6_Pm_056_63	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Pm_056_64	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Pm_056_65	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Pm_056_66	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Pm_056_67	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Pm_056_68	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Pm_056_69	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Pm_056_70	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Pm_056_71	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Pm_056_72	2.7.13.3-RXN
S_NS6_Pm_056_73	2.7.13.3-RXN
S_NS6_Pm_056_74	2.7.13.3-RXN
S_NS6_Pm_056_75	2.7.13.3-RXN
S_NS6_Pm_056_76	2.7.13.3-RXN
S_NS6_Pm_056_77	2.7.13.3-RXN
S_NS6_Pm_056_78	RXN-14267
S_NS6_Pm_056_78	RXN0-5225
S_NS6_Pm_056_78	3.4.24.32-RXN
S_NS6_Pm_056_79	RXN-14267
S_NS6_Pm_056_79	RXN0-5225
S_NS6_Pm_056_79	3.4.24.32-RXN
S_NS6_Pm_056_80	RXN-14267
S_NS6_Pm_056_80	RXN0-5225
S_NS6_Pm_056_80	3.4.24.32-RXN
S_NS6_Pm_056_81	RXN-14267
S_NS6_Pm_056_81	RXN0-5225
S_NS6_Pm_056_81	3.4.24.32-RXN
S_NS6_Pm_056_82	RXN-14267
S_NS6_Pm_056_82	RXN0-5225
S_NS6_Pm_056_82	3.4.24.32-RXN
S_NS6_Pm_056_83	ALPHA-L-FUCOSIDASE-RXN
S_NS6_Pm_056_84	ALPHA-L-FUCOSIDASE-RXN
S_NS6_Pm_056_85	ALPHA-L-FUCOSIDASE-RXN
S_NS6_Pm_056_86	ALPHA-L-FUCOSIDASE-RXN
S_NS6_Pm_056_87	ALPHA-L-FUCOSIDASE-RXN
S_NS6_Pm_056_88	ALPHA-L-FUCOSIDASE-RXN
S_NS6_Pm_056_89	ALPHA-L-FUCOSIDASE-RXN
S_NS6_Pm_056_90	GPH-RXN
S_NS6_Pm_056_91	GPH-RXN
S_NS6_Pm_056_92	INORGPYROPHOSPHAT-RXN
S_NS6_Pm_056_93	INORGPYROPHOSPHAT-RXN
S_NS6_Pm_056_94	ANTHRANSYN-RXN
S_NS6_Pm_056_95	ANTHRANSYN-RXN
S_NS6_Pm_056_96	ANTHRANSYN-RXN
S_NS6_Pm_056_97	3.2.1.18-RXN
S_NS6_Pm_056_98	PROTEIN-KINASE-RXN
S_NS6_Pm_056_99	PROTEIN-KINASE-RXN
S_NS6_Pm_056_100	RXN-11065
S_NS6_Pm_056_100	3.4.16.4-RXN
S_NS6_Pm_056_100	RXN-16649
S_NS6_Pm_056_100	RXN-11351
S_NS6_Pm_056_100	RXN-16659
S_NS6_Pm_056_100	RXN-11302
S_NS6_Pm_056_101	RXN-11065
S_NS6_Pm_056_101	3.4.16.4-RXN
S_NS6_Pm_056_101	RXN-16649
S_NS6_Pm_056_101	RXN-11351
S_NS6_Pm_056_101	RXN-16659
S_NS6_Pm_056_101	RXN-11302
S_NS6_Pm_056_102	RXN-11065
S_NS6_Pm_056_102	3.4.16.4-RXN
S_NS6_Pm_056_102	RXN-16649
S_NS6_Pm_056_102	RXN-11351
S_NS6_Pm_056_102	RXN-16659
S_NS6_Pm_056_102	RXN-11302
S_NS6_Pm_056_103	RXN-11065
S_NS6_Pm_056_103	3.4.16.4-RXN
S_NS6_Pm_056_103	RXN-16649
