S_S2_Ea_076_1	NADH-DEHYDROG-A-RXN
S_S2_Ea_076_2	RXN-11135
S_S2_Ea_076_3	RXN-11135
S_S2_Ea_076_4	RXN-11135
S_S2_Ea_076_5	RXN-11135
S_S2_Ea_076_6	RXN-11135
S_S2_Ea_076_7	RXN-11135
S_S2_Ea_076_8	RXN-11135
S_S2_Ea_076_9	RXN-11135
S_S2_Ea_076_10	RXN-11135
S_S2_Ea_076_11	RXN-11135
S_S2_Ea_076_12	RXN-11135
S_S2_Ea_076_13	RXN-11135
S_S2_Ea_076_14	RXN-11135
S_S2_Ea_076_15	3.2.1.23-RXN
S_S2_Ea_076_15	RXN-12400
S_S2_Ea_076_15	RXN-12399
S_S2_Ea_076_15	RXN-12398
S_S2_Ea_076_15	BETAGALACTOSID-RXN
S_S2_Ea_076_15	KETOLACTOSE-RXN
S_S2_Ea_076_16	3.2.1.23-RXN
S_S2_Ea_076_16	RXN-12400
S_S2_Ea_076_16	RXN-12399
S_S2_Ea_076_16	RXN-12398
S_S2_Ea_076_16	BETAGALACTOSID-RXN
S_S2_Ea_076_16	KETOLACTOSE-RXN
S_S2_Ea_076_17	RXN0-5226
S_S2_Ea_076_17	3.2.1.52-RXN
S_S2_Ea_076_17	RXN-12625
S_S2_Ea_076_17	RXN-12626
S_S2_Ea_076_18	RXN0-5226
S_S2_Ea_076_18	3.2.1.52-RXN
S_S2_Ea_076_18	RXN-12625
S_S2_Ea_076_18	RXN-12626
S_S2_Ea_076_19	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ea_076_20	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ea_076_21	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ea_076_22	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ea_076_23	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ea_076_24	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ea_076_25	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ea_076_26	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ea_076_27	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ea_076_28	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ea_076_29	2.1.1.72-RXN
S_S2_Ea_076_30	2.1.1.72-RXN
S_S2_Ea_076_31	TRANS-RXN-2
S_S2_Ea_076_31	3.6.3.12-RXN
S_S2_Ea_076_32	TRANS-RXN-2
S_S2_Ea_076_32	3.6.3.12-RXN
S_S2_Ea_076_33	TRANS-RXN-2
S_S2_Ea_076_33	3.6.3.12-RXN
S_S2_Ea_076_34	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S2_Ea_076_35	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S2_Ea_076_36	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S2_Ea_076_37	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S2_Ea_076_38	2.7.13.3-RXN
S_S2_Ea_076_39	2.7.13.3-RXN
S_S2_Ea_076_40	2.7.13.3-RXN
S_S2_Ea_076_41	2.7.13.3-RXN
S_S2_Ea_076_42	2.7.13.3-RXN
S_S2_Ea_076_43	2.7.13.3-RXN
S_S2_Ea_076_44	2.7.13.3-RXN
S_S2_Ea_076_45	2.7.13.3-RXN
S_S2_Ea_076_46	2.7.13.3-RXN
S_S2_Ea_076_47	2.7.13.3-RXN
S_S2_Ea_076_48	2.7.13.3-RXN
S_S2_Ea_076_49	2.7.13.3-RXN
S_S2_Ea_076_50	RXN-14267
S_S2_Ea_076_50	RXN0-5225
S_S2_Ea_076_50	3.4.24.32-RXN
S_S2_Ea_076_51	GPH-RXN
S_S2_Ea_076_52	INORGPYROPHOSPHAT-RXN
S_S2_Ea_076_53	ANTHRANSYN-RXN
S_S2_Ea_076_54	ANTHRANSYN-RXN
S_S2_Ea_076_55	ANTHRANSYN-RXN
S_S2_Ea_076_56	PROTEIN-KINASE-RXN
S_S2_Ea_076_57	PROTEIN-KINASE-RXN
S_S2_Ea_076_58	RXN-11065
S_S2_Ea_076_58	3.4.16.4-RXN
S_S2_Ea_076_58	RXN-16649
S_S2_Ea_076_58	RXN-11351
S_S2_Ea_076_58	RXN-16659
S_S2_Ea_076_58	RXN-11302
