"features"	"coefs"	"category"
"1"	"P221.PWY"	-4.2113813238826	"left"
"2"	"PWY.1622"	-4.15236973804056	"left"
"3"	"PWY.3781"	-3.04946187000798	"left"
"4"	"P281.PWY"	-2.66397648911724	"left"
"5"	"PWY.7090"	-2.36907670700549	"left"
"6"	"PWY.5304"	-2.07127739514791	"left"
"7"	"GLUCARDEG.PWY"	-1.92138763685681	"left"
"8"	"PWY.181"	-1.67584215343454	"left"
"9"	"PWY.6545"	-1.64689472090369	"left"
"10"	"PWY.7198"	-1.5527740902287	"left"
"11"	"REDCITCYC"	2.46213967218732	"right"
"12"	"PWY.5179"	2.85648867950168	"right"
"13"	"PWY.6588"	3.07330322779775	"right"
"14"	"PWY.5415"	3.31133115615429	"right"
"15"	"P562.PWY"	3.364513614857	"right"
"16"	"PWY.5910"	4.25169796920446	"right"
"17"	"PWY.922"	4.25705316628422	"right"
"18"	"PWY.5420"	5.29909926629737	"right"
"19"	"PWY.5419"	5.58192608497957	"right"
"20"	"PWY.7316"	5.9030002989809	"right"
