"features"	"coefs"	"category"
"1"	"PWY.6676"	-6.42260409855836	"left"
"2"	"P221.PWY"	-4.96885013932255	"left"
"3"	"PWY.6143"	-3.24872603038977	"left"
"4"	"PWY.7371"	-2.86872393844656	"left"
"5"	"PWY.7374"	-2.85410909113763	"left"
"6"	"PWY.7373"	-2.47631580397612	"left"
"7"	"PWY.2201"	-2.35226076242602	"left"
"8"	"PWY.4984"	-2.35052423826914	"left"
"9"	"PWY.6148"	-2.34776764801375	"left"
"10"	"CRNFORCAT.PWY"	-2.23697268339289	"left"
"11"	"PWY.1622"	1.87696524884674	"right"
"12"	"ARGDEG.PWY"	1.88821588111655	"right"
"13"	"ORNARGDEG.PWY"	1.88821588111655	"right"
"14"	"PWY.6071"	1.93594748022582	"right"
"15"	"PWY0.321"	1.9589868811007	"right"
"16"	"HCAMHPDEG.PWY"	1.97869956945672	"right"
"17"	"PWY.6690"	1.97869956945672	"right"
"18"	"PWY.5179"	4.52111949855257	"right"
"19"	"PWY.5265"	5.01842140615593	"right"
"20"	"PWY.7316"	6.80803186642969	"right"
