"","Plate1_T1D_S5_defined_mouse_inocula_S84_L001","Plate3_S5_defined_inocula_S87_L001","Plate4_S5_defined_inocula_S87_L001"
"ASVp1_1",377,0,0
"ASVp1_2",716,0,0
"ASVp1_3",4524,0,0
"ASVp1_9",13177,0,0
"ASVp1_10",1355,0,0
"ASVp1_11",2172,0,0
"ASVp1_14",2718,0,0
"ASVp1_15",1440,0,0
"ASVp1_18",1026,0,0
"ASVp1_19",1851,0,0
"ASVp1_20",3258,0,0
"ASVp1_22",1033,0,0
"ASVp1_24",1363,0,0
"ASVp1_27",463,0,0
"ASVp1_30",2793,0,0
"ASVp1_37",396,0,0
"ASVp1_40",8020,0,0
"ASVp1_41",161,0,0
"ASVp1_45",607,0,0
"ASVp1_49",933,0,0
"ASVp1_52",1419,0,0
"ASVp1_54",1737,0,0
"ASVp1_55",521,0,0
"ASVp1_65",1073,0,0
"ASVp1_69",1240,0,0
"ASVp1_70",94,0,0
"ASVp1_72",3036,0,0
"ASVp1_75",176,0,0
"ASVp1_83",117,0,0
"ASVp1_88",59,0,0
"ASVp1_93",414,0,0
"ASVp1_95",1013,0,0
"ASVp1_100",1049,0,0
"ASVp1_109",874,0,0
"ASVp1_116",583,0,0
"ASVp1_117",541,0,0
"ASVp1_118",8,0,0
"ASVp1_119",448,0,0
"ASVp1_125",86,0,0
"ASVp1_137",275,0,0
"ASVp1_139",253,0,0
"ASVp1_143",187,0,0
"ASVp1_151",83,0,0
"ASVp1_160",71,0,0
"ASVp1_163",40,0,0
"ASVp3_1",0,1328,0
"ASVp3_3",0,4790,0
"ASVp3_4",0,1051,0
"ASVp3_5",0,15,0
"ASVp3_6",0,4506,0
"ASVp3_7",0,24606,0
"ASVp3_8",0,3145,0
"ASVp3_11",0,2678,0
"ASVp3_12",0,4413,0
"ASVp3_13",0,1773,0
"ASVp3_15",0,3264,0
"ASVp3_18",0,889,0
"ASVp3_29",0,2796,0
"ASVp3_30",0,1500,0
"ASVp3_32",0,204,0
"ASVp3_34",0,1368,0
"ASVp3_35",0,27,0
"ASVp3_36",0,2702,0
"ASVp3_38",0,1756,0
"ASVp3_44",0,8365,0
"ASVp3_45",0,3872,0
"ASVp3_47",0,1147,0
"ASVp3_48",0,6026,0
"ASVp3_50",0,3972,0
"ASVp3_51",0,236,0
"ASVp3_54",0,3967,0
"ASVp3_59",0,558,0
"ASVp3_61",0,2347,0
"ASVp3_66",0,2436,0
"ASVp3_67",0,154,0
"ASVp3_77",0,2003,0
"ASVp3_81",0,826,0
"ASVp3_88",0,1166,0
"ASVp3_92",0,143,0
"ASVp3_108",0,632,0
"ASVp3_109",0,628,0
"ASVp3_110",0,624,0
"ASVp3_111",0,624,0
"ASVp3_120",0,381,0
"ASVp3_123",0,165,0
"ASVp3_128",0,285,0
"ASVp3_149",0,115,0
"ASVp4_1",0,0,936
"ASVp4_2",0,0,41
"ASVp4_3",0,0,627
"ASVp4_6",0,0,3838
"ASVp4_7",0,0,1444
"ASVp4_8",0,0,5
"ASVp4_9",0,0,2021
"ASVp4_10",0,0,16148
"ASVp4_11",0,0,12
"ASVp4_13",0,0,2649
"ASVp4_14",0,0,8
"ASVp4_17",0,0,1028
"ASVp4_19",0,0,649
"ASVp4_22",0,0,1063
"ASVp4_23",0,0,1516
"ASVp4_24",0,0,2466
"ASVp4_25",0,0,1786
"ASVp4_28",0,0,2504
"ASVp4_31",0,0,331
"ASVp4_37",0,0,511
"ASVp4_40",0,0,879
"ASVp4_44",0,0,2339
"ASVp4_49",0,0,83
"ASVp4_50",0,0,5144
"ASVp4_52",0,0,110
"ASVp4_53",0,0,1384
"ASVp4_54",0,0,3170
"ASVp4_58",0,0,1536
"ASVp4_59",0,0,107
"ASVp4_61",0,0,2356
"ASVp4_62",0,0,799
"ASVp4_63",0,0,128
"ASVp4_69",0,0,1281
"ASVp4_73",0,0,949
"ASVp4_86",0,0,1258
"ASVp4_103",0,0,38
"ASVp4_117",0,0,611
"ASVp4_150",0,0,407
"ASVp4_153",0,0,385
"ASVp4_155",0,0,365
"ASVp4_156",0,0,361
"ASVp4_181",0,0,222
"ASVp4_190",0,0,5
"ASVp4_252",0,0,6
"ASVp4_256",0,0,5
