Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
016R_R_F_NS6_week5_S1_L001_R1_001	(1.0, 3.7991739005588316)	(2.0, 1.2965785346674619)	(3.0, 0.6758995427738388)	(4.0, 0.4285114748304729)	(5.0, 0.2926689196651426)	(6.0, 0.21204691538002785)	(7.0, 0.255118945066596)	(8.0, 0.20321162723919334)	(9.0, 0.1888542840103373)	('>10', 5.491131579528638)	('>50', 6.463013275020432)	('>100', 25.228060875135288)	('>500', 16.758332781127823)	('>1k', 38.70739734499591)	('>5k', 0.0)	('>10k+', 0.0)
016R_R_F_NS6_week5_S1_L001_R2_001	(1.0, 10.687385417356923)	(2.0, 2.2176573233494574)	(3.0, 1.123186004903585)	(4.0, 0.8393523733792768)	(5.0, 0.7013009961787379)	(6.0, 0.6228878139288317)	(7.0, 0.5025070130099618)	(8.0, 0.7509994919709319)	(9.0, 0.556623152872573)	('>10', 10.066706425463302)	('>50', 5.907494533165463)	('>100', 24.648245090893024)	('>500', 12.055750668168667)	('>1k', 29.31990369535927)	('>5k', 0.0)	('>10k+', 0.0)
036R_0_M_NS1_S62_L001_R1_001	(1.0, 4.198511971131429)	(2.0, 1.4555922719808625)	(3.0, 0.6568410809495814)	(4.0, 0.40140288280252195)	(5.0, 0.2584791290773816)	(6.0, 0.22502888884383807)	(7.0, 0.24834269264297446)	(8.0, 0.12974638636041114)	(9.0, 0.20070144140126098)	('>10', 4.489427696798914)	('>50', 4.075861090275103)	('>100', 31.667241064731282)	('>500', 27.437306140653188)	('>1k', 24.55551726235125)	('>5k', 0.0)	('>10k+', 0.0)
036R_0_M_NS1_S62_L001_R2_001	(1.0, 12.17183287043607)	(2.0, 2.309080219757942)	(3.0, 1.143390029801123)	(4.0, 0.6973868266872099)	(5.0, 0.5473675674579845)	(6.0, 0.5108763962941189)	(7.0, 0.4612078577655239)	(8.0, 0.5595312911792729)	(9.0, 0.48350801792121967)	('>10', 12.843878606037261)	('>50', 5.015508747744643)	('>100', 23.113102357735116)	('>500', 18.483791838141382)	('>1k', 21.659537373041136)	('>5k', 0.0)	('>10k+', 0.0)
036R_0_M_NS1_week5_S41_L001_R1_001	(1.0, 3.8119813506143156)	(2.0, 1.4035910819185018)	(3.0, 0.6626982963375656)	(4.0, 0.4574377620737179)	(5.0, 0.34210089043974623)	(6.0, 0.21698970765035336)	(7.0, 0.19157649864625792)	(8.0, 0.11729173386505587)	(9.0, 0.08796880039879189)	('>10', 4.123781876472256)	('>50', 5.384668015521607)	('>100', 31.21328524372245)	('>500', 16.60753208417637)	('>1k', 35.379096658163014)	('>5k', 0.0)	('>10k+', 0.0)
036R_0_M_NS1_week5_S41_L001_R2_001	(1.0, 9.862279955820114)	(2.0, 2.048695618176309)	(3.0, 1.0996100049848987)	(4.0, 0.7506670967363575)	(5.0, 0.8014935147445483)	(6.0, 0.5981878427117849)	(7.0, 0.4652572109980549)	(8.0, 0.680292056417324)	(9.0, 0.5190159223528722)	('>10', 9.776266017652405)	('>50', 7.890801395771634)	('>100', 27.080706487210314)	('>500', 7.734412417284892)	('>1k', 30.692314459138494)	('>5k', 0.0)	('>10k+', 0.0)
036R_L_M_NS1_S63_L001_R1_001	(1.0, 4.120520812609147)	(2.0, 1.4412980524791654)	(3.0, 0.6963326480535844)	(4.0, 0.380219731635608)	(5.0, 0.31500762650043107)	(6.0, 0.19895218515816698)	(7.0, 0.17021464730198732)	(8.0, 0.21221566416871146)	(9.0, 0.1591617481265336)	('>10', 4.967172889448903)	('>50', 5.607135751707673)	('>100', 29.929040387293586)	('>500', 24.350642173442093)	('>1k', 27.452085682074408)	('>5k', 0.0)	('>10k+', 0.0)
036R_L_M_NS1_S63_L001_R2_001	(1.0, 12.323982580630899)	(2.0, 2.2326856334416516)	(3.0, 1.2235559387227268)	(4.0, 0.8709684550257533)	(5.0, 0.552644958772686)	(6.0, 0.5570661184428676)	(7.0, 0.4951698830603268)	(8.0, 0.5128545217410527)	(9.0, 0.4575900258637841)	('>10', 13.435904237681545)	('>50', 4.772641863960917)	('>100', 22.2948029268077)	('>500', 20.561708336096558)	('>1k', 19.70842451975153)	('>5k', 0.0)	('>10k+', 0.0)
036R_L_M_NS1_week5_S42_L001_R1_001	(1.0, 3.8426195075295837)	(2.0, 1.3877688802205428)	(3.0, 0.689196031731148)	(4.0, 0.3825741237364739)	(5.0, 0.31881176978039494)	(6.0, 0.19128706186823696)	(7.0, 0.15096674980777525)	(8.0, 0.15002906813195055)	(9.0, 0.11814789115391106)	('>10', 3.736661478161394)	('>50', 6.124936706486881)	('>100', 28.046996605592334)	('>500', 24.48849464583763)	('>1k', 30.371509479961745)	('>5k', 0.0)	('>10k+', 0.0)
036R_L_M_NS1_week5_S42_L001_R2_001	(1.0, 9.775331470472404)	(2.0, 2.021641693078034)	(3.0, 1.1392832361269998)	(4.0, 0.6976351668135702)	(5.0, 0.5954278641486788)	(6.0, 0.5176002850552295)	(7.0, 0.47915533634641716)	(8.0, 0.652626446373985)	(9.0, 0.5232263751101777)	('>10', 10.42795791684639)	('>50', 6.775687789509218)	('>100', 26.587963918009116)	('>500', 10.313560752395777)	('>1k', 29.492901749714008)	('>5k', 0.0)	('>10k+', 0.0)
