Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
016R_R_F_NS6_week5_S1_L001_R1_001	94.55414927219314	49.0	301.0	301	36.36363636363637	0.090546
016R_R_F_NS6_week5_S1_L001_R2_001	86.42789300466062	51.0	301.0	301	54.54545454545454	0.090546
036R_0_M_NS1_S62_L001_R1_001	94.1391124536258	50.0	301.0	301	45.45454545454545	0.09865399999999999
036R_0_M_NS1_S62_L001_R2_001	84.91292801102844	51.0	301.0	301	54.54545454545454	0.09865399999999999
036R_0_M_NS1_week5_S41_L001_R1_001	94.56743785981683	50.0	301.0	301	36.36363636363637	0.102309
036R_0_M_NS1_week5_S41_L001_R2_001	87.34226705372939	51.0	301.0	301	54.54545454545454	0.102309
036R_L_M_NS1_S63_L001_R1_001	94.19833322280434	50.0	301.0	301	36.36363636363637	0.090474
036R_L_M_NS1_S63_L001_R2_001	84.7259986294405	52.0	301.0	301	54.54545454545454	0.090474
036R_L_M_NS1_week5_S42_L001_R1_001	94.57363614200251	50.0	301.0	301	45.45454545454545	0.10664599999999999
036R_L_M_NS1_week5_S42_L001_R2_001	87.4978902162294	51.0	301.0	301	54.54545454545454	0.10664599999999999
036R_NS1_week18_S34_L001_R1_001	95.02757298607416	49.0	301.0	301	45.45454545454545	0.11841299999999999
036R_NS1_week18_S34_L001_R2_001	88.6684739006697	51.0	301.0	301	54.54545454545454	0.11841299999999999
036R_RL_M_NS1_S64_L001_R1_001	93.4336223456726	50.0	301.0	301	45.45454545454545	0.077044
036R_RL_M_NS1_S64_L001_R2_001	84.00524375681428	52.0	301.0	301	54.54545454545454	0.077044
036R_RL_M_NS1_week5_S43_L001_R1_001	94.46145608486856	50.0	301.0	301	45.45454545454545	0.119526
036R_RL_M_NS1_week5_S43_L001_R2_001	86.79952478958553	51.0	301.0	301	54.54545454545454	0.119526
036R_RR_M_NS1_S65_L001_R1_001	94.50000877331509	50.0	301.0	301	36.36363636363637	0.113982
036R_RR_M_NS1_S65_L001_R2_001	88.9605376287484	52.0	301.0	301	54.54545454545454	0.113982
036R_RR_M_NS1_week5_S44_L001_R1_001	94.81436302964022	50.0	301.0	301	36.36363636363637	0.142644
036R_RR_M_NS1_week5_S44_L001_R2_001	88.44816466167522	52.0	301.0	301	54.54545454545454	0.142644
1030R_RR_M_NS1_week5_S45_L001_R1_001	95.12508934953539	50.0	301.0	301	45.45454545454545	0.132905
1030R_RR_M_NS1_week5_S45_L001_R2_001	88.36537376321432	52.0	301.0	301	54.54545454545454	0.132905
1030R_RR_M_NS1_week9_S66_L001_R1_001	94.2376147254196	50.0	301.0	301	45.45454545454545	0.098605
1030R_RR_M_NS1_week9_S66_L001_R2_001	88.54723391308757	52.0	301.0	301	54.54545454545454	0.098605
1060R_L_M_S5_week5_S12_L001_R1_001	94.34757674236099	51.0	301.0	301	45.45454545454545	0.099391
1060R_L_M_S5_week5_S12_L001_R2_001	88.24340232012959	53.0	301.0	301	54.54545454545454	0.099391
1075R_0_M_NS6_week5_S2_L001_R1_001	93.7647190759224	50.0	301.0	301	45.45454545454545	0.08025299999999999
1075R_0_M_NS6_week5_S2_L001_R2_001	85.70396122263342	51.0	301.0	301	54.54545454545454	0.08025299999999999
1075R_RL_M_NS6_week5_S3_L001_R1_001	94.37709442144687	50.0	301.0	301	45.45454545454545	0.10146
1075R_RL_M_NS6_week5_S3_L001_R2_001	86.46560220776661	51.0	301.0	301	54.54545454545454	0.10146
1076R_0_M_S5_week5_S13_L001_R1_001	94.44226530688483	51.0	301.0	301	45.45454545454545	0.10707599999999999
