Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
016R_R_F_NS6_week5_S1_L001_R1_001	(16.0, 2.0)	(17.0, 2.0)	(18.0, 5.0)	(19.0, 15.0)	(20.0, 58.0)	(21.0, 151.0)	(22.0, 268.0)	(23.0, 347.0)	(24.0, 465.0)	(25.0, 564.0)	(26.0, 740.0)	(27.0, 850.0)	(28.0, 1016.0)	(29.0, 1141.0)	(30.0, 1389.0)	(31.0, 1680.0)	(32.0, 2106.0)	(33.0, 2871.0)	(34.0, 4121.0)	(35.0, 6879.0)	(36.0, 15316.0)	(37.0, 50560.0)													
016R_R_F_NS6_week5_S1_L001_R2_001	(11.0, 2.0)	(12.0, 17.0)	(13.0, 109.0)	(14.0, 264.0)	(15.0, 497.0)	(16.0, 525.0)	(17.0, 469.0)	(18.0, 376.0)	(19.0, 414.0)	(20.0, 419.0)	(21.0, 487.0)	(22.0, 507.0)	(23.0, 617.0)	(24.0, 674.0)	(25.0, 866.0)	(26.0, 1128.0)	(27.0, 1480.0)	(28.0, 1965.0)	(29.0, 2757.0)	(30.0, 4020.0)	(31.0, 5634.0)	(32.0, 8048.0)	(33.0, 10839.0)	(34.0, 14403.0)	(35.0, 16684.0)	(36.0, 16168.0)	(37.0, 1177.0)								
036R_0_M_NS1_S62_L001_R1_001	(17.0, 1.0)	(18.0, 4.0)	(19.0, 16.0)	(20.0, 72.0)	(21.0, 171.0)	(22.0, 327.0)	(23.0, 423.0)	(24.0, 489.0)	(25.0, 675.0)	(26.0, 814.0)	(27.0, 968.0)	(28.0, 1097.0)	(29.0, 1326.0)	(30.0, 1603.0)	(31.0, 1913.0)	(32.0, 2400.0)	(33.0, 3260.0)	(34.0, 4495.0)	(35.0, 7715.0)	(36.0, 16286.0)	(37.0, 54599.0)														
036R_0_M_NS1_S62_L001_R2_001	(7.0, 1.0)	(8.0, 1.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 3.0)	(12.0, 24.0)	(13.0, 156.0)	(14.0, 497.0)	(15.0, 822.0)	(16.0, 760.0)	(17.0, 629.0)	(18.0, 521.0)	(19.0, 520.0)	(20.0, 544.0)	(21.0, 585.0)	(22.0, 659.0)	(23.0, 742.0)	(24.0, 865.0)	(25.0, 977.0)	(26.0, 1254.0)	(27.0, 1658.0)	(28.0, 2172.0)	(29.0, 3125.0)	(30.0, 4259.0)	(31.0, 6066.0)	(32.0, 8437.0)	(33.0, 11580.0)	(34.0, 14786.0)	(35.0, 17161.0)	(36.0, 17989.0)	(37.0, 1860.0)				
036R_0_M_NS1_week5_S41_L001_R1_001	(17.0, 2.0)	(18.0, 11.0)	(19.0, 24.0)	(20.0, 75.0)	(21.0, 184.0)	(22.0, 276.0)	(23.0, 380.0)	(24.0, 491.0)	(25.0, 615.0)	(26.0, 758.0)	(27.0, 880.0)	(28.0, 1144.0)	(29.0, 1293.0)	(30.0, 1630.0)	(31.0, 1952.0)	(32.0, 2460.0)	(33.0, 3170.0)	(34.0, 4593.0)	(35.0, 7596.0)	(36.0, 16584.0)	(37.0, 58191.0)														
036R_0_M_NS1_week5_S41_L001_R2_001	(9.0, 1.0)	(10.0, 0.0)	(11.0, 3.0)	(12.0, 6.0)	(13.0, 47.0)	(14.0, 186.0)	(15.0, 377.0)	(16.0, 450.0)	(17.0, 473.0)	(18.0, 392.0)	(19.0, 422.0)	(20.0, 449.0)	(21.0, 526.0)	(22.0, 586.0)	(23.0, 694.0)	(24.0, 793.0)	(25.0, 919.0)	(26.0, 1161.0)	(27.0, 1640.0)	(28.0, 2251.0)	(29.0, 3183.0)	(30.0, 4534.0)	(31.0, 6416.0)	(32.0, 8904.0)	(33.0, 12164.0)	(34.0, 15990.0)	(35.0, 19170.0)	(36.0, 18993.0)	(37.0, 1579.0)						
036R_L_M_NS1_S63_L001_R1_001	(16.0, 1.0)	(17.0, 1.0)	(18.0, 14.0)	(19.0, 17.0)	(20.0, 63.0)	(21.0, 142.0)	(22.0, 229.0)	(23.0, 330.0)	(24.0, 450.0)	(25.0, 583.0)	(26.0, 701.0)	(27.0, 827.0)	(28.0, 996.0)	(29.0, 1189.0)	(30.0, 1471.0)	(31.0, 1715.0)	(32.0, 2190.0)	(33.0, 2914.0)	(34.0, 4179.0)	(35.0, 6922.0)	(36.0, 15262.0)	(37.0, 50278.0)													
036R_L_M_NS1_S63_L001_R2_001	(7.0, 1.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 3.0)	(12.0, 30.0)	(13.0, 132.0)	(14.0, 419.0)	(15.0, 711.0)	(16.0, 721.0)	(17.0, 607.0)	(18.0, 534.0)	(19.0, 522.0)	(20.0, 465.0)	(21.0, 546.0)	(22.0, 591.0)	(23.0, 682.0)	(24.0, 808.0)	(25.0, 895.0)	(26.0, 1216.0)	(27.0, 1596.0)	(28.0, 2162.0)	(29.0, 2922.0)	(30.0, 4179.0)	(31.0, 5702.0)	(32.0, 8017.0)	(33.0, 10849.0)	(34.0, 13817.0)	(35.0, 15473.0)	(36.0, 15385.0)	(37.0, 1489.0)				
036R_L_M_NS1_week5_S42_L001_R1_001	(17.0, 1.0)	(18.0, 6.0)	(19.0, 25.0)	(20.0, 75.0)	(21.0, 153.0)	(22.0, 245.0)	(23.0, 372.0)	(24.0, 500.0)	(25.0, 657.0)	(26.0, 706.0)	(27.0, 872.0)	(28.0, 1128.0)	(29.0, 1310.0)	(30.0, 1554.0)	(31.0, 2035.0)	(32.0, 2454.0)	(33.0, 3278.0)	(34.0, 4675.0)	(35.0, 7870.0)	(36.0, 17286.0)	(37.0, 61444.0)														
036R_L_M_NS1_week5_S42_L001_R2_001	(11.0, 2.0)	(12.0, 18.0)	(13.0, 74.0)	(14.0, 227.0)	(15.0, 476.0)	(16.0, 535.0)	(17.0, 505.0)	(18.0, 392.0)	(19.0, 450.0)	(20.0, 484.0)	(21.0, 475.0)	(22.0, 630.0)	(23.0, 667.0)	(24.0, 797.0)	(25.0, 967.0)	(26.0, 1236.0)	(27.0, 1605.0)	(28.0, 2307.0)	(29.0, 3127.0)	(30.0, 4822.0)	(31.0, 6671.0)	(32.0, 9342.0)	(33.0, 13048.0)	(34.0, 17039.0)	(35.0, 19763.0)	(36.0, 19434.0)	(37.0, 1553.0)								
036R_NS1_week18_S34_L001_R1_001	(16.0, 2.0)	(17.0, 0.0)	(18.0, 3.0)	(19.0, 21.0)	(20.0, 64.0)	(21.0, 120.0)	(22.0, 214.0)	(23.0, 326.0)	(24.0, 504.0)	(25.0, 554.0)	(26.0, 696.0)	(27.0, 882.0)	(28.0, 1100.0)	(29.0, 1348.0)	(30.0, 1626.0)	(31.0, 2042.0)	(32.0, 2618.0)	(33.0, 3407.0)	(34.0, 5002.0)	(35.0, 8270.0)	(36.0, 18460.0)	(37.0, 71154.0)													
036R_NS1_week18_S34_L001_R2_001	(11.0, 2.0)	(12.0, 21.0)	(13.0, 108.0)	(14.0, 296.0)	(15.0, 466.0)	(16.0, 468.0)	(17.0, 396.0)	(18.0, 368.0)	(19.0, 358.0)	(20.0, 448.0)	(21.0, 462.0)	(22.0, 609.0)	(23.0, 632.0)	(24.0, 799.0)	(25.0, 970.0)	(26.0, 1129.0)	(27.0, 1503.0)	(28.0, 2056.0)	(29.0, 3075.0)	(30.0, 4450.0)	(31.0, 6557.0)	(32.0, 9479.0)	(33.0, 13764.0)	(34.0, 18660.0)	(35.0, 23213.0)	(36.0, 25575.0)	(37.0, 2549.0)								
036R_RL_M_NS1_S64_L001_R1_001	(16.0, 1.0)	(17.0, 3.0)	(18.0, 4.0)	(19.0, 23.0)	(20.0, 55.0)	(21.0, 131.0)	(22.0, 210.0)	(23.0, 266.0)	(24.0, 381.0)	(25.0, 489.0)	(26.0, 604.0)	(27.0, 652.0)	(28.0, 802.0)	(29.0, 975.0)	(30.0, 1229.0)	(31.0, 1420.0)	(32.0, 1866.0)	(33.0, 2435.0)	(34.0, 3499.0)	(35.0, 5734.0)	(36.0, 12761.0)	(37.0, 43504.0)													
036R_RL_M_NS1_S64_L001_R2_001	(5.0, 1.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 30.0)	(13.0, 147.0)	(14.0, 419.0)	(15.0, 616.0)	(16.0, 596.0)	(17.0, 456.0)	(18.0, 406.0)	(19.0, 415.0)	(20.0, 406.0)	(21.0, 469.0)	(22.0, 504.0)	(23.0, 590.0)	(24.0, 709.0)	(25.0, 810.0)	(26.0, 1052.0)	(27.0, 1426.0)	(28.0, 1967.0)	(29.0, 2620.0)	(30.0, 3747.0)	(31.0, 5252.0)	(32.0, 7192.0)	(33.0, 9598.0)	(34.0, 11758.0)	(35.0, 12893.0)	(36.0, 12060.0)	(37.0, 904.0)		
036R_RL_M_NS1_week5_S43_L001_R1_001	(17.0, 1.0)	(18.0, 11.0)	(19.0, 31.0)	(20.0, 77.0)	(21.0, 222.0)	(22.0, 341.0)	(23.0, 466.0)	(24.0, 586.0)	(25.0, 758.0)	(26.0, 865.0)	(27.0, 1084.0)	(28.0, 1292.0)	(29.0, 1553.0)	(30.0, 1846.0)	(31.0, 2273.0)	(32.0, 2881.0)	(33.0, 3828.0)	(34.0, 5385.0)	(35.0, 9235.0)	(36.0, 20382.0)	(37.0, 66409.0)														
036R_RL_M_NS1_week5_S43_L001_R2_001	(11.0, 3.0)	(12.0, 16.0)	(13.0, 82.0)	(14.0, 238.0)	(15.0, 478.0)	(16.0, 693.0)	(17.0, 602.0)	(18.0, 592.0)	(19.0, 611.0)	(20.0, 640.0)	(21.0, 684.0)	(22.0, 756.0)	(23.0, 922.0)	(24.0, 1091.0)	(25.0, 1401.0)	(26.0, 1727.0)	(27.0, 2376.0)	(28.0, 3364.0)	(29.0, 4890.0)	(30.0, 7066.0)	(31.0, 9893.0)	(32.0, 13691.0)	(33.0, 17646.0)	(34.0, 19881.0)	(35.0, 19328.0)	(36.0, 10589.0)	(37.0, 266.0)								
036R_RR_M_NS1_S65_L001_R1_001	(18.0, 7.0)	(19.0, 20.0)	(20.0, 86.0)	(21.0, 195.0)	(22.0, 290.0)	(23.0, 416.0)	(24.0, 571.0)	(25.0, 756.0)	(26.0, 910.0)	(27.0, 1114.0)	(28.0, 1263.0)	(29.0, 1427.0)	(30.0, 1749.0)	(31.0, 2141.0)	(32.0, 2681.0)	(33.0, 3454.0)	(34.0, 5176.0)	(35.0, 8350.0)	(36.0, 18762.0)	(37.0, 64614.0)															
036R_RR_M_NS1_S65_L001_R2_001	(11.0, 3.0)	(12.0, 10.0)	(13.0, 38.0)	(14.0, 176.0)	(15.0, 358.0)	(16.0, 460.0)	(17.0, 423.0)	(18.0, 411.0)	(19.0, 397.0)	(20.0, 445.0)	(21.0, 561.0)	(22.0, 603.0)	(23.0, 693.0)	(24.0, 844.0)	(25.0, 1111.0)	(26.0, 1409.0)	(27.0, 1862.0)	(28.0, 2664.0)	(29.0, 3628.0)	(30.0, 5289.0)	(31.0, 7411.0)	(32.0, 10580.0)	(33.0, 14171.0)	(34.0, 17934.0)	(35.0, 20583.0)	(36.0, 20295.0)	(37.0, 1623.0)								
036R_RR_M_NS1_week5_S44_L001_R1_001	(17.0, 2.0)	(18.0, 17.0)	(19.0, 37.0)	(20.0, 109.0)	(21.0, 262.0)	(22.0, 403.0)	(23.0, 521.0)	(24.0, 745.0)	(25.0, 940.0)	(26.0, 1168.0)	(27.0, 1347.0)	(28.0, 1563.0)	(29.0, 1808.0)	(30.0, 2304.0)	(31.0, 2802.0)	(32.0, 3332.0)	(33.0, 4586.0)	(34.0, 6335.0)	(35.0, 10711.0)	(36.0, 23494.0)	(37.0, 80158.0)														
036R_RR_M_NS1_week5_S44_L001_R2_001	(9.0, 1.0)	(10.0, 0.0)	(11.0, 2.0)	(12.0, 22.0)	(13.0, 94.0)	(14.0, 302.0)	(15.0, 614.0)	(16.0, 694.0)	(17.0, 649.0)	(18.0, 559.0)	(19.0, 619.0)	(20.0, 556.0)	(21.0, 606.0)	(22.0, 719.0)	(23.0, 874.0)	(24.0, 1091.0)	(25.0, 1298.0)	(26.0, 1620.0)	(27.0, 2134.0)	(28.0, 2989.0)	(29.0, 4251.0)	(30.0, 6285.0)	(31.0, 8676.0)	(32.0, 12612.0)	(33.0, 17464.0)	(34.0, 22273.0)	(35.0, 26038.0)	(36.0, 26875.0)	(37.0, 2727.0)						
1030R_RR_M_NS1_week5_S45_L001_R1_001	(16.0, 1.0)	(17.0, 4.0)	(18.0, 8.0)	(19.0, 23.0)	(20.0, 73.0)	(21.0, 208.0)	(22.0, 359.0)	(23.0, 473.0)	(24.0, 640.0)	(25.0, 814.0)	(26.0, 991.0)	(27.0, 1194.0)	(28.0, 1398.0)	(29.0, 1655.0)	(30.0, 1929.0)	(31.0, 2527.0)	(32.0, 3109.0)	(33.0, 3963.0)	(34.0, 5837.0)	(35.0, 9584.0)	(36.0, 21342.0)	(37.0, 76773.0)													
1030R_RR_M_NS1_week5_S45_L001_R2_001	(11.0, 3.0)	(12.0, 22.0)	(13.0, 65.0)	(14.0, 248.0)	(15.0, 544.0)	(16.0, 657.0)	(17.0, 605.0)	(18.0, 574.0)	(19.0, 552.0)	(20.0, 594.0)	(21.0, 653.0)	(22.0, 775.0)	(23.0, 841.0)	(24.0, 1027.0)	(25.0, 1222.0)	(26.0, 1518.0)	(27.0, 2062.0)	(28.0, 2802.0)	(29.0, 4030.0)	(30.0, 5651.0)	(31.0, 7997.0)	(32.0, 11289.0)	(33.0, 15609.0)	(34.0, 20417.0)	(35.0, 24014.0)	(36.0, 25917.0)	(37.0, 3217.0)								
1030R_RR_M_NS1_week9_S66_L001_R1_001	(18.0, 4.0)	(19.0, 20.0)	(20.0, 59.0)	(21.0, 147.0)	(22.0, 268.0)	(23.0, 400.0)	(24.0, 454.0)	(25.0, 609.0)	(26.0, 716.0)	(27.0, 944.0)	(28.0, 1104.0)	(29.0, 1318.0)	(30.0, 1524.0)	(31.0, 1806.0)	(32.0, 2489.0)	(33.0, 3161.0)	(34.0, 4606.0)	(35.0, 7709.0)	(36.0, 16632.0)	(37.0, 54635.0)															
1030R_RR_M_NS1_week9_S66_L001_R2_001	(10.0, 1.0)	(11.0, 2.0)	(12.0, 10.0)	(13.0, 59.0)	(14.0, 188.0)	(15.0, 352.0)	(16.0, 432.0)	(17.0, 394.0)	(18.0, 396.0)	(19.0, 374.0)	(20.0, 434.0)	(21.0, 422.0)	(22.0, 509.0)	(23.0, 599.0)	(24.0, 685.0)	(25.0, 924.0)	(26.0, 1241.0)	(27.0, 1617.0)	(28.0, 2341.0)	(29.0, 3333.0)	(30.0, 4747.0)	(31.0, 6813.0)	(32.0, 9515.0)	(33.0, 12495.0)	(34.0, 15878.0)	(35.0, 17756.0)	(36.0, 15891.0)	(37.0, 1197.0)							
1060R_L_M_S5_week5_S12_L001_R1_001	(15.0, 1.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 17.0)	(19.0, 29.0)	(20.0, 78.0)	(21.0, 185.0)	(22.0, 329.0)	(23.0, 424.0)	(24.0, 629.0)	(25.0, 782.0)	(26.0, 935.0)	(27.0, 1078.0)	(28.0, 1411.0)	(29.0, 1437.0)	(30.0, 1759.0)	(31.0, 2081.0)	(32.0, 2696.0)	(33.0, 3319.0)	(34.0, 4670.0)	(35.0, 7564.0)	(36.0, 16577.0)	(37.0, 53389.0)												
1060R_L_M_S5_week5_S12_L001_R2_001	(11.0, 2.0)	(12.0, 30.0)	(13.0, 106.0)	(14.0, 297.0)	(15.0, 470.0)	(16.0, 448.0)	(17.0, 396.0)	(18.0, 372.0)	(19.0, 424.0)	(20.0, 398.0)	(21.0, 518.0)	(22.0, 563.0)	(23.0, 698.0)	(24.0, 798.0)	(25.0, 1039.0)	(26.0, 1295.0)	(27.0, 1929.0)	(28.0, 2725.0)	(29.0, 3935.0)	(30.0, 5517.0)	(31.0, 7663.0)	(32.0, 10021.0)	(33.0, 12745.0)	(34.0, 15552.0)	(35.0, 16412.0)	(36.0, 13637.0)	(37.0, 1401.0)								
1075R_0_M_NS6_week5_S2_L001_R1_001	(17.0, 1.0)	(18.0, 5.0)	(19.0, 15.0)	(20.0, 35.0)	(21.0, 136.0)	(22.0, 252.0)	(23.0, 363.0)	(24.0, 452.0)	(25.0, 546.0)	(26.0, 668.0)	(27.0, 777.0)	(28.0, 893.0)	(29.0, 1094.0)	(30.0, 1377.0)	(31.0, 1595.0)	(32.0, 2120.0)	(33.0, 2683.0)	(34.0, 3832.0)	(35.0, 6567.0)	(36.0, 13981.0)	(37.0, 42861.0)														
1075R_0_M_NS6_week5_S2_L001_R2_001	(11.0, 7.0)	(12.0, 19.0)	(13.0, 113.0)	(14.0, 305.0)	(15.0, 472.0)	(16.0, 478.0)	(17.0, 414.0)	(18.0, 371.0)	(19.0, 357.0)	(20.0, 388.0)	(21.0, 412.0)	(22.0, 462.0)	(23.0, 550.0)	(24.0, 630.0)	(25.0, 797.0)	(26.0, 1001.0)	(27.0, 1256.0)	(28.0, 1767.0)	(29.0, 2567.0)	(30.0, 3753.0)	(31.0, 5369.0)	(32.0, 7692.0)	(33.0, 10403.0)	(34.0, 13169.0)	(35.0, 14813.0)	(36.0, 12114.0)	(37.0, 574.0)								
1075R_RL_M_NS6_week5_S3_L001_R1_001	(16.0, 1.0)	(17.0, 5.0)	(18.0, 4.0)	(19.0, 24.0)	(20.0, 57.0)	(21.0, 168.0)	(22.0, 249.0)	(23.0, 355.0)	(24.0, 549.0)	(25.0, 614.0)	(26.0, 782.0)	(27.0, 807.0)	(28.0, 1099.0)	(29.0, 1293.0)	(30.0, 1616.0)	(31.0, 1894.0)	(32.0, 2393.0)	(33.0, 3220.0)	(34.0, 4528.0)	(35.0, 7838.0)	(36.0, 17010.0)	(37.0, 56954.0)													
1075R_RL_M_NS6_week5_S3_L001_R2_001	(3.0, 1.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 3.0)	(12.0, 17.0)	(13.0, 128.0)	(14.0, 329.0)	(15.0, 590.0)	(16.0, 637.0)	(17.0, 506.0)	(18.0, 463.0)	(19.0, 460.0)	(20.0, 485.0)	(21.0, 560.0)	(22.0, 620.0)	(23.0, 645.0)	(24.0, 846.0)	(25.0, 968.0)	(26.0, 1203.0)	(27.0, 1488.0)	(28.0, 2108.0)	(29.0, 2973.0)	(30.0, 4372.0)	(31.0, 6202.0)	(32.0, 8852.0)	(33.0, 12281.0)	(34.0, 16225.0)	(35.0, 18879.0)	(36.0, 18141.0)	(37.0, 1478.0)
1076R_0_M_S5_week5_S13_L001_R1_001	(16.0, 1.0)	(17.0, 6.0)	(18.0, 10.0)	(19.0, 37.0)	(20.0, 99.0)	(21.0, 245.0)	(22.0, 393.0)	(23.0, 490.0)	(24.0, 652.0)	(25.0, 782.0)	(26.0, 1011.0)	(27.0, 1122.0)	(28.0, 1332.0)	(29.0, 1553.0)	(30.0, 1781.0)	(31.0, 2147.0)	(32.0, 2711.0)	(33.0, 3521.0)	(34.0, 5136.0)	(35.0, 8270.0)	(36.0, 17674.0)	(37.0, 58103.0)													
1076R_0_M_S5_week5_S13_L001_R2_001	(8.0, 3.0)	(9.0, 2.0)	(10.0, 1.0)	(11.0, 4.0)	(12.0, 24.0)	(13.0, 106.0)	(14.0, 281.0)	(15.0, 495.0)	(16.0, 499.0)	(17.0, 462.0)	(18.0, 414.0)	(19.0, 419.0)	(20.0, 527.0)	(21.0, 588.0)	(22.0, 661.0)	(23.0, 735.0)	(24.0, 930.0)	(25.0, 1106.0)	(26.0, 1445.0)	(27.0, 1913.0)	(28.0, 2794.0)	(29.0, 3934.0)	(30.0, 5689.0)	(31.0, 7816.0)	(32.0, 10585.0)	(33.0, 13599.0)	(34.0, 16676.0)	(35.0, 18262.0)	(36.0, 15415.0)	(37.0, 1691.0)					
1121R_L_M_NS1_week5_S46_L001_R1_001	(16.0, 2.0)	(17.0, 3.0)	(18.0, 15.0)	(19.0, 28.0)	(20.0, 95.0)	(21.0, 235.0)	(22.0, 393.0)	(23.0, 564.0)	(24.0, 704.0)	(25.0, 880.0)	(26.0, 1099.0)	(27.0, 1227.0)	(28.0, 1446.0)	(29.0, 1764.0)	(30.0, 2061.0)	(31.0, 2427.0)	(32.0, 3148.0)	(33.0, 4046.0)	(34.0, 5850.0)	(35.0, 9680.0)	(36.0, 20531.0)	(37.0, 68360.0)													
1121R_L_M_NS1_week5_S46_L001_R2_001	(11.0, 3.0)	(12.0, 16.0)	(13.0, 92.0)	(14.0, 275.0)	(15.0, 558.0)	(16.0, 616.0)	(17.0, 563.0)	(18.0, 540.0)	(19.0, 528.0)	(20.0, 540.0)	(21.0, 635.0)	(22.0, 685.0)	(23.0, 884.0)	(24.0, 979.0)	(25.0, 1255.0)	(26.0, 1616.0)	(27.0, 2237.0)	(28.0, 3089.0)	(29.0, 4267.0)	(30.0, 6143.0)	(31.0, 8450.0)	(32.0, 11409.0)	(33.0, 15085.0)	(34.0, 19120.0)	(35.0, 21506.0)	(36.0, 21167.0)	(37.0, 2300.0)								
1121R_L_M_NS1_week9_S67_L001_R1_001	(18.0, 10.0)	(19.0, 22.0)	(20.0, 75.0)	(21.0, 162.0)	(22.0, 250.0)	(23.0, 403.0)	(24.0, 539.0)	(25.0, 620.0)	(26.0, 795.0)	(27.0, 945.0)	(28.0, 1168.0)	(29.0, 1378.0)	(30.0, 1637.0)	(31.0, 2029.0)	(32.0, 2520.0)	(33.0, 3250.0)	(34.0, 4647.0)	(35.0, 7545.0)	(36.0, 16911.0)	(37.0, 57747.0)															
