Sample	Unique Reads	Duplicate Reads
016R_R_F_NS6_week5_S1_L001_R1_001	4931.0	85615.0
016R_R_F_NS6_week5_S1_L001_R2_001	12289.0	78257.0
036R_0_M_NS1_S62_L001_R1_001	5783.0	92871.0
036R_0_M_NS1_S62_L001_R2_001	14884.0	83770.0
036R_0_M_NS1_week5_S41_L001_R1_001	5558.0	96751.0
036R_0_M_NS1_week5_S41_L001_R2_001	12950.0	89359.0
036R_L_M_NS1_S63_L001_R1_001	5250.0	85224.0
036R_L_M_NS1_S63_L001_R2_001	13819.0	76655.0
036R_L_M_NS1_week5_S42_L001_R1_001	5787.0	100859.0
036R_L_M_NS1_week5_S42_L001_R2_001	13333.0	93313.0
036R_NS1_week18_S34_L001_R1_001	5888.0	112525.0
036R_NS1_week18_S34_L001_R2_001	13418.0	104995.0
036R_RL_M_NS1_S64_L001_R1_001	5059.0	71985.0
036R_RL_M_NS1_S64_L001_R2_001	12323.0	64721.0
036R_RL_M_NS1_week5_S43_L001_R1_001	6621.0	112905.0
036R_RL_M_NS1_week5_S43_L001_R2_001	15778.0	103748.0
036R_RR_M_NS1_S65_L001_R1_001	6269.0	107713.0
036R_RR_M_NS1_S65_L001_R2_001	12583.0	101399.0
036R_RR_M_NS1_week5_S44_L001_R1_001	7397.0	135247.0
036R_RR_M_NS1_week5_S44_L001_R2_001	16478.0	126166.0
1030R_RR_M_NS1_week5_S45_L001_R1_001	6479.0	126426.0
1030R_RR_M_NS1_week5_S45_L001_R2_001	15464.0	117441.0
1030R_RR_M_NS1_week9_S66_L001_R1_001	5682.0	92923.0
1030R_RR_M_NS1_week9_S66_L001_R2_001	11294.0	87311.0
1060R_L_M_S5_week5_S12_L001_R1_001	5618.0	93773.0
1060R_L_M_S5_week5_S12_L001_R2_001	11685.0	87706.0
1075R_0_M_NS6_week5_S2_L001_R1_001	5004.0	75249.0
1075R_0_M_NS6_week5_S2_L001_R2_001	11473.0	68780.0
1075R_RL_M_NS6_week5_S3_L001_R1_001	5705.0	95755.0
1075R_RL_M_NS6_week5_S3_L001_R2_001	13732.0	87728.0
1076R_0_M_S5_week5_S13_L001_R1_001	5951.0	101125.0
1076R_0_M_S5_week5_S13_L001_R2_001	12889.0	94187.0
1121R_L_M_NS1_week5_S46_L001_R1_001	6695.0	117863.0
1121R_L_M_NS1_week5_S46_L001_R2_001	15293.0	109265.0
1121R_L_M_NS1_week9_S67_L001_R1_001	5672.0	96981.0
1121R_L_M_NS1_week9_S67_L001_R2_001	11805.0	90848.0
1121R_NS1_week19_S35_L001_R1_001	5353.0	89758.0
1121R_NS1_week19_S35_L001_R2_001	11465.0	83646.0
1121R_RL_M_NS1_diabetes_S23_L001_R1_001	7474.0	130922.0
1121R_RL_M_NS1_diabetes_S23_L001_R2_001	15857.0	122539.0
1121R_RL_M_NS1_week5_S48_L001_R1_001	6633.0	113065.0
1121R_RL_M_NS1_week5_S48_L001_R2_001	14486.0	105212.0
1121R_RL_M_NS1_week9_S69_L001_R1_001	7101.0	126232.0
1121R_RL_M_NS1_week9_S69_L001_R2_001	14320.0	119013.0
1121R_RR_M_NS1_week5_S49_L001_R1_001	4724.0	80242.0
1121R_RR_M_NS1_week5_S49_L001_R2_001	11759.0	73207.0
1121R_RR_M_NS1_week9_S70_L001_R1_001	7127.0	120279.0
1121R_RR_M_NS1_week9_S70_L001_R2_001	14451.0	112955.0
1121R_R_M_NS1_week5_S47_L001_R1_001	5397.0	89355.0
1121R_R_M_NS1_week5_S47_L001_R2_001	12202.0	82550.0
1121R_R_M_NS1_week9_S68_L001_R1_001	6271.0	103343.0
1121R_R_M_NS1_week9_S68_L001_R2_001	12100.0	97514.0
1136R_0_F_S5_week5_S14_L001_R1_001	5190.0	82157.0
1136R_0_F_S5_week5_S14_L001_R2_001	11026.0	76321.0
1151R_0_M_NS1_week5_S50_L001_R1_001	4888.0	93719.0
1151R_0_M_NS1_week5_S50_L001_R2_001	12530.0	86077.0
1151R_0_M_NS1_week9_S71_L001_R1_001	6341.0	109032.0
1151R_0_M_NS1_week9_S71_L001_R2_001	13040.0	102333.0
