S_NS6_Pm_056_1	1.6.5.3
S_NS6_Pm_056_2	3.6.4.12
S_NS6_Pm_056_3	3.6.4.12
S_NS6_Pm_056_4	3.6.4.12
S_NS6_Pm_056_5	3.6.4.12
S_NS6_Pm_056_6	3.6.4.12
S_NS6_Pm_056_7	3.6.4.12
S_NS6_Pm_056_8	3.6.4.12
S_NS6_Pm_056_9	3.6.4.12
S_NS6_Pm_056_10	3.6.4.12
S_NS6_Pm_056_11	3.6.4.12
S_NS6_Pm_056_12	3.6.4.12
S_NS6_Pm_056_13	3.6.4.12
S_NS6_Pm_056_14	3.6.4.12
S_NS6_Pm_056_15	3.6.4.12
S_NS6_Pm_056_16	3.6.4.12
S_NS6_Pm_056_17	3.6.4.12
S_NS6_Pm_056_18	3.6.4.12
S_NS6_Pm_056_19	3.6.4.12
S_NS6_Pm_056_20	3.2.1.23
S_NS6_Pm_056_21	3.2.1.23
S_NS6_Pm_056_22	3.2.1.23
S_NS6_Pm_056_23	3.2.1.23
S_NS6_Pm_056_24	3.2.1.23
S_NS6_Pm_056_25	3.2.1.23
S_NS6_Pm_056_26	3.2.1.23
S_NS6_Pm_056_27	3.2.1.23
S_NS6_Pm_056_28	3.2.1.23
S_NS6_Pm_056_29	3.2.1.23
S_NS6_Pm_056_30	3.2.1.23
S_NS6_Pm_056_31	3.2.1.23
S_NS6_Pm_056_32	3.2.1.52
S_NS6_Pm_056_33	3.2.1.52
S_NS6_Pm_056_34	3.2.1.52
S_NS6_Pm_056_35	3.2.1.52
S_NS6_Pm_056_36	3.2.1.52
S_NS6_Pm_056_37	3.2.1.52
S_NS6_Pm_056_38	3.2.1.52
S_NS6_Pm_056_39	3.2.1.52
S_NS6_Pm_056_40	3.2.1.52
S_NS6_Pm_056_41	3.2.1.52
S_NS6_Pm_056_42	2.7.7.7
S_NS6_Pm_056_43	2.7.7.7
S_NS6_Pm_056_44	2.7.7.7
S_NS6_Pm_056_45	2.7.7.7
