S_S2_Ca_088_1	1.6.5.3
S_S2_Ca_088_2	3.6.4.12
S_S2_Ca_088_3	3.6.4.12
S_S2_Ca_088_4	3.6.4.12
S_S2_Ca_088_5	3.6.4.12
S_S2_Ca_088_6	3.6.4.12
S_S2_Ca_088_7	3.6.4.12
S_S2_Ca_088_8	3.6.4.12
S_S2_Ca_088_9	3.6.4.12
S_S2_Ca_088_10	3.6.4.12
S_S2_Ca_088_11	3.6.4.12
S_S2_Ca_088_12	2.7.7.7
S_S2_Ca_088_13	2.7.7.7
S_S2_Ca_088_14	2.7.7.7
S_S2_Ca_088_15	2.7.7.7
S_S2_Ca_088_16	2.7.7.7
S_S2_Ca_088_17	2.7.7.7
S_S2_Ca_088_18	2.7.7.7
S_S2_Ca_088_19	2.1.1.72
S_S2_Ca_088_20	2.1.1.72
S_S2_Ca_088_21	2.1.1.72
S_S2_Ca_088_22	2.1.1.72
S_S2_Ca_088_23	5.2.1.8
S_S2_Ca_088_24	5.2.1.8
S_S2_Ca_088_25	2.7.13.3
S_S2_Ca_088_26	2.7.13.3
S_S2_Ca_088_27	2.7.13.3
S_S2_Ca_088_28	2.7.13.3
S_S2_Ca_088_29	3.1.3.18
S_S2_Ca_088_30	3.1.3.18
S_S2_Ca_088_31	3.6.1.1
S_S2_Ca_088_32	2.7.11.1
S_S2_Ca_088_33	2.7.11.1
S_S2_Ca_088_34	2.7.11.1
S_S2_Ca_088_35	2.7.11.1
S_S2_Ca_088_36	3.4.16.4
S_S2_Ca_088_37	3.4.16.4
S_S2_Ca_088_38	3.4.16.4
S_S2_Ca_088_39	3.4.16.4
S_S2_Ca_088_40	3.4.16.4
S_S2_Ca_088_41	3.6.4.13
S_S2_Ca_088_42	6.3.5.5
S_S2_Ca_088_43	6.3.5.5
S_S2_Ca_088_44	3.1.3.48
S_S2_Ca_088_45	3.1.3.48
S_S2_Ca_088_46	2.7.7.6
S_S2_Ca_088_47	2.7.7.6
S_S2_Ca_088_48	2.7.7.6
S_S2_Ca_088_49	2.7.7.6
S_S2_Ca_088_50	6.3.5.6
S_S2_Ca_088_51	6.3.5.6
S_S2_Ca_088_52	6.3.5.6
S_S2_Ca_088_53	6.3.5.7
S_S2_Ca_088_54	6.3.5.7
S_S2_Ca_088_55	6.3.5.7
S_S2_Ca_088_56	2.7.1.11
S_S2_Ca_088_57	3.2.2.27
S_S2_Ca_088_58	3.2.2.27
S_S2_Ca_088_59	2.1.1.176
S_S2_Ca_088_60	3.6.3.14
S_S2_Ca_088_61	3.6.3.14
S_S2_Ca_088_62	3.6.1.66
S_S2_Ca_088_63	1.17.99.6
S_S2_Ca_088_64	1.5.1.20
S_S2_Ca_088_65	6.3.5.3
S_S2_Ca_088_66	3.1.26.4
S_S2_Ca_088_67	3.1.26.4
S_S2_Ca_088_68	3.1.3.16
S_S2_Ca_088_69	3.1.3.16
S_S2_Ca_088_70	2.3.1.15
S_S2_Ca_088_71	2.3.1.15
S_S2_Ca_088_72	2.3.1.48
S_S2_Ca_088_73	6.1.1.20
S_S2_Ca_088_74	6.1.1.20
S_S2_Ca_088_75	6.3.2.4
S_S2_Ca_088_76	5.99.1.3
S_S2_Ca_088_77	5.99.1.3
S_S2_Ca_088_78	2.5.1.49
S_S2_Ca_088_79	2.5.1.49
S_S2_Ca_088_80	2.5.1.47
S_S2_Ca_088_81	2.7.1.49
S_S2_Ca_088_82	2.7.4.7
S_S2_Ca_088_83	4.1.99.17
S_S2_Ca_088_84	6.3.1.2
S_S2_Ca_088_85	6.3.1.2
S_S2_Ca_088_86	2.4.2.7
S_S2_Ca_088_87	2.7.4.3
S_S2_Ca_088_88	3.4.21.89
S_S2_Ca_088_89	3.4.21.89
S_S2_Ca_088_90	3.4.21.89
S_S2_Ca_088_91	2.8.1.7
S_S2_Ca_088_92	2.8.1.7
S_S2_Ca_088_93	3.6.3.27
S_S2_Ca_088_94	3.6.3.27
S_S2_Ca_088_95	2.3.1.1
S_S2_Ca_088_96	5.4.99.23
S_S2_Ca_088_97	5.4.99.23
S_S2_Ca_088_98	5.1.3.2
S_S2_Ca_088_99	5.1.3.2
S_S2_Ca_088_100	4.2.1.11
S_S2_Ca_088_101	1.1.98.6
S_S2_Ca_088_102	3.5.2.3
S_S2_Ca_088_103	3.6.1.55
S_S2_Ca_088_104	2.7.1.2
S_S2_Ca_088_105	2.7.1.2
S_S2_Ca_088_106	4.2.3.4
S_S2_Ca_088_107	4.2.3.4
S_S2_Ca_088_108	3.5.1.88
S_S2_Ca_088_109	3.5.1.88
S_S2_Ca_088_110	3.5.1.88
S_S2_Ca_088_111	1.97.1.4
S_S2_Ca_088_112	1.97.1.4
S_S2_Ca_088_113	1.97.1.4
S_S2_Ca_088_114	1.97.1.4
S_S2_Ca_088_115	3.2.1.20
S_S2_Ca_088_116	5.4.99.22
S_S2_Ca_088_117	2.7.1.90
S_S2_Ca_088_118	5.1.1.1
S_S2_Ca_088_119	3.1.11.6
S_S2_Ca_088_120	3.1.11.6
S_S2_Ca_088_121	2.1.1.63
S_S2_Ca_088_122	3.4.23.43
S_S2_Ca_088_123	6.1.1.10
S_S2_Ca_088_124	6.1.1.10
S_S2_Ca_088_125	1.2.7.3
S_S2_Ca_088_126	1.1.1.133
S_S2_Ca_088_127	1.1.1.133
S_S2_Ca_088_128	3.5.99.6
S_S2_Ca_088_129	2.1.1.227
S_S2_Ca_088_130	2.1.1.226
S_S2_Ca_088_131	3.2.2.10
