S_S5_Ea_103_1	1.6.5.3
S_S5_Ea_103_2	3.6.4.12
S_S5_Ea_103_3	3.6.4.12
S_S5_Ea_103_4	3.6.4.12
S_S5_Ea_103_5	3.6.4.12
S_S5_Ea_103_6	3.6.4.12
S_S5_Ea_103_7	3.6.4.12
S_S5_Ea_103_8	3.6.4.12
S_S5_Ea_103_9	3.6.4.12
S_S5_Ea_103_10	3.6.4.12
S_S5_Ea_103_11	3.6.4.12
S_S5_Ea_103_12	3.6.4.12
S_S5_Ea_103_13	3.6.4.12
S_S5_Ea_103_14	3.6.4.12
S_S5_Ea_103_15	3.2.1.23
S_S5_Ea_103_16	3.2.1.23
S_S5_Ea_103_17	3.2.1.23
S_S5_Ea_103_18	3.2.1.52
S_S5_Ea_103_19	3.2.1.52
S_S5_Ea_103_20	2.7.7.7
S_S5_Ea_103_21	2.7.7.7
S_S5_Ea_103_22	2.7.7.7
S_S5_Ea_103_23	2.7.7.7
S_S5_Ea_103_24	2.7.7.7
S_S5_Ea_103_25	2.7.7.7
S_S5_Ea_103_26	2.7.7.7
S_S5_Ea_103_27	2.7.7.7
S_S5_Ea_103_28	2.7.7.7
S_S5_Ea_103_29	2.7.7.7
S_S5_Ea_103_30	2.7.7.7
S_S5_Ea_103_31	2.7.7.7
S_S5_Ea_103_32	2.1.1.72
S_S5_Ea_103_33	3.6.3.12
S_S5_Ea_103_34	3.6.3.12
S_S5_Ea_103_35	3.6.3.12
S_S5_Ea_103_36	5.2.1.8
S_S5_Ea_103_37	5.2.1.8
S_S5_Ea_103_38	5.2.1.8
S_S5_Ea_103_39	5.2.1.8
S_S5_Ea_103_40	2.7.13.3
S_S5_Ea_103_41	2.7.13.3
S_S5_Ea_103_42	2.7.13.3
S_S5_Ea_103_43	2.7.13.3
S_S5_Ea_103_44	2.7.13.3
S_S5_Ea_103_45	2.7.13.3
S_S5_Ea_103_46	2.7.13.3
S_S5_Ea_103_47	2.7.13.3
S_S5_Ea_103_48	2.7.13.3
S_S5_Ea_103_49	2.7.13.3
S_S5_Ea_103_50	2.7.13.3
S_S5_Ea_103_51	2.7.13.3
S_S5_Ea_103_52	2.7.13.3
S_S5_Ea_103_53	2.7.13.3
S_S5_Ea_103_54	3.5.1.28
S_S5_Ea_103_55	3.1.3.18
S_S5_Ea_103_56	3.6.1.1
S_S5_Ea_103_57	4.1.3.27
S_S5_Ea_103_58	4.1.3.27
S_S5_Ea_103_59	4.1.3.27
S_S5_Ea_103_60	2.7.11.1
S_S5_Ea_103_61	3.4.16.4
S_S5_Ea_103_62	3.4.16.4
S_S5_Ea_103_63	3.4.16.4
S_S5_Ea_103_64	3.4.16.4
S_S5_Ea_103_65	3.6.4.13
S_S5_Ea_103_66	3.6.4.13
S_S5_Ea_103_67	6.3.5.5
S_S5_Ea_103_68	6.3.5.5
S_S5_Ea_103_69	3.1.3.48
S_S5_Ea_103_70	3.1.3.48
S_S5_Ea_103_71	3.1.3.48
S_S5_Ea_103_72	3.1.3.48
S_S5_Ea_103_73	3.1.3.48
S_S5_Ea_103_74	2.7.7.6
S_S5_Ea_103_75	2.7.7.6
S_S5_Ea_103_76	2.7.7.6
S_S5_Ea_103_77	2.7.7.6
S_S5_Ea_103_78	2.3.3.13
S_S5_Ea_103_79	2.1.1.191
S_S5_Ea_103_80	4.2.1.20
S_S5_Ea_103_81	4.2.1.20
S_S5_Ea_103_82	6.3.5.6
S_S5_Ea_103_83	6.3.5.6
S_S5_Ea_103_84	6.3.5.6
S_S5_Ea_103_85	6.3.5.7
S_S5_Ea_103_86	6.3.5.7
S_S5_Ea_103_87	6.3.5.7
