S_S2_Ea_076_1	1.6.5.3
S_S2_Ea_076_2	3.6.4.12
S_S2_Ea_076_3	3.6.4.12
S_S2_Ea_076_4	3.6.4.12
S_S2_Ea_076_5	3.6.4.12
S_S2_Ea_076_6	3.6.4.12
S_S2_Ea_076_7	3.6.4.12
S_S2_Ea_076_8	3.6.4.12
S_S2_Ea_076_9	3.6.4.12
S_S2_Ea_076_10	3.6.4.12
S_S2_Ea_076_11	3.6.4.12
S_S2_Ea_076_12	3.6.4.12
S_S2_Ea_076_13	3.6.4.12
S_S2_Ea_076_14	3.6.4.12
S_S2_Ea_076_15	3.2.1.23
S_S2_Ea_076_16	3.2.1.23
S_S2_Ea_076_17	3.2.1.52
S_S2_Ea_076_18	3.2.1.52
S_S2_Ea_076_19	2.7.7.7
S_S2_Ea_076_20	2.7.7.7
S_S2_Ea_076_21	2.7.7.7
S_S2_Ea_076_22	2.7.7.7
S_S2_Ea_076_23	2.7.7.7
S_S2_Ea_076_24	2.7.7.7
S_S2_Ea_076_25	2.7.7.7
S_S2_Ea_076_26	2.7.7.7
S_S2_Ea_076_27	2.7.7.7
S_S2_Ea_076_28	2.7.7.7
S_S2_Ea_076_29	2.1.1.72
S_S2_Ea_076_30	2.1.1.72
S_S2_Ea_076_31	3.6.3.12
S_S2_Ea_076_32	3.6.3.12
S_S2_Ea_076_33	3.6.3.12
S_S2_Ea_076_34	5.2.1.8
S_S2_Ea_076_35	5.2.1.8
S_S2_Ea_076_36	5.2.1.8
S_S2_Ea_076_37	5.2.1.8
S_S2_Ea_076_38	2.7.13.3
S_S2_Ea_076_39	2.7.13.3
S_S2_Ea_076_40	2.7.13.3
S_S2_Ea_076_41	2.7.13.3
S_S2_Ea_076_42	2.7.13.3
S_S2_Ea_076_43	2.7.13.3
S_S2_Ea_076_44	2.7.13.3
S_S2_Ea_076_45	2.7.13.3
S_S2_Ea_076_46	2.7.13.3
S_S2_Ea_076_47	2.7.13.3
S_S2_Ea_076_48	2.7.13.3
S_S2_Ea_076_49	2.7.13.3
S_S2_Ea_076_50	3.5.1.28
S_S2_Ea_076_51	3.1.3.18
S_S2_Ea_076_52	3.6.1.1
S_S2_Ea_076_53	4.1.3.27
S_S2_Ea_076_54	4.1.3.27
S_S2_Ea_076_55	4.1.3.27
S_S2_Ea_076_56	2.7.11.1
S_S2_Ea_076_57	2.7.11.1
S_S2_Ea_076_58	3.4.16.4
S_S2_Ea_076_59	3.4.16.4
S_S2_Ea_076_60	3.4.16.4
S_S2_Ea_076_61	3.4.16.4
S_S2_Ea_076_62	3.1.21.3
S_S2_Ea_076_63	3.1.21.3
S_S2_Ea_076_64	3.6.4.13
S_S2_Ea_076_65	3.6.4.13
S_S2_Ea_076_66	6.3.5.5
S_S2_Ea_076_67	6.3.5.5
S_S2_Ea_076_68	3.1.3.48
S_S2_Ea_076_69	3.1.3.48
S_S2_Ea_076_70	3.1.3.48
S_S2_Ea_076_71	3.1.3.48
S_S2_Ea_076_72	3.1.3.48
S_S2_Ea_076_73	3.1.3.48
S_S2_Ea_076_74	2.7.7.6
S_S2_Ea_076_75	2.7.7.6
S_S2_Ea_076_76	2.7.7.6
S_S2_Ea_076_77	2.7.7.6
S_S2_Ea_076_78	2.3.3.13
S_S2_Ea_076_79	2.1.1.191
S_S2_Ea_076_80	4.2.1.20
S_S2_Ea_076_81	4.2.1.20
S_S2_Ea_076_82	6.3.5.6
S_S2_Ea_076_83	6.3.5.6
S_S2_Ea_076_84	6.3.5.6
S_S2_Ea_076_85	6.3.5.7
S_S2_Ea_076_86	6.3.5.7
S_S2_Ea_076_87	6.3.5.7
S_S2_Ea_076_88	2.7.1.11
S_S2_Ea_076_89	3.2.2.27
S_S2_Ea_076_90	3.2.2.27
S_S2_Ea_076_91	2.1.1.176
S_S2_Ea_076_92	3.6.3.14
S_S2_Ea_076_93	3.6.3.14
S_S2_Ea_076_94	3.6.3.14
S_S2_Ea_076_95	3.6.1.66
S_S2_Ea_076_96	1.17.99.6
S_S2_Ea_076_97	1.17.99.6
S_S2_Ea_076_98	1.5.1.20
S_S2_Ea_076_99	6.3.5.3
S_S2_Ea_076_100	6.3.5.3
S_S2_Ea_076_101	6.3.5.3
S_S2_Ea_076_102	3.1.26.4
S_S2_Ea_076_103	3.1.26.4
S_S2_Ea_076_104	3.1.26.4
S_S2_Ea_076_105	3.1.3.16
S_S2_Ea_076_106	3.1.3.16
S_S2_Ea_076_107	2.7.8.12
S_S2_Ea_076_108	2.3.1.15
S_S2_Ea_076_109	2.3.1.15
S_S2_Ea_076_110	2.5.1.3
S_S2_Ea_076_111	2.3.1.79
S_S2_Ea_076_112	2.3.1.79
S_S2_Ea_076_113	2.3.1.79
S_S2_Ea_076_114	6.1.1.20
S_S2_Ea_076_115	6.1.1.20
S_S2_Ea_076_116	3.6.3.34
S_S2_Ea_076_117	3.6.3.34
S_S2_Ea_076_118	3.6.3.34
S_S2_Ea_076_119	6.3.2.4
S_S2_Ea_076_120	5.99.1.3
S_S2_Ea_076_121	5.99.1.3
S_S2_Ea_076_122	4.2.1.33
S_S2_Ea_076_123	4.2.1.33
S_S2_Ea_076_124	4.4.1.8
S_S2_Ea_076_125	4.4.1.8
S_S2_Ea_076_126	4.4.1.8
S_S2_Ea_076_127	4.4.1.8
S_S2_Ea_076_128	4.4.1.8
S_S2_Ea_076_129	4.4.1.8
S_S2_Ea_076_130	4.4.1.8
S_S2_Ea_076_131	2.7.1.180
S_S2_Ea_076_132	2.5.1.49
S_S2_Ea_076_133	2.5.1.47
S_S2_Ea_076_134	2.5.1.47
S_S2_Ea_076_135	2.5.1.47
S_S2_Ea_076_136	2.7.1.49
