"features"	"coefs"	"category"
"1"	"ko.K18431"	-7.55340512561733	"left"
"2"	"ko.K20373"	-7.13638659906016	"left"
"3"	"ko.K01821"	-6.77018954970253	"left"
"4"	"ko.K16922"	-6.65936203338518	"left"
"5"	"ko.K03813"	-6.57174467526247	"left"
"6"	"ko.K02203"	-6.14785491544784	"left"
"7"	"ko.K11031"	-5.91177806135742	"left"
"8"	"ko.K01697"	-5.85986557192782	"left"
"9"	"ko.K07317"	-5.85303647651919	"left"
"10"	"ko.K14982"	-5.8494167328935	"left"
"11"	"ko.K09384"	6.18262003247944	"right"
"12"	"ko.K00886"	6.34788871384605	"right"
"13"	"ko.K12138"	6.90085978335833	"right"
"14"	"ko.K00830"	8.14588675804863	"right"
"15"	"ko.K21011"	9.00214921155759	"right"
"16"	"ko.K21012"	9.00214921155759	"right"
"17"	"ko.K06330"	9.00214921155759	"right"
"18"	"ko.K19147"	11.1763890440218	"right"
"19"	"ko.K13925"	11.7019264057509	"right"
"20"	"ko.K07452"	12.2277053195667	"right"
