pathway	plate1_1136R_RL_F_S5_week10_S58_	plate1_1136R_R_F_S5_week10_S57_L	plate1_2518R_L_M_S5_week10_S61_L	plate1_2518R_R_M_S5_week10_S62_L	plate1_3752R_0_F_S5_week10_S59_L	plate1_3752R_L_F_S5_week10_S60_L	plate1_3893R_RL_M_S5_week10_S64_	plate1_3893R_R_M_S5_week10_S63_L	plate1_T1D_S5_defined_mouse_inoc	plate2_096R_0_M_S5_week9_S74_L00	plate2_1060R_L_M_S5_week9_S75_L0	plate2_1076R_0_M_S5_week9_S76_L0	plate2_1136R_0_F_S5_week9_S69_L0	plate2_2402R_0_F_S5_week9_S70_L0	plate2_2433R_0_F_S5_week9_S71_L0	plate2_2475R_0_M_S5_week9_S77_L0	plate2_2518R_0_M_S5_week9_S78_L0	plate2_3924R_L_F_S5_week9_S72_L0	plate2_3929R_0_F_S5_week9_S73_L0	plate3_096R_0_M_S5_week5_S4_L001	plate3_2402R_R_F_S5_Pellet_week9	plate3_2475R_RL_M_S5_Pellet_week	plate3_S5_defined_inocula_S87_L0	plate4_1060R_L_M_S5_week5_S12_L0	plate4_1076R_0_M_S5_week5_S13_L0	plate4_1136R_0_F_S5_week5_S14_L0	plate4_2402R_0_F_S5_week5_S15_L0	plate4_2402R_R_F_S5_week5_S16_L0	plate4_2475R_RL_M_S5_week5_S19_L	plate4_2518R_0_M_S5_week5_S20_L0	plate4_3924R_L_F_S5_week5_S21_L0	plate4_3929R_0_F_S5_week5_S22_L0	plate4_S5_defined_inocula_S87_L0
1CMET2-PWY	17263.209878508664	17903.917836110653	19220.07707233722	17099.50395862154	17144.71134828813	15176.64284123378	15634.845813037538	19137.81024227194	11323.522971401859	21032.45934138397	20542.936434615593	16257.867947224582	24204.81559729925	22737.274811032283	21975.197820779344	21238.06676974265	18403.555776997964	21171.982432771103	21565.47657328273	10658.482021025557	11992.111383160094	14266.845924819887	19500.837771066806	13335.671485250383	13298.287592962997	10784.775775373446	14768.88118795663	12085.695095571096	20082.837832582423	14132.628326446087	15990.971003557846	17325.958123957716	11616.406790971281
AEROBACTINSYN-PWY	159.29	145.14	133.29	156.0	388.14	126.71	196.0	115.86	1882.14	299.14	204.86	733.29	141.43	696.14	174.86	128.0	88.57	161.57	127.57	259.71	204.0	407.86	3515.14	476.29	413.14	98.29	94.86	433.57	691.71	153.29	113.0	347.86	2306.86
ALL-CHORISMATE-PWY	184.75271375464683	168.34081784386615	154.59657992565053	180.93680297397768	450.18468401486984	146.96475836431225	227.33085501858736	134.38037174721188	2183.002527881041	346.95791821561335	237.6071375464684	850.5073605947955	164.03776951672862	807.4188847583642	202.81159851301115	148.46096654275092	102.72802973977694	187.39717472118957	147.96223048327136	301.22498141263935	236.6096654275093	473.05695167286245	4077.03970260223	552.4255762081784	479.1809665427509	114.0017843866171	110.02349442379182	502.8767286245353	802.2807434944239	177.79360594795537	131.0631970260223	403.46587360594793	2675.6145724907065
ANAEROFRUCAT-PWY	3348.9558564209437	3782.1981713018276	3625.1153611263494	3863.363112748356	3532.4134067298546	3733.584395925115	3743.853598089583	4180.8446286226745	6915.930689060389	4526.369093200934	3225.643778350265	4369.45042355424	6686.094647045122	5034.096614236214	4401.575135720955	5054.1429972645465	3860.7266518705046	4537.3579129444815	5114.353708722173	3986.0332956077036	3949.175084529966	5324.633316338363	14240.984099170231	2723.3719743125494	3489.6697476182358	2759.8523412295904	1883.4448306103914	3202.28400928783	5536.3237983262525	3268.139785165114	4079.114271497351	4454.001399876168	7661.653730912571
ANAGLYCOLYSIS-PWY	21535.425642619615	22310.206296634184	24050.347721380225	21551.709645078718	21705.395206962166	19549.56493293009	19851.55473024578	23992.575318153667	15517.858407892541	26561.100583095835	25228.73136913471	20242.59277579772	31979.18941933482	28128.623164454697	27806.975348943066	27006.54113255137	23323.454585811272	26871.18435311068	27383.7272656438	13736.600950877852	15360.684361397454	18147.70589712885	26966.562159320914	16408.03572079704	17077.3891290822	13682.069850867623	17811.803987950778	15095.070808765428	25557.27307699835	17689.956209137912	20162.429564082533	22004.361952598672	16064.722321882045
ARG+POLYAMINE-SYN	188.0144262295082	171.31278688524588	157.32590163934424	184.1311475409836	458.1324590163934	149.55934426229507	231.34426229508196	136.7527868852459	2221.5422950819675	353.08327868852456	241.80196721311478	865.5226229508196	166.93377049180327	821.6734426229508	206.392131147541	151.08196721311475	104.54163934426228	190.70557377049178	150.5744262295082	306.5429508196721	240.78688524590163	481.40852459016395	4149.017704918033	562.1783606557377	487.6406557377049	116.0144262295082	111.96590163934425	511.75475409836065	816.4445901639344	180.93245901639344	133.37704918032787	410.5888524590164	2722.8511475409837
ARGORNPROST-PWY	290.2441935483871	165.5	150.0	199.15999999999997	191.84000000000003	269.13548387096773	297.5506451612903	231.0903225806452	777.6451612903227	186.17000000000002	245.62032258064517	658.2567741935484	342.1848387096774	278.6967741935484	372.7170967741935	509.23548387096776	229.82258064516128	308.9525806451613	291.69870967741934	290.94387096774193	326.7625806451613	291.66	1811.074193548387	262.01	190.82999999999998	147.07516129032257	50.83	356.49	282.34	259.17	107.67	298.16999999999996	313.54290322580647
ARGSYN-PWY	10864.400623809088	11429.143551897283	11415.2551886336	10118.673994925917	10640.387948868103	9124.590685282557	8966.997431190779	11756.502487641525	6217.340197830657	13985.314301621826	12474.077149353416	10691.255925014995	10912.420882863875	16142.307391282806	12649.186151629568	13040.88850583435	10304.68076102274	12520.142425915983	15170.26743611227	8797.01263240135	9698.162599390098	12048.328849737254	13354.710056800459	8931.015924225352	7877.534227073932	6220.064898387019	10770.483468800167	8464.03568603704	12742.128037793138	9338.488069570689	10371.569303733435	9190.636472161765	7315.785866611627
ARGSYNBSUB-PWY	12440.12414817444	13105.628109792511	13086.418270440387	11609.120712183661	12187.623701244143	10483.774639665282	10286.522674914173	13492.485570961442	6991.094701691623	16018.340546224297	14234.29188300844	12206.342179512258	12600.691715079216	18493.100093977668	14495.566435492026	14922.35968425918	11823.485680113823	14370.212646928843	17410.890304336805	10108.042875869556	11129.484340195188	13839.816380215969	14986.773378947608	10204.036395168423	9033.20609249321	7131.545298272882	12313.648178129042	9669.460375208224	14581.00283791536	10691.443978209594	11934.41156190471	10522.745183502877	8214.664474451401
ARO-PWY	11159.304441407125	11754.123372502421	11727.025393116033	10418.716968694343	11001.405490856843	9368.06775646578	9250.243958943054	12077.678810971995	6788.403507867662	14411.766161967646	12981.081988164135	11159.068564222607	11235.394693795242	16692.315605410164	13038.979961863151	13468.323164282781	10600.922198754437	12880.260044296972	15557.716062509253	9062.405806865774	9985.706438884165	12435.029492369247	14437.330156882592	9268.255365133431	8095.982100959688	6372.304580063689	11087.981125291375	8808.735322612732	13217.98344927056	9580.267579735826	10592.338003009994	9506.524659761439	7961.163743565418
ASPASN-PWY	9447.200183150182	9871.344322344321	11196.282564102563	10509.686190476192	9713.24553113553	9385.720293040293	10061.16695970696	11049.772637362636	10749.81666666667	10788.833736263738	11105.731098901097	9264.049340659341	19977.080549450548	10916.033882783884	13561.378498168498	12693.89941391941	11713.884945054944	12918.76824175824	10657.365421245422	4957.8106959706965	5370.854542124542	6269.698205128206	17678.778534798537	6855.289267399268	8733.975238095236	7250.595164835165	5553.823626373625	6348.4117582417575	12342.543479853479	7805.016520146519	9283.807399267396	12412.815384615385	10762.543736263737
AST-PWY	176.98888888888888	161.26666666666665	148.1	173.33333333333334	431.26666666666665	140.7888888888889	217.7777777777778	128.73333333333335	2091.266666666667	332.3777777777778	227.62222222222223	814.7666666666667	157.14444444444445	773.4888888888889	194.28888888888892	142.22222222222223	98.41111111111111	179.5222222222222	141.74444444444444	288.56666666666666	226.66666666666669	453.1777777777778	3905.711111111111	529.2111111111111	459.0444444444444	109.21111111111112	105.4	481.74444444444447	768.5666666666667	170.32222222222222	125.55555555555556	386.5111111111111	2563.177777777778
BIOTIN-BIOSYNTHESIS-PWY	5945.916497093022	6674.1241569767435	7328.070566860464	6696.172325581395	5888.774215116278	4652.3561773255815	6407.1244186046515	6714.9667151162785	3932.358052325581	4351.248226744186	9879.748517441858	6672.7631249999995	13844.964549418604	7832.392587209302	9691.654447674418	7753.121860465117	7782.849985465116	8660.096904069767	3490.0458575581392	1104.683328488372	888.6858139534884	1223.7841569767443	4906.917994186046	6222.714811046511	5888.377412790698	5353.200043604651	4231.576308139534	4968.863415697674	8211.68890988372	5332.4601017441855	5853.3190116279075	10920.016482558138	4273.805843023256
BRANCHED-CHAIN-AA-SYN-PWY	19336.605616406534	20041.221105332534	21492.270038878385	19203.422935660245	19294.23736943952	17348.323918267022	17538.580343601367	21491.147140933695	12757.40572717643	23891.03895122443	22328.875253915776	18040.34680729922	27356.104533125337	25466.212934605806	24558.632285317803	23917.66019366315	20589.082233551766	23807.65073129752	24832.389292865362	12553.036728052917	14058.171430956276	16732.09874794611	22325.956056783823	14686.763468052075	15053.642232813927	12092.16140991024	16337.138993552026	13493.140642220586	22590.99311745343	15924.897555913103	18193.66341767901	19070.105589375697	13264.363902384832
CALVIN-PWY	10902.705839885137	11792.233819679719	12204.24818467876	12094.538141886236	11146.882509185034	11071.143647475736	11868.114279577365	12635.365799574882	14341.986653092901	12171.044632934856	13218.771168008028	12267.346175446894	24051.38698011137	13983.162103862469	16060.404702884105	16218.503753000157	13237.608972136215	15346.136246668708	12806.480412932075	8177.09514446835	8286.440429045704	10041.10989567044	27989.50488714783	9109.678407146372	11108.081171522648	9051.277518253823	6411.926245227702	9431.332079887025	15604.548734295679	10175.973757938986	11379.787080050914	16389.56650285469	15407.297121093397
COA-PWY	14700.45142857143	15026.429999999997	16365.53142857143	14257.86857142857	14688.982857142857	12534.852857142856	13047.86	16068.318571428574	10074.15142857143	18095.680000000004	18101.878571428573	13811.369999999999	19221.38285714285	19295.888571428568	18619.22857142857	17961.09428571429	15583.145714285714	17735.547142857144	18098.27857142858	8397.654285714287	9671.105714285715	11342.364285714288	17214.694285714286	11443.810000000001	10911.555714285712	8896.41	13041.810000000001	10121.014285714286	17055.99857142857	11817.86	12983.23	14200.621428571429	10301.828571428572
COBALSYN-PWY	6867.565898101897	7432.489374625374	8029.262116883117	7820.605954045953	7162.090003996004	6996.076637362637	7455.88805994006	8039.266954045954	6910.589984015984	7441.677159840159	8272.029174825177	7237.57606093906	16075.566151848148	8884.03387812188	10482.952538461539	9821.87323976024	8712.047919080918	10115.61431068931	8055.490131868132	4498.403122877123	4595.058541458541	5560.961254745255	12398.897524475524	5505.860536463536	7165.716477522477	5972.69038861139	3995.1529999999993	5328.501305694306	10112.2785974026	6351.231940059939	7508.029460539461	10214.878197802196	7504.541612387612
COLANSYN-PWY	8491.477777777778	8757.041830065358	8868.667320261438	7285.751633986929	8429.96862745098	6315.73725490196	6248.366013071895	8790.383660130718	2353.91568627451	11018.962745098039	10496.200653594773	7987.50522875817	5622.321568627451	13331.21045751634	9428.306535947713	9076.510457516339	7504.944444444445	9263.782352941178	11548.593464052288	5889.2411764705885	6779.2555555555555	8323.168627450981	4627.314379084967	7376.26339869281	5469.380392156863	4062.301960784314	9821.6	6307.11568627451	9163.03202614379	6842.196732026144	7379.974509803922	5882.580392156863	3060.619607843137
COMPLETE-ARO-PWY	12214.31623359175	12861.01253558318	12836.737397375975	11392.780643061807	12035.051751662088	10237.325236666315	10106.507580760242	13214.495953462303	7282.843599816363	15772.478318926445	14214.454968802138	12190.327417885683	12234.869757036407	18271.575781869426	14263.374572195456	14721.268171992342	11595.520624354274	14089.028098369652	17027.001605153546	9896.159893438005	10911.846042988082	13584.616349919179	15495.667785643525	10139.963682701997	8840.332423509011	6961.322072405039	12164.772084264712	9623.147869984772	14439.564074027085	10478.635052163589	11585.182110110172	10369.823365225178	8546.142966881662
DAPLYSINESYN-PWY	4864.347346366747	5036.165330545517	5306.305068879945	5105.8576508131755	5000.740881369925	5276.225608274103	5176.821857448078	5808.926564742558	10354.893960114525	6995.890256932401	4399.081307365226	4993.823537440427	7915.076512137347	5260.945031729749	5455.719006527284	6262.824451342492	5066.376121103324	5383.261709930438	6531.692495547249	4073.688540360559	4385.362476391392	5312.945061341412	19005.777002704832	3180.9393905978577	3824.869339029955	2499.354107418831	2749.1775663169246	3604.935566808822	5041.831366033924	3431.7653681293905	4233.693874879798	4841.712071833032	10442.250755607882
