pathway	plate1_1136R_R_F_S5_week10_S57_L	plate1_1136R_RL_F_S5_week10_S58_	plate1_2518R_L_M_S5_week10_S61_L	plate1_2518R_R_M_S5_week10_S62_L	plate1_3752R_0_F_S5_week10_S59_L	plate1_3752R_L_F_S5_week10_S60_L	plate1_3893R_R_M_S5_week10_S63_L	plate1_3893R_RL_M_S5_week10_S64_	plate1_T1D_S5_defined_mouse_inoc	plate2_096R_0_M_S5_week9_S74_L00	plate2_1060R_L_M_S5_week9_S75_L0	plate2_1076R_0_M_S5_week9_S76_L0	plate2_1136R_0_F_S5_week9_S69_L0	plate2_2402R_0_F_S5_week9_S70_L0	plate2_2433R_0_F_S5_week9_S71_L0	plate2_2475R_0_M_S5_week9_S77_L0	plate2_2518R_0_M_S5_week9_S78_L0	plate2_3924R_L_F_S5_week9_S72_L0	plate2_3929R_0_F_S5_week9_S73_L0	plate3_096R_0_M_S5_week5_S4_L001	plate3_2402R_R_F_S5_Pellet_week9	plate3_2475R_RL_M_S5_Pellet_week	plate3_S5_defined_inocula_S87_L0	plate4_1060R_L_M_S5_week5_S12_L0	plate4_1076R_0_M_S5_week5_S13_L0	plate4_1136R_0_F_S5_week5_S14_L0	plate4_2402R_0_F_S5_week5_S15_L0	plate4_2402R_R_F_S5_week5_S16_L0	plate4_2475R_RL_M_S5_week5_S19_L	plate4_2518R_0_M_S5_week5_S20_L0	plate4_3924R_L_F_S5_week5_S21_L0	plate4_3929R_0_F_S5_week5_S22_L0	plate4_S5_defined_inocula_S87_L0
1CMET2-PWY	17760.50370162384	17186.241156967117	19013.69038286761	16920.945379528595	17156.438911014302	15226.591635775301	19021.16052069851	15491.267528255132	12105.85061590294	21267.659331102324	20020.65264119744	16259.239228426464	24037.749607543166	22746.486340524163	21587.003260745478	21097.797667902043	18113.849826866262	20901.32321354528	21861.6228237541	10969.729574037767	12316.244587293231	14682.750884600855	21148.02963323346	13159.962486817949	13179.06507765592	10523.933731995645	14686.92540718561	12052.185433821878	20028.00891155006	14019.558186234175	15880.017806805188	16916.185885100625	12518.797361626954
AEROBACTINSYN-PWY	145.14	159.29	133.29	156.0	388.14	126.71	115.86	196.00000000000003	1882.14	299.14	204.86	733.29	141.43	696.14	174.86	128.0	88.57	161.57	127.57000000000001	259.71	204.0	407.86000000000007	3515.14	476.28999999999996	413.14	98.29	94.86	433.57	691.71	153.29	113.0	347.86	2306.86
ALL-CHORISMATE-PWY	5163.810612238919	5321.846890075238	5181.646847863764	5228.781625762485	7474.309454790806	4559.748182358972	4815.84389604144	5519.366392929754	6022.056072216155	7986.641020185542	6208.909839269728	7874.805697335268	5676.674455414759	9655.259014343268	6222.167910815598	5300.081417203306	4044.164853386676	5885.380209373198	5362.012165249177	4379.320226435313	4554.674860038414	6003.908391539105	10234.864793114946	5548.288882457052	5917.2292666169205	3060.7579216504073	3593.934811748711	5048.42754124545	9077.543772442175	4399.633158987634	4192.930162660552	6238.497646639763	6676.918603237115
ANAEROFRUCAT-PWY	13686.246657198511	12689.130161597759	13976.099883956724	13716.551712277374	13030.264358756962	12882.2548671041	14654.542661917347	13067.006347175873	13352.472430483058	15448.522025985294	13849.97559869131	13764.179775417666	23071.226100308333	16709.161841295674	17307.191291567855	18156.521599190117	14318.737920505371	16743.575507790425	16310.053458686645	9685.533704724465	10252.756527714848	12341.865516938306	23851.844929442854	10271.918046109993	11653.787869923177	9316.592491881824	7998.337913808779	10663.352099177091	17191.895704534054	11575.70086074626	13195.513742364777	15783.083802719922	14280.990732035341
ANAGLYCOLYSIS-PWY	23470.792007850687	22666.726288513084	25207.432223560976	22617.67690070312	22835.502623641823	20580.991996643184	25217.572371785736	20875.3471829877	16616.57439080977	28105.278639994063	26517.403477335014	21383.839369291192	34155.209229196174	29553.88694889882	29112.283118823365	28523.096865122367	24410.144833517104	28127.406990730426	28906.457702007254	14665.339156988064	16394.142312045467	19356.153532755714	29243.017391402023	17261.298034890817	17899.471890529065	14295.935737832318	18679.419837696514	16011.10219726631	26865.00784581813	18616.131372919837	21096.62503688961	23314.234401547998	17272.25174137004
ARG+POLYAMINE-SYN	1219.6957851161078	1368.5859007644608	1379.9838972469956	1512.3780079755081	2310.670405566126	1061.8965898293102	1211.7791276306143	1406.8859052779035	5177.905013622406	1967.5519272977062	1471.1859608730128	3654.552659276985	1180.328493011405	3791.5884824505383	1662.7765758050282	1529.9396777645445	1104.0667638799946	1580.5912912176489	1517.5547049821473	1285.223935791198	1164.5249599007552	1937.1940458259255	9540.52538009235	2556.2166852293954	2347.5836269664856	1173.3120150470918	678.9738395683341	2335.489665976596	4160.335080378043	1480.2420325491676	1239.5009522369296	2202.300146311944	5854.71111973236
ARGORNPROST-PWY	721.8455426027057	948.4821088365404	688.7632685519586	697.323588455458	792.2110195216643	906.9003110597038	819.6267814469314	942.1681529540052	2545.841712910321	850.2675079177837	846.8353614508542	1530.306782853748	977.0168844724526	889.8309003218843	1196.054837564166	1614.8196269939735	833.211912649415	952.3854597018534	909.2674223224913	847.3312402079276	941.7805685810736	983.5127640219933	5435.340632039361	862.884864754179	686.4527661585694	532.1212529604595	345.17277268947197	1078.118806477301	1066.8837958184154	876.3738081865209	596.5856643268361	1015.9942174415071	2200.51934727576
ARGSYN-PWY	15558.527367488083	14951.38478979299	16219.120541408567	14522.582880001135	14706.570033073085	13166.032775161533	16495.32323362517	13173.984171172298	10487.171108796198	18638.847655457248	16943.196047125344	14276.10560454888	19273.139659406363	20402.50006070808	18306.619066050225	18241.658205534044	15228.706352779154	17940.07149603262	19727.125431751883	10405.067951943442	11606.747560235583	13972.471621821913	18329.038993420218	11598.222645732949	11401.926767815063	9080.448816745964	13177.09350654058	10803.573244371462	17353.639676722993	12484.325957860186	14183.522187083941	14019.706970935238	10703.340188954546
ARGSYNBSUB-PWY	17263.615970850362	16547.45194452904	17896.754172853416	16019.682892729217	16290.868506608296	14517.958055812634	18236.467919304905	14487.904694590361	10543.127516677006	20702.54782860123	18757.39510421996	15865.731811214238	20464.8802892308	22852.899178201624	20165.584417620015	20148.849159565863	16733.297720873852	19804.897816586898	21996.536252997306	11744.705250925253	13066.122089014743	15795.972355583592	20111.86805153838	12939.820298510598	12593.279797058489	10005.494714137523	14766.76268429133	12074.511189118271	19281.350512021283	13880.107996163602	15770.952661023726	15362.026343232577	11334.009013463803
ARO-PWY	17307.518125294406	16614.91854468168	18214.313018649103	16334.923216839663	16611.126179455958	14719.394171394193	18367.501281398017	14914.86569903172	11793.082960389025	20703.630278637746	19291.251831903963	16138.035924421123	22060.976557531038	22555.640479240963	20732.68004112024	20550.71628182747	17249.278496612067	20132.979722720986	21495.741044659615	11301.346767086543	12582.047546569856	15170.035996564167	21092.852021395658	13060.249776097298	12867.940651376728	10225.56640278646	14343.423502727323	12141.479482598812	19729.086503081246	13830.378252630011	15606.996365347744	16224.310448911094	12476.557254911058
