"features"	"coefs"	"category"
"1"	"ko.K19147"	-12.4566773348125	"left"
"2"	"ko.K07452"	-12.4480062953995	"left"
"3"	"ko.K07482"	-9.76512073250055	"left"
"4"	"ko.K16960"	-9.07770176603333	"left"
"5"	"ko.K19167"	-9.07623522607169	"left"
"6"	"ko.K01576"	-7.64291365547769	"left"
"7"	"ko.K00712"	-6.79619910313756	"left"
"8"	"ko.K00395"	-5.84708611089764	"left"
"9"	"ko.K00034"	-4.97328265337782	"left"
"10"	"ko.K00381"	-4.47588423808203	"left"
"11"	"ko.K09459"	6.07167854909643	"right"
"12"	"ko.K15856"	6.49337816403497	"right"
"13"	"ko.K14680"	6.89285578193628	"right"
"14"	"ko.K20485"	6.89285578195989	"right"
"15"	"ko.K20345"	6.93444010521926	"right"
"16"	"ko.K21681"	6.94975657874889	"right"
"17"	"ko.K03519"	7.13022226554386	"right"
"18"	"ko.K19429"	7.75182642428873	"right"
"19"	"ko.K07317"	8.02778048059934	"right"
"20"	"ko.K11616"	8.25299719899792	"right"
