S_S2_Ca_088_v1v9_1	NADH-DEHYDROG-A-RXN
S_S2_Ca_088_v1v9_2	RXN-11135
S_S2_Ca_088_v1v9_3	RXN-11135
S_S2_Ca_088_v1v9_4	RXN-11135
S_S2_Ca_088_v1v9_5	RXN-11135
S_S2_Ca_088_v1v9_6	RXN-11135
S_S2_Ca_088_v1v9_7	RXN-11135
S_S2_Ca_088_v1v9_8	RXN-11135
S_S2_Ca_088_v1v9_9	RXN-11135
S_S2_Ca_088_v1v9_10	RXN-11135
S_S2_Ca_088_v1v9_11	RXN-11135
S_S2_Ca_088_v1v9_12	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ca_088_v1v9_13	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ca_088_v1v9_14	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ca_088_v1v9_15	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ca_088_v1v9_16	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ca_088_v1v9_17	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ca_088_v1v9_18	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Ca_088_v1v9_19	2.1.1.72-RXN
S_S2_Ca_088_v1v9_20	2.1.1.72-RXN
S_S2_Ca_088_v1v9_21	2.1.1.72-RXN
S_S2_Ca_088_v1v9_22	2.1.1.72-RXN
S_S2_Ca_088_v1v9_23	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S2_Ca_088_v1v9_24	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S2_Ca_088_v1v9_25	2.7.13.3-RXN
S_S2_Ca_088_v1v9_26	2.7.13.3-RXN
S_S2_Ca_088_v1v9_27	2.7.13.3-RXN
S_S2_Ca_088_v1v9_28	2.7.13.3-RXN
S_S2_Ca_088_v1v9_29	GPH-RXN
S_S2_Ca_088_v1v9_30	GPH-RXN
S_S2_Ca_088_v1v9_31	INORGPYROPHOSPHAT-RXN
S_S2_Ca_088_v1v9_32	PROTEIN-KINASE-RXN
S_S2_Ca_088_v1v9_33	PROTEIN-KINASE-RXN
S_S2_Ca_088_v1v9_34	PROTEIN-KINASE-RXN
S_S2_Ca_088_v1v9_35	PROTEIN-KINASE-RXN
S_S2_Ca_088_v1v9_36	RXN-11065
S_S2_Ca_088_v1v9_36	3.4.16.4-RXN
S_S2_Ca_088_v1v9_36	RXN-16649
S_S2_Ca_088_v1v9_36	RXN-11351
S_S2_Ca_088_v1v9_36	RXN-16659
S_S2_Ca_088_v1v9_36	RXN-11302
S_S2_Ca_088_v1v9_37	RXN-11065
S_S2_Ca_088_v1v9_37	3.4.16.4-RXN
S_S2_Ca_088_v1v9_37	RXN-16649
S_S2_Ca_088_v1v9_37	RXN-11351
S_S2_Ca_088_v1v9_37	RXN-16659
S_S2_Ca_088_v1v9_37	RXN-11302
S_S2_Ca_088_v1v9_38	RXN-11065
S_S2_Ca_088_v1v9_38	3.4.16.4-RXN
S_S2_Ca_088_v1v9_38	RXN-16649
S_S2_Ca_088_v1v9_38	RXN-11351
S_S2_Ca_088_v1v9_38	RXN-16659
S_S2_Ca_088_v1v9_38	RXN-11302
S_S2_Ca_088_v1v9_39	RXN-11065
S_S2_Ca_088_v1v9_39	3.4.16.4-RXN
S_S2_Ca_088_v1v9_39	RXN-16649
S_S2_Ca_088_v1v9_39	RXN-11351
S_S2_Ca_088_v1v9_39	RXN-16659
S_S2_Ca_088_v1v9_39	RXN-11302
S_S2_Ca_088_v1v9_40	RXN-11065
S_S2_Ca_088_v1v9_40	3.4.16.4-RXN
S_S2_Ca_088_v1v9_40	RXN-16649
S_S2_Ca_088_v1v9_40	RXN-11351
S_S2_Ca_088_v1v9_40	RXN-16659
S_S2_Ca_088_v1v9_40	RXN-11302
S_S2_Ca_088_v1v9_41	RXN-11109
S_S2_Ca_088_v1v9_42	RXN-13202
S_S2_Ca_088_v1v9_42	CARBPSYN-RXN
S_S2_Ca_088_v1v9_43	RXN-13202
S_S2_Ca_088_v1v9_43	CARBPSYN-RXN
S_S2_Ca_088_v1v9_44	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S2_Ca_088_v1v9_45	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S2_Ca_088_v1v9_46	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Ca_088_v1v9_47	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Ca_088_v1v9_48	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Ca_088_v1v9_49	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Ca_088_v1v9_50	6.3.5.6-RXN
S_S2_Ca_088_v1v9_51	6.3.5.6-RXN
S_S2_Ca_088_v1v9_52	6.3.5.6-RXN
S_S2_Ca_088_v1v9_53	6.3.5.7-RXN
S_S2_Ca_088_v1v9_54	6.3.5.7-RXN
S_S2_Ca_088_v1v9_55	6.3.5.7-RXN
S_S2_Ca_088_v1v9_56	6PFRUCTPHOS-RXN
S_S2_Ca_088_v1v9_57	RXN0-2584
S_S2_Ca_088_v1v9_58	RXN0-2584
S_S2_Ca_088_v1v9_59	RXN-11591
S_S2_Ca_088_v1v9_60	ATPSYN-RXN
S_S2_Ca_088_v1v9_61	ATPSYN-RXN
S_S2_Ca_088_v1v9_63	RXN-12104
S_S2_Ca_088_v1v9_64	1.5.1.20-RXN
S_S2_Ca_088_v1v9_65	FGAMSYN-RXN
S_S2_Ca_088_v1v9_66	3.1.26.4-RXN
S_S2_Ca_088_v1v9_67	3.1.26.4-RXN
S_S2_Ca_088_v1v9_68	3.1.3.16-RXN
S_S2_Ca_088_v1v9_69	3.1.3.16-RXN
S_S2_Ca_088_v1v9_70	RXN-16024
S_S2_Ca_088_v1v9_70	RXN-16117
S_S2_Ca_088_v1v9_70	RXN-10462
S_S2_Ca_088_v1v9_70	RXN-13805
S_S2_Ca_088_v1v9_70	RXN-1381
S_S2_Ca_088_v1v9_70	RXN-15045
S_S2_Ca_088_v1v9_71	RXN-16024
S_S2_Ca_088_v1v9_71	RXN-16117
S_S2_Ca_088_v1v9_71	RXN-10462
S_S2_Ca_088_v1v9_71	RXN-13805
S_S2_Ca_088_v1v9_71	RXN-1381
S_S2_Ca_088_v1v9_71	RXN-15045
S_S2_Ca_088_v1v9_72	HISTONE-ACETYLTRANSFERASE-RXN
S_S2_Ca_088_v1v9_73	PHENYLALANINE--TRNA-LIGASE-RXN
S_S2_Ca_088_v1v9_74	PHENYLALANINE--TRNA-LIGASE-RXN
S_S2_Ca_088_v1v9_75	DALADALALIG-RXN
S_S2_Ca_088_v1v9_76	5.99.1.3-RXN
S_S2_Ca_088_v1v9_77	5.99.1.3-RXN
S_S2_Ca_088_v1v9_78	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_S2_Ca_088_v1v9_78	ACETYLHOMOSER-CYS-RXN
S_S2_Ca_088_v1v9_79	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_S2_Ca_088_v1v9_79	ACETYLHOMOSER-CYS-RXN
S_S2_Ca_088_v1v9_80	SULFOCYS-RXN
S_S2_Ca_088_v1v9_80	RXN-12726
S_S2_Ca_088_v1v9_80	ACSERLY-RXN
S_S2_Ca_088_v1v9_81	OHMETPYRKIN-RXN
S_S2_Ca_088_v1v9_82	PYRIMSYN3-RXN
S_S2_Ca_088_v1v9_83	PYRIMSYN1-RXN
S_S2_Ca_088_v1v9_84	GLUTAMINESYN-RXN
S_S2_Ca_088_v1v9_85	GLUTAMINESYN-RXN
S_S2_Ca_088_v1v9_86	ADENPRIBOSYLTRAN-RXN
S_S2_Ca_088_v1v9_86	RXN-14270
S_S2_Ca_088_v1v9_87	ADENYL-KIN-RXN
S_S2_Ca_088_v1v9_88	3.4.21.89-RXN
S_S2_Ca_088_v1v9_89	3.4.21.89-RXN
S_S2_Ca_088_v1v9_90	3.4.21.89-RXN
S_S2_Ca_088_v1v9_91	RXN-15881
S_S2_Ca_088_v1v9_91	RXN-14384
S_S2_Ca_088_v1v9_91	RXN-14385
S_S2_Ca_088_v1v9_91	RXN-14386
S_S2_Ca_088_v1v9_91	RXN-12587
S_S2_Ca_088_v1v9_91	RXN-9787
S_S2_Ca_088_v1v9_91	RXN-12588
S_S2_Ca_088_v1v9_91	RXN0-308
S_S2_Ca_088_v1v9_92	RXN-15881
S_S2_Ca_088_v1v9_92	RXN-14384
S_S2_Ca_088_v1v9_92	RXN-14385
S_S2_Ca_088_v1v9_92	RXN-14386
S_S2_Ca_088_v1v9_92	RXN-12587
