pathway	plate1_1030R_0_M_NS1_week10_S77_	plate1_1030R_R_M_NS1_week10_S78_	plate1_2472R_0_F_NS1_week10_S73_	plate1_2472R_R_F_NS1_week10_S74_	plate1_3874R_0_F_NS1_week10_S75_	plate1_3874R_L_F_NS1_week10_S76_	plate1_3974R_0_M_NS1_week10_S79_	plate1_3974R_L_M_NS1_week10_S80_	plate1_T1D_NS1_defined_mouse_ino	plate2_036R_R_M_NS1_week5_S18_L0	plate2_036R_R_M_NS1_week6_S19_L0	plate2_036R_R_M_NS1_week7_S20_L0	plate2_036R_R_M_NS1_week9_S21_L0	plate2_1030R_L_M_NS1_week5_S22_L	plate2_1030R_L_M_NS1_week6_S23_L	plate2_1030R_L_M_NS1_week7_S24_L	plate2_1030R_L_M_NS1_week9_S25_L	plate2_1121R_0_M_NS1_week5_S26_L	plate2_1121R_0_M_NS1_week6_S27_L	plate2_1121R_0_M_NS1_week7_S28_L	plate2_1121R_0_M_NS1_week9_S29_L	plate2_1151R_R_M_NS1_week5_S30_L	plate2_1151R_R_M_NS1_week6_S31_L	plate2_1151R_R_M_NS1_week7_S32_L	plate2_1151R_R_M_NS1_week9_S33_L	plate2_1193R_R_F_NS1_week5_S1_L0	plate2_1193R_R_F_NS1_week6_S2_L0	plate2_1193R_R_F_NS1_week7_S3_L0	plate2_1193R_R_F_NS1_week9_S4_L0	plate2_2529R_R_F_NS1_week5_S5_L0	plate2_2529R_R_F_NS1_week6_S6_L0	plate2_2529R_R_F_NS1_week7_S7_L0	plate2_2529R_R_F_NS1_week9_S8_L0	plate2_3861R_R_M_NS1_week9_S34_L	plate2_3971R_L_F_NS1_week5_S9_L0	plate2_3971R_L_F_NS1_week6_S10_L	plate2_3971R_L_F_NS1_week7_S11_L	plate2_3971R_L_F_NS1_week9_S12_L	plate2_3975R_0_F_NS1_week9_S13_L	plate2_3975R_R_F_NS1_week5_S14_L	plate2_3975R_R_F_NS1_week6_S15_L	plate2_3975R_R_F_NS1_week7_S16_L	plate2_3975R_R_F_NS1_week9_S17_L	plate4_036R_0_M_NS1_week9_S62_L001	plate4_036R_0_M_NS1_week5_S41_L0	plate4_036R_L_M_NS1_week9_S63_L001	plate4_036R_L_M_NS1_week5_S42_L0	plate4_036R_NS1_week18_S34_L001	plate4_036R_RL_M_NS1_week9_S64_L001	plate4_036R_RL_M_NS1_week5_S43_L	plate4_036R_RR_M_NS1_week9_S65_L001	plate4_036R_RR_M_NS1_week5_S44_L	plate4_1030R_RR_M_NS1_week5_S45_	plate4_1030R_RR_M_NS1_week9_S66_	plate4_1121R_L_M_NS1_week5_S46_L	plate4_1121R_L_M_NS1_week9_S67_L	plate4_1121R_NS1_week19_S35_L001	plate4_1121R_R_M_NS1_week5_S47_L	plate4_1121R_R_M_NS1_week9_S68_L	plate4_1121R_RL_M_NS1_diabetes_S	plate4_1121R_RL_M_NS1_week5_S48_	plate4_1121R_RL_M_NS1_week9_S69_	plate4_1121R_RR_M_NS1_week5_S49_	plate4_1121R_RR_M_NS1_week9_S70_	plate4_1151R_0_M_NS1_week5_S50_L	plate4_1151R_0_M_NS1_week9_S71_L	plate4_1151R_NS1_week21_S36_L001	plate4_1151R_R_M_NS1_diabetes_S2	plate4_1193R_0_F_NS1_week5_S51_L	plate4_1193R_0_F_NS1_week9_S72_L	plate4_1193R_L_F_NS1_diabetes_S2	plate4_1193R_L_F_NS1_week5_S52_L	plate4_1193R_L_F_NS1_week9_S73_L	plate4_1193R_NS1_week24_S38_L001	plate4_2529R_0_F_NS1_week5_S53_L	plate4_2529R_0_F_NS1_week9_S74_L	plate4_2529R_L_F_NS1_diabetes_S2	plate4_2529R_L_F_NS1_week5_S54_L	plate4_2529R_L_F_NS1_week9_S75_L	plate4_2529R_NS1_week22_S37_L001	plate4_2529R_RL_F_NS1_week5_S55_	plate4_2529R_RL_F_NS1_week9_S76_	plate4_3861R_0_M_NS1_week5_S56_L	plate4_3861R_0_M_NS1_week9_S77_L	plate4_3861R_L_M_NS1_diabetes_S2	plate4_3861R_L_M_NS1_week5_S57_L	plate4_3861R_L_M_NS1_week9_S78_L	plate4_3861R_NS1_week28_S39_L001	plate4_3861R_R_M_NS1_week5_S58_L	plate4_3971R_0_F_NS1_week5_S59_L	plate4_3971R_0_F_NS1_week9_S79_L	plate4_3971R_NS1_week30_S40_L001	plate4_3971R_R_F_NS1_diabetes_S2	plate4_3971R_R_F_NS1_week9_S80_L	plate4_3971R_RL_F_NS1_diabetes_S	plate4_3971R_RL_F_NS1_week9_S81_	plate4_3975R_0_F_NS1_week5_S60_L	plate4_3975R_L_F_NS1_diabetes_S3	plate4_3975R_L_F_NS1_week5_S61_L	plate4_3975R_L_F_NS1_week9_S82_L	plate4_3975R_NS1_week14_S33_L001	plate4_3975R_R_F_NS1_diabetes_S3	plate4_3975R_RL_F_NS1_diabetes_S	plate4_3975R_RL_F_NS1_week9_S83_	plate4_NS1_defined_inocula_S88_L	plate5_2808_NS1_0_Female_week5_S	plate5_2808_NS1_0_Female_week9_S	plate5_2808_NS1_L_Female_week5_S	plate5_2808_NS1_L_Female_week9_S	plate5_2808_NS1_R_Female_week5_S	plate5_2808_NS1_R_Female_week9_S	plate5_2808_NS1_RR_Female_week5_	plate5_2808_NS1_RR_Female_week9_	plate5_2824_NS1_0_Male_week5_S43	plate5_2824_NS1_0_Male_week9_S55	plate5_2824_NS1_L_Male_week5_S44	plate5_2824_NS1_L_Male_week9_S56	plate5_2824_NS1_R_Male_week5_S45	plate5_2824_NS1_R_Male_week9_S57	plate5_2864_NS1_R_Male_week5_S46	plate5_2864_NS1_R_Male_week9_S58	plate5_2893_NS1_0_Male_week5_S47	plate5_2893_NS1_0_Male_week9_S59	plate5_2893_NS1_R_Male_week5_S48	plate5_2893_NS1_R_Male_week9_S60	plate5_2999_NS1_0_Female_week5_S	plate5_2999_NS1_0_Female_week9_S	plate5_2999_NS1_R_Female_week5_S	plate5_2999_NS1_R_Female_week9_S	plate5_NS1_mouse_inoculum_S35_L0
1CMET2-PWY	19570.75723939526	17103.681727608902	21580.705749167013	19359.621001424766	18665.92975706075	16879.627631099185	19615.460862488468	20341.912326347094	15526.335454691942	20667.89021269413	20905.23405957325	19316.084027384437	18757.700341135052	26996.399432812854	24157.195285842623	22495.636960056774	20823.201871128753	20758.980882267668	21387.592701551337	17769.354087452008	18980.915981987666	20333.98421850829	21788.43849250519	21785.22296604129	20087.964139677875	19384.49877511065	16991.65478270063	18996.22574310361	16843.84977452459	17287.388839166055	18199.13277517628	19378.975262415104	17470.16792809559	17814.385413712447	21105.84654890626	20853.94658090105	18842.74367846847	20101.963928469144	22945.730889897328	19731.50153423413	20983.153578596684	21071.806710708548	25525.483281851954	13408.3134998513	13958.54017257438	12512.03740372465	14908.95259929597	15319.904052129186	10611.698042784188	14908.059172041192	16237.032102022673	20133.709100022137	19189.137765388547	13688.731840452876	17636.7798365224	15388.643762771126	13613.420080835713	13944.313826523856	16094.64444488721	18585.539035408674	17754.88492160349	19408.600836084835	12202.352219121636	18441.769344623153	14332.778093764387	17033.970167767646	18669.80016434837	20503.459801292647	15496.957855857361	14865.60955595013	11114.144330936326	15198.19628195615	12741.540801484554	13502.109042360125	16981.21374459745	15167.33257054795	12111.560195564638	14212.231494674777	14169.29933771018	15326.939649700575	15734.746683138103	14464.459382829838	14871.610338041144	12253.42940889233	11367.46274419596	10486.241037666025	12296.962611877032	14681.206336121673	14583.637238013887	14156.128277240106	17155.046548188722	17355.745722438543	12043.702457976162	13390.805927512576	12548.886864010094	14536.099650672671	11372.551862535976	14376.65952638322	13479.780276945934	16226.824876555529	12096.734995182103	13002.392833901597	11752.678437963752	14178.481632861498	11204.274593213408	46371.17196586114	24109.49785728631	23875.652669398773	19131.1393548199	25421.34663000413	20036.33354913448	9999.710460070346	22589.111517318255	18174.740315760424	30141.002366010518	24317.36866900724	17001.956892698596	22281.611211197203	20444.745704080433	16154.211125216463	23479.162742285836	18324.821828152264	25644.560841074996	17864.929733360033	31631.43114804538	15465.70365868538	16803.894562104226	38496.23605251244	27483.10032673756	17222.387931951554
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	327.4129822465641	282.47607127129413	396.70163699743046	242.2303186395074	385.0690342094098	482.11143881476585	235.99354778226612	328.1047200611888	3357.2809469389986	668.9061406851497	307.2830598235921	319.25264522035036	383.2825394903126	1207.4216104952964	410.01768988569523	366.82706695381404	182.64504640165774	900.3738521653319	357.04150823282936	199.98901824049827	215.65453368677962	659.6986061533602	588.8251739239425	344.5052683132678	261.3765211093939	737.6267137208184	281.3148150053814	222.4644475163551	133.2957571192894	358.73431895356435	460.33683414525825	326.1955865615416	387.5656619578148	185.02124905295435	728.7225218636811	350.78865584030297	264.89526783224375	201.93744039981684	142.43289816442987	773.9361343824784	315.7670159564267	199.75970460977564	291.85108832250074	100.7461740485527	479.3463342222361	96.18171774039577	497.2007531341842	134.83624457702646	140.20639001475698	388.6891226135466	150.7421113903873	740.4252768440429	434.4548835391103	102.00712737548204	481.99419203091645	183.98138944348207	162.69427697010426	537.1207024672543	118.60652573354051	386.8325253206111	581.389577813847	209.42178349144186	416.42213948096224	225.96619982301254	348.50123097281164	331.2787147177112	239.2034374346608	421.7283271820525	691.9222794264458	96.39768944973962	476.5900631208192	542.5190989834065	115.80037371559798	170.0652187137083	497.5756789335153	254.96721438063165	252.1441364388819	304.1000997077799	221.1961626781818	334.4398429937797	692.9725614862344	240.60392708855792	499.64055981703723	133.35850577078534	79.40284274374477	382.37813965025015	101.13210950003493	357.592994714958	466.26848945887394	444.41458868021465	182.8372666083722	389.8301034670803	132.56596797100536	75.09547291943616	179.2595685374146	176.2142840891698	764.2770286127877	193.71309422601183	1221.7182627156578	135.38918303398773	95.42911563075333	316.61658827208026	386.89096764362074	142.64332030908653	1925.2971658915642	891.6243695297463	392.89489690097594	686.9631093458457	554.2954368599756	585.9661084902293	274.817922473043	199.35828144558403	315.598928389509	677.317974563857	510.17924541159977	922.1518924106396	190.77527651452357	663.6574672942824	390.95168030531	465.45634375400874	260.41173362879505	360.4402749795404	406.22336208625995	324.29399064520015	614.8540173312623	511.3571728784273	334.82955906350213	1440.057129197739	430.8247597039174	3199.3442308132626
AEROBACTINSYN-PWY	158.57999999999998	132.70999999999998	213.14	130.57	221.42999999999998	256.86	110.86	157.43	2237.29	370.29	136.86	152.57	186.85999999999999	706.72	197.14000000000001	195.86000000000004	74.72	558.4300000000001	173.43	82.57	92.14000000000001	351.15000000000003	305.43	174.15	115.28999999999999	426.56999999999994	144.0	108.43	51.71000000000001	195.71	248.29000000000002	170.72	176.57999999999998	67.15	416.71	168.0	120.14000000000001	80.28	56.57000000000001	459.29	163.43	94.57	121.28	40.86	279.0	41.71	282.14	55.43	64.72	209.70999999999998	65.58	444.43	254.28000000000003	40.0	264.28000000000003	89.28	77.0	314.15000000000003	50.29	186.29	336.28	100.85999999999999	245.57	104.13999999999999	184.42000000000002	172.57	123.57000000000001	243.58	413.43000000000006	40.43	307.28	325.72	48.0	82.0	291.15	133.86	123.72	163.72	108.72	180.43	407.0	113.28999999999999	277.43	55.72	31.86	204.57000000000002	36.0	197.27999999999997	252.29000000000002	248.85999999999999	84.71	209.28	54.29	29.859999999999996	79.43	73.0	475.2799999999999	99.72	847.5699999999999	53.86	40.0	154.0	218.42000000000004	61.28000000000001	1373.8600000000001	469.14	182.42999999999998	386.43	286.86	319.71	129.43	99.86	143.72	399.0	223.56999999999996	534.71	75.43	369.14	181.71	252.43	115.57	186.72	195.57	163.85999999999999	297.57	289.85	177.70999999999998	835.0	217.85999999999999	2289.29
ALL-CHORISMATE-PWY	4715.328875535559	3962.3356479794847	5260.500079471611	4316.617401627139	4863.624401986848	5119.388151633225	3843.310541308464	4808.481110369916	7578.225986345197	5713.532312768383	4447.978975570177	4411.831343297415	4882.509913087442	7454.123332849555	5027.384948179167	4600.531996113065	3225.503541350671	5494.171145252084	4269.157410888558	3211.9223922881733	3564.049928488278	5009.555415448659	6055.044780064951	4779.924551370936	4100.957975644014	4057.7831590325613	3419.7262696561233	3405.071913109502	2549.9248051213403	3261.9836650917996	3981.028938252786	4071.833552414963	4533.688349282734	3156.6919034417606	5468.369710786872	4628.524264604257	3912.4460771706513	3366.883281661586	2860.5629013025177	5619.320756578852	4392.078151681459	3731.620009558166	4623.143482616447	1811.3063660394068	3721.803500244317	1827.4410362713431	4082.5667295915478	1951.1394233136582	2248.3807500921343	3724.302199757799	2764.2238095673815	5356.823590667514	3973.5456527883844	1971.766780533141	4249.901781866044	3186.6617250799513	2624.5858176608976	3831.0450983329565	2351.790500940633	4338.371344167329	4711.076769391454	3648.871770319679	3088.739036720794	3797.2585164277034	2856.2377420289654	4320.671935702719	3966.244827879049	5183.051371993917	4338.861373612089	1948.831954023629	3452.0753715926007	3840.709162451262	2019.8602197098285	2703.039397730614	3901.847892134655	3694.223751207905	3103.1154242897364	2971.9846534624276	3334.147697240248	4088.1627370882666	4401.058935766358	3367.2568823587453	3893.448928230973	2235.820088471696	1445.9537397804093	2951.469108041645	1758.9513821982468	4063.131630267094	3853.739711101436	3930.21622973129	3190.346896442952	4731.845505743146	2187.2620520588493	1524.4519866352805	2183.0516321301	2852.7948815638647	4001.396765937799	2804.656615863996	5331.285226762087	2493.3581468251127	1765.0693385747352	3453.3494030977695	3739.7502094454785	2440.738936494015	5860.764139865752	10262.638183207793	5684.43236957596	6342.9702289426095	5591.882510776801	6016.647128096642	4135.645059225368	2226.954600175377	4813.929337994693	5108.5775380379955	7051.505395939182	6190.351373692265	3097.1899712658114	5429.729305055482	4687.9535366036625	4158.0439607539465	4746.9744179883355	4123.76177416346	5763.552040680499	3795.5296941508414	8059.190970071278	4011.0102943281267	4008.254345088414	10614.699298792324	6569.506235841725	8931.638908119481
ANAEROFRUCAT-PWY	10157.594894146356	9002.121784777151	9000.178716477481	8367.972487027982	8573.729029256861	9556.799388046311	9632.534482075553	10060.527794949932	13712.525064004463	12329.266007789385	13882.017925649816	8661.884407382733	11206.729672016236	16269.920782560112	12696.598472450538	7695.029213737749	12172.067352965802	10213.995525102846	9185.936692817937	9651.290291783336	11119.707719055377	13340.511273500364	14339.665513558251	11616.375047420232	12388.301277637973	10465.219972144967	8374.711134452045	6683.2248824955095	12355.15892459271	8242.564359586744	9372.881720684205	8914.107525568754	10682.051578745517	14005.145009271435	12830.360699843406	13054.604184750979	10476.53952555977	15073.620922158223	12921.906135771671	9700.943383420185	10117.182649155891	7272.184242746107	15305.67578399398	9545.666861091517	7180.406273492741	7059.503567521817	8873.255912054577	6896.40471215486	6278.428952768766	8475.173510336064	9762.671581133623	10694.824039842299	7420.57454971028	8952.665135048586	9728.233711702604	7024.031225602967	5903.706454855514	8237.45615135066	9394.025373400102	11831.803757555426	10300.143994687598	8965.338116496314	6917.173079679013	9330.357073892423	8963.53050969424	9055.713422309893	7803.274840589504	7106.82276146989	9267.933914432386	9904.20508451439	4442.225149776518	7257.154260566656	9387.88222736476	5857.084023439382	8038.607937976103	6750.542327276282	6936.408332560147	6968.381301564013	7416.808935868878	6797.9392190304725	9923.344567018352	7606.9230040439	9804.102390675309	7471.217481867229	5437.888446547147	7857.570129687522	7608.644618227994	6211.947800910044	10112.450192786871	8957.026354449428	9687.715107157937	8972.311811942027	6076.616616363381	10887.40023244554	6143.23343174846	10125.11794923343	7121.797638650202	5618.342694610738	7633.128175078611	10420.117324648578	6851.999956795316	8256.79826945	6468.980629235722	9216.28048120762	8646.16828949225	26817.258354143138	17035.828917156014	12534.202219927936	13536.3407654741	14047.944263574547	12707.364778891118	6805.826548294915	14678.964442175937	10153.862368761706	21187.390822708094	16123.583761572467	12223.12800492265	15578.153145418515	14630.26413654801	10344.844800418829	14203.93009154584	11202.614629361935	15689.634151061007	11693.898919046365	21186.0472226036	9462.781185930446	7303.324640903935	23458.51069958946	12893.747138020788	14255.418656523541
ANAGLYCOLYSIS-PWY	26292.57971083676	23439.871609285838	29114.65923745974	26174.246728617112	24882.302937845783	22823.85049613712	26550.828519831528	27343.50630214475	21897.352240870987	29281.152571291805	30009.333750598293	25106.253812469917	25585.752344511457	41343.75943681284	35369.1415663712	28484.4907069049	27581.32897978263	28680.192220312627	28318.19776461793	22588.482867326587	25831.699299623448	31232.73118054306	31084.40689318153	29330.53059730369	27158.106045333665	31474.742516011065	24925.05180861382	25746.52353023823	22101.352491990743	27113.858779029233	27486.520854704504	26473.405910089463	22714.931039554558	22222.955685349596	31140.43543148771	29229.43689595085	26188.182179064544	28544.687821851796	31760.276081470776	27678.5824145862	28331.736814008746	26007.713009890747	34603.07458544715	19481.116617325013	21411.557541990936	17927.94324134647	22613.317312124498	22986.162210921877	14673.337577242044	22294.962491473336	23192.60533562594	30615.548675431237	29427.044639077976	18508.96271630294	26038.036189889153	20549.32199493746	18992.31588357015	20429.380411180253	22787.21125017654	27125.22365049865	25635.727245084956	26877.844477027804	17979.614269108748	25124.536304872807	22798.899573468832	22916.78530531562	26474.274918757594	28675.78477630132	23584.054434903886	21337.53425897145	16124.319315325647	23599.019569689524	17787.38486564858	18955.133083949353	26102.7529666901	20304.181034200992	16989.431901053504	21279.790870719673	19230.216661433937	21175.203784019744	24180.435319815064	19541.72844034936	22742.45104468244	17266.256514093227	16690.856139775875	15259.639054358515	16857.44373856923	20243.33495594363	21131.699609370542	20285.940684150843	23577.92446552829	23257.455561330884	16856.60098197367	19522.439397960934	18294.869932183345	19899.287899882947	16311.237742275216	20241.12190477774	19553.783580501968	22042.017562065572	17558.200788559163	18363.437548119568	16374.754947764279	20007.24071632385	15265.87785554037	67229.93007127145	33385.87669327271	33709.38093500396	26249.260584042604	36530.22074194786	26851.07108337431	14368.194162868414	30252.12055431816	27317.379381487935	41923.0812358514	37235.35204862019	22254.243627640953	34631.05227456463	27544.66455592417	23585.839180882333	31322.981021958265	26917.039486673122	34345.05986745973	26926.209995483987	42388.76591421514	23022.483716754658	21823.35127736581	55415.9555824228	36704.175569157895	23253.605851523786
ARG+POLYAMINE-SYN	1703.3941314678289	1373.5451879265206	1758.8926639097012	1538.9908806557612	1836.8151817057228	2039.5188748132675	1719.741914022902	1727.5094222572332	6707.300935590956	2478.9176865747354	2036.9467598197743	1775.4571169596784	1888.1596822946892	4248.41116063723	2963.1664757917956	1601.2200764676402	1474.1776111070692	2344.317637619985	1804.701558651422	1746.1185297550674	1638.3289346389881	2684.390553300561	2381.8887312610477	1663.056277024133	1918.143540796381	2498.9688460781776	1354.2746113245587	1684.5566942816686	1331.3167447504463	1685.3881632071923	2134.6610387231212	1705.465777537302	1774.5513038263177	1757.9585888692054	2377.4679079691564	1905.5420345839914	1932.3222111382372	1698.2321329313986	1541.1466837965609	2571.5879751448406	1550.9090900123738	1593.964442009047	1946.0268296143538	1204.522230512778	1880.509608975317	943.2567133769304	1936.2367415497902	1503.6839322084727	829.4803201804826	1899.9581173400186	1255.3544092447155	2569.6990444949734	1684.5976519762617	1229.4643949140202	1682.4223994630188	1092.384272923441	1152.4927976981573	1595.8766643097617	1278.5796154039358	2474.7869756128143	1759.5105497274135	1381.397616743225	1215.2768715188708	1744.4169671036454	1551.1342027141238	1827.1483637434724	1292.2734235565717	1915.4573116012352	2411.9432477559567	1258.5763892497926	1411.273099847854	1853.6545358325175	1222.0806164390203	1154.9057487856662	1735.2617037885207	1264.0250137835046	1234.2947782759638	1322.1008237806823	1213.7616484026162	1272.4979101526314	2048.8664823067693	1141.2734889425533	2161.6036175883887	777.7245690160086	741.4918193952257	1607.504326518588	1036.5207912426606	1604.4548101532828	2271.2162042064074	1679.2371226527796	1326.8562233592622	1816.9785739284384	1231.1185166561556	1333.6490707150538	1343.2054854457335	1006.7572484013895	2305.0759346857685	1017.978756396644	3194.7873811262307	1317.6340048726186	1134.5366184576544	1657.8891708595575	1240.3709893699731	1388.0350407380913	4339.128274697701	4343.394338856334	2572.096046827793	2737.089060860354	2274.974336006649	3410.2734762375294	1839.2516419599174	1039.8818185736243	2004.4885387432853	2221.1495460484366	2699.3243065573074	3555.99804315783	1437.791239703584	3968.119896685931	2136.8312900427686	1806.968138150016	2059.4539341306236	1770.8670401950305	2218.266418311937	1851.3219883619754	3343.1967099849594	1723.4818121970918	1752.6367374509102	4795.428858135774	2735.147187587035	7516.311160934274
ARGDEG-PWY	314.6520602760847	261.4998073489874	398.6756827198302	253.1070074342354	413.85851800840925	477.35468445792964	216.03532584165296	303.93445772121964	3694.200580554067	689.7961153336415	269.97679691155156	284.67091817629614	364.18904916090673	1267.7819203124043	360.493358563978	365.10648494569193	157.5459755408821	991.8031512986921	331.50981378809337	169.72507525961402	187.5412078643165	651.9084894642527	588.3673833395072	335.1038640076889	227.9491976614291	762.0958225266587	270.96458355480036	196.4628046779161	106.10920026564057	361.90189992134066	450.750347548606	324.87104595938587	347.4198248343834	143.27588161878447	772.8936907111804	337.5603727054409	237.41421039121425	165.99260159359255	118.6150333420493	817.0420277648101	313.34782422494226	179.4985299766331	246.83173800798002	84.70563895565026	501.34602949680266	84.57139303312584	519.4492861433043	106.08596227561509	128.21580700050274	391.266303818492	131.68374484211023	805.0380307466586	458.49294193664633	84.76996320905064	500.66834768860457	173.93716023702362	147.45833943750955	579.6038020262912	101.40143219614527	350.7741461523148	631.7340901025966	197.7012249275105	456.7906040965433	202.76382538685667	344.0719433919532	334.2256572083007	237.19409488498582	438.3248871867241	741.0193966578879	82.08541533322324	531.7692704173112	577.8090716325687	96.39089294698034	157.7583928293922	524.695574008989	253.1231477679867	242.85503294784417	300.6062978834294	211.46038592054052	336.74310616271276	736.6071443795546	221.6781614490327	515.6426985271116	112.25226090344677	62.793515205271376	386.16243246307005	75.3339406800084	357.6347599453487	480.2220390199897	465.4753528491754	169.2954077718114	397.66869705357414	110.71419711310192	61.632796408105385	148.09432175845336	146.2923157260968	831.5204380950769	188.43238750014663	1414.2073069051473	110.74230105007283	80.62409480038619	293.2689215469354	410.012707791096	122.78205782153054	2267.929614903266	899.9938819248927	369.04608529991214	718.2511328435022	552.2990476659395	602.181944022513	264.1540380973731	197.32090054674114	298.6323994551784	729.9493106118955	460.73501063828405	995.2222666621122	161.79930257765713	690.8483933214226	373.1168427987394	480.6793372322108	236.75739608867372	370.22280881752124	399.32434156870744	322.27221242637154	600.2806598948971	546.5367419999101	326.10711437562986	1555.8740050949461	415.7688761608804	3772.6588443329333
ARGORNPROST-PWY	1510.6917053889624	1210.8335472139559	1618.8675445804927	1544.920059472481	1314.1324295559994	1266.8803058937508	1555.3480534166372	1239.0626667682322	3207.101956370208	1826.6353839521414	2087.2958684595023	1234.4550073455564	1665.6914238742092	2473.6961298659794	1182.8808749294035	1101.2713576915119	1523.3769896684785	1678.6366080849793	1260.4737679669008	1523.0574493314352	1542.4729857000061	1957.0522577006084	2316.8108631091945	1543.168423936033	1983.3465609519867	1521.1096656592224	1632.951400933037	960.0709360050594	2268.118869962204	1014.0383270179296	1276.7884346163244	1425.9445193035017	1759.7954056426395	2390.0879759840686	1574.1246882889116	2036.5757047547813	1625.0802527574554	1837.2264497952747	2062.4332030352516	1670.5962160821302	1821.5176036324788	984.9364841693852	2289.548983833446	1425.1616465419245	810.5115916890426	1129.8019581692272	1192.2385170454784	1216.1999279341894	1038.8007955945725	1308.2989240181373	1660.6369184130915	1565.7132629521711	1124.7707146913915	1313.6752504442636	1486.7932498417924	1355.5001474788955	1146.7232978365867	1371.9777196053349	1705.1289445185923	1848.7441334396754	1700.9559708428446	1597.3863067981104	1089.001088471939	1628.399861323802	1535.1661529659825	1399.340594171523	1577.9307914311075	1344.9100373993847	1337.4765715594965	1439.5953009948728	780.4325557910322	973.4697346157103	1364.0962263893061	1055.7074732645754	1351.1877104147618	1020.4214347462503	995.8498145933625	1081.4356298194991	1093.799709181805	1087.064741902702	1813.5937325419945	1097.2681183076081	1481.9526803434858	1328.6102359277486	1050.594279628302	1173.6096171961465	1357.9817031218938	1219.3087580647575	1454.846927653091	1225.395511249003	1531.1455557256538	2163.4458637776484	1136.7072753581526	1614.874703910734	876.3051079814082	1667.6205192658224	1119.7856231818603	874.3969239528468	1230.800601591722	1891.349800318079	957.6011132907173	1237.5460842837545	943.737635444931	1559.0121580072137	2226.1115772198928	4048.580136406406	2489.206083717275	1836.051313757659	1818.8079374060865	2356.572621939736	1516.965201974146	768.6677713148579	2002.265763767487	1315.0643789108017	2652.5444795117514	2493.0557611865297	1519.357065359217	2621.62326136893	2150.981930237861	1250.2433378532567	1923.3885958607625	1516.3219258199374	2048.2092869691173	1184.7092516857917	2810.7838123602837	1139.3932611891341	979.6428384352084	3646.6100457476914	1925.864975914549	3913.0013097143724
ARGSYN-PWY	15125.329487805962	13558.6553705105	16468.741377585564	14979.829013812698	14399.613092611919	13620.07179511434	15199.349556050296	15759.231124984015	13467.09406290001	16411.716882287583	17558.20117568751	14955.200033359053	14847.189157496508	22633.210251945526	19961.90474724493	18780.24259341402	16518.26063314732	17354.434938616374	17488.47971651162	13941.537901698617	14858.429387050383	16727.51101338686	17527.73666387741	16581.19954704613	16084.159227241476	13833.55245199771	13899.644989909668	14580.081345370312	13486.049374907281	13403.84357115274	15390.184040064523	15288.74691523975	14215.773746720206	13802.41500835309	17147.42594271178	16360.056953404053	15307.196751860978	16641.358949329886	18642.248085222098	15807.102843890667	16258.227436026464	15838.27039235459	19651.062767644802	10777.397164109268	10691.440027121585	10373.384204894992	12163.100683719258	8863.80557912888	8570.201450905332	11938.869288138412	13393.026301876838	16797.28560594848	15577.05765155161	11235.59537093226	14402.786871877155	11680.239418386936	11213.46464655482	11170.21813920947	13233.35858892347	14649.468306181476	14000.069782264129	15251.120426412197	9636.018667051496	14804.674356636913	11188.332257416148	13022.24108667247	15348.432153828599	16897.495397653794	13329.816831990252	12536.768780045633	9286.321049017344	12302.200296508523	10765.013905426813	11073.738524211281	14308.202822649244	11777.961051247183	9844.028663409796	11757.494781987845	11225.798881881063	12252.587998555648	13213.24082104074	10952.048871934301	12504.47394002156	9962.641148267849	8266.0277795931	8963.541855188954	10194.620557458915	11958.664336216272	11982.424098354255	11331.683548868386	13415.673319079951	13370.922399269093	10117.35503524265	11567.567592328762	9266.940044868923	11223.41253108725	9530.128147121302	11693.766604524577	11337.533710453563	12773.946293045448	9694.380585354897	11035.724375907133	9505.338495290258	11918.862696647937	9828.532813678437	37154.606322836466	19458.77757906912	18627.22604803684	15115.855884142293	20711.012104265632	15746.62892185452	8022.811613188226	18041.51469012225	15329.84781601388	23567.47237352141	20204.113307580737	13564.434327047611	18929.556211300434	15788.033266783099	13318.100946196371	18529.31294679844	14720.629263402338	19990.14999905793	15044.173256043163	24900.40992648218	12636.397855671943	12908.153459527668	29946.076338209084	20968.959939606713	15213.676661433696
